name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Esperanza,Albergue / Comedor,14.9308333,-92.2512565,"(14.9308333, -92.2512565)",OSC / ONG,"3a Calle Ote. No. 37, Col. Centro jurídica Tapachula, Chiapas. C.P. 30700",Directorio OIM
Camino a la Vida,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"José Guadalupe Posada 828, Barrio Guadalupe (a un lado del Panteón de la Cruz) C.P. 20000",Directorio OIM
"Casa de Oración del Migrante, A.C.",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Niños Héroes 981, Col. Jesús Munguia C.P. 22840",Directorio OIM
Ángeles Sin Fronteras,Albergue / Comedor,-46.44365096666667,-67.51444907777778,"(-46.44365096666667, -67.51444907777778)",OSC / ONG,"Av. Reforma 244, Altos Zona Centro C.P.21100",Directorio OIM
San Vicente,Albergue / Comedor,31.86697,-116.6009704,"(31.86697, -116.6009704)",OSC / ONG,"Calle 9a 691, Col. Bustamante C.P. 22840",Directorio OIM
"Mana de Mexicali, I.B.P.",Albergue / Comedor,32.6457407,-115.458184,"(32.6457407, -115.458184)",OSC / ONG,"Av. Jesús García 1799, Col. Nacozari C.P.21030",Directorio OIM
Comedor Cobina A.C.,Albergue / Comedor,-38.991272025510206,-64.10256806836735,"(-38.991272025510206, -64.10256806836735)",OSC / ONG,"Avenida Lerdo 416, Col. Centro C.P. 21200",Directorio OIM
Centro de Apoyo al Trabajor Migrante,Albergue / Comedor,1.1989071,-77.2827666,"(1.1989071, -77.2827666)",OSC / ONG,"Jabonera 6, Col. Nueva C.P. 21100",Directorio OIM
"Grupo de Ayuda para el Migrante de Mexicali, A.C.",Albergue / Comedor,0.3392009,-80.0090075,"(0.3392009, -80.0090075)",OSC / ONG,"Michoacán 1377, Col. Pueblo Nuevo C.P. 21120",Directorio OIM
Juntos en el Camino,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Garita 1, Carretera Mexicali-Calexico, Módulo 3",Directorio OIM
El Buen Samaritano,Albergue / Comedor,10.144836,-64.6983791,"(10.144836, -64.6983791)",OSC / ONG,"Celaya s/n, Parroquia San José Obrero, Col. Bellavista, C.P. 21150",Directorio OIM
Juvenil del Desierto,Albergue / Comedor,32.6545058,-115.4653355,"(32.6545058, -115.4653355)",OSC / ONG,"Carpinteros 1515, Col. Industrial C.P. 21010",Directorio OIM
Casa Betania,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Lago Hudson 2408, Col. Xochimilco C.P. 21380",Directorio OIM
Nuestra Señora de Guadalupe,Albergue / Comedor,32.5677881,-116.6066337,"(32.5677881, -116.6066337)",OSC / ONG,"Misión Santa Teresa 1400, Col. El Descanso C.P.21478",Directorio OIM
"El Camino a un Nuevo Amanecer, A.C",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Pte. Canal Pacifico, Km 15.5, Ej. Hipolito Renteria",Directorio OIM
"Movimiento Juventud 2000 Sección Tijuana, A.C.",Albergue / Comedor,32.5403172,-117.0393303,"(32.5403172, -117.0393303)",OSC / ONG,"Constitución 205, Zona Norte C.P. 22100",Directorio OIM
"Alfa y Omega, A.C.",Albergue / Comedor,32.567544049999995,-114.99582857842219,"(32.567544049999995, -114.99582857842219)",OSC / ONG,"Av. Benito Juárez 24, Zona Centro C.P. 21100",Directorio OIM
Ejército de Salvación,Albergue / Comedor,32.5338243,-117.0067312,"(32.5338243, -117.0067312)",OSC / ONG,"Calle 17 550, Col. Libertad Parte Baja C.P. 22400",Directorio OIM
"Roca de Salvación, A.C.",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Calle Ampliación Hujicori 20704, Col. Azteca Cañon 1 de La Raza C.P. 22224",Directorio OIM
"Ejército de Salvación, A.C.",Albergue / Comedor,32.5354111,-117.0126211,"(32.5354111, -117.0126211)",OSC / ONG,"Aquiles Serdán 11585, Col. Libertad C.P. 22300",Directorio OIM
Casa de Oración del Migrante A.C.,Albergue / Comedor,32.5304891,-116.997945,"(32.5304891, -116.997945)",OSC / ONG,"Carlota Sosa 735, Col. Anexa Rio C.P. 22416",Directorio OIM
