name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Instituto Aguascalentense de las Mujeres,Mujeres,,,,OSC / ONG,"Avenida Independencia No. 1844, Fraccionamiento Jardines de la Concepción Segunda Sección, C.P. 20120",Directorio OIM
Instituto de la Mujer para el Estado de Baja California,Mujeres,,,,OSC / ONG,"Av. Miguel Negrete No. 1711 entre ”J” y ”E” Col. Nueva. C.P. 21100, Mexicali, B.C",Directorio OIM
Instituto Sudcaliforniano de las Mujeres,Mujeres,,,,OSC / ONG,"vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Instituto de la Mujer del Estado de Campeche,Mujeres,,,,OSC / ONG,"Calle 53 s/n entre 16 y Circuito Baluartes, Col. Centro, C.P. 24000, San Francisco de Campeche, Campeche.",Directorio OIM
Secretaría de las Mujeres,Mujeres,,,,OSC / ONG,"Carretera Central Km 5 y Blvd. Centenario de Torreón, col. El Toreo, C.P. 25298, Saltillo, Coahuila",Directorio OIM
Instituto Colimense de las Mujeres,Mujeres,,,,OSC / ONG,"Vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Instituto Jalisciense de las Mujeres,Mujeres,,,,OSC / ONG,"Calle Miguel Blanco, Núm. Ext. 883, Núm. Int. 2do. Piso, Col. Centro, C.P. 44100, Guadalajara, Jalisco.",Directorio OIM
Secretaría de Igualdad Sustantiva y Desarrollo de las Mujeres Michoacanas,Mujeres,,,,OSC / ONG,"Calle Av. Lázaro Cárdenas No. 2440 Esq. Batalla de la Angostura, Chapultepec sur, C.P. 58260. Morelia, Michoacán.",Directorio OIM
Instituto de la Mujer para el Estado de Morelos,Mujeres,,,,OSC / ONG,"Blvd. Benito Juárez No. 82, Colonia las Palmas, Cuernavaca, Morelos.",Directorio OIM
Instituto para la Mujer Nayarita,Mujeres,,,,OSC / ONG,"Calle Juárez No. 160 Col. Centro, C.P. 63000, Tepic, Nayarit",Directorio OIM
Instituto Estatal de las Mujeres,Mujeres,,,,OSC / ONG,"5 de Mayo No. 525 Ote. Piso 3 E���� Elizondo Paez, Centro Monterrey, C.P. 64000, Monterrey, N.L.",Directorio OIM
Secretaría de la Mujer Oaxaqueña,Mujeres,,,,OSC / ONG,"Belisario Domínguez No. 118, Col. Reforma, C.P. 68050, Oaxaca, Oaxaca.",Directorio OIM
Instituto Poblano de las Mujeres,Mujeres,,,,OSC / ONG,"Calle 2 Sur No. 902 Col. Centro, C.P. 72000, Puebla, Pue.",Directorio OIM
Instituto Queretano de la Mujeres,Mujeres,,,,OSC / ONG,"Mariano Reyes No. 17, Col. Centro, C.P. 76000, Santiago de Querétaro, Qro.",Directorio OIM
,,,,,,,
