puerto,edo,ciudad,ruta,coordenadas
Rosarito,Baja California,,pacifico,
El Sauzal,Baja California,,pacifico,
Puerto Escondido,Baja California,,pacifico,
Puerto Peñasco,Sonora,,pacifico,
Isla de Cedros,Baja California Sur,,pacifico,
Guerrero Negro,Baja California Sur,,pacifico,
Guaymas,Sonora,,pacifico,
Isla San Marcos,Baja California Sur,,pacifico,
Santa Rosalia,Baja California Sur,,pacifico,
Punta Chivato,Baja California Sur,,pacifico,
Punta Prieta,Baja California Sur,,pacifico,
Pichilingue,Baja California Sur,,pacifico,
La Paz,Baja California Sur,,pacifico,
El Mezquital,Baja California Sur,,pacifico,
Puerto San Carlos,Baja California Sur,,pacifico,
Cabo San Lucas,Baja California Sur,,pacifico,
Topolobampo,Sinaloa,,pacifico,
Mazatlan,Sinaloa,,pacifico,
Puerto Balleto,Nayarit,,pacifico,
Nuevo Vallarta,Nayarit,,pacifico,
Barra de Navidad,Jalisco,,pacifico,"19.20821116203341, -104.6828129015272"
Manzanillo,Colima,,pacifico,
Ixtapa,Guerrero,,pacifico,
Zihuatanejo,Guerrero,,pacifico,
Acapulco,Guerrero,,pacifico,
Puerto Escondido,Guerrero,,pacifico,
Salina Cruz,Guerrero,,pacifico,
Puerto Madero,Chiapas,,pacifico,
El Mezquital,Nuevo Leon,,golfo,
Altamira,Veracruz,,golfo,
Tampico,Veracruz,,golfo,
Veracruz,Veracruz,,golfo,
Coatzacoalcos,Veracruz,,golfo,
Frontera,Tabasco,,golfo,
Lerma,Tabasco,,golfo,
Ciudad del Carmen,Campeche,,golfo,
San Francisco,Campeche,,golfo,
Campeche,Campeche,,golfo,
Progreso,Yucatan,,golfo,
Cancún,Quintana Roo,,golfo,
Puerto Morelos,Quintana Roo,,golfo,
Cozumel,Quintana Roo,,golfo,
Playa del Carmen,Quintana Roo,,golfo,
