,nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligono,codigo_unico,detenciones,detenciones_in_grid,inm_30km,inm_in_grid,inm_in_estado,sc_30km,sc_in_grid,sc_in_estado,Order
95,"Frontera Comalapa, Chiapas","Frontera Comalapa, Chiapas",Chiapas,15.6590135,-92.1422219,S,PG1531,S-PG1531-3,802,1317,2,4,13,0,2,35,0
96,"San Cristobal de las Casas, Chiapas","San Cristobal de las Casas, Chiapas",Chiapas,16.6835469,-92.6155184199116,S,PG1532,S-PG1532-1,745,1269,1,1,13,2,3,35,1
90,"Berriozabal, Chiapas","Berriozabal, Chiapas",Chiapas,16.87168945,-93.3370761804707,S,PG1493,S-PG1493-2,160,285,0,1,13,2,3,35,2
85,"Jiquipilas, Chiapas","Jiquipilas, Chiapas",Chiapas,16.57497565,-93.6056542788837,S,PG1454,S-PG1454-2,677,680,0,0,13,0,0,35,3
82,"San Pedro Tapanatepec, Oaxaca","San Pedro Tapanatepec, Oaxaca",Oaxaca,16.3689223,-94.1927528,S,PG1415,S-PG1415-2,283,297,1,1,4,0,0,7,4
77,"Santo Domingo Tehuantepec, Oaxaca","Santo Domingo Tehuantepec, Oaxaca",Oaxaca,16.3172613,-95.2468005,S,PG1376,S-PG1376-3,222,436,0,1,4,0,2,7,5
69,"Tlacolula de Matamoros, Oaxaca","Tlacolula de Matamoros, Oaxaca",Oaxaca,16.9314623,-96.4611074593091,S,PG1298,S-PG1298-6,351,464,0,0,4,0,0,7,7
70,"Santa Cruz Xoxocotlan, Oaxaca","Santa Cruz Xoxocotlan, Oaxaca",Oaxaca,17.026389,-96.733333,S,PG1299,S-PG1299-8,731,1562,1,1,4,2,2,7,8
71,"San Jose Tenango, Oaxaca","San Jose Tenango, Oaxaca",Oaxaca,18.15,-96.716667,S,PG1300,S-PG1300-1,6,6,0,0,4,0,0,7,9
74,"San Juan Bautista Tuxtepec, Oaxaca","San Juan Bautista Tuxtepec, Oaxaca",Oaxaca,18.0874632,-96.1227767,S,PG1339,S-PG1339-2,108,126,0,0,4,0,0,7,10
72,"Cotaxtla, Veracruz","Cotaxtla, Veracruz",Veracruz,18.85765725,-96.350999057041,G,PG1301,G-PG1301-7,250,406,0,0,3,0,1,12,11
63,"Cordoba, Veracruz","Cordoba, Veracruz",Veracruz,18.8944704,-96.9352891,G,PG1262,G-PG1262-7,609,870,0,0,3,1,1,12,12
51,"Zacatecas, Zacatecas","Zacatecas, Zacatecas",Zacatecas,19.0390187823288,-98.2024861642833,C,PG1223,C-PG1223-2,986,986,1,1,0,6,6,0,13
52,"Apetatitlan de Antonio Carvajal, Tlaxcala","Apetatitlan de Antonio Carvajal, Tlaxcala",Tlaxcala,19.3505173,-98.1912020545409,C,PG1224,C-PG1224-9,339,1188,1,1,0,3,3,0,14
39,"Chalco, Estado de Mexico","Chalco, Estado de Mexico",Estado de Mexico,19.2612215,-98.8958362,C,PG1185,C-PG1185-2,405,650,1,0,1,12,2,10,15
40,"Pachuca de Soto, Hidalgo","Pachuca de Soto, Hidalgo",Hidalgo,20.1165413,-98.7413535,C,PG1186,C-PG1186-5,44,120,1,1,1,1,1,5,16
41,"Chapulhuacan, Hidalgo","Chapulhuacan, Hidalgo",Hidalgo,21.1263192,-98.9521191559816,C,PG1187,C-PG1187-1,18,18,0,0,1,0,0,5,17
55,"Altamira, Tamaulipas","Altamira, Tamaulipas",Tamaulipas,22.3921625,-97.9362975,G,PG1228,G-PG1228-2,833,1407,1,1,3,3,3,16,20
56,"Aldama, Tamaulipas","Aldama, Tamaulipas",Tamaulipas,22.9196081,-98.0741727,G,PG1229,G-PG1229-1,14,14,0,0,3,0,0,16,22
43,"Jimenez, Tamaulipas","Jimenez, Tamaulipas",Tamaulipas,24.2169169,-98.483929,G,PG1192,G-PG1192-1,1,1,0,0,3,0,0,16,24
58,"San Fernando, Tamaulipas","San Fernando, Tamaulipas",Tamaulipas,24.8466769,-98.1473493,G,PG1232,G-PG1232-1,673,673,0,0,3,0,0,16,25
59,"Rio Bravo, Tamaulipas","Rio Bravo, Tamaulipas",Tamaulipas,25.988981,-98.0945766,G,PG1233,G-PG1233-4,58,58,0,0,3,2,2,16,26
67,"Matamoros, Tamaulipas","Matamoros, Tamaulipas",Tamaulipas,25.8810158,-97.5064866,G,PG1272,G-PG1272-1,405,1620,1,1,3,4,4,16,27
