name,ciudad,estado,tipo,subtipo,latitud,longitud,ID_Poligono,direccion
Angeles Sin Fronteras,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.66293698,-115.4949834,PG132,"Av. Reforma 244, Altos Zona Centro C.P.21100"
Centro de Apoyo al Trabajor Migrante,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.66084772,-115.4794935,PG132,"Jabonera 6, Col. Nueva C.P. 21100"
Centro de Apoyo al Trabajador Migrante: Comite de Promocion para el Desarrollo de Mexicali ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6603047,-115.4597261,PG132,"Calle Jabonera #6, Colonia Nueva, Mexicali, Baja California 21100,Mexicali, Baja California"
Comedor Cobina A.C.,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.66030066,-115.4898749,PG132,"Avenida Lerdo 416, Col. Centro C.P. 21200"
"Comedor Cobina, A.C. ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6601716,-115.4923303,PG132,"Av. Lerdo 416, Col. Centro, C.P. 21200,Mexicali, Baja California"
Juntos en el Camino,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.65895405,-115.565696,PG132,"Garita 1, Carretera Mexicali-Calexico, Modulo 3"
HIAS Mexicali ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6584928,-115.3724971,PG132,"Calle Mexico 151, Primera, 21100 Mexicali, B.C. A un costado de la Secretaria de relaciones Exteriores.,Mexicali, Baja California"
Dispensario Medico Dr. Canedo ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6583229,-115.4371825,PG132,"Calle Sur # 701,Mexicali, Baja California"
Grupo de Ayuda para el Migrante de Mexicali A.C. ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.65625303,-115.4983419,PG132,"Av. Michoacan #1377, entre la 5ta y 6ta, Col. Pueblo Nuevo C.P. 21120,Mexicali, Baja California"
"Grupo de Ayuda para el Migrante de Mexicali, A.C.","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.65593506,-115.4987964,PG132,"Michoacan 1377, Col. Pueblo Nuevo C.P. 21120"
Juvenil del Desierto,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6545058,-115.4653355,PG132,"Carpinteros 1515, Col. Industrial C.P. 21010"
El Buen Samaritano,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.65385434,-115.4789914,PG132,"Celaya s/n, Parroquia San Jose Obrero, Col. Bellavista, C.P. 21150"
"Centro de Reintegracion Familiar de Menores Migrantes, A.C. ""Albergue del Desierto"" ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.65025805,-115.5059043,PG132,"Carpinteros 1515 G y H Col. Industrial C. P. 21010,Mexicali, Baja California"
"Mana de Mexicali, I.B.P.","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6457407,-115.458184,PG132,"Av. Jesus Garcia 1799, Col. Nacozari C.P.21030"
Centro Pastoral Mana de Mexicali IAP ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6457407,-115.458184,PG132,"Av. Jesus Garcia 1799, Col. Nacozari C.P. 21030,Mexicali, Baja California"
"Caritas Region Mexicali, A.C. El Buen Samaritano ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.639538,-115.498107,PG132,"Celaya S/N, Parroquia San Jose Obrero, Col. Bellavista, C.P. 21150,Mexicali, Baja California"
Albergue Temporal Mexicali,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.637519,-115.498128,PG132,"Salina Cruz 1253, Col. Guajardo Mexicali, Baja California. C. P. 21050"
El camino a un Nuevo Amanecer ,"Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.62655285,-115.3650196,PG132,"Pte. Canal Pacifico , km 15, 5 Ej. Hipolito Renteria,Mexicali, Baja California"
"Modulo Fronterizo ""Juntos en el Camino"" ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.62370026,-115.4428449,PG132,"Garita numero 1, Carretera Mexicali-Calexico, Modulo # 3,Mexicali, Baja California"
"Casa de Oracion del Migrante, A.C. ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.60976727,-115.4336842,PG132,"Ninos Heroes 981, Col. General Jesus Munguia, C.P.22840,Ensenada, Baja California"
"Coordinadora del Programa de Apoyo al Trabajador Migrante Deportado, A.C. ""Casa Betania"" ","Mexicali, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.6072504,-115.4436791,PG132,"Lago Hudson # 2408 Col. Xochimilco, C.P. 21380,Mexicali, Baja California"
Casa de Ayuda Alfa y Omega ,"San Luis Rio Colorado, Sonora",Sonora,OSC / ONG,Centros de Asistencia Social,32.56754405,-114.9958286,PG159,"Av, Benito Juarez #92, Col. Zona Centro, C.P. 21100,Mexicali, Baja California"
Nuestra Senora de Guadalupe,"Playas de Rosarito, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.56267732,-116.6044826,PG105,"Mision Santa Teresa 1400, Col. El Descanso C.P.21478"
"Albergue para migrantes ""El Buen Samaritano""","Juarez, Chihuahua",Chihuahua,OSC / ONG,Centros de Asistencia Social,32.5481449,-106.5256603,PG375,"Calle Islas Esmeraldas # 2012 Col. Luis Echeverria. Ciudad Juarez, Chihuahua"
"Coalicion Prodefensa del Migrante, A.C. Modulo de Atencion ","Playas de Rosarito, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5443709,-116.8915208,PG105,"Garita Puerta Mexico/ Garita Mesa de Otay,Tijuana, Baja California"
"Agencia Familiar Binacional, AC (AFABI) ","Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.54132743,-117.0183359,PG78,"Av. Mexico No. 8281 Int. 7-8, Zona Centro CP 22000,Tijuana, Baja California"
"Movimiento JUVENTUD2000, Secc. Tijuana A. C.","Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.54048862,-117.0393266,PG78,"Av. Constitucion #205, esquina con Fernando Sanchez Ayala, Zona Norte CP 22000,Tijuana, Baja California"
Albergue Temporal Zona Norte ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.540333,-117.0515263,PG78,"Calle Arias Bernal # 112 CP 22100,Tijuana, Baja California"
"Movimiento Juventud 2000 Seccion Tijuana, A.C.","Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5403172,-117.0393303,PG78,"Constitucion 205, Zona Norte C.P. 22100"
La Vina de Tijuana,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5393864,-117.0523311,PG78,"Calle Ing. Fernando Sanchez Ayala 7534, Zona Nte., 22000 Tijuana, B.C."
Espacio Migrante,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5385082,-117.034304,PG78,"Av. Miguel Negrete No. 8350, Zona Urbana Rio"
Programa de Repatriacion Humana (Modulo Tijuana) ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.53808867,-117.0368087,PG78,"Garita Internacional El Chaparral, S/N, Col. Federal, C.P. 22010,Tijuana, Baja California"
Madres y familias deportadas en accion ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5375158,-117.0296459,PG78,"Via de la Juventud Ote 8800, Defensores de Baja California, CP 22010,Tijuana, Baja California"
Enclave Caracol ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5370643,-117.036046,PG78,"1er Andador 8250 CP 22000,Tijuana, Baja California"
Espacio Migrante ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5370491,-117.0339699,PG78,"Avenida Miguel Negrete 8350, Zona Urbana Rio Tijuana,Tijuana, Baja California"
"Salesiano de Tijuana Desayunador ""Padre Chava"" ","Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5367633,-117.0321805,PG78,"Av. Melchor Ocampo #700, Zona Centro CP 22000,Tijuana, Baja California"
Albergue Ejercito de Salvacion ,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5353256,-117.012417,PG78,"Av. Aquiles Serdan 11585, Colonia Libertad, Parte Baja CP 22300,Tijuana, Baja California"
Ejercito de Salvacion,"Tijuana, Baja California",Baja California,OSC / ONG,Centros de Asistencia Social,32.5338243,-117.0067312,PG78,"Calle 17 550, Col. Libertad Parte Baja C.P. 22400"
