name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Centro de Apoyo al Trabajador Migrante: Comité de Promoción para el Desarrollo de Mexicali ,Centros de Atención Social,32.6603047,-115.4597261,"(32.6603047, -115.4597261)",OSC / ONG,"Calle Jabonera #6, Colonia Nueva, Mexicali, Baja California 21100,Mexicali, Baja California",redes
" Comedor Cobina, A.C. ",Centros de Atención Social,32.6601716,-115.4923303,"(32.6601716, -115.4923303)",OSC / ONG,"Av. Lerdo 416, Col. Centro, C.P. 21200,Mexicali, Baja California",redes
 HIAS Mexicali ,Centros de Atención Social,32.6584928,-115.3724971,"(32.6584928, -115.3724971)",OSC / ONG,"Calle México 151, Primera, 21100 Mexicali, B.C. A un costado de la Secretaria de relaciones Exteriores.,Mexicali, Baja California",redes
 Dispensario Médico Dr. Cañedo ,Centros de Atención Social,32.6583229,-115.4371825,"(32.6583229, -115.4371825)",OSC / ONG,"Calle Sur # 701,Mexicali, Baja California",redes
" Centro de Reintegración Familiar de Menores Migrantes, A.C. ""Albergue del Desierto"" ",Centros de Atención Social,32.65025805,-115.5059043,"(32.65025805, -115.50590429985988)",OSC / ONG,"Carpinteros 1515 G y H Col. Industrial C. P. 21010,Mexicali, Baja California",redes
 Módulo de Atención Centro de Apoyo al Trabajador Migrante y Albergue del Desierto ,Centros de Atención Social,32.65025805,-115.5059043,"(32.65025805, -115.50590429985988)",OSC / ONG,"Carpinteros 1515 G y H Col. Industrial C. P. 21010,Mexicali, Baja California",redes
 Centro Pastoral Mana de Mexicali IAP ,Centros de Atención Social,32.6457407,-115.458184,"(32.6457407, -115.458184)",OSC / ONG,"Av. Jesús García 1799, Col. Nacozari C.P. 21030,Mexicali, Baja California",redes
" Cáritas Región Mexicali, A.C. El Buen Samaritano ",Centros de Atención Social,32.639538,-115.498107,"(32.639538, -115.498107)",OSC / ONG,"Celaya S/N, Parroquia San José Obrero, Col. Bellavista, C.P. 21150,Mexicali, Baja California",redes
" Coordinadora del Programa de Apoyo al Trabajador Migrante Deportado, A.C. ""Casa Betania"" ",Centros de Atención Social,32.6072504,-115.4436791,"(32.6072504, -115.4436791)",OSC / ONG,"Lago Hudson # 2408 Col. Xochimilco, C.P. 21380,Mexicali, Baja California",redes
 Casa de Ayuda Alfa y Omega ,Centros de Atención Social,32.56754405,-114.9958286,"(32.567544049999995, -114.99582857842219)",OSC / ONG,"Av, Benito Juárez #92, Col. Zona Centro, C.P. 21100,Mexicali, Baja California",redes
" Coalición Prodefensa del Migrante, A.C. Módulo de Atención ",Centros de Atención Social,32.5443709,-116.8915208,"(32.5443709, -116.8915208)",OSC / ONG,"Garita Puerta México/ Garita Mesa de Otay,Tijuana, Baja California",redes
 Albergue Temporal Zona Norte ,Centros de Atención Social,32.540333,-117.0515263,"(32.540333, -117.0515263)",OSC / ONG,"Calle Arias Bernal # 112 CP 22100,Tijuana, Baja California",redes
 Madres y familias deportadas en acción ,Centros de Atención Social,32.5375158,-117.0296459,"(32.5375158, -117.0296459)",OSC / ONG,"Vía de la Juventud Ote 8800, Defensores de Baja California, CP 22010,Tijuana, Baja California",redes
 Espacio Migrante ,Centros de Atención Social,32.5370491,-117.0339699,"(32.5370491, -117.0339699)",OSC / ONG,"Avenida Miguel Negrete 8350, Zona Urbana Rio Tijuana,Tijuana, Baja California",redes
" Salesiano de Tijuana Desayunador ""Padre Chava"" ",Centros de Atención Social,32.5367633,-117.0321805,"(32.5367633, -117.0321805)",OSC / ONG,"Av. Melchor Ocampo #700, Zona Centro CP 22000,Tijuana, Baja California",redes
 Albergue Ejército de Salvación ,Centros de Atención Social,32.5353256,-117.012417,"(32.5353256, -117.012417)",OSC / ONG,"Av. Aquiles Serdan 11585, Colonia Libertad, Parte Baja CP 22300,Tijuana, Baja California",redes
 Albergue Ejército de Salvación Puerta de la Esperanza ,Centros de Atención Social,32.5338243,-117.0067312,"(32.5338243, -117.0067312)",OSC / ONG,"Calle 17 #550, Adolfo Ruiz Cortinez, Col. Libertad, Parte Baja  CP 22400,Tijuana, Baja California",redes
 Club Amigos de Codet ,Centros de Atención Social,32.5260874,-117.0087706,"(32.5260874, -117.0087706)",OSC / ONG,"Ave. Padre Kino 10159 Zona Río CP 22320,Tijuana, Baja California",redes
 HIAS Tijuana ,Centros de Atención Social,32.5231727,-116.9373809,"(32.5231727, -116.9373809)",OSC / ONG,"Ricardo Flores Magón 8119, Zona Centro, 22000 Tijuana, B.C.,Tijuana, Baja California",redes
" Unión de Comités Comunitarios de Tijuana, A.C. Módulo de Atención al Migrante Chiapaneco ",Centros de Atención Social,32.5216801,-116.9930421,"(32.5216801, -116.9930421)",OSC / ONG,"Av. Las Lomas # 590 Colonia Buena Vista CP 22010,Tijuana, Baja California",redes
" Casa Hogar Cavit Alejandro, A.C. ",Centros de Atención Social,32.496316,-117.0838684,"(32.496316, -117.0838684)",OSC / ONG,"Francisco I. Madero No. 104 Colonia Divina Providencia CP 22525,Tijuana, Baja California",redes
" Asociación Casa del Migrante La Divina Providencia, I.A.P. ",Centros de Atención Social,32.4761753,-114.7765312,"(32.4761753, -114.7765312)",OSC / ONG,"Avenida Zaragoza # 912, Col. Comercial, C.P. 83449,San Luis Río Colorado, Sonora",redes
 Casa Hogar El Puente ,Centros de Atención Social,32.4685104,-116.9611622,"(32.4685104, -116.9611622)",OSC / ONG,"De Los Toros 14103, Amparo Sanchez, 22183 Tijuana, B.C.,Tijuana, Baja California",redes
 Border  Line Crisis Center A. C. ,Centros de Atención Social,32.4531281,-116.8646068,"(32.4531281, -116.86460682638275)",OSC / ONG,"MIGUEL NEGRETE LAS CALIFORNIA'S PARK 22000 TIJUANA, B.C. Mexico,Tijuana, Baja California",redes
 Fundacion Mano con Mano por Baja California A.C. ,Centros de Atención Social,32.4406334,-117.0322012,"(32.4406334, -117.0322012)",OSC / ONG,"Real de San Antonio 5834 Col. Real de San Antonio CP 22666,Tijuana, Baja California",redes
" Albergue San Vicente: Instituto de Derechos Humanos de Indigentes y Migrantes, A.C. ",Centros de Atención Social,31.86697,-116.6009704,"(31.86697, -116.6009704)",OSC / ONG,"Calle Novena #691, Colonia Bustamante, Ensenada, Baja California 22840,Ensenada, Baja California",redes
" Diocesan Migrant and Refugee Services, Inc (DMRS) ",Centros de Atención Social,31.76232195,-106.4919642,"(31.76232195, -106.49196419678495)",OSC / ONG,"2400 Yandell Dr El Paso, TX 79903,El Paso, Texas",redes
 Mexicanos en Exilio ,Centros de Atención Social,31.76232195,-106.4919642,"(31.76232195, -106.49196419678495)",OSC / ONG,"1430 E Yandell El Paso, TX 79902,El Paso, Texas",redes
 Hope Border Institute ,Centros de Atención Social,31.76015175,-106.4915897,"(31.76015175, -106.49158969919804)",OSC / ONG,"8330 Park Haven Ave, El Paso, TX 79907, United States,El Paso, Texas",redes
 Las Americas IAC (Immigrant Advocacy Center) ,Centros de Atención Social,31.73565255,-106.2696219,"(31.735652549999998, -106.26962185075779)",OSC / ONG,"1500 E Yandell Dr. El Paso, TX 79902,El Paso, Texas",redes
" Derechos Humanos Integrales en Acción, A.C. ",Centros de Atención Social,31.7347737,-106.4790691,"(31.7347737, -106.4790691)",OSC / ONG,"20 de Noviembre 4305 Col. El Colegio,Juárez, Chih. CP 32310 Ciudad Ciudad Juárez, Chihuahua",redes
" Centro de Atención a Migrantes Deportados (CAMDEP), Iniciativa Kino para la Frontera ",Centros de Atención Social,31.3301058,-110.9644867,"(31.3301058, -110.9644867)",OSC / ONG,"Bulevard Luis Donaldo Colosio # 55 Col. Del Rosario, C.P. 84000,Nogales, Sonora",redes
 Casa Hogar Nuestros Pequeños Hermanos ,Centros de Atención Social,31.3247237,-110.9643924,"(31.3247237, -110.9643924)",OSC / ONG,"Pima 1, Lomas de Fátima, Nogales, Sonora C.P. 84020,Nogales, Sonora",redes
 Casa YMCA para menores migrantes ,Centros de Atención Social,31.3232513,-109.5547837,"(31.3232513, -109.5547837)",OSC / ONG,"Calle 1a entre 12 y 13 Agua Prieta, Sonora 84200,Agua Prieta, Sonora",redes
" Centro de Atención al Migrante Exodus, A.C. (CAME) ",Centros de Atención Social,31.31126215,-109.5357251,"(31.311262149999997, -109.53572505051642)",OSC / ONG,"Av. Anáhuac 108 Colonia Centro Ferrocarril C.P. 84200,Agua Prieta, Sonora",redes
 Comedor Iniciativa Kino para La Frontera ,Centros de Atención Social,31.3082998,-110.9583265,"(31.3082998, -110.9583265)",OSC / ONG,"Bulevar Luis Donaldo Colosio SN/N Col. del Rosario C.P. 84000,Nogales, Sonora",redes
 Casa de Luz ,Centros de Atención Social,30.4784427,-115.9216186,"(30.4784427, -115.9216186)",OSC / ONG,"No disponible,Tijuana, Baja California",redes
 Hecate Society Tijuana ,Centros de Atención Social,30.4784427,-115.9216186,"(30.4784427, -115.9216186)",OSC / ONG,"No disponible,Tijuana, Baja California",redes
 Contra Viento y Marea ,Centros de Atención Social,30.4784427,-115.9216186,"(30.4784427, -115.9216186)",OSC / ONG,"No disponible,Tijuana, Baja California",redes
 Madres Soñadoras Internacionales / DREAMers Moms USA / Tijuana A.C. ,Centros de Atención Social,30.4784427,-115.9216186,"(30.4784427, -115.9216186)",OSC / ONG,"No disponible,Tijuana, Baja California",redes
 Puente TJ United ,Centros de Atención Social,30.4784427,-115.9216186,"(30.4784427, -115.9216186)",OSC / ONG,"No disponible,Tijuana, Baja California",redes
" Frontera y Dignidad de Acuña A.C. ""Casa del Migrante EMAUS"" ",Centros de Atención Social,29.3115169,-100.9227355,"(29.3115169, -100.9227355)",OSC / ONG,"Doctor Coss 47, Col. Centro C.P.26200,Ciudad Acuña, Coahuila",redes
 Casa del Peregrino de Piedras Negras A.C. Frontera Digna Casa del Migrante ,Centros de Atención Social,28.7048519,-100.5219842,"(28.7048519, -100.5219842)",OSC / ONG,"Anáhuac # 605 Oriente Col. Centro CP 26000,Piedras Negras, Coahuila",redes
 Uno de siete migrando A.C. ,Centros de Atención Social,28.7009818,-106.104707,"(28.7009818, -106.104707)",OSC / ONG,"Calle Camargo #101, Col. Revolución C.P. 31135,Chihuahua, Chihuahua",redes
" Casa del Migrante Amar, A.C. ",Centros de Atención Social,27.4920063,-99.5026535,"(27.4920063, -99.5026535)",OSC / ONG,"Canales 2112, Sector Centro, C.P. 88160,Nuevo Laredo, Tamaulipas",redes
 Casa del Migrante Nazareth A.C. ,Centros de Atención Social,27.4875676,-99.484875,"(27.4875676, -99.484875)",OSC / ONG,"Calle Francisco I. Madero 350, Colonia Viveros, 88070 Nuevo Laredo, Tamps.,Nuevo Laredo, Tamaulipas",redes
" Red Paisano México-USA, AC. ",Centros de Atención Social,27.3880753,-99.5561154,"(27.3880753, -99.5561154)",OSC / ONG,"Obregon 1810, Nuevo Laredo, Tamaulipas C.P 88000,Nuevo Laredo, Tamaulipas",redes
 Casa del Migrante Senda de Vida ,Centros de Atención Social,26.0990021,-98.2974517,"(26.0990021, -98.2974517)",OSC / ONG,"Calle Bordo de Protección No. 5,Reynosa, Tamaulipas",redes
 Albergue Ejército de Salvación ,Centros de Atención Social,25.7121685,-100.2985977,"(25.7121685, -100.2985977)",OSC / ONG,"Carvajal y de la Cueva 1716 Norte, Col, Primero de Mayo, 64580,Monterrey, Nuevo León",redes
 Institución Normativa de los Indigentes (Casa INDI) ,Centros de Atención Social,25.6998424,-100.3259301,"(25.6998424, -100.32593010005391)",OSC / ONG,"Av Bernardo Reyes 2616 Bella Vista, 64400 Monterrey, N.L.,Monterrey, Nuevo León",redes
 Ayuda Humanitaria al Migrante Casa Monarca ,Centros de Atención Social,25.6944425,-100.4998078,"(25.6944425, -100.49980776797868)",OSC / ONG,"Priv. Nicolás Bravo 510, Col. Nueva Santa Catarina C.P. 66350,Santa Catarina, Nuevo León",redes
 Albergue y Comedor Público para Mujeres Migrantes Vislumbrando un Nuevo Horizonte ,Centros de Atención Social,25.6768957,-100.3393574,"(25.6768957, -100.3393574)",OSC / ONG,"Av. 5 de Mayo 494, Col. Centro C.P. 64000,Monterrey, Nuevo León",redes
 HIAS Monterrey ,Centros de Atención Social,25.6373305,-100.308514,"(25.6373305, -100.308514)",OSC / ONG,"Eglantina 1709, Jardín de Las Torres, 64754 Monterrey, N.L.,Monterrey, Nuevo León",redes
 Bienestar Familiar Lagunero A.C. ,Centros de Atención Social,25.5323748,-103.430479,"(25.5323748, -103.430479)",OSC / ONG,"Calle Popocatepetl 510 Fracc. Carolinas CP 27040,Torreón, Coahuila",redes
 Frontera con Justicia A.C. Casa del Migrante de Saltillo ,Centros de Atención Social,25.4042551,-101.0248406,"(25.4042551, -101.0248406)",OSC / ONG,"Juan de Erbáez # 2406 Col. Landín CP 25070,Saltillo, Coahuila",redes
 Lasos de Union por Durango AC ,Centros de Atención Social,23.974331,-104.0465283,"(23.974331, -104.0465283)",OSC / ONG,"Villa Union Poanas, Durango,Durango, Durango",redes
 Fundación Despierta al Mundo A.C. ,Centros de Atención Social,23.7149186,-99.1467543,"(23.7149186, -99.1467543)",OSC / ONG,"Villa de Aguayo 255, Fracc. Haciendas del Santuario, Cd. Victoria, Tamaulipas, México,Ciudad Victoria, Tamaulipas",redes
" Cáritas Mazatlán, I.A.P (Albergue al peregrino) ",Centros de Atención Social,23.254348,-106.4268821,"(23.254348, -106.4268821)",OSC / ONG,"Toma de Celaya 86, Col. Francisco Villa, C.P. 82127,Mazatlán, Sinaloa",redes
 Albergue Una Gota en el Océano ,Centros de Atención Social,23.2375837,-106.3860717,"(23.2375837, -106.3860717)",OSC / ONG,"Bahía Magdalena 20, Col. Rincón de Urías, C.P. 82070,Mazatlán, Sinaloa",redes
 Albergue Ejército de Salvación ,Centros de Atención Social,23.2107755,-106.4197138,"(23.2107755, -106.4197138)",OSC / ONG,"C. Gutierrez Nájera #514 Colonia Centro 82000,Mazatlán, Sinaloa",redes
 Casa de la Caridad Cristiana CCC ,Centros de Atención Social,22.1647974,-100.9775358,"(22.1647974, -100.9775358)",OSC / ONG,"Calle Juan Álvarez #210, esquina vía México-Laredo, barrio de Tlaxcala,San Luis Potosí, San Luis Potosí",redes
 Casa Del Migrante San Luis Potosi. Programa de Cáritas SLP ,Centros de Atención Social,22.15287,-100.9770271,"(22.15287, -100.97702706837606)",OSC / ONG,"Álvaro Obregón 626, Centro Historico, 78000,San Luis Potosí, San Luis Potosí",redes
 Centro Crecer San Francisco De Los Romo ,Centros de Atención Social,22.0741242,-102.2701389,"(22.0741242, -102.2701389)",OSC / ONG,"Av. México esquina Venezuela Fracc. San José Buenavista,Aguascalientes, Aguascalientes",redes
 Centro Crecer San Marcos ,Centros de Atención Social,21.9989758,-102.1995373,"(21.9989758, -102.1995373)",OSC / ONG,"Av. Aguascalientes #604 Col. San Marcos,Aguascalientes, Aguascalientes",redes
 SEMIGRANTE (Tiquicheo) ,Centros de Atención Social,21.9864731,-99.0175071,"(21.9864731, -99.0175071)",OSC / ONG,"Guerrero S/N, Colonia Centro, C.P. 61370,Tiquicheo, Michoacán",redes
 Centro Crecer José María Matamoros ,Centros de Atención Social,21.9641777,-102.3496074,"(21.9641777, -102.3496074)",OSC / ONG,"Matamoros #704 Centro Jesús María,Aguascalientes, Aguascalientes",redes
 Centro Crecer Rincón De Romos ,Centros de Atención Social,21.96408705,-102.283281,"(21.96408705, -102.2832810327379)",OSC / ONG,"Fracc. Haciendas de San José del Rincón,Aguascalientes, Aguascalientes",redes
 Centro Crecer Olivares Santana ,Centros de Atención Social,21.9615899,-102.2704338,"(21.9615899, -102.2704338)",OSC / ONG,"Benjamín de la Mora S/N Fracc. Olivares Santana,Aguascalientes, Aguascalientes",redes
 Centro Crecer La Salud ,Centros de Atención Social,21.9311864,-102.2688076,"(21.9311864, -102.2688076)",OSC / ONG,"Calle De La Luna 125, Laurel, Barrio de la Salud, C.P. 20240,Aguascalientes, Aguascalientes",redes
 Centro Crecer Constitución ,Centros de Atención Social,21.93065,-102.2849828,"(21.93065, -102.28498277897444)",OSC / ONG,"Art. 24 esquina con Art. 14 Col. Constitución,Aguascalientes, Aguascalientes",redes
 Centro Crecer Nazario Ortiz Garza ,Centros de Atención Social,21.9049946,-102.26619,"(21.9049946, -102.26619)",OSC / ONG,"Calle Agustín Pradillo #302, Col. Progreso, C. P. 20179,Aguascalientes, Aguascalientes",redes
 Casa Migrante Camino a la Vida ,Centros de Atención Social,21.88601,-102.307635,"(21.88601, -102.307635)",OSC / ONG,"José Guadalupe Posada #828, (a un lado del Panteón de la Cruz) C.P 20050,Aguascalientes, Aguascalientes",redes
 Centro Crecer La Estrella ,Centros de Atención Social,21.8806701,-102.2753972,"(21.8806701, -102.27539720591936)",OSC / ONG,"Calle La Lira #1009, Col. La Estrella, C. P. 20150,Aguascalientes, Aguascalientes",redes
 Centro Crecer Obraje ,Centros de Atención Social,21.8586252,-102.3053952,"(21.8586252, -102.3053952)",OSC / ONG,"Prof. Enrique Olivares Santana #119, Col. Obraje, C. P. 20230,Aguascalientes, Aguascalientes",redes
 Centro Crecer Calvillo ,Centros de Atención Social,21.8411316,-102.7150395,"(21.8411316, -102.7150395)",OSC / ONG,"Serapio Figueroa 119, Ejidal, 20804,Aguascalientes, Aguascalientes",redes
 Centro Crecer Pabellón De Arteaga ,Centros de Atención Social,21.7167602,-102.4114054,"(21.7167602, -102.4114054)",OSC / ONG,"C. Pedro Parga S/N Frac Trojes de San Pedro,Aguascalientes, Aguascalientes",redes
 Casa de la Esperanza San José ,Centros de Atención Social,21.5088255,-104.8892938,"(21.5088255, -104.8892938)",OSC / ONG,"Padre Enrique Mejía 194, Col. Centro, C.P. 63000,Tepic, Nayarit",redes
 Centro Casa Origen Nayarit ,Centros de Atención Social,21.501593,-104.895176,"(21.501593, -104.895176)",OSC / ONG,"Privada Margarita No. 32, Col. Villas de San Juan, C.P. 63130,Tepic, Nayarit",redes
 Misión derechos humanos de la sierra gorda de Querétaro A.C. ,Centros de Atención Social,21.2141788,-99.4762632,"(21.2141788, -99.4762632)",OSC / ONG,"Mariano Matamoros No. 14 Zona Centro 76340 Jalpan de Serra, Querétaro, México,Jalpan de Serra, Querétaro",redes
 Dream in Mexico A.C. ,Centros de Atención Social,21.1218598,-101.6825081,"(21.1218598, -101.6825081)",OSC / ONG,"Virtual,León, Guanajuato",redes
 Caminamos Juntos ,Centros de Atención Social,20.9122595,-100.7445762,"(20.9122595, -100.7445762)",OSC / ONG,"Abierto por cita. Solicitar cita previa. Zona Centro 37700 San Miguel de Allende, Guanajuato,San Miguel de Allende, Guanajuato",redes
 Fundación Comunitaria del Bajío ,Centros de Atención Social,20.6760812,-101.3498669,"(20.6760812, -101.3498669)",OSC / ONG,"Manuel Altamirano No. 480-1 C.P. 35600,Irapuato, Guanajuato",redes
 Instituto Jalisciense para los Migrantes ,Centros de Atención Social,20.674638,-103.3661476,"(20.674638, -103.3661476)",OSC / ONG,"Calle Penitenciaria 180, Colonia Americana, CP. 44160,Guadalajara, Jalisco",redes
" Irapuato Vive, AC ",Centros de Atención Social,20.6729881,-101.3490121,"(20.6729881, -101.3490121)",OSC / ONG,"Jesús García 356 Zona Centro C.P. 36510,Irapuato, Guanajuato",redes
"Dignidad y Justicia en el Camino, AC (FM4-Paso Libre)",Centros de Atención Social,20.6674802,-103.3790077,"(20.6674802, -103.3790077)",OSC / ONG,"Calderón de la Barca #468-A, Col. Arcos Vallarta, C.P. 44130,Guadalajara, Jalisco",redes
" Albergue para migrantes Toribio Romo, A.C. ",Centros de Atención Social,20.6416217,-100.3984202,"(20.6416217, -100.3984202)",OSC / ONG,"Priv. Campesinos 1, Col. San Pedrito Peñuelas, C.P. 76140,Querétaro, Querétaro",redes
 La casa del migrante del Cerro del Cuatro ,Centros de Atención Social,20.605528,-103.370684,"(20.605528, -103.370684)",OSC / ONG,"Constitución 332 esquina con Ignacio Mejia, Col. Cerro del 4 C.P. 45599,Tlaquepaque, Jalisco",redes
 Centro de Apoyo Marista al Migrante  (CAMMI) ,Centros de Atención Social,20.6016889,-100.3850034,"(20.6016889, -100.38500341158252)",OSC / ONG,"Marte No. 2 Esq. Av. Universidad Col. Centro CP. 76000 Querétaro, Qro. (Universidad Marista de Querétaro),Querétaro, Querétaro",redes
