,Unnamed: 0,name,descripcion,Latitude,Longitude,coordenadas,tipo,direccion,bd
1339,1339.0,DIF Estatal Baja California,DIF,32.6637802,-115.464355,"32.6637802, -115.464355",GOB,"Av. Obregón 1290, Col. Nueva 2da. Secc., C.P. 21100, Mexicali, B.C.",Directorio OIM
336,336.0,Ángeles Sin Fronteras,Centros de Asistencia Social,32.66293698,-115.4949834,"32.66293697601438, -115.49498343917332",OSC / ONG,"Av. Reforma 244, Altos Zona Centro C.P.21100",Directorio OIM
340,340.0,Centro de Apoyo al Trabajor Migrante,Centros de Asistencia Social,32.66084772,-115.4794935,"32.660847720110326, -115.4794934911816",OSC / ONG,"Jabonera 6, Col. Nueva C.P. 21100",Directorio OIM
61,61.0, Centro de Apoyo al Trabajador Migrante: Comité de Promoción para el Desarrollo de Mexicali ,Centros de Atención Social,32.6603047,-115.4597261,"32.6603047, -115.4597261",OSC / ONG,"Calle Jabonera #6, Colonia Nueva, Mexicali, Baja California 21100,Mexicali, Baja California",redes
339,339.0,Comedor Cobina A.C.,Centros de Asistencia Social,32.66030066,-115.4898749,"32.66030066068713, -115.48987485285113",OSC / ONG,"Avenida Lerdo 416, Col. Centro C.P. 21200",Directorio OIM
62,62.0," Comedor Cobina, A.C. ",Centros de Atención Social,32.6601716,-115.4923303,"32.6601716, -115.4923303",OSC / ONG,"Av. Lerdo 416, Col. Centro, C.P. 21200,Mexicali, Baja California",redes
342,342.0,Juntos en el Camino,Centros de Asistencia Social,32.65895405,-115.565696,"32.65895404522832, -115.56569597666147",OSC / ONG,"Garita 1, Carretera Mexicali-Calexico, Módulo 3",Directorio OIM
63,63.0, HIAS Mexicali ,Centros de Atención Social,32.6584928,-115.3724971,"32.6584928, -115.3724971",OSC / ONG,"Calle México 151, Primera, 21100 Mexicali, B.C. A un costado de la Secretaria de relaciones Exteriores.,Mexicali, Baja California",redes
64,64.0, Dispensario Médico Dr. Cañedo ,Centros de Atención Social,32.6583229,-115.4371825,"32.6583229, -115.4371825",OSC / ONG,"Calle Sur # 701,Mexicali, Baja California",redes
307,307.0, Grupo de Ayuda para el Migrante de Mexicali A.C. ,Centros de Atención Social,32.65625303,-115.4983419,"32.65625302822536, -115.49834185226172",OSC / ONG,"Av. Michoacan #1377, entre la 5ta y 6ta, Col. Pueblo Nuevo C.P. 21120,Mexicali, Baja California",redes
