,Unnamed: 0,name,tipo,sub_tipo,latitud,longitud,ciudad,estado,id_poligon,region,geometry
0,0,Acayucan Estacion Migratoria,INM,Estacion Migratoria INM,18.00185138,-94.9210765,Acayucan,Veracruz,PG1378,Golfo,POINT (-94.9210765 18.00185138)
1,1,Agua Prieta Estacion Provisional,INM,Estacion Migratoria INM,31.33294658,-109.560374,Agua Prieta,Sonora,PG578,Pacifico,POINT (-109.560374 31.33294658)
2,2,Aguascalientes Estacion Migratoria,INM,Estacion Migratoria INM,21.92955053,-102.3202229,Aguascalientes,Aguascalientes,PG994,Centro,POINT (-102.3202229 21.92955053)
3,3,Campeche Estacion Provisional,INM,Estacion Migratoria INM,19.84566009,-90.53974092,Campeche,Campeche,PG1654,Sur,POINT (-90.53974092 19.84566009)
4,4,"Centro de Atencion Integral al Trafico Fronterizo ""La Trinitaria""",INM,Centro de Atencion Integral,16.14993427,-92.07211098,La Trinitaria,Chiapas,PG1531,Sur,POINT (-92.07211098 16.14993427)
5,5,Centro de Atencion Integral al Transito Fronterizo CAITF HUIXTLA,INM,Centro de Atencion Integral,15.16274927,-92.53298711,Salto de Agua,Chiapas,PG1530,Sur,POINT (-92.53298711 15.16274927)
6,6,Chetumal Estacion Migratoria,INM,Estacion Migratoria INM,18.5262955,-88.2833324,Chetumal,Quintana Roo,PG1769,Sur,POINT (-88.2833324 18.5262955)
7,7,Chihuahua Estacion Migratoria,INM,Estacion Migratoria INM,28.64225733,-106.0844028,Chihuahua,Chihuahua,PG769,Centro,POINT (-106.0844028 28.64225733)
8,8,Ciudad Cuauhtemoc Estacion Provisional,INM,Estacion Migratoria INM,15.66766816,-92.00234413,Ciudad Cuauhtemoc,Chiapas,PG1531,Sur,POINT (-92.00234413 15.66766816)
9,9,Ciudad del Carmen Estacion Provisional,INM,Estacion Migratoria INM,18.64262612,-91.82360709,Ciudad del Carmen,Campeche,PG1574,Sur,POINT (-91.82360709 18.64262612)
10,10,Ciudad Juarez Estacion Migratoria,INM,Estacion Migratoria INM,31.74558597,-106.4839641,Ciudad Juarez,Chihuahua,PG774,Centro,POINT (-106.4839641 31.74558597)
11,11,Colima Estancia Provisional,INM,Estacion Migratoria INM,18.5262955,-88.2833324,Colima,Quintana Roo,PG1769,Sur,POINT (-88.2833324 18.5262955)
12,12,Comitan Estacion Provisional,INM,Estacion Migratoria INM,16.21432432,-92.11557627,Comitan,Chiapas,PG1531,Sur,POINT (-92.11557627 16.21432432)
13,13,Echegaray Estacion Provisional,INM,Estacion Migratoria INM,15.654755,-93.149776,Echegaray,Chiapas,PG1492,Sur,POINT (-93.149776 15.654755)
14,14,El Ceibo Estacion Provisional,INM,Estacion Migratoria INM,17.26028726,-90.98837286,El Ceibo,Tabasco,PG1611,Sur,POINT (-90.98837286 17.26028726)
15,15,El Hueyate Estacion Provisional,INM,Estacion Migratoria INM,15.1605676,-92.5157851,El Hueyate,Chiapas,PG1530,Sur,POINT (-92.5157851 15.1605676)
16,16,Escarcega Estacion Migratoria,INM,Estacion Migratoria INM,18.60664518,-90.73938847,Escarcega,Campeche,PG1613,Sur,POINT (-90.73938847 18.60664518)
17,17,Guadalajara Estacion Provisional,INM,Estacion Migratoria INM,20.72696663,-103.3450627,Guadalajara,Jalisco,PG914,Pacifico,POINT (-103.3450627 20.72696663)
18,18,Hermosillo Estacion Migratoria,INM,Estacion Migratoria INM,29.07957121,-110.9552622,Hermosillo,Sonora,PG497,Pacifico,POINT (-110.9552622 29.07957121)
19,19,Huatulco Estancia Provisional,INM,Estacion Migratoria INM,15.827777,-96.320882,Huatulco,Oaxaca,PG1297,Sur,POINT (-96.320882 15.827777)
20,20,Huehuetan Estacion Provisional,INM,Estacion Migratoria INM,15.0196034,-92.3931781,Huehuetan,Chiapas,PG1530,Sur,POINT (-92.3931781 15.0196034)
21,21,Iztapalapa Estacion Migratoria (Estacion Migratoria de la Ciudad de Mexico),INM,Estacion Migratoria INM,19.31646912,-99.08320427,Iztapalapa,Estado de Mexico,PG1146,Centro,POINT (-99.08320427 19.31646912)
22,22,Janos Estacion Migratoria,INM,Estacion Migratoria INM,30.88484253,-108.1943893,Janos,Chihuahua,PG655,Centro,POINT (-108.1943893 30.88484253)
23,23,La Ventosa Estacion Provisional,INM,Estacion Migratoria INM,16.54834163,-94.94865417,La Ventosa,Oaxaca,PG1376,Sur,POINT (-94.94865417 16.54834163)
