,Unnamed: 0.1,Unnamed: 0,nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
0,0,0,"Tapachula, Chiapas",Chiapas,Sur,PG1530,S-PG1530-8,70665.0,2,4,13,223058,113641,67,22.33333333,117.0,POINT (-92.2609265 14.9042905),15537.0,15.537,0.2806889218140198,0.4409245593338786,0.23757145322325798,0.2956205034994529,3,10.067135844064461,0.882434698826845,14.9042905
1,1,1,"Huimanguillo, Tabasco",Tabasco,Sur,PG1456,G-PG1456-1,86684.0,0,0,3,290299,86684,0,0.0,43.0,POINT (-93.6634408051158 17.7620967),325527.0,325.527,1.0,1.0,0.8777579902083403,0.4996001726768367,1,11.370036137419987,1.0,17.7620967
2,2,2,"Centro, Tabasco",Tabasco,Sur,PG1495,G-PG1495-6,74160.0,1,1,3,290299,105212,7,2.833333333,43.0,POINT (-92.7747911804616 18.0271588),224089.0,224.089,0.62695000901564,0.6173212269602373,0.549094152132793,0.2698271719345897,2,10.52085998803243,0.9233758329313951,18.0271588
3,3,3,"Acayucan, Veracruz",Veracruz,Golfo,PG1378,G-PG1378-4,36446.0,1,1,3,66430,45773,25,15.0,54.0,POINT (-94.9145752 17.9487862),448302.0,448.302,,,,,2,9.810494685686963,0.8592770594956174,17.9487862
4,4,4,"Tenosique, Tabasco",Tabasco,Sur,PG1572,G-PG1572-3,39620.0,1,2,3,290299,53905,34,19.33333333,43.0,POINT (-91.4220212 17.4707129),42334.0,42.334,0.4377456937793625,0.7130519776525839,0.41924256058596193,0.24865740449363302,2,9.893992617974327,0.8668113732161385,17.4707129
5,5,5,"Macuspana, Tabasco",Tabasco,Sur,PG1534,G-PG1534-2,31739.0,0,1,3,290299,33857,3,6.5,43.0,POINT (-92.596108 17.760922),177427.0,177.427,0.5226994443643623,0.629330743104901,0.45485831150019496,0.23993019696551807,1,10.3653329940804,0.9093420822462714,17.760922
6,6,6,"Tijuana, Baja California",Baja California,Pacifico,PG190,P-PG190-2,27405.0,1,1,2,33879,28143,47,26.0,66.0,POINT (-117.019529 32.5317397),4085871.0,4085.871,0.5694922237317385,0.49572949540084893,0.6159935993635379,0.19274486851705455,2,9.52540655364073,0.8335525491276072,32.5317397
7,7,7,"Suchiate, Chiapas",Chiapas,Sur,PG1529,S-PG1529-1,28203.0,0,0,13,223058,49262,30,54.66666667,117.0,POINT (-92.241963360953 14.6321744),4909.0,4.909,0.21561924845246142,0.28635038974680055,0.2555835154158008,0.16016077532869494,1,10.24721909083893,0.898684247047265,14.6321744
8,8,8,"Piedras Negras, Coahuila",Coahuila,Centro,PG1081,C-PG1081-3,21530.0,1,1,4,26155,21530,2,0.666666667,72.0,POINT (-100.5148362 28.7041725),2045841.0,2045.841,,,,,2,9.284148299120902,0.8117829636130589,28.7041725
9,9,9,"Huixtla, Chiapas",Chiapas,Sur,PG1530,S-PG1530-4,23755.0,3,4,13,223058,113641,3,22.33333333,117.0,POINT (-92.5039970760447 15.122125),75780.0,75.78,,,,,4,8.689422323928898,0.7581187356245346,15.122125
10,10,10,"Arriaga, Chiapas",Chiapas,Sur,PG1453,S-PG1453-1,19741.0,0,0,13,223058,19971,4,4.0,117.0,POINT (-93.9008414 16.2344709),273747.0,273.747,0.4346674997917122,0.5907295129090028,0.4636158746266017,0.2140455607874057,1,9.890503624977834,0.8664965490392498,16.2344709
11,11,11,"Huehuetan, Chiapas",Chiapas,Sur,PG1530,S-PG1530-5,14693.0,4,4,13,223058,113641,67,22.33333333,117.0,POINT (-92.4286697906319 15.0217164),43856.0,43.856,,,,,5,7.9860287966547165,0.6946490501091044,15.0217164
12,12,12,"Tuxtla Gutierrez, Chiapas",Chiapas,Sur,PG1493,S-PG1493-3,10266.0,1,1,13,223058,13987,7,4.75,117.0,POINT (-93.115959 16.753801),206014.0,206.014,0.48217710976952743,0.6476540922299715,0.35378369108142566,0.34405313014270694,2,8.543640361431086,0.7449643135908047,16.753801
13,13,13,"Cardenas, Tabasco",Tabasco,Sur,PG1495,G-PG1495-1,23150.0,0,1,3,290299,105212,1,2.833333333,43.0,POINT (-93.3753314 17.990878),269891.0,269.891,,,,,1,10.049793255125712,0.8808698156948784,17.990878
14,14,14,"Santa Ana, Sonora",Sonora,Pacifico,PG499,P-PG499-1,12357.0,0,0,2,31997,12357,0,0.0,28.0,POINT (-111.1184881 30.5410922),3039839.0,3039.839,0.45270844384911313,0.44301346809146175,0.5318777533424855,0.30666024869691216,1,9.422058905620926,0.8242271253580771,30.5410922
15,15,15,"Pijijiapan, Chiapas",Chiapas,Sur,PG1492,S-PG1492-2,11296.0,1,1,13,223058,11676,0,0.0,117.0,POINT (-93.2080195 15.6849991),174442.0,174.442,0.18505675792706103,0.2371944319019923,0.2062036441899281,0.1007731331836466,2,8.639233817325263,0.7535900491821582,15.6849991
16,16,16,"Teapa, Tabasco",Tabasco,Sur,PG1494,G-PG1494-3,9916.0,0,0,3,290299,18974,1,0.25,43.0,POINT (-92.9480504 17.5566526),228943.0,228.943,0.7070662825092157,0.7284321815573574,0.7750993382304184,0.6876777303896484,1,9.202005735186125,0.8043709495722485,17.5566526
17,17,17,"Hermosillo, Sonora",Sonora,Pacifico,PG497,P-PG497-1,9823.0,1,1,2,31997,9823,12,12.0,28.0,POINT (-110.9692202 29.0948207),2867800.0,2867.8,0.4749882534186673,0.4943704939384665,0.5433489320513174,0.2769539853208904,2,8.499538256177516,0.7409848246667883,29.0948207
18,18,18,"Tacotalpa, Tabasco",Tabasco,Sur,PG1494,G-PG1494-4,9051.0,0,0,3,290299,18974,0,0.25,43.0,POINT (-92.8253388 17.5952197),213887.0,213.887,,,,,1,9.110741006753427,0.7961358103682783,17.5952197
19,19,19,"Palenque, Chiapas",Chiapas,Sur,PG1572,S-PG1572-1,7730.0,2,2,13,223058,53905,24,19.33333333,117.0,POINT (-91.980922 17.509188),78219.0,78.219,,,,,3,7.854639875940926,0.6827933631365039,17.509188
20,20,20,"Juarez, Chihuahua",Chihuahua,Centro,PG774,C-PG774-1,7964.0,1,1,3,10221,7964,31,31.0,39.0,POINT (-106.485655 31.7372575),2813804.0,2813.804,0.5657226368807287,0.4938321851031786,0.5307026288409045,0.27407416204686963,2,8.289790583181643,0.7220585503602406,31.7372575
21,21,21,"Jalapa, Tabasco",Tabasco,Sur,PG1495,G-PG1495-5,7564.0,0,1,3,290299,105212,3,2.833333333,43.0,POINT (-92.812012 17.721716),197573.0,197.573,,,,,1,8.931287626222456,0.7799430972065295,17.721716
22,22,22,"Emiliano Zapata, Tabasco",Tabasco,Sur,PG1572,G-PG1572-2,6555.0,0,2,3,290299,53905,0,19.33333333,43.0,POINT (-91.6397345576535 17.693626),88754.0,88.754,,,,,1,8.78813593986372,0.7670260142907936,17.693626
23,23,23,"Reynosa, Tamaulipas",Tamaulipas,Golfo,PG1233,G-PG1233-1,6339.0,0,0,3,10385,6389,10,10.0,46.0,POINT (-98.2788191 26.0907673),1646218.0,1646.218,0.43213786075276844,0.45052237799306943,0.38589883596052676,0.19570104979255593,1,8.754634047431272,0.7640030200572537,26.0907673
24,24,24,"Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,Centro,PG1146,C-PG1146-11,6091.0,1,1,0,8915,14894,134,91.23076923,,POINT (-99.0929294 19.3591195),972685.0,972.685,0.5514651566723249,0.31478487156542884,0.25361717363471753,0.2318360977514938,2,8.021748669688549,0.6978721805761903,19.3591195
25,25,25,"Mexicali, Baja California",Baja California,Pacifico,PG268,P-PG268-2,5667.0,1,1,2,33879,5667,17,17.0,66.0,POINT (-115.474899 32.6405247),3888955.0,3888.955,0.22989410573024488,0.18598881424128455,0.1967014666645568,0.07304512052740077,2,7.949620833764358,0.6913638308608361,32.6405247
26,26,26,"Galeana, Nuevo Leon",Nuevo Leon,Golfo,PG1115,G-PG1115-1,5394.0,0,0,0,16985,5395,0,0.0,104.0,POINT (-100.089346003726 24.8455905995639),1748364.0,1748.364,0.37999483775269804,0.356433518799614,0.4225884756645869,0.2167914828730344,1,8.593227877692234,0.7494387705491776,24.8455905995639
27,27,27,"Jesus Carranza, Veracruz",Veracruz,Golfo,PG1377,G-PG1377-1,5395.0,0,0,3,66430,5395,0,0.0,54.0,POINT (-94.9094973063052 17.38793115),621054.0,621.054,,,,,1,8.593413217327646,0.749455494399934,17.38793115
28,28,28,"Puebla, Puebla",Puebla,Centro,PG1223,C-PG1223-1,5069.0,1,1,2,5069,6051,39,39.0,43.0,POINT (-98.2069491554557 19.0384062279769),859778.0,859.778,0.5189859216519488,0.5565084937308764,0.382946694564392,0.5935594990529511,2,7.838146135235074,0.6813050745825413,19.0384062279769
29,29,29,"Tepotzotlan, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-5,4934.0,0,1,1,9586,14894,11,91.23076923,,POINT (-99.2230683 19.7173392),1035941.0,1035.941,,,,,1,8.504107951867582,0.7413971644696205,19.7173392
30,30,30,"Apodaca, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-6,4255.0,1,1,0,16985,6668,98,66.5,104.0,POINT (-100.1887501 25.7816542),1662304.0,1662.304,0.359376283744733,0.16119037319947646,0.23866364429420922,0.3145554460566202,2,7.663172785268207,0.6655166104222088,25.7816542
31,31,31,"Xaloztoc, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-18,2301.0,1,1,0,7686,5071,7,17.90909091,8.0,POINT (-98.048611 19.403611),872666.0,872.666,0.4577113569731053,0.4473915031050537,0.5377528120709738,0.46698874542405044,2,7.04882071926074,0.6100814508517831,19.403611
32,32,32,"San Luis Potosi, San Luis Potosi",San Luis Potosi,Centro,PG1072,C-PG1072-1,4067.0,1,1,1,4072,4067,10,10.0,16.0,POINT (-100.9755186563027 22.154834238876298),1375500.0,1375.5,,,,,2,7.618005367441745,0.6614409945772649,22.154834238876298
33,33,33,"Agua Dulce, Veracruz",Veracruz,Golfo,PG1417,G-PG1417-5,20.0,0,0,3,66430,4568,9,13.2,54.0,POINT (-94.1623630522383 18.0899541),356415.0,356.415,,,,,1,3.044522437723423,0.24875945571763786,18.0899541
34,34,34,"Nogales, Sonora",Sonora,Pacifico,PG500,P-PG500-1,4084.0,0,0,2,31997,4084,6,6.0,28.0,POINT (-110.9450472 31.3285057),3148865.0,3148.865,0.13461184012332986,0.2161873372035363,0.11642670153327213,0.08003730865678502,1,8.315077007294104,0.7243402338332846,31.3285057
35,35,35,"Cosamaloapan de Carpio, Veracruz",Veracruz,Golfo,PG1339,G-PG1339-3,3095.0,0,0,3,66430,3221,1,0.6,54.0,POINT (-95.9643574726842 18.28167395),570409.0,570.409,,,,,1,8.037866234709618,0.6993265254677705,18.28167395
36,36,36,"Union Juarez, Chiapas",Chiapas,Sur,PG1530,S-PG1530-10,2675.0,1,4,13,223058,113641,55,22.33333333,117.0,POINT (-92.0925428079992 15.07074175),5.0,0.005,,,,,2,7.199304862960407,0.6236601673246085,15.07074175
37,37,37,"Juchitan de Zaragoza, Oaxaca",Oaxaca,Sur,PG1376,S-PG1376-7,2625.0,1,1,4,8835,4326,2,1.571428571,16.0,POINT (-94.9118794582709 16.413329),432340.0,432.34,,,,,2,7.180450609125595,0.6219588813230711,16.413329
38,38,38,"Ixtacuixtla de Mariano Matamoros, Tlaxcala",Tlaxcala,Centro,PG1185,C-PG1185-12,2544.0,1,0,0,7686,3233,8,12.92857143,8.0,POINT (-98.3781581037396 19.34670365),907852.0,907.852,0.5154210863278942,0.5038074474453211,0.6119064474237278,0.46865996909790264,2,7.149131598557407,0.6191328562398996,19.34670365
39,39,39,"Veracruz, Veracruz",Veracruz,Golfo,PG1302,G-PG1302-1,2063.0,0,0,3,66430,2223,1,2.0,54.0,POINT (-96.666667 19.333333),774711.0,774.711,,,,,1,7.6324011266014535,0.6627399748368122,19.333333
40,40,40,"Apaxco, Estado de Mexico",Estado de Mexico,Centro,PG1147,C-PG1147-7,2474.0,0,0,1,9586,3846,4,2.75,,POINT (-99.1518101102043 19.9807399),1016815.0,1016.815,,,,,1,7.813995675002791,0.6791258931477392,19.9807399
41,41,41,"Mina, Nuevo Leon",Nuevo Leon,Golfo,PG1077,G-PG1077-2,2343.0,0,1,0,16985,3453,14,74.2,104.0,POINT (-100.5300485 26.0025145),1707639.0,1707.639,0.4913584254971798,0.39482122295264227,0.5161994391424087,0.2842289573547014,1,7.759614150696903,0.6742188558894918,26.0025145
42,42,42,"General Bravo, Nuevo Leon",Nuevo Leon,Golfo,PG1155,G-PG1155-2,2056.0,0,0,0,16985,2063,1,0.5,104.0,POINT (-99.1811424 25.7932962),1684235.0,1684.235,0.414777863673182,0.41603853381554357,0.4964401089416994,0.2938682394068488,1,7.6290038896529575,0.6624334301326293,25.7932962
43,43,43,"Chihuahua, Chihuahua",Chihuahua,Centro,PG769,C-PG769-1,2040.0,1,1,3,10221,2040,6,6.0,39.0,POINT (-106.0000001 28.5000001),2418040.0,2418.04,0.6381452277879923,0.516443240844843,0.4925098826021668,0.5272712576750223,2,6.928537818164665,0.5992278993057002,28.5000001
44,44,44,"Benito Juarez, Quintana Roo",Quintana Roo,Sur,PG1850,S-PG1850-1,1909.0,0,0,2,2492,1909,25,25.0,74.0,POINT (-86.9263352170841 21.07668085),372698.0,372.698,,,,,1,7.554858521040676,0.6557430313078293,21.07668085
45,45,45,"Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,Centro,PG1146,C-PG1146-10,1828.0,1,1,0,8915,14894,134,91.23076923,,POINT (-99.1135639 19.4192787),977282.0,977.282,,,,,2,6.818924065275521,0.5893370627337449,19.4192787
46,46,46,"Villa Comaltitlan, Chiapas",Chiapas,Sur,PG1530,S-PG1530-2,1823.0,2,4,13,223058,113641,2,22.33333333,117.0,POINT (-92.6128862908011 15.1709732),92603.0,92.603,,,,,3,6.411270772486804,0.5525530644605507,15.1709732
47,47,47,"Campeche, Campeche",Campeche,Sur,PG1654,S-PG1654-1,430.0,1,1,3,3630,452,8,2.666666667,10.0,POINT (-90.5355146399854 19.830285751988),,,0.372918645303258,0.35376067872485634,0.31962068882113853,0.28281338908218806,2,5.375278407684165,0.4590718095999562,19.830285751988
48,48,48,"Acuna, Coahuila",Coahuila,Centro,PG1082,C-PG1082-2,1672.0,0,0,4,26155,1672,1,1.0,72.0,POINT (-100.9322287 29.3248796),2130333.0,2130.333,,,,,1,7.422373700986824,0.6437884574621296,29.3248796
49,49,49,"Balancan, Tabasco",Tabasco,Sur,PG1573,G-PG1573-1,1477.0,0,0,3,290299,1477,0,0.0,43.0,POINT (-91.3458588938522 17.79751665),64560.0,64.56,0.47742536292033855,0.5825423469565701,0.4808423805662359,0.31761691458104174,1,7.298445101508147,0.6326059416579811,17.79751665
50,50,50,"General Plutarco Elias Calles, Sonora",Sonora,Pacifico,PG422,P-PG422-1,1432.0,0,0,2,31997,1432,0,0.0,28.0,POINT (-112.711748945241 31.6949837),3293270.0,3293.27,0.3813591485700623,0.3632270688966703,0.4582121609829156,0.2826340591022992,1,7.267525427828172,0.629815950154487,31.6949837
51,51,51,"Cuitlahuac, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-4,1447.0,0,0,3,66430,1747,2,0.75,54.0,POINT (-96.7223775 18.814226),667379.0,667.379,,,,,1,7.277938572945661,0.6307555650645001,18.814226
52,52,52,"Guadalajara, Jalisco",Jalisco,Pacifico,PG914,P-PG914-1,1313.0,1,1,1,1428,1313,78,78.0,86.0,POINT (-103.338396 20.6720375),1719024.0,1719.024,0.45974556917233084,0.1859970000433513,0.24980821561609973,0.38245073031958327,2,6.48844476405192,0.5595167466451026,20.6720375
53,53,53,"San Juan del Rio, Queretaro",Queretaro,Centro,PG1108,C-PG1108-1,1303.0,0,0,0,2174,1355,3,1.666666667,40.0,POINT (-99.9931982 20.3867547),1130114.0,1130.114,0.6310456841879528,0.36337191794825235,0.5438038571196956,0.3879495211649768,1,7.1731917424865985,0.6213038881152704,20.3867547
54,54,54,"Oaxaca de Juarez, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-9,1217.0,1,1,4,8835,2797,8,7.785714286,16.0,POINT (-96.7253575 17.0604663),704590.0,704.59,0.6847281559432172,0.6205154165166106,0.532028799317251,0.5542445097621399,2,6.412638948921326,0.5526765198587902,17.0604663
55,55,55,"Santa Maria Jalapa del Marques, Oaxaca",Oaxaca,Sur,PG1376,S-PG1376-1,1265.0,0,1,4,8835,4326,0,1.571428571,16.0,POINT (-95.4448148 16.4403557),484711.0,484.711,,,,,1,7.143617602704121,0.6186353088938248,16.4403557
56,56,56,"Escarcega, Campeche",Campeche,Sur,PG1613,S-PG1613-1,2524.0,1,1,3,3630,2524,0,0.0,10.0,POINT (-90.7385823 18.606934),,,0.37623861364466776,0.379976430865133,0.34759719443246384,0.18843251399952654,2,7.141245122350491,0.6184212316012457,18.606934
57,57,57,"Ocozocoautla de Espinosa, Chiapas",Chiapas,Sur,PG1454,S-PG1454-3,1227.0,0,0,13,223058,2490,0,0.666666667,117.0,POINT (-93.4569635533782 16.7931431),265926.0,265.926,0.5130421883556506,0.4522820377559823,0.5436889953481825,0.32013156714588975,1,7.113142108707088,0.6158853972939627,16.7931431
58,58,58,"Monclova, Coahuila",Coahuila,Centro,PG1040,C-PG1040-1,1204.0,0,0,4,26155,1204,1,1.0,72.0,POINT (-101.4171173 26.8999988),1851614.0,1851.614,,,,,1,7.094234845924755,0.6141793281076245,26.8999988
59,59,59,"General Escobedo, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-2,1204.0,1,1,0,16985,6668,101,66.5,104.0,POINT (-100.3224334 25.808517),1684447.0,1684.447,,,,,2,6.401917196727186,0.5517090582408627,25.808517
60,60,60,"Orizaba, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-4,1100.0,0,0,3,66430,1947,2,2.0,54.0,POINT (-97.1060062 18.8497366),710275.0,710.275,,,,,1,7.00397413672268,0.606034785109545,18.8497366
61,61,61,"Gomez Palacio, Durango",Durango,Centro,PG921,C-PG921-2,849.0,1,1,0,1446,1696,4,2.666666667,5.0,POINT (-103.494779 25.5732473),1972177.0,1972.177,0.7295491265351899,0.5074628618128603,0.6873298919107589,0.5506504121660909,2,6.053264948013429,0.5202489328315996,25.5732473
62,62,62,"Huatabampo, Sonora",Sonora,Pacifico,PG572,P-PG572-1,1042.0,0,0,2,31997,1042,0,0.0,28.0,POINT (-109.6420085 26.8248431),2544809.0,2544.809,0.648962720043828,0.6243924910617862,0.6472563082933106,0.3845065496396022,1,6.949856455000773,0.601151555300729,26.8248431
63,63,63,"Cajeme, Sonora",Sonora,Pacifico,PG573,P-PG573-1,1039.0,0,0,2,31997,1039,1,1.0,28.0,POINT (-109.902207535928 27.71198065),2642537.0,2642.537,0.333536850613004,0.27347211292235885,0.3556101418805336,0.1809963604476351,1,6.946975992135418,0.6008916409496381,27.71198065
