name,tipo,sub_tipo,latitud,longitud,ciudad,estado,ID_Poligono
Acayucan Estacion Migratoria,INM,Estacion Migratoria INM,18.00185138,-94.9210765,Acayucan,Veracruz,PG1378
Agua Prieta Estacion Provisional,INM,Estacion Migratoria INM,31.33294658,-109.560374,Agua Prieta,Sonora,PG578
Aguascalientes Estacion Migratoria,INM,Estacion Migratoria INM,21.92955053,-102.3202229,Aguascalientes,Aguascalientes,PG994
Campeche Estacion Provisional,INM,Estacion Migratoria INM,19.84566009,-90.53974092,Campeche,Campeche,PG1654
"Centro de Atencion Integral al Trafico Fronterizo ""La Trinitaria""",INM,Centro de Atencion Integral,16.14993427,-92.07211098,La Trinitaria,Chiapas,PG1531
Centro de Atencion Integral al Transito Fronterizo CAITF HUIXTLA,INM,Centro de Atencion Integral,15.16274927,-92.53298711,Salto de Agua,Chiapas,PG1530
Chetumal Estacion Migratoria,INM,Estacion Migratoria INM,18.5262955,-88.2833324,Chetumal,Quintana Roo,PG1769
Chihuahua Estacion Migratoria,INM,Estacion Migratoria INM,28.64225733,-106.0844028,Chihuahua,Chihuahua,PG769
Ciudad Cuauhtemoc Estacion Provisional,INM,Estacion Migratoria INM,15.66766816,-92.00234413,Ciudad Cuauhtemoc,Chiapas,PG1531
Ciudad del Carmen Estacion Provisional,INM,Estacion Migratoria INM,18.64262612,-91.82360709,Ciudad del Carmen,Campeche,PG1574
Ciudad Juarez Estacion Migratoria,INM,Estacion Migratoria INM,31.74558597,-106.4839641,Ciudad Juarez,Chihuahua,PG774
Colima Estancia Provisional,INM,Estacion Migratoria INM,18.5262955,-88.2833324,Colima,Quintana Roo,PG1769
Comitan Estacion Provisional,INM,Estacion Migratoria INM,16.21432432,-92.11557627,Comitan,Chiapas,PG1531
Echegaray Estacion Provisional,INM,Estacion Migratoria INM,15.654755,-93.149776,Echegaray,Chiapas,PG1492
El Ceibo Estacion Provisional,INM,Estacion Migratoria INM,17.26028726,-90.98837286,El Ceibo,Tabasco,PG1611
El Hueyate Estacion Provisional,INM,Estacion Migratoria INM,15.1605676,-92.5157851,El Hueyate,Chiapas,PG1530
Escarcega Estacion Migratoria,INM,Estacion Migratoria INM,18.60664518,-90.73938847,Escarcega,Campeche,PG1613
Guadalajara Estacion Provisional,INM,Estacion Migratoria INM,20.72696663,-103.3450627,Guadalajara,Jalisco,PG914
Hermosillo Estacion Migratoria,INM,Estacion Migratoria INM,29.07957121,-110.9552622,Hermosillo,Sonora,PG497
Huatulco Estancia Provisional,INM,Estacion Migratoria INM,15.827777,-96.320882,Huatulco,Oaxaca,PG1297
Huehuetan Estacion Provisional,INM,Estacion Migratoria INM,15.0196034,-92.3931781,Huehuetan,Chiapas,PG1530
Iztapalapa Estacion Migratoria (Estacion Migratoria de la Ciudad de Mexico),INM,Estacion Migratoria INM,19.31646912,-99.08320427,Iztapalapa,Estado de Mexico,PG1146
Janos Estacion Migratoria,INM,Estacion Migratoria INM,30.88484253,-108.1943893,Janos,Chihuahua,PG655
La Ventosa Estacion Provisional,INM,Estacion Migratoria INM,16.54834163,-94.94865417,La Ventosa,Oaxaca,PG1376
Matamoros Estacion Migratoria,INM,Estacion Migratoria INM,25.8908476,-97.50314713,Matamoros,Tamaulipas,PG1272
Mazatlan Estacion Migratoria,INM,Estacion Migratoria INM,23.19281522,-106.4196897,Mazatlan,Sinaloa,PG761
Merida Estacion Migratoria,INM,Estacion Migratoria INM,20.98721581,-89.62713003,Merida,Yucatan,PG1694
Mexicali Estacion Migratoria,INM,Estacion Migratoria INM,32.58584718,-115.4389393,Mexicali,Baja California,PG268
