name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,cruzado,con
Centro de Atención Integral al Tránsito Fronterizo CAITF HUIXTLA,Centro Detención INM,,,"15.16274926829836, -92.53298711377242",GOB,"5F78+2Q, 30649 Salto de Agua, Chis.",GLOBALDETENTIONPROJECT,no,
"Centro de Atención Integral al Tráfico Fronterizo ""La Trinitaria""",Centro Detención INM,,,"16.149934265965072, -92.07211097989494",GOB,"Km 185 de la Carretera Federal 190, del tramo Comitan de Dominguez a la Trinitaria, Municipio de la Trinitaria, Chiapas, 30160",GLOBALDETENTIONPROJECT,no,
Acayucan Estación Migratoria,Centro Detención INM,,,"18.00185137606842, -94.92107650273852",GOB,"Carretera del Golfo Miguel Alemán 221 96000 Acayucan, Ver. México",GLOBALDETENTIONPROJECT,no,
Agua Prieta Estacion Provisional,Centro Detención INM,,,"31.3329465838, -109.5603740215",GOB,"Calle Primero, Av. 3, Línea Internacional, Col. Centro, C.P.84200, Agua Prieta, Sonora.",GLOBALDETENTIONPROJECT,no,
Aguascalientes Estacion Migratoria,Centro Detención INM,,,"21.9295505321, -102.3202228546",GOB,"Calle Juan de Montoro Núm. 223, Col. Centro, C.P. 20000, Aguascalientes,",GLOBALDETENTIONPROJECT,no,
Campeche Estacion Provisional,Centro Detención INM,,,"19.8456600896, -90.5397409201",GOB,"Av. 16 de Septiembre S/n Palacio Federal, Planta Baja, C.P.24000, Centro Histórico, Campeche, Campeche.",GLOBALDETENTIONPROJECT,no,
Chetumal Estacion Migratoria,Centro Detención INM,,,"18.5262955, -88.2833324",GOB,"Calzada Centenario Núm. 582, Col. Isabel Tenorio, Municipio Othon Blanco, C.P. 77010, Chetumal, Quintana Roo.",GLOBALDETENTIONPROJECT,no,
Chihuahua Estacion Migratoria,Centro Detención INM,,,"28.6422573348, -106.0844027996",GOB,"Calle Antonio de Montes Núm. 2116, Col. San Felipe, C.P. 32140, Chihuahua, Chihuahua.",GLOBALDETENTIONPROJECT,no,
Ciudad Cuauhtémoc Estacion Provisional,Centro Detención INM,,,"15.6676681597, -92.0023441315",GOB,"Av. Central Sur 19, Las Champas, 30150 Cd Cuauhtémoc, Chis.",GLOBALDETENTIONPROJECT,no,
Ciudad del Carmen Estacion Provisional,Centro Detención INM,,,"18.6426261197, -91.8236070871",GOB,"Calle 31, Núm. 144, entre 42B y 42C, Col. Tacubaya, C.P.24189 Cd. del Carmen, Campeche",GLOBALDETENTIONPROJECT,no,
Ciudad Juarez Estacion Migratoria,Centro Detención INM,,,"31.7455859739, -106.4839641005",GOB,"General Rivas Guillen Núm. 950, Zona Centro, Cd. Juárez, Chihuahua.C.P. 032000",GLOBALDETENTIONPROJECT,no,
Colima Estancia Provisional,Centro Detención INM,,,"18.5262955, -88.2833324",GOB,"77010 Chetumal, Q.R.",GLOBALDETENTIONPROJECT,no,
Comitán Estacion Provisional,Centro Detención INM,,,"16.2143243177, -92.1155762672",GOB,"Carretera Internacional, S/n Entronque a Tzimol, C.P. 30000, Comitán de Domínguez,",GLOBALDETENTIONPROJECT,no,
