ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,geometry,codigo_ruta,contador_xy,codigo_unico
"Aguascalientes, Aguascalientes",Aguascalientes,Ruta Centro, 423,22.0000001,-102.5000001,Presencia Migración Irregular,PG473,"POLYGON ((-103 23, -102 23, -102 22, -103 22, -103 23))",C,1,C-PG473-1
"Cosio, Aguascalientes",Aguascalientes,Ruta Centro, 98,22.3705155,-102.3120085105234,Presencia Migración Irregular,PG473,"POLYGON ((-103 23, -102 23, -102 22, -103 22, -103 23))",C,3,C-PG473-3
"San Francisco de los Romo, Aguascalientes",Aguascalientes,Ruta Centro, 18,22.0746282,-102.2707133,Presencia Migración Irregular,PG473,"POLYGON ((-103 23, -102 23, -102 22, -103 22, -103 23))",C,2,C-PG473-2
"Jesus Maria, Aguascalientes",Aguascalientes,Ruta Centro, 20,21.9345555,-102.46845171651152,Presencia Migración Irregular,PG472,"POLYGON ((-103 22, -102 22, -102 21, -103 21, -103 22))",C,1,C-PG472-1
"Tijuana, Baja California",Baja California,Ruta del Pacifico,27 568,32.5317397,-117.019529,Presencia Migración Irregular,PG78,"POLYGON ((-118 33, -117 33, -117 32, -118 32, -118 33))",P,1,P-PG78-1
"Ensenada, Baja California",Baja California,Ruta del Pacifico, 29,31.8658887,-116.602983,Presencia Migración Irregular,PG104,"POLYGON ((-117 32, -116 32, -116 31, -117 31, -117 32))",P,1,P-PG104-1
"Playas de Rosarito, Baja California",Baja California,Ruta del Pacifico, 38,32.25812915,-116.87330722517584,Presencia Migración Irregular,PG105,"POLYGON ((-117 33, -116 33, -116 32, -117 32, -117 33))",P,1,P-PG105-1
"Tecate, Baja California",Baja California,Ruta del Pacifico, 594,32.5653831,-116.6298787,Presencia Migración Irregular,PG105,"POLYGON ((-117 33, -116 33, -116 32, -117 32, -117 33))",P,2,P-PG105-2
"Mexicali, Baja California",Baja California,Ruta del Pacifico,5 706,32.6405247,-115.474899,Presencia Migración Irregular,PG132,"POLYGON ((-116 33, -115 33, -115 32, -116 32, -116 33))",P,1,P-PG132-1
"San Felipe, Baja California",Baja California,Ruta del Pacifico, 4,31.0269529,-114.839607,Presencia Migración Irregular,PG158,"POLYGON ((-115 32, -114 32, -114 31, -115 31, -115 32))",P,1,P-PG158-1
"La Paz, Baja California Sur",Baja California Sur,Ruta del Pacifico, 342,24.1619948,-110.3158532,Presencia Migración Irregular,PG259,"POLYGON ((-111 25, -110 25, -110 24, -111 24, -111 25))",P,1,P-PG259-1
"Los Cabos, Baja California Sur",Baja California Sur,Ruta del Pacifico, 62,23.271848050000003,-109.6897684130629,Presencia Migración Irregular,PG285,"POLYGON ((-110 24, -109 24, -109 23, -110 23, -110 24))",P,1,P-PG285-1
"Calkini, Campeche",Campeche,Ruta Sur, 1,20.3695121,-90.0510784,Presencia Migración Irregular,PG795,"POLYGON ((-91 21, -90 21, -90 20, -91 20, -91 21))",S,2,S-PG795-2
"Calakmul, Campeche",Campeche,Ruta Sur, 194,18.1073406,-89.80832803981309,Presencia Migración Irregular,PG820,"POLYGON ((-90 19, -89 19, -89 18, -90 18, -90 19))",S,1,S-PG820-1
"Palizada, Campeche",Campeche,Ruta Sur, 15,18.2549484,-92.0907089,Presencia Migración Irregular,PG739,"POLYGON ((-93 19, -92 19, -92 18, -93 18, -93 19))",S,2,S-PG739-2
"Escarcega, Campeche",Campeche,Ruta Sur,1 232,18.606934,-90.7385823,Presencia Migración Irregular,PG793,"POLYGON ((-91 19, -90 19, -90 18, -91 18, -91 19))",S,1,S-PG793-1
"Champoton, Campeche",Campeche,Ruta Sur, 150,19.3439655,-90.7242742,Presencia Migración Irregular,PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))",S,1,S-PG794-1
"Seybaplaya, Campeche",Campeche,Ruta Sur, 8,19.60337225,-90.62536695555148,Presencia Migración Irregular,PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))",S,2,S-PG794-2
"Campeche, Campeche",Campeche,Ruta Sur,1 754,19.830285751988043,-90.53551463998544,Presencia Migración Irregular,PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))",S,3,S-PG794-3
"Tenabo, Campeche",Campeche,Ruta Sur, 22,20.0406607,-90.2254956,Presencia Migración Irregular,PG795,"POLYGON ((-91 21, -90 21, -90 20, -91 20, -91 21))",S,1,S-PG795-1
