ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,codigo_unico,geometry,geometry_range
"Aguascalientes, Aguascalientes",Aguascalientes,Ruta Centro, 423,22.0000001,-102.5000001,Presencia Migración Irregular,PG473,C-PG473-1,POINT (-102.5000001 22.000000099999998),"POLYGON ((2018353.402147416 2505396.2383017843, 2018305.249414138 2504416.0668984884, 2018161.2549514484 2503445.335081623, 2017922.8055047381 2502493.3915292397, 2017592.1974725288 2501569.4039781336, 2017172.6147908997 2500682.2709335242, 2016668.0982704414 2499840.5359715885, 2016083.5066810434 2499052.305460148, 2015424.4699592814 2498325.170489919, 2014697.3349890525 2497666.133768157, 2013909.104477612 2497081.542178759, 2013067.369515676 2496577.0256583006, 2012180.236471067 2496157.4429766713, 2011256.2489199606 2495826.8349444624, 2010304.3053675774 2495588.385497752, 2009333.5735507116 2495444.3910350623, 2008353.402147416 2495396.2383017843, 2007373.2307441204 2495444.3910350623, 2006402.4989272547 2495588.385497752, 2005450.5553748715 2495826.8349444624, 2004526.567823765 2496157.4429766713, 2003639.434779156 2496577.0256583006, 2002797.69981722 2497081.542178759, 2002009.4693057796 2497666.133768157, 2001282.3343355507 2498325.170489919, 2000623.2976137886 2499052.305460148, 2000038.7060243906 2499840.5359715885, 1999534.1895039324 2500682.2709335242, 1999114.6068223033 2501569.4039781336, 1998783.998790094 2502493.3915292397, 1998545.5493433836 2503445.335081623, 1998401.554880694 2504416.0668984884, 1998353.402147416 2505396.2383017843, 1998401.554880694 2506376.40970508, 1998545.5493433836 2507347.1415219456, 1998783.998790094 2508299.085074329, 1999114.6068223033 2509223.072625435, 1999534.1895039324 2510110.2056700443, 2000038.7060243906 2510951.94063198, 2000623.2976137886 2511740.1711434205, 2001282.3343355504 2512467.3061136496, 2002009.4693057796 2513126.3428354114, 2002797.69981722 2513710.9344248096, 2003639.434779156 2514215.450945268, 2004526.567823765 2514635.0336268973, 2005450.5553748715 2514965.641659106, 2006402.4989272547 2515204.0911058164, 2007373.2307441204 2515348.0855685063, 2008353.402147416 2515396.2383017843, 2009333.5735507116 2515348.0855685063, 2010304.3053675774 2515204.0911058164, 2011256.2489199606 2514965.641659106, 2012180.236471067 2514635.0336268973, 2013067.369515676 2514215.450945268, 2013909.104477612 2513710.9344248096, 2014697.3349890525 2513126.3428354114, 2015424.4699592814 2512467.3061136496, 2016083.5066810434 2511740.1711434205, 2016668.0982704414 2510951.94063198, 2017172.6147908997 2510110.2056700443, 2017592.1974725288 2509223.072625435, 2017922.8055047381 2508299.085074329, 2018161.2549514484 2507347.1415219456, 2018305.249414138 2506376.40970508, 2018353.402147416 2505396.2383017843))"
"Cosio, Aguascalientes",Aguascalientes,Ruta Centro, 98,22.3705155,-102.3120085105234,Presencia Migración Irregular,PG473,C-PG473-3,POINT (-102.3120085105234 22.370515500000003),"POLYGON ((2034061.5096512623 2549327.2964316825, 2034013.3569179843 2548347.1250283867, 2033869.3624552947 2547376.393211521, 2033630.9130085844 2546424.449659138, 2033300.304976375 2545500.462108032, 2032880.722294746 2544613.3290634225, 2032376.2057742877 2543771.5941014867, 2031791.6141848897 2542983.3635900463, 2031132.5774631277 2542256.228619817, 2030405.4424928988 2541597.1918980554, 2029617.2119814584 2541012.600308657, 2028775.4770195223 2540508.083788199, 2027888.3439749132 2540088.5011065695, 2026964.3564238069 2539757.8930743607, 2026012.4128714236 2539519.4436276504, 2025041.681054558 2539375.4491649605, 2024061.5096512623 2539327.2964316825, 2023081.3382479667 2539375.4491649605, 2022110.606431101 2539519.4436276504, 2021158.6628787178 2539757.8930743607, 2020234.6753276114 2540088.5011065695, 2019347.5422830023 2540508.083788199, 2018505.8073210663 2541012.600308657, 2017717.5768096258 2541597.1918980554, 2016990.441839397 2542256.228619817, 2016331.405117635 2542983.3635900463, 2015746.813528237 2543771.5941014867, 2015242.2970077787 2544613.3290634225, 2014822.7143261496 2545500.462108032, 2014492.1062939402 2546424.449659138, 2014253.65684723 2547376.393211521, 2014109.6623845403 2548347.1250283867, 2014061.5096512623 2549327.2964316825, 2014109.6623845403 2550307.4678349784, 2014253.65684723 2551278.199651844, 2014492.1062939402 2552230.143204227, 2014822.7143261496 2553154.130755333, 2015242.2970077787 2554041.2637999426, 2015746.813528237 2554882.9987618783, 2016331.405117635 2555671.229273319, 2016990.4418393967 2556398.364243548, 2017717.5768096258 2557057.4009653097, 2018505.8073210663 2557641.992554708, 2019347.5422830023 2558146.509075166, 2020234.6753276114 2558566.0917567955, 2021158.6628787178 2558896.6997890044, 2022110.606431101 2559135.1492357147, 2023081.3382479667 2559279.1436984045, 2024061.5096512623 2559327.2964316825, 2025041.681054558 2559279.1436984045, 2026012.4128714236 2559135.1492357147, 2026964.3564238069 2558896.6997890044, 2027888.3439749132 2558566.0917567955, 2028775.4770195223 2558146.509075166, 2029617.2119814584 2557641.992554708, 2030405.4424928988 2557057.4009653097, 2031132.5774631277 2556398.364243548, 2031791.6141848897 2555671.229273319, 2032376.2057742877 2554882.9987618783, 2032880.722294746 2554041.2637999426, 2033300.304976375 2553154.130755333, 2033630.9130085844 2552230.143204227, 2033869.3624552947 2551278.199651844, 2034013.3569179843 2550307.4678349784, 2034061.5096512623 2549327.2964316825))"
"San Francisco de los Romo, Aguascalientes",Aguascalientes,Ruta Centro, 18,22.0746282,-102.2707133,Presencia Migración Irregular,PG473,C-PG473-2,POINT (-102.2707133 22.074628199999996),"POLYGON ((2041749.9177201502 2516224.0342836664, 2041701.7649868722 2515243.8628803706, 2041557.7705241826 2514273.131063505, 2041319.3210774723 2513321.187511122, 2040988.713045263 2512397.1999600157, 2040569.1303636339 2511510.0669154064, 2040064.6138431756 2510668.3319534706, 2039480.0222537776 2509880.10144203, 2038820.9855320156 2509152.966471801, 2038093.8505617867 2508493.9297500392, 2037305.6200503462 2507909.338160641, 2036463.8850884102 2507404.8216401828, 2035576.7520438011 2506985.2389585534, 2034652.7644926948 2506654.6309263445, 2033700.8209403115 2506416.1814796343, 2032730.0891234458 2506272.1870169444, 2031749.9177201502 2506224.0342836664, 2030769.7463168546 2506272.1870169444, 2029799.0144999889 2506416.1814796343, 2028847.0709476057 2506654.6309263445, 2027923.0833964993 2506985.2389585534, 2027035.9503518902 2507404.8216401828, 2026194.2153899542 2507909.338160641, 2025405.9848785137 2508493.9297500392, 2024678.8499082848 2509152.966471801, 2024019.8131865228 2509880.10144203, 2023435.2215971248 2510668.3319534706, 2022930.7050766665 2511510.0669154064, 2022511.1223950374 2512397.1999600157, 2022180.514362828 2513321.187511122, 2021942.0649161178 2514273.131063505, 2021798.0704534282 2515243.8628803706, 2021749.9177201502 2516224.0342836664, 2021798.0704534282 2517204.205686962, 2021942.0649161178 2518174.9375038277, 2022180.514362828 2519126.881056211, 2022511.1223950374 2520050.868607317, 2022930.7050766665 2520938.0016519264, 2023435.2215971248 2521779.736613862, 2024019.8131865228 2522567.9671253026, 2024678.8499082846 2523295.1020955318, 2025405.9848785137 2523954.1388172936, 2026194.2153899542 2524538.730406692, 2027035.9503518902 2525043.24692715, 2027923.0833964993 2525462.8296087794, 2028847.0709476057 2525793.4376409883, 2029799.0144999889 2526031.8870876986, 2030769.7463168546 2526175.8815503884, 2031749.9177201502 2526224.0342836664, 2032730.0891234458 2526175.8815503884, 2033700.8209403115 2526031.8870876986, 2034652.7644926948 2525793.4376409883, 2035576.7520438011 2525462.8296087794, 2036463.8850884102 2525043.24692715, 2037305.6200503462 2524538.730406692, 2038093.8505617867 2523954.1388172936, 2038820.9855320156 2523295.1020955318, 2039480.0222537776 2522567.9671253026, 2040064.6138431756 2521779.736613862, 2040569.1303636339 2520938.0016519264, 2040988.713045263 2520050.868607317, 2041319.3210774723 2519126.881056211, 2041557.7705241826 2518174.9375038277, 2041701.7649868722 2517204.205686962, 2041749.9177201502 2516224.0342836664))"
"Jesus Maria, Aguascalientes",Aguascalientes,Ruta Centro, 20,21.9345555,-102.46845171651152,Presencia Migración Irregular,PG472,C-PG472-1,POINT (-102.46845171651152 21.934555499999995),"POLYGON ((2022405.595997539 2498304.969477416, 2022357.4432642611 2497324.79807412, 2022213.4488015715 2496354.0662572547, 2021974.9993548612 2495402.1227048715, 2021644.3913226519 2494478.1351537653, 2021224.8086410228 2493591.002109156, 2020720.2921205645 2492749.26714722, 2020135.7005311665 2491961.03663578, 2019476.6638094047 2491233.9016655507, 2018749.5288391756 2490574.864943789, 2017961.2983277352 2489990.2733543906, 2017119.5633657991 2489485.7568339324, 2016232.43032119 2489066.174152303, 2015308.4427700837 2488735.566120094, 2014356.4992177004 2488497.116673384, 2013385.7674008347 2488353.122210694, 2012405.595997539 2488304.969477416, 2011425.4245942435 2488353.122210694, 2010454.6927773778 2488497.116673384, 2009502.7492249946 2488735.566120094, 2008578.7616738882 2489066.174152303, 2007691.628629279 2489485.7568339324, 2006849.893667343 2489990.2733543906, 2006061.6631559026 2490574.864943789, 2005334.5281856738 2491233.9016655507, 2004675.4914639117 2491961.03663578, 2004090.8998745137 2492749.26714722, 2003586.3833540555 2493591.002109156, 2003166.8006724264 2494478.1351537653, 2002836.192640217 2495402.1227048715, 2002597.7431935067 2496354.0662572547, 2002453.748730817 2497324.79807412, 2002405.595997539 2498304.969477416, 2002453.748730817 2499285.140880712, 2002597.7431935067 2500255.8726975773, 2002836.192640217 2501207.8162499606, 2003166.8006724264 2502131.8038010667, 2003586.3833540555 2503018.936845676, 2004090.8998745137 2503860.671807612, 2004675.4914639117 2504648.9023190523, 2005334.5281856735 2505376.0372892814, 2006061.6631559026 2506035.074011043, 2006849.893667343 2506619.6656004414, 2007691.628629279 2507124.1821208997, 2008578.7616738882 2507543.764802529, 2009502.7492249946 2507874.372834738, 2010454.6927773778 2508112.822281448, 2011425.4245942435 2508256.816744138, 2012405.595997539 2508304.969477416, 2013385.7674008347 2508256.816744138, 2014356.4992177004 2508112.822281448, 2015308.4427700837 2507874.372834738, 2016232.43032119 2507543.764802529, 2017119.5633657991 2507124.1821208997, 2017961.2983277352 2506619.6656004414, 2018749.5288391756 2506035.074011043, 2019476.6638094045 2505376.0372892814, 2020135.7005311665 2504648.9023190523, 2020720.2921205645 2503860.671807612, 2021224.8086410228 2503018.936845676, 2021644.3913226519 2502131.8038010667, 2021974.9993548612 2501207.8162499606, 2022213.4488015715 2500255.8726975773, 2022357.4432642611 2499285.140880712, 2022405.595997539 2498304.969477416))"
"Tijuana, Baja California",Baja California,Ruta del Pacifico,27 568,32.5317397,-117.019529,Presencia Migración Irregular,PG78,P-PG78-1,POINT (-117.01952900000002 32.531739699999996),"POLYGON ((508166.10656783805 3599377.6754037505, 508117.95383456 3598397.5040004547, 507973.9593718704 3597426.772183589, 507735.50992516015 3596474.828631206, 507404.90189295093 3595550.8410801, 506985.3192113216 3594663.7080354905, 506480.8026908635 3593821.9730735547, 505896.21110146545 3593033.7425621143, 505237.17437970353 3592306.607591885, 504510.0394094745 3591647.5708701233, 503721.8088980341 3591062.979280725, 502880.073936098 3590558.462760267, 501992.940891489 3590138.8800786375, 501068.95334038266 3589808.2720464286, 500117.0097879993 3589569.8225997183, 499146.27797113365 3589425.8281370285, 498166.10656783805 3589377.6754037505, 497185.93516454246 3589425.8281370285, 496215.2033476768 3589569.8225997183, 495263.25979529344 3589808.2720464286, 494339.27224418713 3590138.8800786375, 493452.1391995781 3590558.462760267, 492610.404237642 3591062.979280725, 491822.1737262016 3591647.5708701233, 491095.0387559726 3592306.607591885, 490436.00203421066 3593033.7425621143, 489851.4104448126 3593821.9730735547, 489346.8939243545 3594663.7080354905, 488927.3112427252 3595550.8410801, 488596.70321051596 3596474.828631206, 488358.2537638057 3597426.772183589, 488214.2593011161 3598397.5040004547, 488166.10656783805 3599377.6754037505, 488214.2593011161 3600357.8468070463, 488358.2537638057 3601328.578623912, 488596.70321051596 3602280.522176295, 488927.3112427252 3603204.509727401, 489346.8939243545 3604091.6427720105, 489851.4104448126 3604933.3777339463, 490436.00203421066 3605721.6082453867, 491095.0387559726 3606448.743215616, 491822.1737262016 3607107.7799373777, 492610.404237642 3607692.371526776, 493452.1391995781 3608196.888047234, 494339.27224418713 3608616.4707288635, 495263.25979529344 3608947.0787610724, 496215.2033476768 3609185.5282077827, 497185.93516454246 3609329.5226704725, 498166.10656783805 3609377.6754037505, 499146.27797113365 3609329.5226704725, 500117.0097879993 3609185.5282077827, 501068.95334038266 3608947.0787610724, 501992.940891489 3608616.4707288635, 502880.073936098 3608196.888047234, 503721.8088980341 3607692.371526776, 504510.0394094745 3607107.7799373777, 505237.17437970353 3606448.743215616, 505896.2111014654 3605721.6082453867, 506480.8026908635 3604933.3777339463, 506985.3192113216 3604091.6427720105, 507404.90189295093 3603204.509727401, 507735.50992516015 3602280.522176295, 507973.9593718704 3601328.578623912, 508117.95383456 3600357.8468070463, 508166.10656783805 3599377.6754037505))"
"Ensenada, Baja California",Baja California,Ruta del Pacifico, 29,31.8658887,-116.602983,Presencia Migración Irregular,PG104,P-PG104-1,POINT (-116.60298299999998 31.8658887),"POLYGON ((547554.9930284581 3525639.3168278537, 547506.8402951801 3524659.145424558, 547362.8458324904 3523688.4136076923, 547124.3963857802 3522736.470055309, 546793.788353571 3521812.482504203, 546374.2056719416 3520925.3494595936, 545869.6891514836 3520083.614497658, 545285.0975620855 3519295.3839862174, 544626.0608403236 3518568.2490159883, 543898.9258700946 3517909.2122942265, 543110.6953586541 3517324.6207048283, 542268.9603967181 3516820.10418437, 541381.827352109 3516400.5215027407, 540457.8398010028 3516069.913470532, 539505.8962486194 3515831.4640238215, 538535.1644317537 3515687.4695611317, 537554.9930284581 3515639.3168278537, 536574.8216251625 3515687.4695611317, 535604.0898082968 3515831.4640238215, 534652.1462559134 3516069.913470532, 533728.1587048072 3516400.5215027407, 532841.0256601981 3516820.10418437, 531999.290698262 3517324.6207048283, 531211.0601868216 3517909.2122942265, 530483.9252165926 3518568.2490159883, 529824.8884948307 3519295.3839862174, 529240.2969054326 3520083.614497658, 528735.7803849746 3520925.3494595936, 528316.1977033452 3521812.482504203, 527985.589671136 3522736.470055309, 527747.1402244258 3523688.4136076923, 527603.1457617361 3524659.145424558, 527554.9930284581 3525639.3168278537, 527603.1457617361 3526619.4882311495, 527747.1402244258 3527590.220048015, 527985.589671136 3528542.163600398, 528316.1977033452 3529466.1511515044, 528735.7803849746 3530353.2841961137, 529240.2969054326 3531195.0191580495, 529824.8884948307 3531983.24966949, 530483.9252165926 3532710.384639719, 531211.0601868216 3533369.421361481, 531999.290698262 3533954.012950879, 532841.0256601981 3534458.5294713373, 533728.1587048072 3534878.1121529667, 534652.1462559134 3535208.7201851755, 535604.0898082968 3535447.169631886, 536574.8216251625 3535591.1640945757, 537554.9930284581 3535639.3168278537, 538535.1644317537 3535591.1640945757, 539505.8962486194 3535447.169631886, 540457.8398010028 3535208.7201851755, 541381.827352109 3534878.1121529667, 542268.9603967181 3534458.5294713373, 543110.6953586541 3533954.012950879, 543898.9258700946 3533369.421361481, 544626.0608403236 3532710.384639719, 545285.0975620855 3531983.24966949, 545869.6891514836 3531195.0191580495, 546374.2056719416 3530353.2841961137, 546793.788353571 3529466.1511515044, 547124.3963857802 3528542.163600398, 547362.8458324904 3527590.220048015, 547506.8402951801 3526619.4882311495, 547554.9930284581 3525639.3168278537))"
"Playas de Rosarito, Baja California",Baja California,Ruta del Pacifico, 38,32.25812915,-116.87330722517584,Presencia Migración Irregular,PG105,P-PG105-1,POINT (-116.87330722517585 32.25812915),"POLYGON ((521933.16645729344 3569054.987191973, 521885.0137240154 3568074.815788677, 521741.01926132577 3567104.0839718115, 521502.56981461553 3566152.1404194282, 521171.9617824063 3565228.152868322, 520752.379100777 3564341.0198237128, 520247.8625803189 3563499.284861777, 519663.27099092084 3562711.0543503365, 519004.2342691589 3561983.9193801074, 518277.0992989299 3561324.8826583456, 517488.8687874895 3560740.2910689474, 516647.1338255534 3560235.774548489, 515760.00078094436 3559816.19186686, 514836.01322983805 3559485.583834651, 513884.0696774547 3559247.1343879406, 512913.33786058903 3559103.139925251, 511933.16645729344 3559054.987191973, 510952.99505399785 3559103.139925251, 509982.26323713217 3559247.1343879406, 509030.3196847488 3559485.583834651, 508106.3321336425 3559816.19186686, 507219.1990890335 3560235.774548489, 506377.4641270974 3560740.2910689474, 505589.23361565697 3561324.8826583456, 504862.09864542796 3561983.9193801074, 504203.06192366604 3562711.0543503365, 503618.470334268 3563499.284861777, 503113.9538138099 3564341.0198237128, 502694.37113218056 3565228.152868322, 502363.76309997134 3566152.1404194282, 502125.3136532611 3567104.0839718115, 501981.3191905715 3568074.815788677, 501933.16645729344 3569054.987191973, 501981.3191905715 3570035.1585952686, 502125.3136532611 3571005.890412134, 502363.76309997134 3571957.8339645173, 502694.37113218056 3572881.8215156235, 503113.9538138099 3573768.954560233, 503618.470334268 3574610.6895221686, 504203.06192366604 3575398.920033609, 504862.09864542796 3576126.055003838, 505589.23361565697 3576785.0917256, 506377.4641270974 3577369.683314998, 507219.1990890335 3577874.1998354564, 508106.3321336425 3578293.782517086, 509030.3196847488 3578624.3905492947, 509982.26323713217 3578862.839996005, 510952.99505399785 3579006.834458695, 511933.16645729344 3579054.987191973, 512913.33786058903 3579006.834458695, 513884.0696774547 3578862.839996005, 514836.01322983805 3578624.3905492947, 515760.00078094436 3578293.782517086, 516647.1338255534 3577874.1998354564, 517488.8687874895 3577369.683314998, 518277.0992989299 3576785.0917256, 519004.2342691589 3576126.055003838, 519663.2709909208 3575398.920033609, 520247.8625803189 3574610.6895221686, 520752.379100777 3573768.954560233, 521171.9617824063 3572881.8215156235, 521502.56981461553 3571957.8339645173, 521741.01926132577 3571005.890412134, 521885.0137240154 3570035.1585952686, 521933.16645729344 3569054.987191973))"
"Tecate, Baja California",Baja California,Ruta del Pacifico, 594,32.5653831,-116.6298787,Presencia Migración Irregular,PG105,P-PG105-2,POINT (-116.6298787 32.5653831),"POLYGON ((544743.8111972723 3603167.352775853, 544695.6584639943 3602187.1813725573, 544551.6640013045 3601216.449555692, 544313.2145545944 3600264.5060033086, 543982.6065223851 3599340.5184522024, 543563.0238407558 3598453.385407593, 543058.5073202978 3597611.6504456573, 542473.9157308997 3596823.419934217, 541814.8790091377 3596096.284963988, 541087.7440389087 3595437.248242226, 540299.5135274683 3594852.6566528277, 539457.7785655323 3594348.1401323695, 538570.6455209232 3593928.55745074, 537646.6579698169 3593597.9494185313, 536694.7144174336 3593359.499971821, 535723.9826005679 3593215.505509131, 534743.8111972723 3593167.352775853, 533763.6397939767 3593215.505509131, 532792.9079771109 3593359.499971821, 531840.9644247276 3593597.9494185313, 530916.9768736213 3593928.55745074, 530029.8438290122 3594348.1401323695, 529188.1088670762 3594852.6566528277, 528399.8783556358 3595437.248242226, 527672.7433854068 3596096.284963988, 527013.7066636449 3596823.419934217, 526429.1150742468 3597611.6504456573, 525924.5985537887 3598453.385407593, 525505.0158721594 3599340.5184522024, 525174.4078399502 3600264.5060033086, 524935.95839324 3601216.449555692, 524791.9639305503 3602187.1813725573, 524743.8111972723 3603167.352775853, 524791.9639305503 3604147.524179149, 524935.95839324 3605118.2559960145, 525174.4078399502 3606070.1995483977, 525505.0158721594 3606994.187099504, 525924.5985537887 3607881.320144113, 526429.1150742468 3608723.055106049, 527013.7066636449 3609511.2856174894, 527672.7433854068 3610238.4205877185, 528399.8783556358 3610897.4573094803, 529188.1088670762 3611482.0488988785, 530029.8438290122 3611986.565419337, 530916.9768736213 3612406.148100966, 531840.9644247276 3612736.756133175, 532792.9079771109 3612975.2055798853, 533763.6397939767 3613119.200042575, 534743.8111972723 3613167.352775853, 535723.9826005679 3613119.200042575, 536694.7144174336 3612975.2055798853, 537646.6579698169 3612736.756133175, 538570.6455209232 3612406.148100966, 539457.7785655323 3611986.565419337, 540299.5135274683 3611482.0488988785, 541087.7440389087 3610897.4573094803, 541814.8790091377 3610238.4205877185, 542473.9157308997 3609511.2856174894, 543058.5073202978 3608723.055106049, 543563.0238407558 3607881.320144113, 543982.6065223851 3606994.187099504, 544313.2145545944 3606070.1995483977, 544551.6640013045 3605118.2559960145, 544695.6584639943 3604147.524179149, 544743.8111972723 3603167.352775853))"
"Mexicali, Baja California",Baja California,Ruta del Pacifico,5 706,32.6405247,-115.474899,Presencia Migración Irregular,PG132,P-PG132-1,POINT (-115.474899 32.6405247),"POLYGON ((653050.62545597 3612463.652871162, 653002.472722692 3611483.4814678663, 652858.4782600022 3610512.749651001, 652620.028813292 3609560.8060986176, 652289.4207810828 3608636.8185475115, 651869.8380994535 3607749.685502902, 651365.3215789954 3606907.9505409664, 650780.7299895973 3606119.720029526, 650121.6932678354 3605392.585059297, 649394.5582976064 3604733.548337535, 648606.327786166 3604148.956748137, 647764.59282423 3603644.4402276785, 646877.4597796209 3603224.857546049, 645953.4722285146 3602894.2495138403, 645001.5286761313 3602655.80006713, 644030.7968592655 3602511.80560444, 643050.62545597 3602463.652871162, 642070.4540526744 3602511.80560444, 641099.7222358086 3602655.80006713, 640147.7786834253 3602894.2495138403, 639223.791132319 3603224.857546049, 638336.6580877099 3603644.4402276785, 637494.9231257739 3604148.956748137, 636706.6926143335 3604733.548337535, 635979.5576441045 3605392.585059297, 635320.5209223425 3606119.720029526, 634735.9293329444 3606907.9505409664, 634231.4128124864 3607749.685502902, 633811.8301308571 3608636.8185475115, 633481.2220986478 3609560.8060986176, 633242.7726519377 3610512.749651001, 633098.7781892479 3611483.4814678663, 633050.62545597 3612463.652871162, 633098.7781892479 3613443.824274458, 633242.7726519377 3614414.5560913235, 633481.2220986478 3615366.4996437067, 633811.8301308571 3616290.487194813, 634231.4128124864 3617177.620239422, 634735.9293329444 3618019.355201358, 635320.5209223425 3618807.5857127984, 635979.5576441045 3619534.7206830275, 636706.6926143335 3620193.7574047893, 637494.9231257739 3620778.3489941875, 638336.6580877099 3621282.865514646, 639223.791132319 3621702.448196275, 640147.7786834253 3622033.056228484, 641099.7222358086 3622271.5056751943, 642070.4540526744 3622415.500137884, 643050.62545597 3622463.652871162, 644030.7968592655 3622415.500137884, 645001.5286761313 3622271.5056751943, 645953.4722285146 3622033.056228484, 646877.4597796209 3621702.448196275, 647764.59282423 3621282.865514646, 648606.327786166 3620778.3489941875, 649394.5582976064 3620193.7574047893, 650121.6932678354 3619534.7206830275, 650780.7299895973 3618807.5857127984, 651365.3215789954 3618019.355201358, 651869.8380994535 3617177.620239422, 652289.4207810828 3616290.487194813, 652620.028813292 3615366.4996437067, 652858.4782600022 3614414.5560913235, 653002.472722692 3613443.824274458, 653050.62545597 3612463.652871162))"
"San Felipe, Baja California",Baja California,Ruta del Pacifico, 4,31.0269529,-114.839607,Presencia Migración Irregular,PG158,P-PG158-1,POINT (-114.839607 31.026952899999994),"POLYGON ((716209.2490378881 3434593.4508529482, 716161.0963046101 3433613.2794496524, 716017.1018419204 3432642.547632787, 715778.6523952102 3431690.6040804037, 715448.044363001 3430766.6165292975, 715028.4616813717 3429879.483484688, 714523.9451609136 3429037.7485227524, 713939.3535715155 3428249.518011312, 713280.3168497536 3427522.383041083, 712553.1818795246 3426863.346319321, 711764.9513680842 3426278.754729923, 710923.2164061482 3425774.2382094646, 710036.0833615391 3425354.6555278352, 709112.0958104328 3425024.0474956264, 708160.1522580495 3424785.598048916, 707189.4204411837 3424641.6035862262, 706209.2490378881 3424593.4508529482, 705229.0776345925 3424641.6035862262, 704258.3458177268 3424785.598048916, 703306.4022653435 3425024.0474956264, 702382.4147142372 3425354.6555278352, 701495.2816696281 3425774.2382094646, 700653.5467076921 3426278.754729923, 699865.3161962517 3426863.346319321, 699138.1812260227 3427522.383041083, 698479.1445042607 3428249.518011312, 697894.5529148626 3429037.7485227524, 697390.0363944046 3429879.483484688, 696970.4537127753 3430766.6165292975, 696639.845680566 3431690.6040804037, 696401.3962338559 3432642.547632787, 696257.4017711661 3433613.2794496524, 696209.2490378881 3434593.4508529482, 696257.4017711661 3435573.622256244, 696401.3962338559 3436544.3540731096, 696639.845680566 3437496.297625493, 696970.4537127753 3438420.285176599, 697390.0363944046 3439307.4182212083, 697894.5529148626 3440149.153183144, 698479.1445042607 3440937.3836945845, 699138.1812260227 3441664.5186648136, 699865.3161962517 3442323.5553865754, 700653.5467076921 3442908.1469759736, 701495.2816696281 3443412.663496432, 702382.4147142372 3443832.2461780612, 703306.4022653435 3444162.85421027, 704258.3458177268 3444401.3036569804, 705229.0776345925 3444545.2981196702, 706209.2490378881 3444593.4508529482, 707189.4204411837 3444545.2981196702, 708160.1522580495 3444401.3036569804, 709112.0958104328 3444162.85421027, 710036.0833615391 3443832.2461780612, 710923.2164061482 3443412.663496432, 711764.9513680842 3442908.1469759736, 712553.1818795246 3442323.5553865754, 713280.3168497536 3441664.5186648136, 713939.3535715155 3440937.3836945845, 714523.9451609136 3440149.153183144, 715028.4616813717 3439307.4182212083, 715448.044363001 3438420.285176599, 715778.6523952102 3437496.297625493, 716017.1018419204 3436544.3540731096, 716161.0963046101 3435573.622256244, 716209.2490378881 3434593.4508529482))"
