ciudad,estado,detenciones
"Aguascalientes, Aguascalientes",Aguascalientes, 423
"Cosio, Aguascalientes",Aguascalientes, 98
"Jesus Maria, Aguascalientes",Aguascalientes, 20
"San Francisco de los Romo, Aguascalientes",Aguascalientes, 18
"Ensenada, Baja California",Baja California, 29
"Mexicali, Baja California",Baja California,5 706
"Playas de Rosarito, Baja California",Baja California, 38
"San Felipe, Baja California",Baja California, 4
"Tecate, Baja California",Baja California, 594
"Tijuana, Baja California",Baja California,27 568
"La Paz, Baja California Sur",Baja California Sur, 342
"Los Cabos, Baja California Sur",Baja California Sur, 62
"Calakmul, Campeche",Campeche, 194
"Calkini, Campeche",Campeche, 1
"Campeche, Campeche",Campeche,1 754
"Carmen, Campeche",Campeche, 255
"Champoton, Campeche",Campeche, 150
"Escarcega, Campeche",Campeche,1 232
"Palizada, Campeche",Campeche, 15
"Seybaplaya, Campeche",Campeche, 8
"Tenabo, Campeche",Campeche, 22
"Acacoyagua, Chiapas",Chiapas, 2
"Arriaga, Chiapas",Chiapas,19 839
"Berriozabal, Chiapas",Chiapas, 160
"Catazaja, Chiapas",Chiapas, 392
"Chenalho, Chiapas",Chiapas, 341
"Chiapa de Corzo, Chiapas",Chiapas, 120
"Chicomuselo, Chiapas",Chiapas, 1
"Cintalapa de Figueroa, Chiapas",Chiapas, 3
"Comitan de Dominguez, Chiapas",Chiapas, 337
"Copainala, Chiapas",Chiapas, 7
"Escuintla, Chiapas",Chiapas, 19
"Frontera Comalapa, Chiapas",Chiapas, 802
"Frontera Hidalgo, Chiapas",Chiapas, 15
"Huehuetan, Chiapas",Chiapas,18 319
"Huixtla, Chiapas",Chiapas,20 836
"Jiquipilas, Chiapas",Chiapas, 677
"La Trinitaria, Chiapas",Chiapas, 177
"Mapastepec, Chiapas",Chiapas, 36
"Mezcalapa, Chiapas",Chiapas, 440
"Motozintla, Chiapas",Chiapas, 8
"Ocosingo, Chiapas",Chiapas, 182
"Ocozocoautla de Espinosa, Chiapas",Chiapas,1 226
"Palenque, Chiapas",Chiapas,9 027
"Pantepec, Chiapas",Chiapas, 1
"Pijijiapan, Chiapas",Chiapas,11 297
"Salto de Agua, Chiapas",Chiapas, 9
"San Cristobal de las Casas, Chiapas",Chiapas, 745
"Siltepec, Chiapas",Chiapas, 1
"Suchiate, Chiapas",Chiapas,25 989
"Tapachula, Chiapas",Chiapas,98 486
"Teopisca, Chiapas",Chiapas, 1
"Tonala, Chiapas",Chiapas, 230
"Tuxtla Chico, Chiapas",Chiapas, 595
"Tuxtla Gutierrez, Chiapas",Chiapas,15 141
"Union Juarez, Chiapas",Chiapas,2 674
"Villa Comaltitlan, Chiapas",Chiapas,1 835
"Villa Corzo, Chiapas",Chiapas, 8
"Villaflores, Chiapas",Chiapas, 5
"Yajalon, Chiapas",Chiapas, 3
"Chihuahua, Chihuahua",Chihuahua,2 035
"Janos, Chihuahua",Chihuahua, 129
"Juarez, Chihuahua",Chihuahua,7 925
"Ojinaga, Chihuahua",Chihuahua, 94
"Coyoacan, Ciudad de Mexico",Ciudad de Mexico, 7
"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,1 023
"Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,6 176
"Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,1 851
"Acuna, Coahuila",Coahuila,1 672
"Allende, Coahuila",Coahuila, 289
"Francisco I. Madero, Coahuila",Coahuila, 25
"Guerrero, Coahuila",Coahuila, 6
"Monclova, Coahuila",Coahuila,1 207
"Nava, Coahuila",Coahuila, 3
"Piedras Negras, Coahuila",Coahuila,21 201
"Saltillo, Coahuila",Coahuila, 945
"Torreon, Coahuila",Coahuila, 825
"Colima, Colima",Colima, 6
"Manzanillo, Colima",Colima, 9
"Villa de Alvarez, Colima",Colima, 2
"Durango, Durango",Durango, 375
"Gomez Palacio, Durango",Durango,1 048
"Mapimi, Durango",Durango, 23
"Acambay de Ruiz Castaneda, Mexico",Mexico, 1
"Amecameca, Mexico",Mexico, 1
"Apaxco, Mexico",Mexico,2 476
"Atlacomulco, Mexico",Mexico, 42
"Chalco, Mexico",Mexico, 405
"Cuautitlan, Mexico",Mexico, 2
"Ecatepec de Morelos, Mexico",Mexico, 185
"Huehuetoca, Mexico",Mexico, 348
"Ixtapaluca, Mexico",Mexico, 11
"Naucalpan de Juarez, Mexico",Mexico, 1
"Nezahualcoyotl, Mexico",Mexico, 22
"Ocoyoacac, Mexico",Mexico, 2
"Tecamac, Mexico",Mexico, 2
"Tepotzotlan, Mexico",Mexico,4 945
"Texcoco, Mexico",Mexico, 120
"Tlalnepantla de Baz, Mexico",Mexico, 75
"Toluca, Mexico",Mexico, 753
"Xalatlaco, Mexico",Mexico, 2
"Zumpango, Mexico",Mexico, 155
"Apaseo el Alto, Guanajuato",Guanajuato, 1
"Apaseo el Grande, Guanajuato",Guanajuato, 22
"Celaya, Guanajuato",Guanajuato, 8
"Comonfort, Guanajuato",Guanajuato, 29
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato, 6
"Irapuato, Guanajuato",Guanajuato, 44
"Leon, Guanajuato",Guanajuato, 2
"Ocampo, Guanajuato",Guanajuato, 6
"Salamanca, Guanajuato",Guanajuato, 6
"San Luis de la Paz, Guanajuato",Guanajuato, 60
"San Miguel de Allende, Guanajuato",Guanajuato, 15
"Acapulco de Juarez, Guerrero",Guerrero, 32
"Azoyu, Guerrero",Guerrero,1 023
"Chilpancingo de los Bravo, Guerrero",Guerrero, 30
"San Marcos, Guerrero",Guerrero, 379
"Zihuatanejo de Azueta, Guerrero",Guerrero, 14
"Actopan, Hidalgo",Hidalgo, 2
"Alfajayucan, Hidalgo",Hidalgo, 1
"Apan, Hidalgo",Hidalgo, 4
"Atitalaquia, Hidalgo",Hidalgo, 2
"Chapulhuacan, Hidalgo",Hidalgo, 18
"Emiliano Zapata, Hidalgo",Hidalgo, 1
"Epazoyucan, Hidalgo",Hidalgo, 1
"Huasca de Ocampo, Hidalgo",Hidalgo, 1
"Ixmiquilpan, Hidalgo",Hidalgo, 1
"Mineral de la Reforma, Hidalgo",Hidalgo, 22
"Pachuca de Soto, Hidalgo",Hidalgo, 44
"Tepeapulco, Hidalgo",Hidalgo, 35
"Tepeji del Rio de Ocampo, Hidalgo",Hidalgo, 789
"Tizayuca, Hidalgo",Hidalgo, 14
"Tolcayuca, Hidalgo",Hidalgo, 3
"Tula de Allende, Hidalgo",Hidalgo, 78
"Tulancingo de Bravo, Hidalgo",Hidalgo, 19
"Villa de Tezontepec, Hidalgo",Hidalgo, 14
"El Salto, Jalisco",Jalisco, 1
"Guadalajara, Jalisco",Jalisco,1 332
"Tlajomulco de Zuniga, Jalisco",Jalisco, 103
"Zapotlan el Grande, Jalisco",Jalisco, 1
"Apatzingan, Michoacan",Michoacan, 1
"Buenavista, Michoacan",Michoacan, 1
"Cuitzeo, Michoacan",Michoacan, 1
"Lazaro Cardenas, Michoacan",Michoacan, 1
"Morelia, Michoacan",Michoacan, 137
"Uruapan, Michoacan",Michoacan, 1
"Zinapecuaro, Michoacan",Michoacan, 176
"Cuernavaca, Morelos",Morelos, 21
"Emiliano Zapata, Morelos",Morelos, 4
"Jantetelco, Morelos",Morelos, 3
"Puente de Ixtla, Morelos",Morelos, 8
"Temixco, Morelos",Morelos, 7
"Tepoztlan, Morelos",Morelos, 1
"Xochitepec, Morelos",Morelos, 2
"Bahia de Banderas, Nayarit",Nayarit, 2
"Tepic, Nayarit",Nayarit, 219
"Anahuac, Nuevo Leon",Nuevo Leon, 86
"Apodaca, Nuevo Leon",Nuevo Leon,4 262
"Aramberri, Nuevo Leon",Nuevo Leon, 4
"Cadereyta Jimenez, Nuevo Leon",Nuevo Leon, 83
"China, Nuevo Leon",Nuevo Leon, 146
"Cienega de Flores, Nuevo Leon",Nuevo Leon, 41
"Doctor Arroyo, Nuevo Leon",Nuevo Leon, 11
"El Carmen, Nuevo Leon",Nuevo Leon, 35
"Galeana, Nuevo Leon",Nuevo Leon,5 407
"Garcia, Nuevo Leon",Nuevo Leon, 17
"General Bravo, Nuevo Leon",Nuevo Leon,2 059
"General Escobedo, Nuevo Leon",Nuevo Leon,1 204
"General Zuazua, Nuevo Leon",Nuevo Leon, 35
"Guadalupe, Nuevo Leon",Nuevo Leon, 225
"Hualahuises, Nuevo Leon",Nuevo Leon, 34
"Juarez, Nuevo Leon",Nuevo Leon, 180
"Linares, Nuevo Leon",Nuevo Leon, 19
"Los Ramones, Nuevo Leon",Nuevo Leon, 7
"Mina, Nuevo Leon",Nuevo Leon,2 348
"Montemorelos, Nuevo Leon",Nuevo Leon, 1
"Monterrey, Nuevo Leon",Nuevo Leon, 449
"Paras, Nuevo Leon",Nuevo Leon, 13
"Pesqueria, Nuevo Leon",Nuevo Leon, 93
"Salinas Victoria, Nuevo Leon",Nuevo Leon, 18
"San Nicolas de los Garza, Nuevo Leon",Nuevo Leon, 50
"San Pedro Garza Garcia, Nuevo Leon",Nuevo Leon, 1
"Santa Catarina, Nuevo Leon",Nuevo Leon, 167
"Santiago, Nuevo Leon",Nuevo Leon, 23
"Asuncion Nochixtlan, Oaxaca",Oaxaca, 13
"Chahuites, Oaxaca",Oaxaca, 54
"Ciudad Ixtepec, Oaxaca",Oaxaca, 10
"Concepcion Buenavista, Oaxaca",Oaxaca, 25
