nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"Zihuatanejo de Azueta, Guerrero","Zihuatanejo de Azueta, Guerrero",Guerrero,17.80789995,-101.49695243500553,P,PG1027,P-PG1027-1, 14,1
"Morelia, Michoacan","Morelia, Michoacan",Michoacan,19.7027116,-101.1923818,P,PG1029,P-PG1029-1, 137,0
"Cuitzeo, Michoacan","Cuitzeo, Michoacan",Michoacan,19.9693141,-101.1412203,P,PG1030,P-PG1030-1, 1,0
"Leon, Guanajuato","Leon, Guanajuato",Guanajuato,21.1218598,-101.6825081,C,PG1031,C-PG1031-1, 2,0
"Irapuato, Guanajuato","Irapuato, Guanajuato",Guanajuato,20.6758761,-101.3521052,C,PG1031,C-PG1031-2, 44,0
"Salamanca, Guanajuato","Salamanca, Guanajuato",Guanajuato,20.571358,-101.192444,C,PG1031,C-PG1031-3, 6,0
"Ocampo, Guanajuato","Ocampo, Guanajuato",Guanajuato,21.6042823,-101.47623930019084,C,PG1032,C-PG1032-1, 6,0
"Monclova, Coahuila","Monclova, Coahuila",Coahuila,26.8999988,-101.4171173,C,PG1040,C-PG1040-1,1 207,0
"Zinapecuaro, Michoacan","Zinapecuaro, Michoacan",Michoacan,19.856318100000003,-100.7709097129878,P,PG1069,P-PG1069-1, 176,0
"Apaseo el Alto, Guanajuato","Apaseo el Alto, Guanajuato",Guanajuato,20.4562767,-100.621263,C,PG1069,C-PG1069-2, 1,0
"Celaya, Guanajuato","Celaya, Guanajuato",Guanajuato,20.521788,-100.8140458,C,PG1070,C-PG1070-1, 8,0
"Comonfort, Guanajuato","Comonfort, Guanajuato",Guanajuato,20.7199475,-100.761188,C,PG1070,C-PG1070-2, 29,0
"San Miguel de Allende, Guanajuato","San Miguel de Allende, Guanajuato",Guanajuato,20.9142238,-100.743784,C,PG1070,C-PG1070-3, 15,0
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato","Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato,21.1043597,-100.7259581,C,PG1070,C-PG1070-4, 6,0
"Apaseo el Grande, Guanajuato","Apaseo el Grande, Guanajuato",Guanajuato,20.59193265,-100.59798678636592,C,PG1070,C-PG1070-5, 22,0
"San Luis de la Paz, Guanajuato","San Luis de la Paz, Guanajuato",Guanajuato,21.2970466,-100.516269,C,PG1071,C-PG1071-1, 60,0
