nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico
"Ensenada, A. I. ""El Cipres""",31.75080080159697,-116.59481998668603,Baja California,Aeropuerto Internacional,"Ensenada, Baja California",PG104,"POLYGON ((-117 32, -116 32, -116 31, -117 31, -117 32))",AI,1,AI-PG104-1
Ensenada (marítimo),31.8932996,-116.6912627,Baja California,Puerto Internacion Maritimo,"Ensenada , Baja California",PG104,"POLYGON ((-117 32, -116 32, -116 31, -117 31, -117 32))",PM,2,PM-PG104-2
"Tijuana, A. I. ""Gral. Abelardo L. Rodríguez """,32.5465620217463,-116.96326129095864,Baja California,Aeropuerto Internacional,"Tijuana, Baja California",PG105,"POLYGON ((-117 33, -116 33, -116 32, -117 32, -117 33))",AI,1,AI-PG105-1
Tecate (terrestre),32.57613508236901,-116.62741363669146,Baja California,Cruce Fronterizo Terrestre,"Tecate , Baja California",PG105,"POLYGON ((-117 33, -116 33, -116 32, -117 32, -117 33))",FN,2,FN-PG105-2
Isla Cedros (marítimo),28.1544990198747,-115.233073824214,Baja California,Puerto Internacion Maritimo,"Isla Cedros , Baja California",PG128,"POLYGON ((-116 29, -115 29, -115 28, -116 28, -116 29))",PM,1,PM-PG128-1
"Mexicali, A. I.",32.64053259386955,-115.2495368530918,Baja California,Aeropuerto Internacional,"Mexicali, Baja California",PG132,"POLYGON ((-116 33, -115 33, -115 32, -116 32, -116 33))",AI,1,AI-PG132-1
Mexicali I (terrestre),32.67558124644809,-115.49398369917375,Baja California,Cruce Fronterizo Terrestre,"Mexicali I , Baja California",PG132,"POLYGON ((-116 33, -115 33, -115 32, -116 32, -116 33))",FN,2,FN-PG132-2
Mexicali II (terrestre),32.6773151625109,-115.38549370949664,Baja California,Cruce Fronterizo Terrestre,"Mexicali II , Baja California",PG132,"POLYGON ((-116 33, -115 33, -115 32, -116 32, -116 33))",FN,3,FN-PG132-3
Punta Prieta (marítimo),27.0158141,-114.0426703,Baja California Sur,Puerto Internacion Maritimo,"Punta Prieta , Baja California Sur",PG154,"POLYGON ((-115 28, -114 28, -114 27, -115 27, -115 28))",PM,1,PM-PG154-1
"San Felipe, A. I.",30.93210627250805,-114.80862676931196,Baja California,Aeropuerto Internacional,"San Felipe, Baja California",PG157,"POLYGON ((-115 31, -114 31, -114 30, -115 30, -115 31))",AI,1,AI-PG157-1
