nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico,geometry_range
"Ensenada, A. I. ""El Cipres""",31.75080080159697,-116.59481998668603,Baja California,Aeropuerto Internacional,"Ensenada, Baja California",PG104,POINT (-116.59481998668605 31.750800801596963),AI,1,AI-PG104-1,"POLYGON ((548374.7103386066 3512885.7878071293, 548326.5576053286 3511905.6164038335, 548182.5631426389 3510934.884586968, 547944.1136959287 3509982.941034585, 547613.5056637195 3509058.9534834786, 547193.9229820902 3508171.8204388693, 546689.4064616321 3507330.0854769335, 546104.814872234 3506541.854965493, 545445.7781504721 3505814.719995264, 544718.6431802431 3505155.683273502, 543930.4126688027 3504571.091684104, 543088.6777068666 3504066.5751636457, 542201.5446622575 3503646.9924820163, 541277.5571111513 3503316.3844498075, 540325.613558768 3503077.935003097, 539354.8817419022 3502933.9405404073, 538374.7103386066 3502885.7878071293, 537394.538935311 3502933.9405404073, 536423.8071184453 3503077.935003097, 535471.863566062 3503316.3844498075, 534547.8760149557 3503646.9924820163, 533660.7429703466 3504066.5751636457, 532819.0080084106 3504571.091684104, 532030.7774969701 3505155.683273502, 531303.6425267411 3505814.719995264, 530644.6058049792 3506541.854965493, 530060.0142155811 3507330.0854769335, 529555.4976951231 3508171.8204388693, 529135.9150134937 3509058.9534834786, 528805.3069812845 3509982.941034585, 528566.8575345743 3510934.884586968, 528422.8630718846 3511905.6164038335, 528374.7103386066 3512885.7878071293, 528422.8630718846 3513865.959210425, 528566.8575345743 3514836.6910272907, 528805.3069812845 3515788.634579674, 529135.9150134937 3516712.62213078, 529555.4976951231 3517599.7551753893, 530060.0142155811 3518441.490137325, 530644.6058049792 3519229.7206487656, 531303.6425267411 3519956.8556189947, 532030.7774969701 3520615.8923407565, 532819.0080084106 3521200.4839301547, 533660.7429703466 3521705.000450613, 534547.8760149557 3522124.5831322423, 535471.863566062 3522455.191164451, 536423.8071184453 3522693.6406111615, 537394.538935311 3522837.6350738513, 538374.7103386066 3522885.7878071293, 539354.8817419022 3522837.6350738513, 540325.613558768 3522693.6406111615, 541277.5571111513 3522455.191164451, 542201.5446622575 3522124.5831322423, 543088.6777068666 3521705.000450613, 543930.4126688027 3521200.4839301547, 544718.6431802431 3520615.8923407565, 545445.7781504721 3519956.8556189947, 546104.814872234 3519229.7206487656, 546689.4064616321 3518441.490137325, 547193.9229820902 3517599.7551753893, 547613.5056637195 3516712.62213078, 547944.1136959287 3515788.634579674, 548182.5631426389 3514836.6910272907, 548326.5576053286 3513865.959210425, 548374.7103386066 3512885.7878071293))"
Ensenada (marítimo),31.8932996,-116.6912627,Baja California,Puerto Internacion Maritimo,"Ensenada , Baja California",PG104,POINT (-116.69126270000001 31.8932996),PM,2,PM-PG104-2,"POLYGON ((539195.6716739705 3528650.41794123, 539147.5189406925 3527670.246537934, 539003.5244780028 3526699.5147210686, 538765.0750312926 3525747.5711686853, 538434.4669990834 3524823.583617579, 538014.8843174541 3523936.45057297, 537510.367796996 3523094.715611034, 536925.7762075979 3522306.4850995936, 536266.739485836 3521579.3501293645, 535539.604515607 3520920.3134076027, 534751.3740041666 3520335.7218182045, 533909.6390422306 3519831.205297746, 533022.5059976215 3519411.622616117, 532098.5184465152 3519081.014583908, 531146.5748941319 3518842.5651371977, 530175.8430772661 3518698.570674508, 529195.6716739705 3518650.41794123, 528215.5002706749 3518698.570674508, 527244.7684538092 3518842.5651371977, 526292.8249014259 3519081.014583908, 525368.8373503196 3519411.622616117, 524481.7043057105 3519831.205297746, 523639.9693437745 3520335.7218182045, 522851.73883233406 3520920.3134076027, 522124.60386210505 3521579.3501293645, 521465.56714034313 3522306.4850995936, 520880.9755509451 3523094.715611034, 520376.459030487 3523936.45057297, 519956.87634885765 3524823.583617579, 519626.26831664843 3525747.5711686853, 519387.8188699382 3526699.5147210686, 519243.8244072486 3527670.246537934, 519195.67167397053 3528650.41794123, 519243.8244072486 3529630.5893445257, 519387.8188699382 3530601.321161391, 519626.26831664843 3531553.2647137744, 519956.87634885765 3532477.2522648806, 520376.459030487 3533364.38530949, 520880.9755509451 3534206.1202714257, 521465.56714034313 3534994.350782866, 522124.60386210505 3535721.4857530952, 522851.73883233406 3536380.522474857, 523639.9693437745 3536965.1140642553, 524481.7043057105 3537469.6305847135, 525368.8373503196 3537889.213266343, 526292.8249014259 3538219.8212985517, 527244.7684538092 3538458.270745262, 528215.5002706749 3538602.265207952, 529195.6716739705 3538650.41794123, 530175.8430772661 3538602.265207952, 531146.5748941319 3538458.270745262, 532098.5184465152 3538219.8212985517, 533022.5059976215 3537889.213266343, 533909.6390422306 3537469.6305847135, 534751.3740041666 3536965.1140642553, 535539.604515607 3536380.522474857, 536266.739485836 3535721.4857530952, 536925.7762075979 3534994.350782866, 537510.367796996 3534206.1202714257, 538014.8843174541 3533364.38530949, 538434.4669990834 3532477.2522648806, 538765.0750312926 3531553.2647137744, 539003.5244780028 3530601.321161391, 539147.5189406925 3529630.5893445257, 539195.6716739705 3528650.41794123))"
"Tijuana, A. I. ""Gral. Abelardo L. Rodríguez """,32.5465620217463,-116.96326129095864,Baja California,Aeropuerto Internacional,"Tijuana, Baja California",PG105,POINT (-116.96326129095864 32.54656202174629),AI,1,AI-PG105-1,"POLYGON ((513449.4245381145 3601021.185256087, 513401.27180483646 3600041.0138527914, 513257.27734214684 3599070.282035926, 513018.8278954366 3598118.3384835427, 512688.2198632274 3597194.3509324365, 512268.63718159805 3596307.217887827, 511764.12066113995 3595465.4829258914, 511179.5290717419 3594677.252414451, 510520.49234998 3593950.117444222, 509793.357379751 3593291.08072246, 509005.12686831056 3592706.489133062, 508163.3919063745 3592201.9726126036, 507276.25886176544 3591782.389930974, 506352.2713106591 3591451.7818987654, 505400.3277582758 3591213.332452055, 504429.5959414101 3591069.337989365, 503449.4245381145 3591021.185256087, 502469.2531348189 3591069.337989365, 501498.52131795324 3591213.332452055, 500546.5777655699 3591451.7818987654, 499622.5902144636 3591782.389930974, 498735.45716985455 3592201.9726126036, 497893.7222079185 3592706.489133062, 497105.49169647804 3593291.08072246, 496378.35672624904 3593950.117444222, 495719.3200044871 3594677.252414451, 495134.7284150891 3595465.4829258914, 494630.211894631 3596307.217887827, 494210.62921300164 3597194.3509324365, 493880.0211807924 3598118.3384835427, 493641.5717340822 3599070.282035926, 493497.57727139257 3600041.0138527914, 493449.4245381145 3601021.185256087, 493497.57727139257 3602001.356659383, 493641.5717340822 3602972.0884762486, 493880.0211807924 3603924.032028632, 494210.62921300164 3604848.019579738, 494630.211894631 3605735.1526243472, 495134.7284150891 3606576.887586283, 495719.3200044871 3607365.1180977235, 496378.35672624904 3608092.2530679526, 497105.49169647804 3608751.2897897144, 497893.7222079185 3609335.8813791126, 498735.45716985455 3609840.397899571, 499622.5902144636 3610259.9805812, 500546.5777655699 3610590.588613409, 501498.52131795324 3610829.0380601194, 502469.2531348189 3610973.032522809, 503449.4245381145 3611021.185256087, 504429.5959414101 3610973.032522809, 505400.3277582758 3610829.0380601194, 506352.2713106591 3610590.588613409, 507276.25886176544 3610259.9805812, 508163.3919063745 3609840.397899571, 509005.12686831056 3609335.8813791126, 509793.357379751 3608751.2897897144, 510520.49234998 3608092.2530679526, 511179.52907174185 3607365.1180977235, 511764.12066113995 3606576.887586283, 512268.63718159805 3605735.1526243472, 512688.2198632274 3604848.019579738, 513018.8278954366 3603924.032028632, 513257.27734214684 3602972.0884762486, 513401.27180483646 3602001.356659383, 513449.4245381145 3601021.185256087))"
Tecate (terrestre),32.57613508236901,-116.62741363669146,Baja California,Cruce Fronterizo Terrestre,"Tecate , Baja California",PG105,POINT (-116.62741363669144 32.576135082369),FN,2,FN-PG105-2,"POLYGON ((544971.0389738333 3604360.0547356773, 544922.8862405553 3603379.8833323815, 544778.8917778656 3602409.151515516, 544540.4423311554 3601457.2079631328, 544209.8342989462 3600533.2204120266, 543790.2516173169 3599646.0873674173, 543285.7350968588 3598804.3524054815, 542701.1435074607 3598016.121894041, 542042.1067856988 3597288.986923812, 541314.9718154698 3596629.95020205, 540526.7413040294 3596045.358612652, 539685.0063420933 3595540.8420921937, 538797.8732974842 3595121.2594105643, 537873.885746378 3594790.6513783555, 536921.9421939946 3594552.201931645, 535951.2103771289 3594408.2074689553, 534971.0389738333 3594360.0547356773, 533990.8675705377 3594408.2074689553, 533020.135753672 3594552.201931645, 532068.1922012886 3594790.6513783555, 531144.2046501824 3595121.2594105643, 530257.0716055733 3595540.8420921937, 529415.3366436373 3596045.358612652, 528627.1061321968 3596629.95020205, 527899.9711619678 3597288.986923812, 527240.9344402059 3598016.121894041, 526656.3428508078 3598804.3524054815, 526151.8263303498 3599646.0873674173, 525732.2436487204 3600533.2204120266, 525401.6356165112 3601457.2079631328, 525163.186169801 3602409.151515516, 525019.1917071113 3603379.8833323815, 524971.0389738333 3604360.0547356773, 525019.1917071113 3605340.226138973, 525163.186169801 3606310.9579558386, 525401.6356165112 3607262.901508222, 525732.2436487204 3608186.889059328, 526151.8263303498 3609074.0221039373, 526656.3428508078 3609915.757065873, 527240.9344402059 3610703.9875773136, 527899.9711619678 3611431.1225475427, 528627.1061321968 3612090.1592693045, 529415.3366436373 3612674.7508587027, 530257.0716055733 3613179.267379161, 531144.2046501824 3613598.8500607903, 532068.1922012886 3613929.458092999, 533020.135753672 3614167.9075397095, 533990.8675705377 3614311.9020023993, 534971.0389738333 3614360.0547356773, 535951.2103771289 3614311.9020023993, 536921.9421939946 3614167.9075397095, 537873.885746378 3613929.458092999, 538797.8732974842 3613598.8500607903, 539685.0063420933 3613179.267379161, 540526.7413040294 3612674.7508587027, 541314.9718154698 3612090.1592693045, 542042.1067856988 3611431.1225475427, 542701.1435074607 3610703.9875773136, 543285.7350968588 3609915.757065873, 543790.2516173169 3609074.0221039373, 544209.8342989462 3608186.889059328, 544540.4423311554 3607262.901508222, 544778.8917778656 3606310.9579558386, 544922.8862405553 3605340.226138973, 544971.0389738333 3604360.0547356773))"
Isla Cedros (marítimo),28.1544990198747,-115.233073824214,Baja California,Puerto Internacion Maritimo,"Isla Cedros , Baja California",PG128,POINT (-115.233073824214 28.15449901987469),PM,1,PM-PG128-1,"POLYGON ((683495.5903356378 3115579.758786235, 683447.4376023598 3114599.587382939, 683303.4431396701 3113628.8555660737, 683064.9936929599 3112676.9120136905, 682734.3856607507 3111752.9244625843, 682314.8029791213 3110865.791417975, 681810.2864586633 3110024.056456039, 681225.6948692652 3109235.8259445988, 680566.6581475033 3108508.6909743696, 679839.5231772743 3107849.654252608, 679051.2926658338 3107265.0626632096, 678209.5577038978 3106760.5461427514, 677322.4246592887 3106340.963461122, 676398.4371081825 3106010.355428913, 675446.4935557991 3105771.905982203, 674475.7617389334 3105627.911519513, 673495.5903356378 3105579.758786235, 672515.4189323422 3105627.911519513, 671544.6871154765 3105771.905982203, 670592.7435630931 3106010.355428913, 669668.7560119869 3106340.963461122, 668781.6229673778 3106760.5461427514, 667939.8880054418 3107265.0626632096, 667151.6574940013 3107849.654252608, 666424.5225237723 3108508.6909743696, 665765.4858020104 3109235.8259445988, 665180.8942126123 3110024.056456039, 664676.3776921543 3110865.791417975, 664256.7950105249 3111752.9244625843, 663926.1869783157 3112676.9120136905, 663687.7375316055 3113628.8555660737, 663543.7430689158 3114599.587382939, 663495.5903356378 3115579.758786235, 663543.7430689158 3116559.930189531, 663687.7375316055 3117530.6620063963, 663926.1869783157 3118482.6055587796, 664256.7950105249 3119406.5931098857, 664676.3776921543 3120293.726154495, 665180.8942126123 3121135.461116431, 665765.4858020104 3121923.6916278712, 666424.5225237723 3122650.8265981004, 667151.6574940013 3123309.863319862, 667939.8880054418 3123894.4549092604, 668781.6229673778 3124398.9714297187, 669668.7560119869 3124818.554111348, 670592.7435630931 3125149.162143557, 671544.6871154765 3125387.611590267, 672515.4189323422 3125531.606052957, 673495.5903356378 3125579.758786235, 674475.7617389334 3125531.606052957, 675446.4935557991 3125387.611590267, 676398.4371081825 3125149.162143557, 677322.4246592887 3124818.554111348, 678209.5577038978 3124398.9714297187, 679051.2926658338 3123894.4549092604, 679839.5231772743 3123309.863319862, 680566.6581475033 3122650.8265981004, 681225.6948692652 3121923.6916278712, 681810.2864586633 3121135.461116431, 682314.8029791213 3120293.726154495, 682734.3856607507 3119406.5931098857, 683064.9936929599 3118482.6055587796, 683303.4431396701 3117530.6620063963, 683447.4376023598 3116559.930189531, 683495.5903356378 3115579.758786235))"
"Mexicali, A. I.",32.64053259386955,-115.2495368530918,Baja California,Aeropuerto Internacional,"Mexicali, Baja California",PG132,POINT (-115.2495368530918 32.640532593869544),AI,1,AI-PG132-1,"POLYGON ((674191.605040582 3612790.562320927, 674143.452307304 3611810.3909176313, 673999.4578446143 3610839.659100766, 673761.0083979041 3609887.7155483826, 673430.4003656949 3608963.7279972765, 673010.8176840656 3608076.594952667, 672506.3011636075 3607234.8599907313, 671921.7095742094 3606446.629479291, 671262.6728524475 3605719.494509062, 670535.5378822185 3605060.4577873, 669747.307370778 3604475.866197902, 668905.572408842 3603971.3496774435, 668018.4393642329 3603551.766995814, 667094.4518131267 3603221.1589636053, 666142.5082607433 3602982.709516895, 665171.7764438776 3602838.715054205, 664191.605040582 3602790.562320927, 663211.4336372864 3602838.715054205, 662240.7018204207 3602982.709516895, 661288.7582680373 3603221.1589636053, 660364.7707169311 3603551.766995814, 659477.637672322 3603971.3496774435, 658635.902710386 3604475.866197902, 657847.6721989455 3605060.4577873, 657120.5372287165 3605719.494509062, 656461.5005069546 3606446.629479291, 655876.9089175565 3607234.8599907313, 655372.3923970985 3608076.594952667, 654952.8097154691 3608963.7279972765, 654622.2016832599 3609887.7155483826, 654383.7522365497 3610839.659100766, 654239.75777386 3611810.3909176313, 654191.605040582 3612790.562320927, 654239.75777386 3613770.733724223, 654383.7522365497 3614741.4655410885, 654622.2016832599 3615693.4090934717, 654952.8097154691 3616617.396644578, 655372.3923970985 3617504.529689187, 655876.9089175565 3618346.264651123, 656461.5005069546 3619134.4951625634, 657120.5372287165 3619861.6301327925, 657847.6721989455 3620520.6668545543, 658635.902710386 3621105.2584439525, 659477.637672322 3621609.774964411, 660364.7707169311 3622029.35764604, 661288.7582680373 3622359.965678249, 662240.7018204207 3622598.4151249593, 663211.4336372864 3622742.409587649, 664191.605040582 3622790.562320927, 665171.7764438776 3622742.409587649, 666142.5082607433 3622598.4151249593, 667094.4518131267 3622359.965678249, 668018.4393642329 3622029.35764604, 668905.572408842 3621609.774964411, 669747.307370778 3621105.2584439525, 670535.5378822185 3620520.6668545543, 671262.6728524475 3619861.6301327925, 671921.7095742094 3619134.4951625634, 672506.3011636075 3618346.264651123, 673010.8176840656 3617504.529689187, 673430.4003656949 3616617.396644578, 673761.0083979041 3615693.4090934717, 673999.4578446143 3614741.4655410885, 674143.452307304 3613770.733724223, 674191.605040582 3612790.562320927))"
Mexicali I (terrestre),32.67558124644809,-115.49398369917375,Baja California,Cruce Fronterizo Terrestre,"Mexicali I , Baja California",PG132,POINT (-115.49398369917374 32.67558124644808),FN,2,FN-PG132-2,"POLYGON ((651205.2118961811 3616324.8295200737, 651157.0591629031 3615344.658116778, 651013.0647002134 3614373.9262999124, 650774.6152535032 3613421.982747529, 650444.007221294 3612497.995196423, 650024.4245396646 3611610.8621518137, 649519.9080192066 3610769.127189878, 648935.3164298085 3609980.8966784375, 648276.2797080466 3609253.7617082084, 647549.1447378176 3608594.7249864466, 646760.9142263772 3608010.1333970483, 645919.1792644411 3607505.61687659, 645032.046219832 3607086.0341949607, 644108.0586687258 3606755.426162752, 643156.1151163424 3606516.9767160416, 642185.3832994767 3606372.9822533517, 641205.2118961811 3606324.8295200737, 640225.0404928855 3606372.9822533517, 639254.3086760198 3606516.9767160416, 638302.3651236364 3606755.426162752, 637378.3775725302 3607086.0341949607, 636491.2445279211 3607505.61687659, 635649.5095659851 3608010.1333970483, 634861.2790545446 3608594.7249864466, 634134.1440843156 3609253.7617082084, 633475.1073625537 3609980.8966784375, 632890.5157731556 3610769.127189878, 632385.9992526976 3611610.8621518137, 631966.4165710682 3612497.995196423, 631635.808538859 3613421.982747529, 631397.3590921488 3614373.9262999124, 631253.3646294591 3615344.658116778, 631205.2118961811 3616324.8295200737, 631253.3646294591 3617305.0009233695, 631397.3590921488 3618275.732740235, 631635.808538859 3619227.6762926183, 631966.4165710682 3620151.6638437244, 632385.9992526976 3621038.7968883337, 632890.5157731556 3621880.5318502695, 633475.1073625537 3622668.76236171, 634134.1440843156 3623395.897331939, 634861.2790545446 3624054.934053701, 635649.5095659851 3624639.525643099, 636491.2445279211 3625144.0421635574, 637378.3775725302 3625563.6248451867, 638302.3651236364 3625894.2328773956, 639254.3086760198 3626132.682324106, 640225.0404928855 3626276.6767867957, 641205.2118961811 3626324.8295200737, 642185.3832994767 3626276.6767867957, 643156.1151163424 3626132.682324106, 644108.0586687258 3625894.2328773956, 645032.046219832 3625563.6248451867, 645919.1792644411 3625144.0421635574, 646760.9142263772 3624639.525643099, 647549.1447378176 3624054.934053701, 648276.2797080466 3623395.897331939, 648935.3164298085 3622668.76236171, 649519.9080192066 3621880.5318502695, 650024.4245396646 3621038.7968883337, 650444.007221294 3620151.6638437244, 650774.6152535032 3619227.6762926183, 651013.0647002134 3618275.732740235, 651157.0591629031 3617305.0009233695, 651205.2118961811 3616324.8295200737))"
Mexicali II (terrestre),32.6773151625109,-115.38549370949664,Baja California,Cruce Fronterizo Terrestre,"Mexicali II , Baja California",PG132,POINT (-115.38549370949666 32.677315162510894),FN,3,FN-PG132-3,"POLYGON ((661375.4824390601 3616666.6764045022, 661327.3297057821 3615686.5050012064, 661183.3352430924 3614715.773184341, 660944.8857963822 3613763.8296319577, 660614.277764173 3612839.8420808516, 660194.6950825437 3611952.709036242, 659690.1785620856 3611110.9740743064, 659105.5869726875 3610322.743562866, 658446.5502509256 3609595.608592637, 657719.4152806966 3608936.571870875, 656931.1847692562 3608351.980281477, 656089.4498073201 3607847.4637610186, 655202.316762711 3607427.8810793892, 654278.3292116048 3607097.2730471804, 653326.3856592214 3606858.82360047, 652355.6538423557 3606714.8291377802, 651375.4824390601 3606666.6764045022, 650395.3110357645 3606714.8291377802, 649424.5792188988 3606858.82360047, 648472.6356665154 3607097.2730471804, 647548.6481154092 3607427.8810793892, 646661.5150708001 3607847.4637610186, 645819.7801088641 3608351.980281477, 645031.5495974236 3608936.571870875, 644304.4146271946 3609595.608592637, 643645.3779054327 3610322.743562866, 643060.7863160346 3611110.9740743064, 642556.2697955766 3611952.709036242, 642136.6871139472 3612839.8420808516, 641806.079081738 3613763.8296319577, 641567.6296350278 3614715.773184341, 641423.6351723381 3615686.5050012064, 641375.4824390601 3616666.6764045022, 641423.6351723381 3617646.847807798, 641567.6296350278 3618617.5796246636, 641806.079081738 3619569.523177047, 642136.6871139472 3620493.510728153, 642556.2697955766 3621380.6437727623, 643060.7863160346 3622222.378734698, 643645.3779054327 3623010.6092461385, 644304.4146271946 3623737.7442163676, 645031.5495974236 3624396.7809381294, 645819.7801088641 3624981.3725275276, 646661.5150708001 3625485.889047986, 647548.6481154092 3625905.4717296152, 648472.6356665154 3626236.079761824, 649424.5792188988 3626474.5292085344, 650395.3110357645 3626618.5236712242, 651375.4824390601 3626666.6764045022, 652355.6538423557 3626618.5236712242, 653326.3856592214 3626474.5292085344, 654278.3292116048 3626236.079761824, 655202.316762711 3625905.4717296152, 656089.4498073201 3625485.889047986, 656931.1847692562 3624981.3725275276, 657719.4152806966 3624396.7809381294, 658446.5502509256 3623737.7442163676, 659105.5869726875 3623010.6092461385, 659690.1785620856 3622222.378734698, 660194.6950825437 3621380.6437727623, 660614.277764173 3620493.510728153, 660944.8857963822 3619569.523177047, 661183.3352430924 3618617.5796246636, 661327.3297057821 3617646.847807798, 661375.4824390601 3616666.6764045022))"
Punta Prieta (marítimo),27.0158141,-114.0426703,Baja California Sur,Puerto Internacion Maritimo,"Punta Prieta , Baja California Sur",PG154,POINT (-114.0426703 27.015814099999997),PM,1,PM-PG154-1,"POLYGON ((803448.033387658 2991628.8160797884, 803399.88065438 2990648.6446764925, 803255.8861916902 2989677.912859627, 803017.43674498 2988725.969307244, 802686.8287127708 2987801.9817561377, 802267.2460311415 2986914.8487115283, 801762.7295106834 2986073.1137495926, 801178.1379212853 2985284.883238152, 800519.1011995234 2984557.748267923, 799791.9662292944 2983898.711546161, 799003.735717854 2983314.119956763, 798162.000755918 2982809.6034363047, 797274.8677113089 2982390.0207546754, 796350.8801602026 2982059.4127224665, 795398.9366078193 2981820.963275756, 794428.2047909535 2981676.9688130664, 793448.033387658 2981628.8160797884, 792467.8619843624 2981676.9688130664, 791497.1301674966 2981820.963275756, 790545.1866151133 2982059.4127224665, 789621.199064007 2982390.0207546754, 788734.0660193979 2982809.6034363047, 787892.3310574619 2983314.119956763, 787104.1005460215 2983898.711546161, 786376.9655757925 2984557.748267923, 785717.9288540306 2985284.883238152, 785133.3372646325 2986073.1137495926, 784628.8207441744 2986914.8487115283, 784209.2380625451 2987801.9817561377, 783878.6300303359 2988725.969307244, 783640.1805836257 2989677.912859627, 783496.186120936 2990648.6446764925, 783448.033387658 2991628.8160797884, 783496.186120936 2992608.987483084, 783640.1805836257 2993579.7192999497, 783878.6300303359 2994531.662852333, 784209.2380625451 2995455.650403439, 784628.8207441744 2996342.7834480484, 785133.3372646325 2997184.518409984, 785717.9288540306 2997972.7489214246, 786376.9655757925 2998699.8838916537, 787104.1005460215 2999358.9206134155, 787892.3310574619 2999943.5122028138, 788734.0660193979 3000448.028723272, 789621.199064007 3000867.6114049014, 790545.1866151133 3001198.2194371102, 791497.1301674966 3001436.6688838205, 792467.8619843624 3001580.6633465104, 793448.033387658 3001628.8160797884, 794428.2047909535 3001580.6633465104, 795398.9366078193 3001436.6688838205, 796350.8801602026 3001198.2194371102, 797274.8677113089 3000867.6114049014, 798162.000755918 3000448.028723272, 799003.735717854 2999943.5122028138, 799791.9662292944 2999358.9206134155, 800519.1011995234 2998699.8838916537, 801178.1379212853 2997972.7489214246, 801762.7295106834 2997184.518409984, 802267.2460311415 2996342.7834480484, 802686.8287127708 2995455.650403439, 803017.43674498 2994531.662852333, 803255.8861916902 2993579.7192999497, 803399.88065438 2992608.987483084, 803448.033387658 2991628.8160797884))"
"San Felipe, A. I.",30.93210627250805,-114.80862676931196,Baja California,Aeropuerto Internacional,"San Felipe, Baja California",PG157,POINT (-114.80862676931196 30.93210627250805),AI,1,AI-PG157-1,"POLYGON ((719374.0927199781 3424136.3787277723, 719325.9399867001 3423156.2073244764, 719181.9455240103 3422185.475507611, 718943.4960773002 3421233.5319552277, 718612.888045091 3420309.5444041216, 718193.3053634616 3419422.4113595122, 717688.7888430036 3418580.6763975765, 717104.1972536055 3417792.445886136, 716445.1605318435 3417065.310915907, 715718.0255616145 3416406.274194145, 714929.7950501741 3415821.682604747, 714088.0600882381 3415317.1660842886, 713200.927043629 3414897.5834026593, 712276.9394925227 3414566.9753704504, 711324.9959401394 3414328.52592374, 710354.2641232737 3414184.5314610503, 709374.0927199781 3414136.3787277723, 708393.9213166825 3414184.5314610503, 707423.1894998167 3414328.52592374, 706471.2459474334 3414566.9753704504, 705547.2583963271 3414897.5834026593, 704660.125351718 3415317.1660842886, 703818.390389782 3415821.682604747, 703030.1598783416 3416406.274194145, 702303.0249081126 3417065.310915907, 701643.9881863507 3417792.445886136, 701059.3965969526 3418580.6763975765, 700554.8800764945 3419422.4113595122, 700135.2973948652 3420309.5444041216, 699804.689362656 3421233.5319552277, 699566.2399159458 3422185.475507611, 699422.2454532561 3423156.2073244764, 699374.0927199781 3424136.3787277723, 699422.2454532561 3425116.550131068, 699566.2399159458 3426087.2819479336, 699804.689362656 3427039.225500317, 700135.2973948652 3427963.213051423, 700554.8800764945 3428850.3460960323, 701059.3965969526 3429692.081057968, 701643.9881863507 3430480.3115694085, 702303.0249081126 3431207.4465396376, 703030.1598783416 3431866.4832613994, 703818.390389782 3432451.0748507977, 704660.125351718 3432955.591371256, 705547.2583963271 3433375.1740528853, 706471.2459474334 3433705.782085094, 707423.1894998167 3433944.2315318044, 708393.9213166825 3434088.2259944943, 709374.0927199781 3434136.3787277723, 710354.2641232737 3434088.2259944943, 711324.9959401394 3433944.2315318044, 712276.9394925227 3433705.782085094, 713200.927043629 3433375.1740528853, 714088.0600882381 3432955.591371256, 714929.7950501741 3432451.0748507977, 715718.0255616145 3431866.4832613994, 716445.1605318435 3431207.4465396376, 717104.1972536055 3430480.3115694085, 717688.7888430036 3429692.081057968, 718193.3053634616 3428850.3460960323, 718612.888045091 3427963.213051423, 718943.4960773002 3427039.225500317, 719181.9455240103 3426087.2819479336, 719325.9399867001 3425116.550131068, 719374.0927199781 3424136.3787277723))"
