description,geometry_str,tipo,name,descripcion_1,descripcion_2,descripcion_3,descripcion_4,descripcion_5,descripcion_6,descripcion_7,descripcion_8,descripcion_9,descripcion_10,descripcion_11,descripcion_12,descripcion_13
"Asistencia humanitaria y de alojamiento a personas migrantes y que buscan protección en México.	<br><br>Calle José Guadalupe Posada S/N, Barrio de Guadalupe. <br><br>449 224 9548	<br><br>Lunes a domingo, 8:00 - 20:00 hrs.","c(-102.3075858, 21.8859981, 0)",Albergue / Alimentación / Compras,Casa Migrante Camino a la Vida,Asistencia humanitaria y de alojamiento a personas migrantes y que buscan protección en México.	,,"Calle José Guadalupe Posada S/N, Barrio de Guadalupe. ",,449 224 9548	,,"Lunes a domingo, 8:00 - 20:00 hrs.",,,,,,
"Alimentos saludables a bajo costo.	<br><br>2a. Privada Gral. Emiliano Zapata No. 202, Centro. <br><br>449 915 9294 <br><br>Lunes a viernes, Desayuno: 7:00 - 11:00 hrs.","c(-102.3011164, 21.8821255, 0)",Albergue / Alimentación / Compras,Cáritas Diocesana,Alimentos saludables a bajo costo.	,,"2a. Privada Gral. Emiliano Zapata No. 202, Centro. ",,449 915 9294 ,,"Lunes a viernes, Desayuno: 7:00 - 11:00 hrs.",,,,,,
"Alimentos saludables a bajo costo.	<br><br>Avenida José Ma. Chávez No. 1101, Col. Las Américas. <br><br>449 978 2454	<br><br>Lunes a viernes 13:00 hrs.","c(-102.2950688, 21.868025, 0)",Albergue / Alimentación / Compras,Parroquia De Las Tres Ave Marías,Alimentos saludables a bajo costo.	,,"Avenida José Ma. Chávez No. 1101, Col. Las Américas. ",,449 978 2454	,,Lunes a viernes 13:00 hrs.,,,,,,
"Alimentos saludables para personas adultas mayores.	<br><br>Calle Libertad casi esquina con calle Mora, Centro.	<br><br>	Lunes, martes, jueves, viernes y sábado 13:00 hrs.","c(-102.299825, 21.8874131, 0)",Albergue / Alimentación / Compras,Comer del Abuelo,Alimentos saludables para personas adultas mayores.	,,"Calle Libertad casi esquina con calle Mora, Centro.	",,"	Lunes, martes, jueves, viernes y sábado 13:00 hrs.",,,,,,,,
"Alimentos saludables a bajo costo.	<br><br>Calle Álamo No. 404, Col. El Sol.	<br><br>	Lunes, miércoles y viernes a las 13:00","c(-102.2957278, 21.8938054, 0)",Albergue / Alimentación / Compras,Comedor San Judas Tadeo,Alimentos saludables a bajo costo.	,,"Calle Álamo No. 404, Col. El Sol.	",,"	Lunes, miércoles y viernes a las 13:00",,,,,,,,
"Venta de alimentos y productos básicos.<br><br>Calle Unión, Centro.	<br><br>	Lunes a domingo, 9:00 - 17:00 hrs.","c(-102.2966212, 21.8845297, 0)",Compras / Cultura y Recreación,Mercado Terán Juárez,Venta de alimentos y productos básicos.,,"Calle Unión, Centro.	",,"	Lunes a domingo, 9:00 - 17:00 hrs.",,,,,,,,
"Venta de alimentos y productos básicos.	<br><br>Calle Del Abasto S/N, Col. San Francisco del Arenal.	<br><br>	Lunes a domingo, 9:00 - 17:00 hrs.","c(-102.2929618, 21.8320703, 0)",Compras / Cultura y Recreación,Central de Abastos Aguascalientes,Venta de alimentos y productos básicos.	,,"Calle Del Abasto S/N, Col. San Francisco del Arenal.	",,"	Lunes a domingo, 9:00 - 17:00 hrs.",,,,,,,,
"Vinculación cultural, servicios y derechos culturales a la población en general.	<br><br>Calle Antonio Acevedo No. 131, Centro.	<br><br>449 915 0700	<br><br>Lunes a viernes, 9:00 - 16:00 hrs.","c(-102.2945313, 21.8799223, 0)",Compras / Cultura y Recreación,Instituto Municipal Aguascalentense para la Cultura,"Vinculación cultural, servicios y derechos culturales a la población en general.	",,"Calle Antonio Acevedo No. 131, Centro.	",,449 915 0700	,,"Lunes a viernes, 9:00 - 16:00 hrs.",,,,,,
"Vinculación cultural, servicios y derechos culturales a la población en general.	<br><br>Calle Venustiano Carranza No. 101, Centro.	<br><br>449 910 2010	<br><br>Lunes a viernes, 9:00 - 20:00 hrs.","c(-102.2991832, 21.8812135, 0)",Compras / Cultura y Recreación,Instituto Cultural de Aguascalientes,"Vinculación cultural, servicios y derechos culturales a la población en general.	",,"Calle Venustiano Carranza No. 101, Centro.	",,449 910 2010	,,"Lunes a viernes, 9:00 - 20:00 hrs.",,,,,,
"Promueve y mejora la calidad de vida física, social, emocional y productiva de las personas de todos los niveles socioeconómicos. <br><br>	Avenida Convención de 1914, Col. Héroes.	<br><br>449 970 1350	<br><br>Lunes a viernes, 8:30 - 17:00 hrs.","c(-102.2717397, 21.8806298, 0)",Compras / Cultura y Recreación,Instituto del Deporte del Estado de Aguascalientes,"Promueve y mejora la calidad de vida física, social, emocional y productiva de las personas de todos los niveles socioeconómicos. ",,"	Avenida Convención de 1914, Col. Héroes.	",,449 970 1350	,,"Lunes a viernes, 8:30 - 17:00 hrs.",,,,,,
"Actividades recreativas al aire libre.	<br><br>Calle Jesús F. Contreras S/N, Barrio de San Marcos.	<br><br>	Lunes a domingo, 8:00 - 20:00 hrs.","c(-102.303231, 21.8795807, 0)",Compras / Cultura y Recreación,Jardín de San Marcos,Actividades recreativas al aire libre.	,,"Calle Jesús F. Contreras S/N, Barrio de San Marcos.	",,"	Lunes a domingo, 8:00 - 20:00 hrs.",,,,,,,,
"Actividades recreativas al aire libre y área protección a las especies en peligro de extinción.	<br><br>Blvd. José María Chávez No. 1801, Desarrollo Especial Villa Asunción.	<br><br>449 978 5106	<br><br>Martes a domingo 9:00 - 18:00 hrs.","c(-102.2915138, 21.8516852, 0)",Compras / Cultura y Recreación,Parque Rodolfo Landeros,Actividades recreativas al aire libre y área protección a las especies en peligro de extinción.	,,"Blvd. José María Chávez No. 1801, Desarrollo Especial Villa Asunción.	",,449 978 5106	,,Martes a domingo 9:00 - 18:00 hrs.,,,,,,
"Práctica de fútbol, básquetbol, voleibol, tenis, gimnasio al aire libre, ciclo pista, pista para corredores y pista de patinaje.<br><br>Avenida Paseo de Ojocaliente No.5, Desarrollo Especial Parque Ecológico el Cedazo.	<br><br>449 974 1167	<br><br>Martes a domingo 9:00 - 18:00 hrs.","c(-102.2563303, 21.8686361, 0)",Compras / Cultura y Recreación,Parque Ecologico El Cedazo,"Práctica de fútbol, básquetbol, voleibol, tenis, gimnasio al aire libre, ciclo pista, pista para corredores y pista de patinaje.",,"Avenida Paseo de Ojocaliente No.5, Desarrollo Especial Parque Ecológico el Cedazo.	",,449 974 1167	,,Martes a domingo 9:00 - 18:00 hrs.,,,,,,
