Organization Name,Facility  Name,Tipo,Direccion,Fuente,longitud,latitud
,Casa Migrante Camino a la Vida,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-102.3075858,21.8859981
,Cáritas Diocesana,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-102.3011164,21.8821255
,Parroquia De Las Tres Ave Marías,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-102.2950688,21.868025
,Comer del Abuelo,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-102.299825,21.8874131
,Comedor San Judas Tadeo,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-102.2957278,21.8938054
,Mercado Terán Juárez,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2966212,21.8845297
,Central de Abastos Aguascalientes,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2929618,21.8320703
,Instituto Municipal Aguascalentense para la Cultura,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2945313,21.8799223
,Instituto Cultural de Aguascalientes,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2991832,21.8812135
,Instituto del Deporte del Estado de Aguascalientes,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2717397,21.8806298
,Jardín de San Marcos,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.303231,21.8795807
,Parque Rodolfo Landeros,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2915138,21.8516852
,Parque Ecologico El Cedazo,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-102.2563303,21.8686361
,Centro de Justicia para Mujeres,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.2528075,21.8668426
,Instituto Aguascalentense de la Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.2806974,21.889146
,Instituto Municipal de la Mujer de Aguascalientes,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.2919403,21.8850228
,DIF Municipal de Aguascalientes,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.310767,21.908612
,DIF Estatal Aguascalientes,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.309394,21.8676712
,"Procuraduría de Protección de Niñas, Niños y Adolescentes ","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.3095092,21.8678745
,Instituto Municipal de la Juventud,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-102.295057,21.8815815
