id_org,Organización,Dirección,Ciudad,Estado,País,Código Postal,Tipo de Iniciativa,DirecciónCompleta
1, Otros Dreams en Acción ,"José María Marroquí 83 Colonia Centro, Centro, 06000 Centro, CDMX",Ciudad de México,Ciudad de México,México,06000,Asociación civil,"José María Marroquí 83 Colonia Centro, Centro, 06000 Centro, CDMX, Ciudad de México, Ciudad de México, México"
21," Cáritas Mazatlán, I.A.P (Albergue al peregrino) ","Toma de Celaya 86, Col. Francisco Villa, C.P. 82127",Mazatlán,Sinaloa,México,82127,Albergue,"Toma de Celaya 86, Col. Francisco Villa, C.P. 82127, Mazatlán, Sinaloa, México"
22, Albergue Una Gota en el Océano ,"Bahía Magdalena 20, Col. Rincón de Urías, C.P. 82070",Mazatlán,Sinaloa,México,82070,Albergue,"Bahía Magdalena 20, Col. Rincón de Urías, C.P. 82070, Mazatlán, Sinaloa, México"
23, Albergue Ejército de Salvación ,C. Gutierrez Nájera #514 Colonia Centro 82000,Mazatlán,Sinaloa,México,82000,Albergue,"C. Gutierrez Nájera #514 Colonia Centro 82000, Mazatlán, Sinaloa, México"
24, CAVI Centro de Atención a la Violencia Intrafamiliar ,AVE. EJERCITO MEXICANO 2017 ALTOS COL. PALOS PRIETOS,Mazatlán,Sinaloa,México,82010,Asociación civil,"AVE. EJERCITO MEXICANO 2017 ALTOS COL. PALOS PRIETOS, Mazatlán, Sinaloa, México"
25," Asociación Casa del Migrante La Divina Providencia, I.A.P. ","Avenida Zaragoza # 912, Col. Comercial, C.P. 83449",San Luis Río Colorado,Sonora,México,83449,Albergue,"Avenida Zaragoza # 912, Col. Comercial, C.P. 83449, San Luis Río Colorado, Sonora, México"
26, Comedor Iniciativa Kino para La Frontera ,Bulevar Luis Donaldo Colosio SN/N Col. del Rosario C.P. 84000,Nogales,Sonora,México,84000,Iniciativa,"Bulevar Luis Donaldo Colosio SN/N Col. del Rosario C.P. 84000, Nogales, Sonora, México"
27," Centro de Atención a Migrantes Deportados (CAMDEP), Iniciativa Kino para la Frontera ","Bulevard Luis Donaldo Colosio # 55 Col. Del Rosario, C.P. 84000",Nogales,Sonora,México,84000,Iniciativa,"Bulevard Luis Donaldo Colosio # 55 Col. Del Rosario, C.P. 84000, Nogales, Sonora, México"
28, Casa hogar para niñas Madre Conchita ,"Tecnologico 33, Col. El Greco C.P. 84066",Nogales,Sonora,México,84066,Albergue,"Tecnologico 33, Col. El Greco C.P. 84066, Nogales, Sonora, México"
29, Casa Hogar Nuestros Pequeños Hermanos ,"Pima 1, Lomas de Fátima, Nogales, Sonora C.P. 84020",Nogales,Sonora,México,84020,Asociación civil,"Pima 1, Lomas de Fátima, Nogales, Sonora C.P. 84020, Nogales, Sonora, México"
30," Albergue para migrantes San Juan Bosco, I.A.P. ",Montaño # 1063-A Colonia Municipal C.P. 84060,Nogales,Sonora,México,84060,Albergue,"Montaño # 1063-A Colonia Municipal C.P. 84060, Nogales, Sonora, México"
31, Centro Comunitario de Atención al Migrante y Necesitado (CCAMYN) ,"Av. Gonzalo Celdain # 78 Colonia Buenos Aires, C.P. 83750",Altar,Sonora,México,83750,Albergue,"Av. Gonzalo Celdain # 78 Colonia Buenos Aires, C.P. 83750, Altar, Sonora, México"
32," Centro de Atención al Migrante Exodus, A.C. (CAME) ",Av. Anáhuac 108 Colonia Centro Ferrocarril C.P. 84200,Agua Prieta,Sonora,México,84200,Albergue,"Av. Anáhuac 108 Colonia Centro Ferrocarril C.P. 84200, Agua Prieta, Sonora, México"
33, Casa YMCA para menores migrantes ,"Calle 1a entre 12 y 13 Agua Prieta, Sonora 84200",Agua Prieta,Sonora,México,84200,Albergue,"Calle 1a entre 12 y 13 Agua Prieta, Sonora 84200, Agua Prieta, Sonora, México"
34, Casa de Atención al Migrante El Santuario ,Capilla de Macuspana (Estación de tren),Macuspana,Tabasco,México,86706,Albergue,"Capilla de Macuspana (Estación de tren), Macuspana, Tabasco, México"
35, La72: Hogar-Refugio para personas migrantes ,"Prolongacion 20 S/N, Estacion Nueva 86901, Tenosique de Pino Suárez, Tabasco",Tenosique,Tabasco,México,86901,Albergue,"Prolongacion 20 S/N, Estacion Nueva 86901, Tenosique de Pino Suárez, Tabasco, Tenosique, Tabasco, México"
36, Las Americas IAC (Immigrant Advocacy Center) ,"1500 E Yandell Dr. El Paso, TX 79902",El Paso,Texas,Estados Unidos,79902,Asociación civil,"1500 E Yandell Dr. El Paso, TX 79902, El Paso, Texas, Estados Unidos"
37, Mexicanos en Exilio ,"1430 E Yandell El Paso, TX 79902",El Paso,Texas,Estados Unidos,79902,Asociación civil,"1430 E Yandell El Paso, TX 79902, El Paso, Texas, Estados Unidos"
38," Diocesan Migrant and Refugee Services, Inc (DMRS) ","2400 Yandell Dr El Paso, TX 79903",El Paso,Texas,Estados Unidos,79903,Asociación civil,"2400 Yandell Dr El Paso, TX 79903, El Paso, Texas, Estados Unidos"
39, Hope Border Institute ,"8330 Park Haven Ave, El Paso, TX 79907, United States",El Paso,Texas,Estados Unidos,79907,Asociación civil,"8330 Park Haven Ave, El Paso, TX 79907, United States, El Paso, Texas, Estados Unidos"
40, Casa de Migrantes Mons. Guillermo Ranzahuer ,"Calle Miguel Hidalgo 604, Barrio Primero, 96160 Oluta, Veracruz, México",Acayucan,Veracruz,México,96160,Albergue,"Calle Miguel Hidalgo 604, Barrio Primero, 96160 Oluta, Veracruz, México, Acayucan, Veracruz, México"
