name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Grupo Beta Mexicali,Grupos Beta,,,"32.62536262692454, -115.452184362009",OSC / ONG,"Av. Melgar No. 1, Garita Internacional, Zona Centro, C.P. 21100, Mexicali, B.C.",Directorio OIM
Grupo Beta Tecate,Grupos Beta,2.9111758,-75.2673143,"(2.9111758, -75.2673143)",OSC / ONG,"Calle 18, esq. con Tanamá s/n, Col. Bella Vista, C.P. 21440, Tecate, B.C.",Directorio OIM
Grupo Beta Tijuana,Grupos Beta,32.4994097,-116.9349353,"(32.4994097, -116.9349353)",OSC / ONG,"Boulevard Insurgentes No. 16000, Col. Los Álamos, C.P. 22110, Tijuana, Baja California.",Directorio OIM
Grupo Beta Arriaga,Grupos Beta,,,"16.206147402035015, -93.85365425987064",OSC / ONG,"4ta Calle Sur No. 108-B, entre Av. Ferrocarril y 1ra Poniente, Col. Centro, C.P. 30450, Arriaga, Chiapas.",Directorio OIM
Grupo Beta Comitán,Grupos Beta,16.2472069,-92.1452141,"(16.2472069, -92.1452141)",OSC / ONG,"Calle Central Poniente, Benito Juárez No. 130, esq. con 9na Poniente, Col. Barrio Candelaria, C.P. 30060, Comitán de Domínguez, Chiapas.",Directorio OIM
Grupo Beta Palenque,Grupos Beta,,,"17.518721482890168, -91.99331581566538",OSC / ONG,"Carretera Palenque - Playas de Catazajá, Ocosingo, Km 26 + 100, Lado A, Col. Guayacán, C.P. 29960, Palenque, Chiapas",Directorio OIM
Grupo Beta Tapachula,Grupos Beta,14.8684194,-92.283965,"(14.8684194, -92.283965)",OSC / ONG,"Calle Vialidad No. 435, Fracc. Las Vegas, C.P. 30798, Tapachula, Chiapas.",Directorio OIM
Grupo Beta Tuxtla Gutiérrez,Grupos Beta,,,"16.76253216129557, -93.12749274308113",OSC / ONG,"5ta Norte esq. 13 Poniente No. 1402 Col. El Magueyito, C.P. 29000, Tuxtla Gutiérrez, Chiapas",Directorio OIM
Grupo Beta San Luis Río Colorado,Grupos Beta,,,"32.468034254815535, -114.74911239012864",OSC / ONG,"Av. Zaragoza No. 2708, entre Calle 27 y 28, Col. Burócratas, C.P. 83450, San Luis Río Colorado, Sonora.",Directorio OIM
Grupo Beta Sásabe,Grupos Beta,31.3299604,-113.5123032,"(31.3299604, -113.5123032)",OSC / ONG,"Puerta de Entrada, Garita de México s/n, Col. Solidaridad, C.P. 87870, Sásabe, Sonora.",Directorio OIM
Grupo Beta Sonoyta,Grupos Beta,,,"32.49514143195857, -114.74867419635991",OSC / ONG,"Puerta Internacional Benemérito de las Américas y Línea Internacional No. 285, Col. Hombres Blancos, C.P. 83570, Sonoyta, Sonora.",Directorio OIM
Grupo Beta Tenosique,Grupos Beta,,,"17.468228801284518, -91.42182442126537",OSC / ONG,"Calle 25 No. 638 entre la 46 y 50, Col. Cocoyol, C.P. 86902, Tenosique, Tabasco.",Directorio OIM
Grupo Beta Matamoros,Grupos Beta,,,"25.896467318162095, -97.49819271012346",OSC / ONG,"Av. Álvaro Obregón s/n, Col. Jardín, Puente Internacional Puerta México, 1er. Piso, C.P. 87330, H. Matamoros, Tamaulipas.",Directorio OIM
Grupo Beta Acayucan,Grupos Beta,17.9978302,-94.921635,"(17.9978302, -94.921635)",OSC / ONG,"Carretera Costera del Golfo No. 180, Km 221, Col. Tecuanapa, C.P. 96000, Acayucan, Veracruz.",Directorio OIM
Grupo Beta CDMX,Grupos Beta,,,"19.324535635717947, -99.21682703676774",OSC / ONG,"Blvd. Adolfo López Mateos 3325, piso 5., San Jerónimo Lídice, Ciudad de México. C.P. 10200",Directorio OIM
