name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,estado,Teléfono,Correo electrónico
Nombre,Descripción,Latitud,Longitud,Coordenadas,GOB,"Hornedo 104, Zona Centro, C.P. 20000, Aguascalientes, Ags. ",Oficinas de Atención a Migrantes (OFAMs),Aguascalientes,01 (449) 916 4476,aldo.fernandez@aguascalientes.gob.mx
Oficinas de Atención a Migrante - Aguascalientes,Oficinas de Atención a Migrante,21.87926327,-102.2955718,"(21.87926327, -102.2955718)",GOB,"Centro comercial Plaza Patria, Blvd. Diaz Ordaz",Oficinas de Atención a Migrantes (OFAMs),Baja California,01 (664) 6211372 / 84,davila@baja.gob.mx
Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,32.82676218,-116.8569095,"(32.82676218, -116.8569095)",GOB,"C. Aldama, No. 501, Altos. Sector Centro",Oficinas de Atención a Migrantes (OFAMs),Chihuahua,01 (614) 415 51 05 / 06,coespo@chihuahua.gob.mx
Oficinas de Atención a Migrante - Chihuahua,Oficinas de Atención a Migrante,28.71591621,-106.0070135,"(28.71591621, -106.0070135)",GOB,"C. Niebla No.2, Fracciorama 2000, C.P.24090",Oficinas de Atención a Migrantes (OFAMs),Campeche,01 (981) 813 13 41,anyer_romero@outlook.com
Oficinas de Atención a Migrante - Campeche,Oficinas de Atención a Migrante,40.0388583,-85.99984032,"(40.0388583, -85.99984032)",GOB,"Blvd. Diaz Ordaz, No. 11, Col. Cedros de Erika",Oficinas de Atención a Migrantes (OFAMs),Chiapas,"01 (962) 628 94, 50ext. 47060 / 66 / 74",s.aquino@spdfs.hiapas.gob.mx
Oficinas de Atención a Migrante - Chiapas,Oficinas de Atención a Migrante,14.87431631,-92.25549474,"(14.87431631, -92.25549474)",GOB,"Padre Flores No. 181, Altos. entre Aldama y Victoria",Oficinas de Atención a Migrantes (OFAMs),Coahuila,01 (844) 412 46 49,oeace@sfcoahuila.gob.mx
Oficinas de Atención a Migrante - Coahuila,Oficinas de Atención a Migrante,25.4233823,-101.0018591,"(25.4233823, -101.0018591)",GOB,"C. Alfonso Sierra Partida. No. 369, Colonia Jardines",Oficinas de Atención a Migrantes (OFAMs),Colima,01 (312) 330 30 14,atencionmigrantes@hotmail.com
Oficinas de Atención a Migrante - Colima,Oficinas de Atención a Migrante,20.694883,-103.27992,"(20.694883, -103.27992)",GOB,"Eje 1 Poniente, Calle Bucareli 134, Col. Centro",Oficinas de Atención a Migrantes (OFAMs),Ciudad de México,01 (55) 55 14 02 03 / 03 29,migrantesdf@yahoo.com.mx
Oficinas de Atención a Migrante - Ciudad de México,Oficinas de Atención a Migrante,19.42346724,-99.13324338,"(19.42346724, -99.13324338)",GOB,"Durango No. 1406, Int. “P”. Barrio Tierra Blanca",Oficinas de Atención a Migrantes (OFAMs),Durango,(618) 81112 66,asuntos.interdgo@durango.gob.mx
Oficinas de Atención a Migrante - Durango,Oficinas de Atención a Migrante,24.00989179,-104.6648047,"(24.00989179, -104.6648047)",GOB,"Lerdo Poniente No. 300, Puerta 157, Col. Centro",Oficinas de Atención a Migrantes (OFAMs),Estado de México,01 (722) 167 83 18/19,bchavez@gem.gob.mx
Oficinas de Atención a Migrante - Estado de México,Oficinas de Atención a Migrante,19.29360955,-99.65660716,"(19.29360955, -99.65660716)",GOB,"Paseo Alejandro Cervantes Delgado s/n, Esq. Juan de la Barrera",Oficinas de Atención a Migrantes (OFAMs),Guerrero,01 (747) 471 2980 / 478 3029,migrantes@guerrero.gob.mx
Oficinas de Atención a Migrante - Guerrero,Oficinas de Atención a Migrante,17.54080037,-99.5001618,"(17.54080037, -99.5001618)",GOB,"Calle Guadalupe 221, Col. Alameda, Zona Centro C.P. 38000, Celaya, Gto.",Oficinas de Atención a Migrantes (OFAMs),Guanajuato,01 (461) 662 64 00 ext. 6403 y 6401,comunidades@guanajuato.gob.mx
Oficinas de Atención a Migrante - Guanajuato,Oficinas de Atención a Migrante,20.51602076,-100.7905963,"(20.51602076, -100.7905963)",GOB,"Av. Everardo Márquez 101, Planta baja, Plaza Comercial Plaza Bella, Col. Periodistas C.P. 42060, Pachuca, Hgo. ",Oficinas de Atención a Migrantes (OFAMs),Hidalgo,01 800 717 08 28,migrantes@hidalgo.gob.mx
