name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
INSTITUTO NACIONAL DE MIGRACIÓN - Ciudad de México,INM,19.4373908,-99.2099817,"(19.4373908, -99.2099817)",GOB,"Calle Homero 1832, Los Morales Polanco, Del. Miguel Hidalgo, Ciudad de México. C.P. 11510",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Ciudad de México,INM,19.4367572,-99.2038986,"(19.4367572, -99.2038986)",GOB,"Av. Ejército Nacional 862, Col. Los Morales Sección Palmas, Delegación Miguel Hidalgo, C.P. 11540, México Ciudad de México.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Aguascalientes,INM,21.9499344,-102.3339839,"(21.9499344, -102.3339839)",GOB,"Boulevard Lic. Miguel de la Madrid Hurtado 2790 Interior 15, Col. Corral de Barrancos, C.P. 20900, Jesús María, Aguascalientes.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Baja California,INM,32.5172913,-117.048655,"(32.5172913, -117.048655)",GOB,"Calle Diamante s/n, Fracc. Esmeralda, Delegación San Antonio de los Buenos, C.P. 22640 Tijuana, Baja California.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Baja California Sur,INM,22.95028,-109.93919369798132,"(22.95028, -109.93919369798132)",GOB,"Lázaro Cárdenas 1625, Col. Centro C.P. 23410 Cabo San Lucas, B.C.S",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Campeche,INM,19.8457881,-90.5397018,"(19.8457881, -90.5397018)",GOB,"Av. 16 de Septiembre s/n Palacio Federal P.B, Col. Centro C.P. 24000 Campeche, Camp.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Chiapas,INM,,,"(nan, nan)",GOB,"Carretera Tapachula a Nueva Alemania, km 1.5, Col. 5 de Febrero, zona Norte C.P. 30710 Tapachula, Chiapas.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Chihuahua,INM,,,"(nan, nan)",GOB,"Puente Internacional Córdova de las Américas s/n. Área del Chamizal C.P. 32310 Ciudad Juárez, Chih.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Coahuila,INM,,,"(nan, nan)",GOB,"Colima #213 Esq. Torreón Col. República Ote. C.P. 25280 Saltillo, Coah.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Colima,INM,,,"(nan, nan)",GOB,"Av. Teniente Azueta s/n Edif. Federal Portuario 2° Piso Col. Burócrata C.P. 28200 Manzanillo, Colima.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Durango,INM,,,"(nan, nan)",GOB,"Belisario Domínguez 134 Barrio de Analco Durango, Dgo. C.P. 34138",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Estado de México,INM,19.5548488,-99.0373089,"(19.5548488, -99.0373089)",GOB,"Pino Suárez N° 304 Sur, Col. 5 De Mayo, Toluca, Estado de México, C.P. 50090.",Directorio OIM
