name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"Alto Comisionado de las Naciones
Unidas para los Refugiados",ONU,19.4409983,-99.1963879,"19.4409983, -99.1963879",OSC / ONG,"Miguel de Cervantes Saavedra 193, Piso 14,
Oficina 1402, Col. Granada, C.P. 11520
Ciudad de México",Directorio OIM
Banco Mundial,ONU,19.3665269,-99.1854833,"19.3665269, -99.1854833",OSC / ONG,"Insurgentes Sur 1605, Piso 24, Col. San José Insurgentes, C.P. 03900, Ciudad de México",Directorio OIM
Oficina para la Coordinación de Asuntos Humanitarios,ONU,,,"nan, nan",OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización Internacional para las Migraciones,ONU,19.3485242,-99.1705066,"19.3485242, -99.1705066",OSC / ONG,"Francisco Sosa 267, Col. Santa Catarina Coyoacán, C.P. 04010, Ciudad de México",Directorio OIM
Comisión Económica para América Latina y el Caribe,ONU,19.4402557,-99.1926322,"19.4402557, -99.1926322",OSC / ONG,"Miguel de Cervantes Saavedra 193, Piso 12, Col. Granada, C.P. 11520, Ciudad de México",Directorio OIM
Centro de Información de las Naciones Unidas para México,ONU,,,"nan, nan",OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización de las Naciones Unidas para la Alimentación y la Agricultura,ONU,19.3197812,-99.2073801,"19.3197812, -99.2073801",OSC / ONG,"Farallón 130, Col. Jardines del Pedregal, C.P. 01900, Ciudad de México",Directorio OIM
Corporación Financiera Internacional,ONU,19.42481615,-99.17443887344136,"19.424816149999998, -99.17443887344135",OSC / ONG,"Paseo de la Reforma 483, Torre Reforma piso 18, Col. Cuauhtémoc, C.P. 06500, Ciudad de México",Directorio OIM
Organización de Aviación Civil Internacional,ONU,19.4293791,-99.1963927,"19.4293791, -99.1963927",OSC / ONG,"Masaryk 29, Piso 3, Col. Polanco, C.P. 11570, Ciudad de México",Directorio OIM
Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos,ONU,19.4332082,-99.1955454,"19.4332082, -99.1955454",OSC / ONG,"Alejandro Dumas 165, Col. Polanco, C.P.11560, Ciudad de México",Directorio OIM
Oficina para la Coordinación de Asuntos Humanitarios,ONU,,,"nan, nan",OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización Internacional para las Migraciones,ONU,19.3485242,-99.1705066,"19.3485242, -99.1705066",OSC / ONG,"Francisco Sosa 267, Col. Santa Catarina Coyoacán, C.P. 04010, Ciudad de México",Directorio OIM
Organización Internacional del Trabajo,ONU,19.4274716,-99.1771925,"19.4274716, -99.1771925",OSC / ONG,"Comte 35, Col. Anzures, C.P. 11590 Ciudad de México",Directorio OIM
Organización Meteorológica Mundial,ONU,19.3375325,-99.1899911,"19.3375325, -99.1899911",OSC / ONG,"Edificio CONAGUA Insurgentes Sur 2416, Piso 8, Col. Copilco el Bajo, C.P. 04340 Ciudad de México",Directorio OIM
Organización de las Naciones Unidas para el Desarrollo Industrial,ONU,19.43006785,-99.23177876185858,"19.43006785, -99.23177876185858",OSC / ONG,"Puente de Tecamachalco 6, Edificio Anexo - Planta Alta, Col. Lomas de Tecamachalco, C.P. 53950, Naucalpan Estado de México",Directorio OIM
Programa de Naciones Unidas para los Asentamientos Humanos,ONU,19.42734345,-99.16521487737674,"19.427343450000002, -99.16521487737674",OSC / ONG,"Paseo de la Reforma 296, Col. Juárez, C.P. 06600, Ciudad de México",Directorio OIM
ONU MUJERES,ONU,19.4293791,-99.1963927,"19.4293791, -99.1963927",OSC / ONG,"Homero 806, Col. Polanco, C.P. 11550, Ciudad de México",Directorio OIM
Organización Mundial de la Salud,ONU,19.4020009,-99.2382738,"19.4020009, -99.2382738",OSC / ONG,"Montes Urales 440, Piso 2, Col. Lomas de Chapultepec, C.P. 11000 Ciudad de México",Directorio OIM
Programas de las Naciones Unidas para el Desarrollo,ONU,,,"nan, nan",OSC / ONG,"Montes Urales 440, Piso 5, Col. Lomas de Chapultepec, C.P.11000 Ciudad de México",Directorio OIM
Programa de las Naciones Unidas para el Ambiente,ONU,19.4182486,-99.1647551,"19.4182486, -99.1647551",OSC / ONG,"Edificio CONAFOR Calle de Oro 17, Col. Roma Norte, C.P. 06700 Ciudad de México",Directorio OIM
"La Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",ONU,19.4293791,-99.1963927,"19.4293791, -99.1963927",OSC / ONG,"Masaryk 526, Piso 3, Col. Polanco, C.P. 11560, Ciudad de México",Directorio OIM
Fondo de Población de las Naciones Unidas,ONU,19.4293791,-99.1963927,"19.4293791, -99.1963927",OSC / ONG,"Homero 806, Col. Polanco, C.P. 11550 Ciudad de México",Directorio OIM
Fondo de las Naciones Unidas para la Infancia,ONU,19.42615325,-99.18662792093048,"19.42615325, -99.18662792093049",OSC / ONG,"Paseo de la Reforma 645, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Oficina de Naciones Unidas contra la Droga y el Delito,ONU,19.4402557,-99.1926322,"19.4402557, -99.1926322",OSC / ONG,"Miguel de Cervantes Saavedra 169, Col. Granada, C.P. 11520 Ciudad de México",Directorio OIM
Voluntarios de las Naciones Unidas,ONU,,,"nan, nan",OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
