name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Casa Migrante Camino a la Vida,Albergue / Alimentación / Compras,-102.3075858,21.8859981,,OSC / ONG,,ACNUR servicios
Cáritas Diocesana,Albergue / Alimentación / Compras,-102.3011164,21.8821255,,OSC / ONG,,ACNUR servicios
Parroquia De Las Tres Ave Marías,Albergue / Alimentación / Compras,-102.2950688,21.868025,,OSC / ONG,,ACNUR servicios
Comer del Abuelo,Albergue / Alimentación / Compras,-102.299825,21.8874131,,OSC / ONG,,ACNUR servicios
Comedor San Judas Tadeo,Albergue / Alimentación / Compras,-102.2957278,21.8938054,,OSC / ONG,,ACNUR servicios
Mercado Terán Juárez,Compras / Cultura y Recreación,-102.2966212,21.8845297,,OSC / ONG,,ACNUR servicios
Central de Abastos Aguascalientes,Compras / Cultura y Recreación,-102.2929618,21.8320703,,OSC / ONG,,ACNUR servicios
Instituto Municipal Aguascalentense para la Cultura,Compras / Cultura y Recreación,-102.2945313,21.8799223,,OSC / ONG,,ACNUR servicios
Instituto Cultural de Aguascalientes,Compras / Cultura y Recreación,-102.2991832,21.8812135,,OSC / ONG,,ACNUR servicios
Instituto del Deporte del Estado de Aguascalientes,Compras / Cultura y Recreación,-102.2717397,21.8806298,,OSC / ONG,,ACNUR servicios
Jardín de San Marcos,Compras / Cultura y Recreación,-102.303231,21.8795807,,OSC / ONG,,ACNUR servicios
Parque Rodolfo Landeros,Compras / Cultura y Recreación,-102.2915138,21.8516852,,OSC / ONG,,ACNUR servicios
Parque Ecologico El Cedazo,Compras / Cultura y Recreación,-102.2563303,21.8686361,,OSC / ONG,,ACNUR servicios
Centro de Justicia para Mujeres,Mujeres,-102.2528075,21.8668426,,OSC / ONG,,ACNUR servicios
Instituto Aguascalentense de la Mujer,Mujeres,-102.2806974,21.889146,,OSC / ONG,,ACNUR servicios
Instituto Municipal de la Mujer de Aguascalientes,Mujeres,-102.2919403,21.8850228,,OSC / ONG,,ACNUR servicios
DIF Municipal de Aguascalientes,Niñez y juventud,-102.310767,21.908612,,OSC / ONG,,ACNUR servicios
DIF Estatal Aguascalientes,Niñez y juventud,-102.309394,21.8676712,,OSC / ONG,,ACNUR servicios
"Procuraduría de Protección de Niñas, Niños y Adolescentes ",Niñez y juventud,-102.3095092,21.8678745,,OSC / ONG,,ACNUR servicios
Instituto Municipal de la Juventud,Niñez y juventud,-102.295057,21.8815815,,OSC / ONG,,ACNUR servicios
Centenario Hospital Miguel Hidalgo,Salud,-102.2825251,21.8947652,,OSC / ONG,,ACNUR servicios
Instituto Mexicano del Seguro Social (IMSS),Salud,-102.2969018,21.8704618,,OSC / ONG,,ACNUR servicios
Centro Ambulatorio para la Prevenciòn y Atención del VIH/SIDA (CAPASITS),Salud,-102.2550007,21.8575533,,OSC / ONG,,ACNUR servicios
Cruz Roja,Salud,-102.3032217,21.8613155,,OSC / ONG,,ACNUR servicios
