name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Cruz Roja Estatal CDMX,Salud,,,,OSC / ONG,"Av. Ejército Nacional 1032, Polanco Secc. I C.P.11510, Miguel Hidalgo",Directorio OIM
Cruz Roja Estatal Aguascalientes,Salud,,,,OSC / ONG,"Dr. Enrique González Medina 104, Fracc. El Dorado C.P. 20230, Aguascalientes",Directorio OIM
Cruz Roja Estatal Baja California,Salud,,,,OSC / ONG,"Blvd. Gustavo Díaz 14157-1, Fracc. Las Palmas Plaza 5 y 10 C.P.22117, Tijuana",Directorio OIM
Cruz Roja Estatal Campeche,Salud,,,,OSC / ONG,"Gustavo Díaz Ordaz, Área Ah, C.P.24014, Campeche",Directorio OIM
Cruz Roja Mexicana,Salud,,,,OSC / ONG,"Av. 5A Norte Poniente 1480, Covandonga, Juy Juy C.P.29038, Tuxtla Gutiérrez",Directorio OIM
Cruz Roja Estatal Chihuahua,Salud,,,,OSC / ONG,"Vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Cruz Roja Tlalpan Xochimilco,Salud,,,,OSC / ONG,"Anillo Periférico (Blvd. Adolfo Ruiz Cortines) 7666, Col. Hueso Periférico C.P.14338, Tlalpan",Directorio OIM
Cruz Roja Estatal San Luis Potosí,Salud,,,,OSC / ONG,"Calz. Guadalupe 540, Barrio de San Miguelito C.P.78330, San Luis Potosí",Directorio OIM
Cruz Roja Estatal Querétaro,Salud,,,,OSC / ONG,"Av. Luis Vega, esq. Estadio Olímpico. Col. Centro Sur C.P.76070, Querétaro",Directorio OIM
Cruz Roja Estatal Sinaloa,Salud,,,,OSC / ONG,"Blvd. Ciudades Hermanas, esq. Albert Einstein 797 Ote, Col. Antonio Rosales C.P.80230, Culiacán",Directorio OIM
Cruz Roja Estatal Sonora,Salud,,,,OSC / ONG,"Blvd. Carlos Quintero Arce Sur 24C, Col. Valle Grande C.P.83247, Hermosillo",Directorio OIM
Cruz Roja Estatal Zacatecas,Salud,,,,OSC / ONG,"Calz. de la Cruz Roja 100, Col. Centro C.P.98000 Zacatecas",Directorio OIM
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
