Cruce Fronterizo,Tipo,Coordenadas,latitud,longitud
"Cd. Hidalgo, México - Tecún Uman, Guatemala. Puente Dr. Rodolfo Robles",Cruce fronterizo formal,"14.67674344270255, -92.14759851888864",14.6767434427026,-92.1475985188886
Puerto Fronterizo Suchiate II,Cruce fronterizo formal,"14.702542871290694, -92.15297829484561",14.7025428712907,-92.1529782948456
Talismán - El Carmen,Cruce fronterizo formal,"14.976432791822761, -92.14466932840656",14.9764327918228,-92.1446693284066
Cd. Cuauhtémoc - La Mesilla,Cruce fronterizo formal,"15.664991920567719, -92.00302691979452",15.6649919205677,-92.0030269197945
"Carmen Xhan, México - Gracias a Dios, Guatemala",Cruce fronterizo formal,"16.07176999471288, -91.75381465149106",16.0717699947129,-91.7538146514911
Nueva Orizaba - Ingenieros,Cruce fronterizo formal,"16.075390411857374, -90.4432073410626",16.0753904118574,-90.4432073410626
Frontera Corozal - Bethel,Cruce fronterizo formal,"16.073056, -90.633333",16.073056,-90.633333
El Ceibo - El Ceibo,Cruce fronterizo formal,"16.798809672285977, -90.81599244500215",16.798809672286,-90.8159924450022
El Coyote,Cruce fronterizo informal,"16.710917595097992, -93.40819962455815",16.710917595098,-93.4081996245582
Palenque,Cruce fronterizo informal,"17.533166355860754, -91.98734139340712",17.5331663558608,-91.9873413934071
Limón,Cruce fronterizo informal,"16.871945410280194, -93.19966987642096",16.8719454102802,-93.199669876421
Rojo,Cruce fronterizo informal,"15.87205267885959, -92.104162418955",15.8720526788596,-92.104162418955
Armadillo,Cruce fronterizo informal,"16.01580903643925, -92.0514366868321",16.0158090364393,-92.0514366868321
Cascajo,Cruce fronterizo informal,"14.76699770481511, -92.09068766329274",14.7669977048151,-92.0906876632927
Carmen Xhan - Gracias a Dios,Cruce fronterizo informal,"16.041119151806555, -91.7460988998874",16.0411191518066,-91.7460988998874
Puerto Fronterizo Chactemal - INDAABIN,Cruce fronterizo formal,"18.503911513976913, -88.38848592363105",18.5039115139769,-88.3884859236311
