ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Aguascalientes, Aguascalientes",22.0000001,-102.5000001,"22.0000001,-102.5000001",153,13,166,155,19,174,15,12,27,1,0,1,0,0,0,0,0,0,8,1,9,7,4,11,5,0,5,4,26,30,0,0,0,0,0,0,348,75,423
"Cosío, Aguascalientes",22.3705155,-102.31200851052341,"22.3705155,-102.31200851052341",0,0,0,0,0,0,2,1,3,19,3,22,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,0,27,27,1,20,21,0,16,16,27,71,98
"Jesús María, Aguascalientes",21.934555500000002,-102.46845171651151,"21.934555500000002,-102.46845171651151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,3,3,0,0,0,2,5,7,0,0,0,8,12,20
"San Francisco de los Romo, Aguascalientes",22.0746282,-102.2707133,"22.0746282,-102.2707133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,2,7,9,0,3,3,0,0,0,0,0,0,3,15,18
"Ensenada, Baja California",31.8658887,-116.602983,"31.8658887,-116.602983",4,0,4,1,0,1,5,1,6,4,0,4,1,3,4,2,2,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,6,29
"Mexicali, Baja California",32.6405247,-115.474899,"32.6405247,-115.474899",231,0,231,329,29,358,661,153,814,454,112,566,275,104,379,212,80,292,116,144,260,266,305,571,230,474,704,157,330,487,122,262,384,249,411,660,3302,2404,5706
"Playas de Rosarito, Baja California",32.25812915,-116.87330722517585,"32.25812915,-116.87330722517585",2,0,2,7,0,7,5,0,5,3,0,3,7,0,7,1,0,1,2,0,2,2,0,2,4,0,4,4,0,4,0,0,0,1,0,1,38,0,38
"San Felipe, Baja California",31.0269529,-114.839607,"31.0269529,-114.839607",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,4
"Tecate, Baja California",32.5653831,-116.6298787,"32.5653831,-116.6298787",2,0,2,0,0,0,43,30,73,2,22,24,109,55,164,22,45,67,41,19,60,28,0,28,0,3,3,79,26,105,7,0,7,53,8,61,386,208,594
"Tijuana, Baja California",32.5317397,-117.019529,"32.5317397,-117.019529",402,577,979,502,997,1499,929,1862,2791,694,1527,2221,718,958,1676,849,582,1431,1289,731,2020,1330,1509,2839,1823,1848,3671,1728,1291,3019,1501,1012,2513,1609,1300,2909,13374,14194,27568
"La Paz, Baja California Sur",24.1619948,-110.3158532,"24.1619948,-110.3158532",8,0,8,6,0,6,8,0,8,15,0,15,19,0,19,8,0,8,16,0,16,38,0,38,43,0,43,34,0,34,80,0,80,67,0,67,342,0,342
"Los Cabos, Baja California Sur",23.271848050000003,-109.6897684130629,"23.271848050000003,-109.6897684130629",0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,6,0,6,17,0,17,12,0,12,17,0,17,6,1,7,61,1,62
"Calakmul, Campeche",18.1073406,-89.80832803981309,"18.1073406,-89.80832803981309",0,0,0,0,0,0,0,0,0,31,13,44,71,41,112,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,21,11,32,123,71,194
"Calkiní, Campeche",20.3695121,-90.0510784,"20.3695121,-90.0510784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
