,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 2.1,subtotal 12,presentados total,canalizados total,total
0,"Aguascalientes, Aguascalientes",22.0000001,-102.5000001,municipio,"Aguascalientes, Ags.",0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,9.0,5.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,44.0
1,"Cosío, Aguascalientes",22.3705155,-102.3120085105234,municipio,"Cosío, Ags.",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,19.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,27.0,1.0,20.0,21.0,0.0,16.0,16.0,27.0,71.0,98.0
2,"Jesús María, Aguascalientes",21.9345555,-102.46845171651152,municipio,"Jesús María, Ags.",153.0,13.0,166.0,155.0,19.0,174.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,2.0,2.0,4.0,5.0,3.0,8.0,3.0,26.0,29.0,2.0,5.0,7.0,0.0,0.0,0.0,327.0,72.0,399.0
3,"San Francisco de los Romo, Aguascalientes",22.0746282,-102.2707133,municipio,"San Francisco de los Romo, Ags.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,18.0
4,"Ensenada, Baja California",31.8658887,-116.602983,municipio,"Ensenada, BC",4.0,0.0,4.0,1.0,0.0,1.0,5.0,1.0,6.0,4.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,4.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,3.0,26.0
5,"Mexicali, Baja California",32.6405247,-115.474899,municipio,"Mexicali, BC",230.0,0.0,230.0,329.0,29.0,358.0,659.0,153.0,812.0,443.0,112.0,555.0,272.0,104.0,376.0,212.0,80.0,292.0,116.0,144.0,260.0,265.0,305.0,570.0,230.0,474.0,704.0,157.0,329.0,486.0,119.0,262.0,381.0,247.0,396.0,643.0,3279.0,2388.0,5667.0
6,"Playas de Rosarito, Baja California",32.25812915,-116.87330722517584,municipio,"Playas de Rosarito, BC",2.0,0.0,2.0,7.0,0.0,7.0,5.0,0.0,5.0,3.0,0.0,3.0,7.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,38.0,0.0,38.0
7,"San Felipe, Baja California",31.0269529,-114.839607,municipio,"San Felipe, BC",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0
8,"Tecate, Baja California",32.5653831,-116.6298787,municipio,"San Quintín, BC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
9,"Tijuana, Baja California",32.5317397,-117.019529,municipio,"Tecate, BC",2.0,0.0,2.0,0.0,0.0,0.0,43.0,30.0,73.0,2.0,22.0,24.0,109.0,55.0,164.0,38.0,45.0,83.0,40.0,19.0,59.0,29.0,0.0,29.0,0.0,3.0,3.0,79.0,26.0,105.0,70.0,14.0,84.0,90.0,22.0,112.0,502.0,236.0,738.0
10,"La Paz, Baja California Sur",24.1619948,-110.3158532,municipio,"Tijuana, BC",402.0,577.0,979.0,501.0,997.0,1498.0,927.0,1860.0,2787.0,694.0,1527.0,2221.0,717.0,958.0,1675.0,833.0,582.0,1415.0,1287.0,731.0,2018.0,1328.0,1509.0,2837.0,1823.0,1848.0,3671.0,1721.0,1288.0,3009.0,1439.0,996.0,2435.0,1573.0,1287.0,2860.0,13245.0,14160.0,27405.0
11,"Los Cabos, Baja California Sur",23.271848050000003,-109.6897684130629,municipio,"La Paz, BCS",6.0,0.0,6.0,6.0,0.0,6.0,8.0,0.0,8.0,15.0,0.0,15.0,19.0,0.0,19.0,8.0,0.0,8.0,16.0,0.0,16.0,38.0,0.0,38.0,43.0,0.0,43.0,44.0,0.0,44.0,76.0,0.0,76.0,67.0,0.0,67.0,346.0,0.0,346.0
