Ciudad,Estado,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Puebla, Puebla",Puebla,Puebla,,Ruta Centro,18.833333,-98.0,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Tlaxcala, Tlaxcala",Tlaxcala,Tlaxcala,,Ruta Centro,19.416667,-98.166667,"Casillas, 2008"
"Lecheria, Estado de Mexico",Estado de Mexico,Lecheria,,Ruta Centro,19.602439,-99.18329510350333,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Tijuana, Baja California",Baja California,Tijuana,,Ruta del Pacífico,32.5317397,-117.019529,"Casillas, 2008"
"Mexicali, Baja California",Baja California,Mexicali,,Ruta del Pacífico,32.6405247,-115.474899,"Casillas, 2009"
"San Luis Rio Colorado, Sonora",Sonora,San Luis Río Colorado,,Ruta del Pacífico,32.4517957,-114.7652542,"Casillas, 2010"
"Sonoyta, Sonora",Sonora,Sonoyta,,Ruta del Pacífico,31.863444,-112.849739,"Casillas, 2011"
"Nogales, Sonora",Sonora,Nogales,,Ruta del Pacífico,31.3285057,-110.9450472,"Casillas, 2012"
"Agua Prieta, Sonora",Sonora,Agua Prieta,,Ruta del Pacífico,31.3330151,-109.5594265,"Casillas, 2013"
"Ciudad Juarez, Chihuahua",Chihuahua,Ciudad Juárez,,Ruta Centro,31.7372575,-106.485655,"Casillas, 2014"
"Ojinaga, Chihuahua",Chihuahua,Ojinaga,,Ruta Centro,29.5654282,-104.4128523,"Casillas, 2015"
"Piedras Negras, Coahuila",Coahuila,Piedras Negras,,Ruta Centro,28.7041725,-100.5148362,"Casillas, 2016"
"Nuevo Laredo, Tamaulipas",Tamaulipas,Nuevo Laredo,,Ruta del Golfo,27.4950571,-99.5074431,"Casillas, 2017"
"Reynosa, Tamaulipas",Tamaulipas,Reynosa,,Ruta del Golfo,26.0907673,-98.2788191,"Casillas, 2018"
"Matamoros, Tamaulipas",Tamaulipas,Matamoros,,Ruta del Golfo,25.8810158,-97.5064866,"Casillas, 2019"
"Durango, Durango",Durango,Durango,,Ruta Centro,24.833333,-104.833333,"Casillas, 2020"
"Torreon, Coahuila",Coahuila,Torreón,,Ruta Centro,25.542698,-103.410512,"Casillas, 2021"
"Saltillo, Coahuila",Coahuila,Saltillo,,Ruta Centro,25.4230425,-100.9927509,"Casillas, 2022"
"Monterrey, Nuevo Leon",Nuevo Leon,Monterrey,,Ruta del Golfo,25.6802019,-100.315258,"Casillas, 2023"
"Ciudad Acuna, Coahuila",Coahuila,Ciudad Acuña,,Ruta Centro,29.3248796,-100.9322287,"Casillas, 2024"
"Monclova, Coahuila",Coahuila,Monclova,,Ruta Centro,26.8999988,-101.4171173,"Casillas, 2025"
"Ciudad Miguel Aleman, Tamaulipas",Tamaulipas,Ciudad Miguel Alemán,,Ruta del Golfo,26.4032518,-99.0202676,"Casillas, 2026"
"Ciudad Mante, Tamaulipas",Tamaulipas,Ciudad Mante,,Ruta del Golfo,22.7411278,-98.9714093,"Casillas, 2027"
"Tampico, Tamaulipas",Tamaulipas,Tampico,,Ruta del Golfo,22.2157619,-97.8577713,"Casillas, 2028"
"Ciudad Valles, San Luis Potosi",San Luis Potosi,Ciudad Valles,,Ruta Centro,21.9916551,-99.0102967,"Casillas, 2029"
"Tamazunchale, San Luis Potosi",San Luis Potosi,Tamazunchale,,Ruta Centro,21.2618403,-98.7907425,"Casillas, 2030"
"Pachuca, Hidalgo",Hidalgo,Pachuca,,Ruta Centro,20.1165413,-98.7413535,"Casillas, 2031"
"Tehuacan, Puebla",Puebla,Tehuacán,,Ruta Centro,18.4599877,-97.3903616,"Casillas, 2034"
"Oaxaca, Oaxaca",Oaxaca,Oaxaca,,Ruta Sur,17.0,-96.5,"Casillas, 2035"
"Salina Cruz, Oaxaca",Oaxaca,Salina Cruz,,Ruta Sur,16.1825,-95.195833,"Casillas, 2036"
"Huatulco, Oaxaca",Oaxaca,Huatulco,,Ruta Sur,15.8337711,-96.3214401,"Casillas, 2037"
"Puerto Escondido, Oaxaca",Oaxaca,Puerto Escondido,,Ruta Sur,15.8693331,-97.0726428,"Casillas, 2038"
"Acapulco, Guerrero",Guerrero,Acapulco,,Ruta del Pacífico,16.8680495,-99.8940182,"Casillas, 2039"
"Zihuatanejo, Guerrero",Guerrero,Zihuatanejo,,Ruta del Pacífico,17.6467874,-101.551974,"Casillas, 2040"
"Lazaro Cardenas, Michoacan",Michoacan,Lázaro Cárdenas,,Ruta del Pacífico,17.9594769,-102.198659,"Casillas, 2041"
"Morelia, Michoacan",Michoacan,Morelia,,Ruta del Pacífico,19.7027116,-101.1923818,"Casillas, 2042"
"Uruapan, Michoacan",Michoacan,Uruapan,,Ruta del Pacífico,19.4147269,-102.0522647,"Casillas, 2043"
"Zamora, Michoacan",Michoacan,Zamora,,Ruta del Pacífico,19.9828948,-102.28363,"Casillas, 2044"
"Guadalajara, Jalisco",Jalisco,Guadalajara,,Ruta del Pacífico,20.6720375,-103.338396,"Casillas, 2045"
"Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,,Ruta del Pacífico,20.6407176,-105.220306,"Casillas, 2046"
"Tepic, Nayarit",Nayarit,Tepic,,Ruta del Pacífico,21.5119156,-104.8915889,"Casillas, 2047"
"Mazatlan, Sinaloa",Sinaloa,Mazatlán,,Ruta del Pacífico,23.2035785,-106.4208391,"Casillas, 2048"
"Zacatecas, Zacatecas",Zacatecas,Zacatecas,,Ruta Centro,23.0823582,-103.20856984509811,"Casillas, 2050"
"San Luis Potosi, San Luis Potosi",San Luis Potosi,San Luis Potosí,,Ruta Centro,22.5000001,-100.4949145,"Casillas, 2051"
"Aguascalientes, Aguascalientes",Aguascalientes,Aguascalientes,,Ruta Centro,22.0000001,-102.5000001,"Casillas, 2052"
"Leon, Guanajuato",Guanajuato,León,,Ruta Centro,21.1218598,-101.6825081,"Casillas, 2053"
"Queretaro, Queretaro",Queretaro,Querétaro,,Ruta Centro,20.5927744,-100.3902245,"Casillas, 2054"
"Ciudad de Mexico, Ciudad de Mexico",Ciudad de Mexico,Ciudad de México,,Ruta Centro,19.4326296,-99.1331785,"Casillas, 2055"
"Tulancingo, Hidalgo",Hidalgo,Tulancingo,,Ruta Centro,20.0839585,-98.3635381,"Casillas, 2057"
"Tuxpan, Veracruz",Veracruz,Tuxpan,,Ruta del Golfo,20.95647915,-97.40738177120747,"Casillas, 2058"
"Poza Rica, Veracruz",Veracruz,Poza Rica,,Ruta del Golfo,20.537657449999998,-97.44512479987276,"Casillas, 2059"
"Papantla, Veracruz",Veracruz,Papantla,,Ruta del Golfo,20.445872100000003,-97.32327774944926,"Casillas, 2060"
"Xalapa, Veracruz",Veracruz,Xalapa,,Ruta del Golfo,19.5408338,-96.9146374,"Casillas, 2061"
"Cordoba, Veracruz",Veracruz,Córdoba,,Ruta del Golfo,18.8944704,-96.9352891,"Casillas, 2062"
"Orizaba, Veracruz",Veracruz,Orizaba,,Ruta del Golfo,18.8497366,-97.1060062,"Casillas, 2063"
"Veracruz, Veracruz",Veracruz,Veracruz,,Ruta del Golfo,19.333333,-96.666667,"Casillas, 2064"
"Coatzacoalcos, Veracruz",Veracruz,Coatzacoalcos,,Ruta del Golfo,18.1396787,-94.4501731,"Casillas, 2065"
"Minatitlan, Veracruz",Veracruz,Minatitlán,,Ruta del Golfo,17.992773,-94.5567103,"Casillas, 2066"
"Villahermosa, Tabasco",Tabasco,Villahermosa,,Ruta del Golfo,17.9884657,-92.9366326,"Casillas, 2067"
"Campeche, Campeche",Campeche,Campeche,,Ruta Sur,19.0,-90.5,"Casillas, 2068"
"Merida, Yucatan",Yucatan,Mérida,,Ruta Sur,20.9670759,-89.6237402,"Casillas, 2069"
"Cancun, Quintana Roo",Quintana Roo,Cancún,,Ruta Sur,21.1617854,-86.8510468,"Casillas, 2070"
"Chetumal, Quintana Roo",Quintana Roo,Chetumal,,Ruta Sur,18.5081738,-88.297144,"Casillas, 2071"
"Playa del Carmen, Quintana Roo",Quintana Roo,Playa del Carmen,,Ruta Sur,20.6308643,-87.0779503,"Casillas, 2072"
"Cozumel, Quintana Roo",Quintana Roo,Cozumel,,Ruta Sur,20.4320599,-86.92069058377268,"Casillas, 2073"
"Loreto, Baja California Sur",Baja California Sur,Loreto,,Ruta del Pacífico,26.0097913,-111.3452523,"Casillas, 2074"
"Sinaloa, Sinaloa",Sinaloa,Sinaloa,,Ruta del Pacífico,25.0000001,-107.5000001,"Casillas, 2075"
"Los Mochis, Sinaloa",Sinaloa,Los Mochis,,Ruta del Pacífico,25.7928058,-108.990188,"Casillas, 2076"
"Pichilingue, Baja California Sur",Baja California Sur,Pichilingue,,Ruta del Pacífico,24.1181726,-110.3157458,"Casillas, 2077"
"La Paz, Baja California Sur",Baja California Sur,La Paz,,Ruta del Pacífico,24.1619948,-110.3158532,"Casillas, 2078"
"El Mezquital, Durango",Durango,El Mezquital,,Ruta Centro,25.5152853,-103.5955006,"Casillas, 2079"
"Cabo San Lucas, Baja California Sur",Baja California Sur,Cabo San Lucas,,Ruta del Pacífico,22.8938884,-109.92006,"Casillas, 2080"
"Nuevo Vallarta, Nayarit",Nayarit,Nuevo Vallarta,,Ruta del Pacífico,20.7027575,-105.2885106,"Casillas, 2083"
"Barra de Navidad, Jalisco",Jalisco,Barra de Navidad,,Ruta del Pacífico,19.2056444,-104.6820897,"Casillas, 2084"
"Manzanillo, Colima",Colima,Manzanillo,,Ruta del Pacífico,19.0506256,-104.3159957,"Casillas, 2085"
"Ixtapa, Guerrero",Guerrero,Ixtapa,,Ruta del Pacífico,17.6640299,-101.6107384,"Casillas, 2086"
"San Gregorio Chamicico, Oaxaca",Oaxaca,San Gregorio Chamicico,,Ruta Sur,18.313889,-96.795556,"Casillas, 2090"
