Port Name,Location Address,Field Operation Office,State,Coordinates,Latitude,Longitude
"Andrade - Class A, California - 2502","235 Andrade Road Winterhaven, CA 92283 United States",San Diego,CA,"(32.7184216, -114.727919)",32.7184216,-114.727919
"Calexico East - Class A, California - 2507","1699 East Carr, Rd Bldg A Calexico, CA 92231 United States",San Diego,CA,"(32.6753413, -115.3887997)",32.6753413,-115.3887997
"Calexico West - Class A, California - 2503","200 East First Street Calexico, CA 92231 United States",San Diego,CA,"(38.88981295000001, -77.00902077737487)",38.88981295000001,-77.00902077737487
"Eureka, California - 2802","317 3rd Street, Suite 6 Eureka, CA 95501 United States",San Francisco,CA,"(40.8035929, -124.16821893938675)",40.8035929,-124.16821893938675
"Fresno (2803/2882), California - 2803","5177 E. Clinton Way Fresno, CA 93727 United States",San Francisco,CA,"(36.7722997, -119.7316224)",36.7722997,-119.7316224
"Los Angeles/Long Beach Seaport, California - 2704","301 E. Ocean Blvd. Suite 1400 Long Beach, CA 90802 United States",Los Angeles,CA,"(33.76468345, -118.19082874479344)",33.76468345,-118.19082874479344
"Otay Mesa, California - 2506","9777 Via De La Amistad San Diego, CA 92154 United States",San Diego,CA,"(32.5518614, -116.9357264)",32.5518614,-116.9357264
"Palm Springs, California - 2781","210 N. El Cielo Road Palm Springs, CA 92262 United States",Los Angeles,CA,"(33.8248194, -116.5147028)",33.8248194,-116.5147028
"Port Hueneme, California - 2713","720 W. Hueneme Road Oxnard, CA 93033 United States",Los Angeles,CA,"(34.20009175, -119.20789455598106)",34.20009175,-119.20789455598106
"San Diego, California - 2501","3835 N. Harbor Drive Terminal 2 West San Diego, CA 92101 United States",San Diego,CA,"(32.7289725, -117.1856172)",32.7289725,-117.1856172
"San Francisco, California - 2809","555 Battery Street, Room 319 San Francisco, CA 94111 United States",San Francisco,CA,"(37.7962856, -122.40091595368713)",37.7962856,-122.40091595368713
"San Ysidro - Class A, California - 2504","720 East San Ysidro Blvd San Ysidro, CA 92173 United States",San Diego,CA,"(32.5520013, -117.0430813)",32.5520013,-117.0430813
"Tecate - Class A, California - 2505","405 Tecate Rd Tecate, CA 91980 United States",San Diego,CA,"(32.5833711, -116.6285217)",32.5833711,-116.6285217
"Douglas, Arizona - 2601","First Street and Pan American Avenue Douglas, AZ 85607 United States",Tucson,AZ,"(None, None)",,
"Lukeville, Arizona - 2602","Highway 85 & Border Lukeville, AZ 85341 United States",Tucson,AZ,"(31.8802588, -112.8173538)",31.8802588,-112.8173538
"Naco, Arizona - 2603","3867 S. Towner Avenue Naco, AZ 85620 United States",Tucson,AZ,"(31.3416145, -109.9484614)",31.3416145,-109.9484614
"Nogales, Arizona - 2604","9 North Grand Ave. Nogales, AZ 85621 United States",Tucson,AZ,"(31.381221, -110.692119)",31.381221,-110.692119
"Phoenix, Arizona - 2605","3002 E. Old Tower Road, Suite 400 Phoenix, AZ 85034 United States",Tucson,AZ,"(33.42456835, -112.01580555000001)",33.42456835,-112.01580555000001
"San Luis, Arizona - 2608","Highway 95 & International Border San Luis, AZ 85349 United States",Tucson,AZ,"(None, None)",,
"Sasabe, Arizona - 2606","Highway 286 and International Border Sasabe, AZ 85633 United States",Tucson,AZ,"(None, None)",,
"Tucson, Arizona - 2609","7081 South Plumer Ave Tucson, AZ 85756 United States",Tucson,AZ,"(32.1230115, -110.9422136)",32.1230115,-110.9422136
"Albuquerque, New Mexico - 2407","2200 Sunport Blvd. SE Albuquerque, NM 87106 United States",El Paso,NM,"(35.037669449999996, -106.61096752176844)",35.037669449999996,-106.61096752176844
"Columbus, New Mexico - 2406","State Highway 11 Mile Marker 0 Columbus, NM 88029 United States",El Paso,NM,"(39.7819444, -105.4627778)",39.7819444,-105.4627778
"Santa Teresa, New Mexico - 2408","170 Pete Domenici Hwy PO Box1439 Santa Teresa, NM 88008 United States",El Paso,NM,"(None, None)",,
"Austin, Texas - 5506","3600 Presidential Blvd. Ste. 111 Austin, TX 78719 United States",Houston,TX,"(30.19348925, -97.66500963529677)",30.19348925,-97.66500963529677
"Brownsville, Texas - 2301","3300 S. Expressway77/83 Brownsville, TX 78521 United States",Laredo,TX,"(25.88944605, -97.47524006903629)",25.88944605,-97.47524006903629
"Conroe, Texas - 5382","2975 Hawthorne Drive Conroe, TX 77303 United States",Houston,TX,"(30.3366003, -95.4278639)",30.3366003,-95.4278639
"Corpus Christi, Texas - 5312","9149 State Highway 44 Corpus Christi, TX 78406 United States",Houston,TX,"(27.7795634, -97.54368974041131)",27.7795634,-97.54368974041131
"Dallas/Ft. Worth, Texas - 5501","7501 Esters Blvd.,Suite 160 Irving, TX 75063 United States",Houston,TX,"(32.9156845, -97.01981860699152)",32.9156845,-97.01981860699152
"Del Rio, Texas - 2302","3140 Spur 239 International Bridge Del Rio, TX 78840 United States",Laredo,TX,"(None, None)",,
"Eagle Pass, Texas - 2303","160 Garrison St. Eagle Pass, TX 78852 United States",Laredo,TX,"(28.7083999, -100.503941)",28.7083999,-100.503941
"El Paso, Texas - 2402","Bridge of the Americas Port of Entry 3600 E. Paisano El Paso, TX 79905 United States",El Paso,TX,"(31.7655247, -106.4508619)",31.7655247,-106.4508619
"Freeport, Texas - 5311","801 Navigation P.O. Box 2740 Freeport, TX 77541 United States",Houston,TX,"(None, None)",,
"Hidalgo, Texas - 2305","9901 S. Cage Boulevard Suite B Pharr, TX 78577 United States",Laredo,TX,"(26.150465, -98.1915069)",26.150465,-98.1915069
"Houston Seaport, Texas - 5301","7141 Office City Drive Houston, TX 77087 United States",Houston,TX,"(29.701226300000002, -95.29118798338997)",29.701226300000002,-95.29118798338997
"Laredo, Texas - 2304","Lincoln/Juarez Bridge, Administrative Bldg. #2 Laredo, TX 78040 United States",Laredo,TX,"(None, None)",,
"McKinney, Texas - 5585","1500 E. Industrial Blvd Mckinney, TX 75069 United States",Houston,TX,"(33.1749285, -96.63743685567803)",33.1749285,-96.63743685567803
