name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"COMAR - Acayucan, Veracruz ",COMAR,18.05321655,-94.12606244208568,"(18.05321655, -94.12606244208568)",GOB,"Carretera Costera del Golfo 180, Km. 221, Col. Miguel Aleman, C.P 96000",COMAR
COMAR - Ciudad de México,COMAR,,,"(nan, nan)",GOB,"Versalles 49 primer piso, Col. Juárez, Alcaldia Cuahtémoc. C.P. 06600",COMAR
"COMAR - Ciudad Juárez, Chihuahua",COMAR,19.4213965,-99.1795288,"(19.4213965, -99.1795288)",GOB,"Av. Francisco Villa S/N esquina Av. Heroico Colegio Militar, Col. Centro, C.P. 32000",COMAR
"COMAR - Guadalajara, Jalisco",COMAR,,,"(nan, nan)",GOB,"Jesús García 720, ingreso por Mariano Bárcena 820, Col. Artesanos, Zona Centro, C.P. 44200",COMAR
"COMAR - Monterrey, Nuevo León",COMAR,25.6279252,-100.2874391,"(25.6279252, -100.2874391)",GOB,"Calle 21 de Marzo #2330, Sierra Ventana (Fomerrey), C.P. 64790",COMAR
"COMAR - Palenque, Chiapas",COMAR,,,"(nan, nan)",GOB,"Carretera Playas de Catazaja-Ocosingo, Km. 26 A + 100. Col Guayacan, C.P. 29960.",COMAR
"COMAR - Saltillo, Coahuila",COMAR,,,"(nan, nan)",GOB,"Libramiento Oscar Flores Tapia S/N, km 1.5, Av. Loma Alta, Arteaga, Coahuila. C.P. 25350 Bodega N",COMAR
"COMAR - Tapachula, Chiapas",COMAR,,,"(nan, nan)",GOB,"Segunda Avenida Sur 146, Los Naranjos, San Sebastián, C.P. 30790.",COMAR
"COMAR - Tenosique, Tabasco",COMAR,5.6581087,-74.9358157,"(5.6581087, -74.9358157)",GOB,Calle 2 S/N esquina Calle 55. Col. Pueblo Nuevo. C.P. 86900,COMAR
"COMAR - Tijuana, Baja California",COMAR,18.8454058,-99.2246955,"(18.8454058, -99.2246955)",GOB,"Av. Venustiano Carranza 6250, Col. Castilo, C.P. 22050",COMAR
