name,descripcion,latitud,longitud,coordenadas
 CAVI Centro de Atención a la Violencia Intrafamiliar ,,23.225728881835092,-106.42087267170284,"23.225728881835092, -106.42087267170284"
 Casa hogar para niñas Madre Conchita ,,31.290903270914782,-110.95386316154821,"31.290903270914782, -110.95386316154821"
" Albergue para migrantes San Juan Bosco, I.A.P. ",,31.316688877431293,-110.94585342169722,"31.316688877431293, -110.94585342169722"
 Centro Comunitario de Atención al Migrante y Necesitado (CCAMYN) ,,30.71891158136058,-111.83945912332325,"30.71891158136058, -111.83945912332325"
 Casa de Atención al Migrante El Santuario ,,18.405562866415316,-92.48796682069982,"18.405562866415316, -92.48796682069982"
 Hmnas de San José de Lyón (albergue Decanal Guadalupano) ,,21.0814033717943,-97.37691806000707,"21.0814033717943, -97.37691806000707"
 Casa del Migrante Diocesis de Coatzacoalcos A.C. ,,18.12686362478155,-94.45159627545485,"18.12686362478155, -94.45159627545485"
 Casa del Migrante Diócesis de Coatzacoalcos A.C. ,,18.12686362478155,-94.45159627545485,"18.12686362478155, -94.45159627545485"
 Instituto para el desarrollo de la cultura Maya del estado de Yucatán INDEMAYA ,,20.966862749864823,-89.6271886312075,"20.966862749864823, -89.6271886312075"
" Centro de los Derechos del Migrante, Inc (CDM) ",,22.77156716813732,-102.57204015999218,"22.77156716813732, -102.57204015999218"
" Federación Zacatecana, AC (FEDZAC) ",,22.754988492374547,-102.5029033753335,"22.754988492374547, -102.5029033753335"
 Casa del Migrante Emaus ,,29.32369092846942,-100.92668411190739,"29.32369092846942, -100.92668411190739"
 Albergue del Migrante Nuestra Señora de Guadalupe A.C. ,,26.097488922359098,-98.28658309057056,"26.097488922359098, -98.28658309057056"
 Casa San Juan Diego y San Francisco de Asís A.C. ,,25.83720269152195,-97.48587505805104,"25.83720269152195, -97.48587505805104"
 Casa del Migrante San Juan Diego y San Francisco de Asís A.C. ,,25.837173722503493,-97.4860681770848,"25.837173722503493, -97.4860681770848"
 Un Mundo Una Nación A. C. ,,19.41983484017355,-98.15381814531123,"19.41983484017355, -98.15381814531123"
 Albergue para migrantes “La Sagrada familia” ,,19.41668819887568,-98.13201817542362,"19.41668819887568, -98.13201817542362"
 Instituto Nacional de Salud Pública (INSP) ,,19.307661117249285,-99.15713104206523,"19.307661117249285, -99.15713104206523"
 Migrante Hagamos un puente contigo SEDESO ,,21.841246576259923,-102.2894160446779,"21.841246576259923, -102.2894160446779"
 Albergue Obsidiana ,,21.039536693030207,-104.37083813120552,"21.039536693030207, -104.37083813120552"
" Paso de Esperanza, A.C ",,25.754853746152282,-100.3195801262908,"25.754853746152282, -100.3195801262908"
 Hogar de las Bienaventuranzas A.C. ,,25.675421250517655,-100.29373596174912,"25.675421250517655, -100.29373596174912"
 Hospedaje para trabajadores inmigrantes ,,25.702797591094708,-100.32461753399133,"25.702797591094708, -100.32461753399133"
 Casa del Forastero Santa Martha ,,25.6910749644798,-100.3198496733966,"25.6910749644798, -100.3198496733966"
 Casa de Migrantes Casa Nicolás Tolentino ,,25.66444526706596,-100.21447390407916,"25.66444526706596, -100.21447390407916"
 Casa del Migrante de la Parroquia de Nuestra Señora de los Desamparados ,,19.057506619570137,-98.20295175768045,"19.057506619570137, -98.20295175768045"
 Estancia González y Martínez A.C ,,20.50956805421331,-99.86316790238439,"20.50956805421331, -99.86316790238439"
 Instituto del Rincón A.C. ,,19.26749032038358,-99.60971698771078,"19.26749032038358, -99.60971698771078"
 Centro Casa Origen ,,16.858628170478788,-99.84405792575916,"16.858628170478788, -99.84405792575916"
 SEMIGRANTE (Zitácuaro) ,,19.437195720786807,-100.35742777726968,"19.437195720786807, -100.35742777726968"
 SEMIGRANTE (Ziracuaretiro) ,,19.417227465908454,-101.91048348891805,"19.417227465908454, -101.91048348891805"
 SEMIGRANTE (Zinapécuaro) ,,19.860081342667428,-100.82737401404921,"19.860081342667428, -100.82737401404921"
 SEMIGRANTE (Zináparo) ,,20.17343737715387,-101.9986624195805,"20.17343737715387, -101.9986624195805"
 SEMIGRANTE (Zamora) ,,19.983799358456796,-102.28591471773895,"19.983799358456796, -102.28591471773895"
 SEMIGRANTE (Zacapu) ,,20.039538446372063,-102.34649195636358,"20.039538446372063, -102.34649195636358"
 SEMIGRANTE (Yurécuaro) ,,20.334479072186323,-102.2843847523239,"20.334479072186323, -102.2843847523239"
