name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
INSTITUTO NACIONAL DE MIGRACIÓN - Ciudad de México,INM,,,,GOB,"Calle Homero 1832, Los Morales Polanco, Del. Miguel Hidalgo, Ciudad de México. C.P. 11510",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Ciudad de México,INM,,,,GOB,"Av. Ejército Nacional 862, Col. Los Morales Sección Palmas, Delegación Miguel Hidalgo, C.P. 11540, México Ciudad de México.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Aguascalientes,INM,,,,GOB,"Boulevard Lic. Miguel de la Madrid Hurtado 2790 Interior 15, Col. Corral de Barrancos, C.P. 20900, Jesús María, Aguascalientes.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Baja California,INM,,,,GOB,"Calle Diamante s/n, Fracc. Esmeralda, Delegación San Antonio de los Buenos, C.P. 22640 Tijuana, Baja California.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Baja California Sur,INM,,,,GOB,"Lázaro Cárdenas 1625, Col. Centro C.P. 23410 Cabo San Lucas, B.C.S",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Campeche,INM,,,,GOB,"Av. 16 de Septiembre s/n Palacio Federal P.B, Col. Centro C.P. 24000 Campeche, Camp.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Chiapas,INM,,,,GOB,"Carretera Tapachula a Nueva Alemania, km 1.5, Col. 5 de Febrero, zona Norte C.P. 30710 Tapachula, Chiapas.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Chihuahua,INM,,,,GOB,"Puente Internacional Córdova de las Américas s/n. Área del Chamizal C.P. 32310 Ciudad Juárez, Chih.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Coahuila,INM,,,,GOB,"Colima #213 Esq. Torreón Col. República Ote. C.P. 25280 Saltillo, Coah.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Colima,INM,,,,GOB,"Av. Teniente Azueta s/n Edif. Federal Portuario 2° Piso Col. Burócrata C.P. 28200 Manzanillo, Colima.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Durango,INM,,,,GOB,"Belisario Domínguez 134 Barrio de Analco Durango, Dgo. C.P. 34138",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Estado de México,INM,,,,GOB,"Pino Suárez N° 304 Sur, Col. 5 De Mayo, Toluca, Estado de México, C.P. 50090.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Guanajuato,INM,,,,GOB,"Boulevard Adolfo Lopez Mateos 3002 Ote. “Plaza Venecia” Local B Colonia Jardines del Jerez, León, Guanajuato C.P. 37530",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Guerrero,INM,,,,GOB,"Calle Juan Sebastián El Cano No.1 Manzana 4 Lote 1, 1° Piso Fracc. Costa Azul, C.P. 39850 Acapulco, Gro",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Hidalgo,INM,,,,GOB,"Blvd. Ramón G. Bonfil # 318 col. Parque de Poblamiento, Pachuca de Soto Hidalgo C.P. 42032",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Jalisco,INM,,,,GOB,"Alcalde No. 500 4° Piso Palacio Federal, Col. Centro, C. P. 44280 Guadalajara, Jal.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Michoacán,INM,,,,GOB,"Av. Camelinas No. 2309, Fracc. Camelinas, C.P. 58290, Morelia, Mich.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Morelos,INM,,,,GOB,"Av. Vicente Guerrero No. 107 Col. Lomas de Cortés, C.P.62230, Cuernavaca, Mor.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Nayarit,INM,,,,GOB,"Paseo de los Cocoteros, No 55, 2do Piso, locales 2208-2211. Nuevo Vallarta. C.P. 63732. Bahía de Banderas. Nayarit.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Nuevo León,INM,,,,GOB,"Av. Lázaro Cárdenas No. 1817 Fracc. Jardín de las Torres 1er. Sector C.P. 64754, Monterrey, N.L.",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Oaxaca,INM,,,,GOB,"Av. Independencia 709 Palacio Federal Col. Centro, C.P. 68000 Oaxaca de Juárez, Oax",Directorio OIM
INSTITUTO NACIONAL DE MIGRACIÓN - Puebla,INM,,,,GOB,"Avenida Reforma 1907, Colonia Barrio San Matías, Puebla, Pue. C.P. 72090.",Directorio OIM
