Ubicación,Cruce Fronterizo,Tipo,Coordenadas
Río Suchiate,"Cd. Hidalgo, México - Tecún Uman, Guatemala. Puente Dr. Rodolfo Robles",Cruce fronterizo formal,"14.67674344270255, -92.14759851888864"
Río Suchiate,Puerto Fronterizo Suchiate II,Cruce fronterizo formal,"14.702542871290694, -92.15297829484561"
Río Suchiate,Talismán - El Carmen,Cruce fronterizo formal,"14.976432791822761, -92.14466932840656"
Segunda línea geodésica,Cd. Cuauhtémoc - La Mesilla,Cruce fronterizo formal,"15.664991920567719, -92.00302691979452"
Segunda línea geodésica,"Carmen Xhan, México - Gracias a Dios, Guatemala",Cruce fronterizo formal,"16.07176999471288, -91.75381465149106"
Primer paralelo,Nueva Orizaba - Ingenieros,Cruce fronterizo formal,"16.075390411857374, -90.4432073410626"
Río Usumacinta,Frontera Corozal - Bethel,Cruce fronterizo formal,"16.073056, -90.633333"
Meridiano El Ceibo,El Ceibo - El Ceibo,Cruce fronterizo formal,"16.798809672285977, -90.81599244500215"
,El Coyote,Cruce fronterizo informal,"16.710917595097992, -93.40819962455815"
,Palenque,Cruce fronterizo informal,"17.533166355860754, -91.98734139340712"
,Limón,Cruce fronterizo informal,"16.871945410280194, -93.19966987642096"
,Rojo,Cruce fronterizo informal,"15.87205267885959, -92.104162418955"
,Armadillo,Cruce fronterizo informal,"16.01580903643925, -92.0514366868321"
,Cascajo,Cruce fronterizo informal,"14.76699770481511, -92.09068766329274"
,Carmen Xhan - Gracias a Dios,Cruce fronterizo informal,"16.041119151806555, -91.7460988998874"
