name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Cruz Roja Estatal CDMX,Salud,19.43891535,-99.20227442,"(19.438915350000002, -99.20227441759036)",OSC / ONG,"Av. Ejército Nacional 1032, Polanco Secc. I C.P.11510, Miguel Hidalgo",Directorio OIM
Cruz Roja Estatal Aguascalientes,Salud,,,"21.86152408141393, -102.3032222279972",OSC / ONG,"Dr. Enrique González Medina 104, Fracc. El Dorado C.P. 20230, Aguascalientes",Directorio OIM
Cruz Roja Estatal Baja California,Salud,,,"32.49548724057823, -116.96832116283643",OSC / ONG,"Blvd. Gustavo Díaz 14157-1, Fracc. Las Palmas Plaza 5 y 10 C.P.22117, Tijuana",Directorio OIM
Cruz Roja Estatal Campeche,Salud,19.8600753,-90.5152719,"(19.8600753, -90.5152719)",OSC / ONG,"Gustavo Díaz Ordaz, Área Ah, C.P.24014, Campeche",Directorio OIM
Cruz Roja Mexicana,Salud,16.7605377,-93.1288665,"(16.7605377, -93.1288665)",OSC / ONG,"Av. 5A Norte Poniente 1480, Covandonga, Juy Juy C.P.29038, Tuxtla Gutiérrez",Directorio OIM
Cruz Roja Estatal Chihuahua,Salud,22.9971918,-109.728566,"(22.9971918, -109.728566)",OSC / ONG,"Vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Cruz Roja Tlalpan Xochimilco,Salud,19.2874886,-99.1494461,"(19.2874886, -99.1494461)",OSC / ONG,"Anillo Periférico (Blvd. Adolfo Ruiz Cortines) 7666, Col. Hueso Periférico C.P.14338, Tlalpan",Directorio OIM
Cruz Roja Estatal San Luis Potosí,Salud,22.1442525,-100.9763515,"(22.1442525, -100.9763515)",OSC / ONG,"Calz. Guadalupe 540, Barrio de San Miguelito C.P.78330, San Luis Potosí",Directorio OIM
Cruz Roja Estatal Querétaro,Salud,,,"20.58053845783729, -100.36415670592304",OSC / ONG,"Av. Luis Vega, esq. Estadio Olímpico. Col. Centro Sur C.P.76070, Querétaro",Directorio OIM
Cruz Roja Estatal Sinaloa,Salud,,,"24.793389011371122, -107.38178079872104",OSC / ONG,"Blvd. Ciudades Hermanas, esq. Albert Einstein 797 Ote, Col. Antonio Rosales C.P.80230, Culiacán",Directorio OIM
Cruz Roja Estatal Sonora,Salud,,,"24.793389011371122, -107.38178079872104",OSC / ONG,"Blvd. Carlos Quintero Arce Sur 24C, Col. Valle Grande C.P.83247, Hermosillo",Directorio OIM
Cruz Roja Estatal Zacatecas,Salud,23.1510169,-102.9535514,"(23.1510169, -102.9535514)",OSC / ONG,"Calz. de la Cruz Roja 100, Col. Centro C.P.98000 Zacatecas",Directorio OIM
