name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"Centro de Asistencia Social de Niñas, Niños y Adolescentes Migrantes",Centro de Asistencia Social,-37.3593434,-61.5348363,"(-37.3593434, -61.5348363)",OSC / ONG,"Argentina 710, Col. Agricultura Aguascalientes, Ags. C. P. 20234",Directorio OIM
Albergue Temporal Mexicali,Centro de Asistencia Social,32.637519,-115.498128,"(32.637519, -115.498128)",OSC / ONG,"Salina Cruz 1253, Col. Guajardo Mexicali, Baja California. C. P. 21050",Directorio OIM
Albergue Temporal Tijuana,Centro de Asistencia Social,32.4956248,-116.8620993,"(32.4956248, -116.8620993)",OSC / ONG,"De los Taxistas s/n, 3ra Etapa del Río Tijuana, Baja California. C.P. 22226",Directorio OIM
Una Luz en mi Vida,Centro de Asistencia Social,22.9971918,-109.728566,"(22.9971918, -109.728566)",OSC / ONG,"Vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Casa Hogar La Esperanza,Centro de Asistencia Social,,,"26.009775310454437, -111.35325662844022",OSC / ONG,"Paseo Nicolás Tamaral e/Padre Kino y H. de Independencia Col. Centro Loreto, Baja California Sur.",Directorio OIM
Casa Hogar El Altísimo A.C.,Centro de Asistencia Social,13.6959637,-84.7985745,"(13.6959637, -84.7985745)",OSC / ONG,"Col. La Paloma, S/N, Municipio de Mulegé BCS, C.P. 23900",Directorio OIM
Albergue Infantil “María Palmira Lavalle” del DIF Estatal Campeche,Centro de Asistencia Social,18.6533451,-91.7920685,"(18.6533451, -91.7920685)",OSC / ONG,"Av. Juan Escutia s/n, Col.Buenavista, San Francisco de Campeche, Campeche. C.P.24040",Directorio OIM
Meced Arrecife,Centro de Asistencia Social,18.644268,-91.7825531,"(18.644268, -91.7825531)",OSC / ONG,"Av. Puerto de Campeche s/, Col. Santa Isabel, Carmen, Campeche, C.P. 24157",Directorio OIM
Albergue Municipal para Niñas y Niños Migrantes,Centro de Asistencia Social,14.9105486,-92.2700666,"(14.9105486, -92.2700666)",OSC / ONG,"6a. Norte y 19a. Poniente, Col. Centro Tapachula, Chiapas. C.P. 30700",Directorio OIM
Casa del Migrante para Niñas y Niños No Acompañados,Centro de Asistencia Social,,,"21.01718729700499, -89.57724917722437",OSC / ONG,"Avenida Bonampak, esquina Chocol-Ha s/n, Col. Maya Laca",Directorio OIM
Casa Hogar Alegre Odres Nuevos A.C.,Centro de Asistencia Social,,,"16.72488585873346, -93.08896791884408",OSC / ONG,"Calle Marcelino Álvarez No. 450 Col. Rivera Cerro Hueco. Tuxtla Gutiérrez, Chiapas.",Directorio OIM
El Faro de Esperanza A. C.,Centro de Asistencia Social,,,"16.23554050209915, -93.90028174030017",OSC / ONG,"Carretera Panamericana Km. 980, Cintalapa, Chiapas.",Directorio OIM
Los Niños son de Cristo,Centro de Asistencia Social,,,"16.78385353283093, -93.10146727281978",OSC / ONG,"Calle Chicoasen 309, Col. Cruz con Casitas Tuxtla Gutiérrez, Chiapas.",Directorio OIM
México Mi Hogar,Centro de Asistencia Social,,,"31.6965263371669, -106.42353264406822",OSC / ONG,"Bolivia 605 Nte. Col. Hidalgo Ciudad Juárez, Chihuahua.",Directorio OIM
Albergue para Repatriados y Menor Migrante,Centro de Asistencia Social,22.9971918,-109.728566,"(22.9971918, -109.728566)",OSC / ONG,"vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Centro de Estancia de Transitoria de la PGJDF,Centro de Asistencia Social,19.4463572,-99.1555081,"(19.4463572, -99.1555081)",OSC / ONG,"Dr. Lavista 78 Col. Doctores Del. Cuauhtémoc, Ciudad de México.",Directorio OIM
"Fundación Casa Alianza México, I.A.P.",Centro de Asistencia Social,19.340689,-99.1385495,"(19.340689, -99.1385495)",OSC / ONG,"Cerro Churitzio 118, Col. Campestre Churubusco, Del. Coyoacán, Ciudad de México.",Directorio OIM
"Fundación Dar y Amar Daya, I.A.P.",Centro de Asistencia Social,19.3650389,-99.2919906,"(19.3650389, -99.2919906)",OSC / ONG,"Calle Puebla 77, Col. Cuajimalpa Del. Cuajimalpa, Ciudad de México.",Directorio OIM
Hogares Providencia,Centro de Asistencia Social,19.3975535,-99.1410065,"(19.3975535, -99.1410065)",OSC / ONG,"Isabel la Católica 745, Col. Álamos Del. Benito Juárez, Ciudad de México.",Directorio OIM
"Yolia Niñas de la Calle, A.C.",Centro de Asistencia Social,19.3749298,-99.207294,"(19.3749298, -99.207294)",OSC / ONG,"Av. Hidalgo Lote 19 Manzana 54, Col. Olivar Del Conde, Segunda Sección, Del. Álvaro Obregón, Ciudad de México.C.P. 01408",Directorio OIM
Casa de los Niños y las Niñas Sección Casa Cuna,Centro de Asistencia Social,25.41022,-100.9930569,"(25.41022, -100.9930569)",OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Casa de los Niños Sección Albergue,Centro de Asistencia Social,25.41022,-100.9930569,"(25.41022, -100.9930569)",OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Casa de las Niñas Sección Casa Rosa,Centro de Asistencia Social,25.41022,-100.9930569,"(25.41022, -100.9930569)",OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Albergue Transitorio,Centro de Asistencia Social,25.4055802,-101.034223,"(25.4055802, -101.034223)",OSC / ONG,"Pedro Ampudia s/n, Col. Guayulera Saltillo, Coahuila.",Directorio OIM
Casa Hogar San José de los Huérfanos,Centro de Asistencia Social,21.1532626,-100.929166,"(21.1532626, -100.929166)",OSC / ONG,"Prolongación Independencia 163, Col. La Armonia, Colima, Colima. C.P. 28020",Directorio OIM
Casa Hogar María Ángela,Centro de Asistencia Social,22.9971918,-109.728566,"(22.9971918, -109.728566)",OSC / ONG,"vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
"Centro Nacional Modelo de Atención, Investigación y Capacitación Casa Cuna Tlalpan",Centro de Asistencia Social,19.3532236,-99.1450381,"(19.3532236, -99.1450381)",OSC / ONG,"Calz. De Tlalpan 1677, Col. del San Diego Churubusco, Tlalpan, Ciudad de México. C.P. 04120",Directorio OIM
"Centro Nacional Modelo de Atención, Investigación y Capacitación Casa Cuna Coyoacán",Centro de Asistencia Social,19.3509824,-99.1580661,"(19.3509824, -99.1580661)",OSC / ONG,"Moctezuma 46, Col. Del Carmen Coyoacán, Ciudad de México. C.P. 04100",Directorio OIM
Centro Amanecer para Niños,Centro de Asistencia Social,19.3487782,-99.1726868,"(19.3487782, -99.1726868)",OSC / ONG,"Callejón del Río 33, Col. Barrio Santa Catarina, Coyoacán, Ciudad de México. C.P. 04010",Directorio OIM
"Centro Nacional Modelo de Atención, Investigación y Capacitación Casa Hogar para Niñas",Centro de Asistencia Social,19.3058538,-99.1900616,"(19.3058538, -99.1900616)",OSC / ONG,"Av. Insurgentes Sur 3700-A, Col. Insurgentes Cuicuilco Coyoacán, Ciudad de México. C.P. 04530",Directorio OIM
"Centro Nacional Modelo de Atención, Investigación y Capacitación Casa Hogar para Varones",Centro de Asistencia Social,19.3487782,-99.1726868,"(19.3487782, -99.1726868)",OSC / ONG,"Callejón del Río 33, Col. Barrio Santa Catarina, Coyoacán, Ciudad de México. C.P. 04010",Directorio OIM
Modelo de Atención para Adolescentes Institucionalizados y Migrantes no Acompañados “Casa Crecemos”,Centro de Asistencia Social,24.39530875,-104.3239542,"(24.395308749999998, -104.3239542)",OSC / ONG,"Avenida del Hierro s/n, Fracc. Fidel Velázquez, Durango, Durango. C.P. 34227",Directorio OIM
"Casa Hogar Annabel de Vallejo, A.C. (Casa de Varones)",Centro de Asistencia Social,20.1600133,-103.1147188,"(20.1600133, -103.1147188)",OSC / ONG,"Carretera a Tizapan el Alto 51, Localidad de Mismaloya, Tizapan El Alto, Jalisco.",Directorio OIM
"Villas Juveniles San Juan, A.C.",Centro de Asistencia Social,20.6500061,-103.450271,"(20.6500061, -103.450271)",OSC / ONG,"Chicozapote 1109, Paraísos del Collí Zapopan, Jalisco. C.P. 45070",Directorio OIM
Albergue Temporal Infantil,Centro de Asistencia Social,19.2791783,-99.658784,"(19.2791783, -99.658784)",OSC / ONG,"Paseo Colón 600, Col. Villa Hogar Toluca, Estado de México.",Directorio OIM
