,Municipio,Total,Año
4,"Aguascalientes, Ags.",93,2020
5,"Calvillo, Ags.",1,2020
6,"Cosío, Ags.",4,2020
7,"Jesús María, Ags.",13,2020
8,"San Francisco de los Romo, Ags.",5,2020
11,"Ensenada, BC",19,2020
12,"Mexicali, BC",418,2020
13,"Playas de Rosarito, BC",49,2020
14,"Tecate, BC",15,2020
15,"Tijuana, BC",1424,2020
18,"La Paz, BCS",6,2020
19,"Los Cabos, BCS",8,2020
20,"Mulegé, BCS",1,2020
23,"Campeche, Camp.",44,2020
24,"Carmen, Camp.",5,2020
25,"Escárcega, Camp.",36,2020
28,"Acapetahua, Chis.",257,2020
29,"Arriaga, Chis.",1324,2020
30,"Berriozábal, Chis.",7,2020
31,"Cacahoatán, Chis.",4,2020
32,"Catazajá, Chis.",676,2020
33,"Chiapa de Corzo, Chis.",1406,2020
34,"Chicoasén, Chis.",4,2020
35,"Cintalapa de Figueroa, Chis.",105,2020
36,"Comitán de Domínguez, Chis.",1202,2020
37,"Frontera Comalapa, Chis.",776,2020
38,"Frontera Hidalgo, Chis.",59,2020
39,"Huehuetán, Chis.",951,2020
40,"Huixtla, Chis.",938,2020
41,"Jiquipilas, Chis.",1,2020
42,"La Independencia, Chis.",177,2020
43,"La Trinitaria, Chis.",739,2020
44,"Las Margaritas, Chis.",13,2020
45,"Mapastepec, Chis.",5,2020
46,"Mazatán, Chis.",1,2020
47,"Metapa, Chis.",114,2020
48,"Mezcalapa, Chis.",18,2020
49,"Motozintla, Chis.",6,2020
50,"Ocosingo, Chis.",2,2020
51,"Ocozocoautla de Espinosa, Chis.",802,2020
52,"Palenque, Chis.",3309,2020
53,"Pichucalco, Chis.",5,2020
54,"Pijijiapan, Chis.",344,2020
55,"Salto de Agua, Chis.",27,2020
56,"San Cristóbal de las Casas, Chis.",414,2020
57,"Siltepec, Chis.",2,2020
58,"Suchiate, Chis.",3561,2020
59,"Tapachula, Chis.",6260,2020
60,"Tecpatán, Chis.",369,2020
61,"Teopisca, Chis.",2,2020
62,"Tonalá, Chis.",107,2020
63,"Tuxtla Chico, Chis.",2594,2020
64,"Tuxtla Gutiérrez, Chis.",1884,2020
65,"Villa Corzo, Chis.",1,2020
66,"Villaflores, Chis.",32,2020
69,"Ascensión, Chih.",688,2020
70,"Chihuahua, Chih.",113,2020
71,"Janos, Chih.",6,2020
72,"Juárez, Chih.",794,2020
73,"Namiquipa, Chih.",97,2020
74,"Ojinaga, Chih.",393,2020
77,"Iztapalapa, CDMX",737,2020
80,"Acuña, Coah.",234,2020
81,"Castaños, Coah.",14,2020
82,"Monclova, Coah.",101,2020
83,"Piedras Negras, Coah.",4062,2020
84,"Ramos Arizpe, Coah.",2,2020
85,"Saltillo, Coah.",782,2020
86,"Torreón, Coah.",114,2020
89,"Colima, Col.",7,2020
90,"Manzanillo, Col.",2,2020
93,"Durango, Dgo.",9,2020
94,"Gómez Palacio, Dgo.",194,2020
97,"Apaxco, Méx.",16,2020
98,"Atlacomulco, Méx.",2,2020
99,"Chalco, Méx.",4,2020
100,"Otumba, Méx.",1,2020
101,"Soyaniquilpan de Juárez, Méx.",107,2020
102,"Tenango del Valle, Méx.",1,2020
103,"Teotihuacán, Méx.",2,2020
104,"Tepotzotlán, Méx.",201,2020
105,"Tlalnepantla de Baz, Méx.",18,2020
106,"Toluca, Méx.",13,2020
109,"Celaya, Gto.",3,2020
110,"Guanajuato, Gto.",2,2020
111,"León, Gto.",9,2020
112,"Ocampo, Gto.",7,2020
113,"San Miguel de Allende, Gto.",71,2020
116,"Acapulco de Juárez, Gro.",17,2020
117,"Chilpancingo de los Bravo, Gro.",1,2020
118,"Coyuca de Catalán, Gro.",1,2020
119,"Cuajinicuilapa, Gro.",1,2020
120,"Técpan de Galeana, Gro.",1,2020
121,"Zihuatanejo de Azueta, Gro.",1,2020
124,"Actopan, Hgo.",1,2020
125,"Apan, Hgo.",5,2020
126,"Atitalaquia, Hgo.",1,2020
127,"Atotonilco el Grande, Hgo.",1,2020
128,"El Arenal, Hgo.",4,2020
129,"Huichapan, Hgo.",1,2020
130,"Ixmiquilpan, Hgo.",20,2020
131,"Mineral de la Reforma, Hgo.",2,2020
132,"Pachuca de Soto, Hgo.",93,2020
133,"Santiago Tulantepec de Lugo Guerrero, Hgo.",1,2020
134,"Tecozautla, Hgo.",15,2020
135,"Tepeapulco, Hgo.",180,2020
136,"Tepeji del Río de Ocampo, Hgo.",7,2020
137,"Tezontepec de Aldama, Hgo.",1,2020
138,"Tlahuiltepa, Hgo.",1,2020
139,"Tula de Allende, Hgo.",12,2020
140,"Tulancingo de Bravo, Hgo.",27,2020
141,"Villa de Tezontepec, Hgo.",6,2020
144,"Cihuatlán, Jal.",1,2020
145,"El Salto, Jal.",20,2020
146,"Guadalajara, Jal.",118,2020
147,"San Pedro Tlaquepaque, Jal.",1,2020
148,"Zapopan, Jal.",1,2020
151,"Buenavista, Mich.",2,2020
152,"Lázaro Cárdenas, Mich.",2,2020
153,"Morelia, Mich.",7,2020
156,"Coatlán del Río, Mor.",3,2020
157,"Cuautla, Mor.",8,2020
158,"Cuernavaca, Mor.",21,2020
159,"Xochitepec, Mor.",2,2020
162,"Bahía de Banderas, Nay.",10,2020
163,"Santa María del Oro, Nay.",5,2020
164,"Tepic, Nay.",49,2020
167,"Anáhuac, NL",22,2020
168,"Apodaca, NL",383,2020
169,"Aramberri, NL",3,2020
170,"Cadereyta Jiménez, NL",670,2020
171,"Cerralvo, NL",47,2020
172,"China, NL",196,2020
173,"Ciénega de Flores, NL",4,2020
174,"Galeana, NL",829,2020
175,"García, NL",25,2020
176,"General Bravo, NL",276,2020
177,"General Escobedo, NL",159,2020
178,"General Terán, NL",13,2020
