Folio,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro
11908,3,102208,1,1,1,1,24,1,6,1,1,2,2,6,2,5,1,-3,2,0,2,0,1,1,1,1,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,8,801,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,24,6,1,-15,1,-17,835,1,1,2,2,2,1,1,2,2,12,6,7000,4,4,532,1,1,1,96,1,2,-19,-19,1,3,2,-21,-21,2,2,2,2,2,-22,-22,11,999999997,97,1,10010001,2,2,20010001,2,1,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,1,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,0,-26,-26,-26,-26,2,-28,-28,-28,-28,0,0,-30,2,2,2,2,2,-31,-31,6,1,1,2,1,3,0,-34,-34,-34,-34,6,6037,603744000,3,4,5,1,2,1,1,1,1,2,-37,-37,-37,1,1,2,2,15,2,2,2,2,4,2,-38,6,6037,603739003,15,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,1,0,-49,1,-50,-50,2,7,1
9008,3,82208,1,1,1,1,22,1,1,2,-2,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,0,0,-5,-5,-5,-5,-5,2,2,2,1,2,15,1513,99,2,15,1513,98,-13,-13,-13,-13,-13,-13,-13,20,6,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,1,2,-19,-19,2,-20,2,-21,-21,1,1,2,1,2,-22,-22,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,1
39908,3,312208,1,1,1,1,26,1,3,1,1,2,2,6,2,5,1,-3,5,3,2,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,2,2,209,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,2,1,1,1215013,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,1,10010001,2,2,20020262,2,2,20020262,2,3,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,50250001,1,2,1,8,2,-28,-28,-28,-28,1000,2,2,2,2,2,2,2,-31,-31,5,2,1,2,2,-33,0,-34,-34,-34,-34,48,48309,4830977332,5,4,3,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,6,2,2,2,2,4,2,-38,48,48309,9999999997,6,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,1,0,1
35208,3,292208,1,1,1,1,35,1,3,2,-2,2,2,2,2,1,1,-3,1,-4,-4,-4,-4,-4,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,2,201,97,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,621,2,2,2,2,2,2,2,2,2,8,4,1500,4,3,461,1,2,1,96,1,1,1215013,0,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,7,71080001,2,20,999999997,97,19,190390001,2,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,5,2,1,5,2,-28,-28,-28,-28,5000,4,2,2,2,2,2,2,-31,-31,0,2,1,97,2,-33,0,-34,-34,-34,-34,48,48141,4814124000,3,1,2,1,2,1,2,2,2,2,-37,-37,-37,2,2,2,2,3,3,2,1,2,4,2,-38,48,48141,4814124000,1,3,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,1,1
34408,3,262208,1,1,1,1,36,1,3,2,-2,2,2,6,2,1,1,-3,3,1,2,0,1,1,1,1,3,1,2,-6,-6,-6,-6,2,2,2,2,2,10,1006,97,2,16,1620,1,-13,-13,-13,-13,-13,-13,-13,10,6,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,2,1,1215013,0,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,1,10010001,2,25,999999997,97,19,190390001,2,2,3,2,-23,-23,-23,-23,-23,-23,1,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,5,2,1,4,2,-28,-28,-28,-28,3000,4,2,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48309,9999999997,6,1,1,1,1,2,1,2,2,2,-37,-37,-37,2,2,2,2,1,3,1,1,2,4,2,-38,48,48309,9999999997,2,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
31908,3,262208,1,1,1,1,26,1,3,2,-2,2,2,6,2,6,2,2,4,1,3,0,2,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,501,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,2,1,1215013,3,2,-20,1,18000,2,2,2,2,2,2,-22,-22,3,30030001,2,2,999999997,97,2,999999997,97,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,4,2,1,3,2,-28,-28,-28,-28,18000,2,2,2,2,2,2,2,-31,-31,2,2,1,2,2,-33,0,-34,-34,-34,-34,6,6037,603744000,3,4,3,1,1,1,1,1,1,3,-37,-37,-37,2,2,2,2,21,2,2,2,2,4,2,-38,6,6037,603744000,2,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
31608,3,262208,1,1,1,1,45,1,3,2,-2,2,2,3,2,6,1,-3,5,0,4,1,2,1,1,1,1,1,1,1,1,2,4,1,2,2,2,2,1,101,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,30,6,1,-15,2,4,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,2,1,2,1,1215013,4,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,1,10010001,2,32,320560001,2,2,20040001,2,9,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,2,-27,1,10000,2,4,1,0,0,-30,2,2,2,2,2,-31,-31,3,1,2,-32,2,-33,0,-34,-34,-34,-34,6,6037,603744000,1,4,5,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,5,5,2,2,2,4,2,-38,6,6037,603744000,12,6,1,712,8,6,250,2,2,236,2,3,300,2,4,1,0,-43,-43,-43,-43,1,-46,-46,3,2011,0,0,-49,1,-50,-50,3,0,1
31208,3,242208,1,1,1,2,38,1,6,1,1,2,2,6,2,1,2,1,3,1,2,0,0,2,0,1,1,0,-5,-5,-5,-5,-5,1,2,2,1,2,4,406,97,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,1,1,1215013,0,2,-20,1,5000,2,1,1,2,2,2,-22,-22,4,40030001,2,7,70090001,2,19,190390001,2,3,3,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,3,1,5000,2,1,1,5000,2,1,1,1,2,2,2,-31,-31,0,1,1,1,2,-33,0,-34,-34,-34,-34,48,48309,9999999997,5,1,2,1,1,2,2,2,2,2,-37,-37,-37,2,2,2,2,1,3,2,2,2,4,2,-38,48,99997,9999999997,1,3,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,1,-44,2019,2,2,1,-46,-46,7,2022,0,0,-49,1,-50,-50,2,0,1
31008,3,242208,1,1,1,1,35,1,3,3,-2,2,2,6,2,1,1,-3,4,2,2,0,1,1,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,2,3,311,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,834,2,2,2,2,2,2,2,2,2,9,6,2500,4,3,485,1,2,1,96,2,1,1215013,0,2,-20,1,11000,4,1,1,2,2,2,-22,-22,7,70090001,2,11,110070001,2,19,190390001,2,3,3,2,-23,-23,-23,-23,-23,-23,1,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,3,1,11000,4,1,1,11000,4,1,1,2,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48309,9999999997,6,1,1,1,1,2,2,1,2,2,-37,-37,-37,2,2,2,2,1,3,2,2,2,4,2,-38,48,48309,9999999997,7,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,7,1
29708,3,242208,1,1,1,2,28,1,6,1,1,2,2,6,2,1,2,1,3,1,2,0,2,2,3,1,3,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,501,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,96,1,1,1215013,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,2,999999997,97,97,999999997,97,2,999999997,97,2,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,50250001,1,2,1,1,2,-28,-28,-28,-28,0,0,-30,2,2,2,2,2,-31,-31,2,4,1,2,2,-33,0,-34,-34,-34,-34,6,6037,9999999997,6,4,4,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,15,2,2,2,2,4,2,-38,6,6037,9999999997,15,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,2,0,1
