folio,unidad,ciudad,trim,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro,estrato,upm,ponfin3
210,42210,1,4,1,1,1,23,1,3,3,-2,2,2,6,2,6,2,2,4,1,2,1,2,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,501,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,2,96,1,1,1217001,3,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,2,20040001,2,28,280320001,2,28,280320001,2,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,289999999,2,2,1,4,2,-28,-28,-28,-28,999998,98,1,2,2,2,2,2,-31,-31,0,2,1,2,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,6,1,3,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,11,2,2,2,2,4,2,-38,48,48215,4821545384,11,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,0,1,1011,1011042210,15.551136356875
310,42210,1,4,1,1,1,36,1,3,2,-2,2,2,6,2,1,1,-3,2,0,2,0,2,1,1,1,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,2,209,99,2,5,501,2,-13,-13,-13,-13,-13,-13,-13,10,6,1,-15,1,-17,421,1,2,2,1,1,1,1,1,2,9,6,10000,4,5,461,1,1,2,4,1,1,1217001,3,2,-20,1,19000,2,2,2,2,2,2,-22,-22,12,120010001,2,9,90130001,2,13,130560001,2,18,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,1,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,50250001,1,2,2,-27,1,19000,2,7,1,19000,2,2,2,2,2,2,2,-31,-31,2,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,4,2,2,2,2,4,2,-38,48,48215,4821545384,4,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,3,4,1,1011,1011042210,15.551136356875
410,42210,1,4,1,1,1,31,1,3,3,-2,2,2,3,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,1,3,1,1,1,2,2,1,2,2,2,2,1,101,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,2,1,1,1,1215013,3,2,-20,1,17000,2,2,2,2,2,2,-22,-22,13,999999999,99,19,190470001,2,3,999999997,97,22,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,20040001,2,2,1,3,1,17000,2,4,1,1500,1,1,2,2,2,2,2,-31,-31,0,4,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,6,1,3,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,5,2,2,2,2,4,2,-38,48,48215,4821545384,5,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1,1011,1011042210,15.551136356875
510,42210,1,4,1,1,2,40,1,3,2,-2,2,2,6,2,5,2,1,4,0,4,0,3,2,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,2,14,1411,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,2,1,1,1217001,3,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,2,20040001,2,19,190390001,2,19,190390001,2,29,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,11,2,1,2,2,-28,-28,-28,-28,30000,4,1,1,1,2,2,2,-31,-31,2,2,1,2,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,9,2,2,2,2,4,2,-38,48,48215,4821545384,9,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011042210,15.551136356875
1310,42210,1,4,1,1,1,31,1,3,2,-2,2,2,6,2,1,1,-3,3,1,2,0,1,1,3,1,5,1,2,-6,-6,-6,-6,1,2,2,2,2,5,511,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,931,1,1,2,2,2,2,2,2,2,9,6,1500,4,3,485,2,2,1,96,2,1,1705099,0,2,-20,1,4000,2,1,1,2,2,2,-22,-22,4,999999997,97,21,999999997,97,28,280320001,2,13,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,6,2,1,3,1,4000,2,4,1,8000,2,1,2,2,2,2,2,-31,-31,2,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,12,2,2,2,2,4,2,-38,48,48215,4821545384,4,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,3,7,1,1011,1011042210,15.551136356875
1410,42210,1,4,1,1,1,26,1,1,2,-2,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,0,0,-5,-5,-5,-5,-5,1,2,2,2,2,4,405,97,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,4,1,1,1,1705099,0,1,5,1,99999,99,1,1,2,2,2,-22,-22,23,230050001,2,19,190390001,2,19,190390001,2,20,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,3,1,999999,99,6,1,999999,99,1,2,2,2,2,2,-31,-31,2,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,1,1,1,1,1,2,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,48,48215,4821545384,3,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011042210,15.551136356875
1510,42210,1,4,1,1,1,34,1,6,1,1,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,2,5,501,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,3,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,1,1,1705099,3,2,-20,1,5000,2,2,2,2,2,2,-22,-22,2,20020001,2,6,60090001,2,26,999999997,97,10,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,289999999,5,2,1,3,1,5500,2,7,1,11500,2,1,1,1,2,2,2,-31,-31,0,2,1,2,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,1,1,2,1,2,2,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,48,48215,4821545384,1,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,2,0,1,1011,1011042210,15.551136356875
1610,42210,1,4,1,1,1,23,1,3,3,-2,2,2,6,2,6,2,2,5,1,3,1,2,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,8,801,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,1705015,3,2,-20,1,99999,99,2,2,2,2,2,-22,-22,7,71010001,2,17,170170009,2,19,190390001,2,3,2,2,-23,-23,-23,-23,-23,-23,1,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,50250001,2,2,1,3,1,999999,99,1,1,999999,99,1,1,2,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,2,1,2,2,2,2,-37,-37,-37,2,2,2,2,15,2,2,2,2,4,2,-38,48,48215,4821545384,2,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1,1011,1011042210,15.551136356875
2611,22211,1,4,1,1,1,35,1,6,1,1,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,2,6,613,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,2,1,1705099,0,2,-20,99,99999,99,1,1,2,2,2,-22,-22,17,170250001,2,11,110050001,2,17,170180001,2,14,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,99,99,999999,99,99,99,999999,99,2,2,2,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,6,1,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,15,2,2,2,2,4,2,-38,48,48215,4821545384,5,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,10,2022,0,0,-49,1,-50,-50,2,0,1,1011,1011022211,16.9512986939286
2711,22211,1,4,1,1,1,22,1,2,2,-2,2,2,6,2,6,2,2,3,0,3,0,0,2,3,0,1,0,-5,-5,-5,-5,-5,1,2,2,1,2,3,301,97,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,1,1,1312047,0,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,22,220140001,2,25,250180001,2,28,280030001,2,10,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,289999999,15,2,1,5,2,-28,-28,-28,-28,999999,99,99,2,2,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,15,2,2,2,2,4,2,-38,48,48215,4821545384,5,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,10,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011022211,16.9512986939286
