folio,trim,unidad,region,ciudad,punto,turno,sexo,edad,nacio,cruzar,trabajar,estuvo,p1,p1_1,p1_2,p1_2_1,p1_2_2_1,p1_2_2_2,p1_3,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1d,p8_1m,p8_1u,p8_1_1,p8_2e,p8_2m,p8_2l,p8_2u,p9,p9_1,p9_2,p9_2_1,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_7,p9_8,p9_9c,p9_9u,p9_9t,p9_10,p9_11,p9_11_1_1,p9_11_1_2,p9_12,p9_13,p9_14,p9_15_1,p9_15_2,p10,p11,p12,p13,p13_1,p13_2,p14,p14_1,p14_2,p15,p16,p16_1,p16_2,p16_3,p16_4,p17,p17_1f,p17_1p,p17_1u,p17_2e,p17_2m,p17_3,p18,p18_1,p18_2,p18_2_1,p18_2_2c,p18_2_2t,p19c,p19t,p20,p20_1c,p20_1t,p20_2,p21,p21_1c,p21_1t,p22c,p22t,p23,p24m,p24a,p25_1,p25_1_1,p25_2,p25_2_1,p25_3,p25_3_1,p26,p26_1,p26_2,p27,p28,p28_1f,p28_1p,p28_1u,p28_2e,p28_2m,p28_4,p28_5,p28_6,p28_7_1,p28_7_2,p28_7_3,p28_7_4,p28_7_5,p28_7_6,p28_7_7,p28_8,p28_9,p28_10c,p28_10u,p28_10t,p28_10_1,p28_11,p28_12,p29,p30,p31,filtro,estrato,upm,ponfin3
8809,3,12209,1,3,3,2,1,28,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,6,2,2,5,2,3,0,2,2,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,999999999,-26,99,7,7034,2,1,1,2,-29,-29,-29,999,99,997,999,99,99,2,999,99,999,99,9999,99,9999,2,-37,2,-38,2,-39,2,-40,-40,1,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998, ,3032,3032012209,8.46379996147466
108607,3,182207,1,3,3,3,1,29,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,2,99,99,99,1,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,3,1312047,1,2,-20,-20,2,-22,2,2,4,-24,-24,-24,-24,2,-27,70340001,2,7,7034,2,1,1,2,-29,-29,-29,999,99,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,2022,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,2,-45,2, ,3033,3033182207,42.5092123260367
111709,3,52209,1,3,2,2,1,47,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,1,1,-9,5,3,2,0,1,1,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340047,-26,1,7,7034,2,1,1,2,-29,-29,-29,999,99,997,999,99,99,97,999,99,997,97,9999,99,9999,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340047,-43,1,7,7034,999,2,2,2,2,2,2,2,2,2,8,6,160,1,2,1,999,2,2,-45,2, ,3022,3022052209,64.8735506020639
174407,3,202207,1,3,3,3,1,40,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,6,1,-9,1,-10,-10,-10,-10,-10,1,13,1304,99,1,-13,-13,-13,-13,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,96,0,1312047,6,2,-20,-20,2,-22,98,1,5,1,1,2,6,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,999,99,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,3033,3033202207,52.484115027194
547808,3,192208,1,3,3,2,1,45,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,4,1,1,2,1,1,-9,5,2,3,0,2,1,1,13,1304,1,1,-13,-13,-13,-13,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,1,8,96,2,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,2,1,4,-24,-24,-24,-24,2,-27,70190001,2,7,7019,1,1,2,2,-29,-29,-29,999,99,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2, ,3032,3032192208,4.7276600096
633709,3,172209,1,3,3,3,1,30,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,0,0,2,2,5,1,-9,4,2,2,0,2,99,1,13,1302,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,1,8,96,2,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,2,1,4,-24,-24,-24,-24,2,-27,70340239,1,7,7034,1,1,4,1,1,8,5,999,99,888,8,5,6,-34,-34,-34,5,1,2022,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70340239,1,7,7034,411,1,2,1,2,1,2,2,2,2,5,6,1000,1,4,1,312,2,2,-45,2, ,3033,3033172209,6.9524415684383
639109,3,182209,1,3,2,2,1,34,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,1,1,5,1,1,2,1,1,-9,4,1,3,0,1,1,1,12,1221,1,1,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,1,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340047,-26,1,7,7034,2,1,1,1,1,999,99,999,99,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,99,9999,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340047,-43,1,7,7034,999,2,2,2,2,2,2,2,2,2,7,6,160,1,2,1,999,2,2,-45,2, ,3022,3022182209,68.3432226778866
690708,3,232208,1,3,2,2,1,32,2,1,1,-4,2,4,0,-6,-6,-6,-6,2,2,6,1,1,2,1,1,-9,4,2,2,0,1,1,2,-11,-11,-11,-11,-11,-11,-11,-11,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,1,3,96,1,2,2,2,96,3,1312047,5,2,-20,-20,2,-22,5,2,5,1,1,2,34,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,999,99,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1, ,3022,3022232208,107.44681886716
703208,3,242208,1,3,2,2,1,27,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,6,2,2,5,2,3,0,1,2,1,13,1312,1,1,-13,-13,-13,-13,1,-14,2,99,611,2,2,2,2,2,2,2,2,7,6,80,3,2,111,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,1,2,5,1,1,2,48,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,999,99,1,-32,-32,-32,-32,-32,-32,-32,-32,-32,99,9999,2,-37,2,-38,2,-39,2,-40,-40,2,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,1,1,1, ,3022,3022242208,29.887506044081
705508,3,242208,1,3,2,2,1,18,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,5,1,1,2,6,2,2,5,2,3,0,1,2,1,13,1312,2,1,-13,-13,-13,-13,1,-14,1,-16,611,2,2,2,2,2,2,2,2,7,6,999999,99,99,111,2,-18,-18,1,2,2,2,96,0,1312047,1,2,-20,-20,2,-22,1,2,4,-24,-24,-24,-24,1,70340031,-26,1,7,7034,2,1,1,2,-29,-29,-29,999,99,999,997,97,99,5,999,99,999,99,2019,97,9997,2,-37,2,-38,2,-39,2,-40,-40,1,1,70340031,-43,1,7,7034,611,2,2,2,2,2,2,2,2,2,7,6,99999,99,99,1,111,2,2,-45,2, ,3022,3022242208,29.887506044081
