folio,unidad,trim,region,ciudad,punto,turno,sexo,edad,nacio,vieneud,paisvive,trabaja,estuvo,p1,p1_1,p1_1_1,p1_1_2_1,p1_1_2_2,p1_2,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1c,p8_1t,p8_2m,p8_2a,p9,p9_1,p10,p11,p11_1,p11_1_1,p11_1_2,p12,p12_1c,p12_1u,p12_2,p13c,p13t,p13_1_1c,p13_1_1t,p13_1_2c,p13_1_2t,p13_1_3c,p13_1_3t,p14,p14_1,p14_1_1f,p14_1_1p,p14_1_1u,p14_1_2e,p14_1_2m,p14_1_3,p14_3,p14_4,p14_5,p14_6_0_1,p14_6_0_2,p14_6_0_3,p14_6_0_4,p14_6_0_5,p14_6_0_6,p14_6_0_7,p14_6_1,p14_7_1,p14_7_2,p14_7_3,p14_7_4,p14_7_5,p14_7_6,p14_7_7,p14_8,p14_9,p14_10c,p14_10u,p14_10t,p14_10_1,p14_11,p14_12,p14_12_1,p14_12_2,p14_12_3,p14_12_4,p14_12_5,p14_12_6,p15,p15_1,p15_2c,p15_2t,p16c,p16t,p17,p17_1_1,p17_1_2,p17_1_3,p17_2,p18_1,p18_1_1,p18_2,p18_2_1,p18_3,p18_3_1,p18_4,p18_4_1,p19_0_1,p19_0_2,p19_0_3,p19_0_4,p19_1,p20,p21,p22,p23c,p23t,p23_1,p23_2c,p23_2t,p23_3,p23_4c,p23_4t,p23_5,p24,p24_1,p25a,p25m,p26p,p26_1e,p26_1m,p26_1l,p26_1u,p26_2d,p26_2m,p26_2b,p26_2u,p27,p27_1,p27_2,p27_2_1,p27_4,p27_5,p27_6,p27_7,p27_8,p28,p29,p29_1m,p29_1a,p29_2,p29_3,p29_3_1,p29_4,p29_5c,p29_5t,p29_6,p29_7,p30,filtro,estrato,upm,ponfin3
1026009,262209,3,1,3,1,2,1,26,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,6,1,1,2,99,1,-10,5,1,3,1,2,1,1,-12,-12,9,2022,0,1312047,1,2,-14,-14,3,2,-17,-17,-17,5,1,5,1,999,99,999,99,1,1,70611160,-20,1,7,7061,2,611,2,2,1,1,2,2,2,2,2,4,2,2,-23,2,2,2,2,10,6,200,1,2,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,998,98,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,3012,3012262209,16.0145595419755
298009,72209,3,1,3,1,3,2,54,1,1,4,-4,-4,1,0,-7,-7,-7,1,2,2,6,1,1,2,99,2,1,99,1,2,0,99,2,3,8,5,1,2022,0,1312047,1,1,4,-15,-15,2,-17,-17,-17,777,7,777,7,777,7,777,7,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,4,999,99,-998,-998,-998,-998,999,99,999,0,-43,2022,99,4,7,7006,70060044,1,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3013,3013072209,10.54208224
411109,82209,3,1,3,2,3,1,20,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,99,2,2,5,1,4,0,2,2,1,-12,-12,6,2022,0,1312047,1,2,-14,-14,1,2,-17,-17,-17,2,5,2,5,999,99,999,99,1,1,70990347,-20,1,7,7099,2,611,1,2,1,1,2,2,2,2,2,4,2,2,-23,2,2,2,2,10,6,2000,1,4,1,111,2,-24,-24,-24,-24,-24,-24,1,-29,5,2,2,5,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,2,996,96,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1306,1306025,1,1,-47,2,3,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2,1,3023,3023082209,5.4707652428679
848609,202209,3,1,3,1,3,1,28,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,1,2,-9,2,99,99,99,7,2,4,1,3,2,1,-12,-12,9,2022,0,1312047,5,2,-14,-14,4,2,-17,-17,-17,4,2,999,99,999,99,4,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,5,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312009,2,1,-47,2,2,-50,-50,-50,-50,-50,2,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,2, ,3013,3013202209,17.2492087935877
687209,172209,3,1,2,1,3,2,24,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,2,2,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,9,2022,0,1215013,1,1,2,2,-16,2,-17,-17,-17,8,1,8,1,999,99,999,99,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,2013,2013172209,44.0585816643402
631809,142209,3,1,3,2,3,2,26,1,1,1,2,1,2,0,-7,-7,-7,0,2,2,3,3,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,8,2022,0,1312047,3,1,2,-15,-15,2,-17,-17,-17,1,5,999,99,999,99,999,99,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998, ,3023,3023142209,11.0212673171781
552907,302207,3,1,3,2,3,2,28,1,1,4,-4,-4,2,0,-7,-7,-7,0,2,2,2,2,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,3,999,99,99,9999,0,1312047,2,2,-14,-14,6,2,-17,-17,-17,777,7,777,7,777,7,777,7,99,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998, ,3023,3023302207,6.39774856132476
319307,252207,3,1,3,2,2,1,30,2,1,2,1,-5,0,-6,-6,-6,-6,-6,2,2,3,2,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,5,2022,0,1312047,5,2,-14,-14,1,1,40000,3,2,2,5,999,99,998,98,2,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,997,97,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,2,-37,5,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-45,-45,-45,-45,-45,-45,-45,-45,1,-47,2,3,-50,-50,-50,-50,-50,1,2,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1, ,3022,3022252207,21.5013806490215
246307,232207,3,1,3,1,3,1,29,1,1,1,1,-5,0,-6,-6,-6,-6,-6,2,2,3,2,-9,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,7,2022,0,1312047,4,1,2,-15,-15,2,-17,-17,-17,2,2,2,2,1,2,2,3,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,1,5,2,2,-40,-40,-40,-40,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998, ,3013,3013232207,10.9060880126392
1160508,292208,3,1,3,1,2,1,32,1,1,1,1,-5,0,-6,-6,-6,-6,-6,1,1,6,1,1,2,6,1,-10,1,-11,-11,-11,-11,-11,1,-12,-12,7,2022,0,1312047,1,2,-14,-14,2,2,-17,-17,-17,1,5,999,99,999,99,1,5,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,999,99,2,-31,-31,-31,-31,2,-32,2,-33,2,-34,2,-35,2,2,2,2,-36,1,2,5,0,0,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-44,-44,-44,-44,13,1312,1312009,2,1,-47,2,2,-50,-50,-50,-50,-50,1,2,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,1,3012,3012292208,14.6929694799919
