,sexo,edad,pais
0,Hombre,26,Guatemala
1,Mujer,54,Guatemala
2,Hombre,20,Guatemala
3,Hombre,28,Estados Unidos
4,Mujer,24,Guatemala
5,Mujer,26,El Salvador
6,Mujer,28,Honduras
7,Hombre,30,Estados Unidos
8,Hombre,29,México
9,Hombre,32,Guatemala
10,Hombre,27,Estados Unidos
11,Hombre,25,Guatemala
12,Hombre,30,Estados Unidos
13,Hombre,32,El Salvador
14,Hombre,30,México
15,Hombre,40,El Salvador
16,Hombre,34,Estados Unidos
17,Hombre,27,Guatemala
18,Hombre,32,Guatemala
19,Hombre,35,Estados Unidos
20,Hombre,28,Guatemala
21,Hombre,30,Estados Unidos
22,Hombre,28,Estados Unidos
23,Hombre,38,Estados Unidos
24,Hombre,21,Estados Unidos
25,Hombre,24,Estados Unidos
26,Hombre,28,Estados Unidos
27,Hombre,23,Estados Unidos
28,Hombre,35,Estados Unidos
29,Hombre,24,Guatemala
30,Hombre,31,Estados Unidos
31,Hombre,28,Estados Unidos
32,Hombre,31,Guatemala
33,Hombre,30,Estados Unidos
34,Hombre,27,Anguila
35,Hombre,45,Guatemala
36,Hombre,28,Guatemala
37,Hombre,36,Guatemala
38,Hombre,20,Estados Unidos
39,Hombre,27,Guatemala
40,Hombre,20,Guatemala
41,Hombre,35,Guatemala
42,Mujer,30,Guatemala
43,Mujer,28,Guatemala
44,Hombre,28,Guatemala
45,Hombre,28,Guatemala
46,Hombre,23,Estados Unidos
47,Hombre,30,Guatemala
48,Mujer,60,No sabe
49,Hombre,28,Guatemala
50,Hombre,24,Guatemala
51,Hombre,28,Guatemala
52,Hombre,27,Guatemala
53,Hombre,32,Estados Unidos
54,Hombre,25,Guatemala
55,Hombre,35,Guatemala
56,Hombre,30,Guatemala
57,Hombre,28,Guatemala
58,Hombre,31,Guatemala
59,Mujer,20,Guatemala
60,Hombre,38,Guatemala
61,Hombre,32,Guatemala
62,Hombre,33,Guatemala
63,Hombre,16,Guatemala
64,Hombre,46,Guatemala
65,Hombre,25,Guatemala
66,Hombre,30,Guatemala
67,Hombre,28,Guatemala
68,Hombre,45,Guatemala
69,Hombre,28,Guatemala
70,Mujer,27,Guatemala
71,Hombre,27,Guatemala
72,Hombre,27,Guatemala
73,Hombre,30,Guatemala
74,Hombre,30,Guatemala
75,Hombre,30,Guatemala
76,Hombre,27,Guatemala
77,Hombre,25,Guatemala
78,Hombre,24,Guatemala
79,Hombre,27,Estados Unidos
80,Hombre,29,Guatemala
81,Hombre,37,Guatemala
82,Hombre,24,Guatemala
83,Hombre,24,Guatemala
84,Mujer,38,Guatemala
85,Mujer,21,Guatemala
86,Hombre,32,Guatemala
87,Hombre,21,Guatemala
88,Hombre,21,Guatemala
89,Hombre,32,Guatemala
90,Hombre,32,Guatemala
91,Mujer,21,Guatemala
92,Mujer,28,Guatemala
93,Hombre,42,Guatemala
