nommun,2020,2021,2022,2023,2024
"Acacoyagua, Chiapas",0,0,0,2,0
"Acala, Chiapas",0,0,0,0,1
"Acambay de Ruiz Castaneda, Estado de Mexico",0,0,0,1,0
"Acapetahua, Chiapas",257,0,4572,6320,85
"Acapulco de Juarez, Guerrero",17,122,36,32,0
"Acatlan de Perez Figueroa, Oaxaca",0,0,2,0,0
"Acayucan, Veracruz",3704,14530,27028,36446,12619
"Acolman, Estado de Mexico",0,1,102,0,0
"Actopan, Hidalgo",1,2,2,2,12
"Actopan, Veracruz",42,0,0,0,0
"Acuna, Coahuila",234,1900,2367,1672,33
"Agua Dulce, Veracruz",0,7,61,20,1522
"Agua Prieta, Sonora",228,28,0,35,93
"Aguascalientes, Aguascalientes",93,597,321,44,103
"Ahome, Sinaloa",235,2,48,3,50
"Aldama, Tamaulipas",29,9,92,14,0
"Alfajayucan, Hidalgo",0,1,0,1,0
"Allende, Coahuila",0,0,901,0,0
"Allende, Nuevo Leon",0,125,29,0,0
"Almoloya, Hidalgo",0,31,1,0,0
"Altamira, Tamaulipas",27,933,439,873,94
"Altar, Sonora",0,0,0,0,1445
"Alvarado, Veracruz",27,132,96,59,112
"Amacuzac, Morelos",0,0,4,0,0
"Amatenango del Valle, Chiapas",0,5,0,0,0
"Amatlan de los Reyes, Veracruz",0,0,0,17,11
"Amaxac de Guerrero, Tlaxcala",0,0,0,1,0
"Amealco de Bonfil, Queretaro",0,0,2,0,0
"Amecameca, Estado de Mexico",0,0,3,0,0
"Angel R. Cabada, Veracruz",0,0,5,21,0
"Angostura, Sinaloa",0,0,237,79,148
"Antiguo Morelos, Tamaulipas",0,63,233,122,0
"Anahuac, Nuevo Leon",22,39,177,86,0
"Apan, Hidalgo",5,74,13,5,5
"Apaseo el Alto, Guanajuato",0,0,0,1,0
"Apaseo el Grande, Guanajuato",0,0,0,22,0
"Apatzingan, Michoacan",0,0,0,1,0
"Apaxco, Estado de Mexico",16,0,32,2474,0
"Apetatitlan de Antonio Carvajal, Tlaxcala",63,204,129,321,247
"Apizaco, Tlaxcala",69,2872,1271,133,203
"Apodaca, Nuevo Leon",383,2215,5164,4255,1602
"Aramberri, Nuevo Leon",3,45,19,4,0
"Arandas, Jalisco",0,0,1,0,0
"Arriaga, Chiapas",1324,2733,9052,19741,14313
"Arroyo Seco, Queretaro",0,72,0,0,0
"Ascension, Chihuahua",688,618,563,0,0
"Asuncion Ixtaltepec, Oaxaca",12,18,84,0,0
"Asuncion Nochixtlan, Oaxaca",68,62,9,13,3
"Atenco, Estado de Mexico",0,2,0,0,0
"Atitalaquia, Hidalgo",1,38,30,2,67
"Atlacomulco, Estado de Mexico",2,122,3,51,0
"Atlangatepec, Tlaxcala",0,4,4,85,0
"Atlatlahucan, Morelos",0,0,1,0,0
"Atotonilco de Tula, Hidalgo",0,15,32,0,0
"Atotonilco el Grande, Hidalgo",1,0,0,0,0
"Atoyac, Veracruz",0,43,0,0,0
"Axapusco, Estado de Mexico",0,0,3,0,0
"Ayala, Morelos",0,1,6,0,1
"Azoyu, Guerrero",0,0,0,1023,0
"Bacalar, Quintana Roo",0,20,0,9,68
"Bahia de Banderas, Nayarit",10,5,2,2,0
"Balancan, Tabasco",39,151,161,1477,6133
"Benemerito de las Americas, Chiapas",0,1,16,0,0
"Benito Juarez, Ciudad de Mexico",0,47,5,0,0
"Benito Juarez, Quintana Roo",184,1052,1107,1909,2232
"Berriozabal, Chiapas",7,1,149,141,160
"Boca del Rio, Veracruz",0,0,8,0,0
"Buenavista, Michoacan",2,3,1,1,0
"Caborca, Sonora",13,0,0,413,209
"Cacahoatan, Chiapas",4,1,71,0,0
"Cadereyta Jimenez, Nuevo Leon",670,1127,1327,83,19
"Cadereyta de Montes, Queretaro",0,0,2,0,0
"Cajeme, Sonora",0,0,0,1039,142
"Calakmul, Campeche",0,0,72,211,0
"Calera, Zacatecas",0,0,0,42,23
"Calkini, Campeche",0,0,0,1,0
"Calpulalpan, Tlaxcala",1,678,9,25,2
"Calvillo, Aguascalientes",1,0,0,0,0
"Camargo, Chihuahua",0,1,0,0,0
"Camargo, Tamaulipas",12,0,0,25,1
"Camerino Z. Mendoza, Veracruz",0,0,0,126,0
"Campeche, Campeche",44,61,574,430,502
"Candelaria Loxicha, Oaxaca",0,0,0,0,14
"Carlos A. Carrillo, Veracruz",0,12,14,1,27
"Carmen, Campeche",5,80,322,260,244
"Carrillo Puerto, Veracruz",0,0,0,55,64
"Castanos, Coahuila",14,0,0,0,0
"Catazaja, Chiapas",676,2224,1259,2052,320
"Catemaco, Veracruz",0,4,23,0,4
"Cedral, San Luis Potosi",0,0,0,5,0
"Celaya, Guanajuato",3,0,3,8,0
"Centla, Tabasco",14,0,104,45,0
"Centro, Tabasco",1098,8555,20707,74160,107606
"Cerralvo, Nuevo Leon",47,0,0,0,0
"Chacaltianguis, Veracruz",0,0,4,0,0
"Chahuites, Oaxaca",25,1,109,54,0
"Chalco, Estado de Mexico",4,262,1766,411,66
"Champoton, Campeche",0,0,14,149,0
"Chanal, Chiapas",0,0,0,1,0
"Chapulhuacan, Hidalgo",0,0,0,18,756
"Charo, Michoacan",0,0,5,4,0
"Chemax, Yucatan",0,0,0,0,68
"Chenalho, Chiapas",0,0,0,0,24
"Chiapa de Corzo, Chiapas",1406,956,1752,3578,278
"Chiautempan, Tlaxcala",1,15,7,16,2
"Chicoasen, Chiapas",4,0,0,0,0
"Chicoloapan, Estado de Mexico",0,0,0,0,3
"Chicomuselo, Chiapas",0,0,13,0,0
"Chihuahua, Chihuahua",113,439,537,2040,671
"Chilpancingo de los Bravo, Guerrero",1,5,25,30,2
"Chilon, Chiapas",0,469,0,0,0
"Chimalhuacan, Estado de Mexico",0,0,0,0,10
"China, Nuevo Leon",196,1152,217,146,0
"Chinameca, Veracruz",0,0,3,0,0
