,nommun,2020,2021,2022,2023,2024,id_poligon,geometry
0,"Acacoyagua, Chiapas",0,0,0,2,0,PG1530,POINT (-92.6972939305788 15.4060577)
1,"Acala, Chiapas",0,0,0,0,1,,
2,"Acambay de Ruiz Castaneda, Estado de Mexico",0,0,0,1,0,PG1108,POINT (-99.8480208629308 19.95904705)
3,"Acapetahua, Chiapas",257,0,4572,6320,85,,POINT (-92.8105563278194 15.212364748026989)
4,"Acapulco de Juarez, Guerrero",17,122,36,32,0,PG1103,POINT (-99.8940182 16.8680495)
5,"Acatlan de Perez Figueroa, Oaxaca",0,0,2,0,0,,
6,"Acayucan, Veracruz",3704,14530,27028,36446,12619,PG1378,POINT (-94.9145752 17.9487862)
7,"Acolman, Estado de Mexico",0,1,102,0,0,,
8,"Actopan, Hidalgo",1,2,2,2,12,PG1186,POINT (-98.9431476 20.2687373)
9,"Actopan, Veracruz",42,0,0,0,0,,
10,"Acuna, Coahuila",234,1900,2367,1672,33,PG1082,POINT (-100.9322287 29.3248796)
11,"Agua Dulce, Veracruz",0,7,61,20,1522,PG1417,POINT (-94.1623630522383 18.0899541)
12,"Agua Prieta, Sonora",228,28,0,35,93,PG578,POINT (-109.5564331 31.3305591)
13,"Aguascalientes, Aguascalientes",93,597,321,44,103,PG955,POINT (-102.5000001 22.0000001)
14,"Ahome, Sinaloa",235,2,48,3,50,PG609,POINT (-109.205834408303 25.9240491)
15,"Aldama, Tamaulipas",29,9,92,14,0,PG1229,POINT (-98.0741727 22.9196081)
16,"Alfajayucan, Hidalgo",0,1,0,1,0,PG1147,POINT (-99.4031534355859 20.410277)
17,"Allende, Coahuila",0,0,901,0,0,PG1081,POINT (-100.8517302 28.3420816)
18,"Allende, Nuevo Leon",0,125,29,0,0,,
19,"Almoloya, Hidalgo",0,31,1,0,0,,
20,"Altamira, Tamaulipas",27,933,439,873,94,PG1228,POINT (-97.9362975 22.3921625)
21,"Altar, Sonora",0,0,0,0,1445,PG460,POINT (-111.8380038 30.7170323)
