ciudad,estado,ruta,latitud,longitud,codigo_ruta,etiqueta
"Irapuato, Guanajuato",Guanajuato,Ruta Centro,20.6758761,-101.3521052,C,C1
"Durango, Durango",Durango,Ruta Centro,24.022008,-104.654741,C,C2
"Salamanca, Guanajuato",Guanajuato,Ruta Centro,20.65232455,-101.16684156787477,C,C3
"Leon, Guanajuato",Guanajuato,Ruta Centro,21.0792557,-101.5897695,C,C4
"Aguascalientes, Aguascalientes",Aguascalientes,Ruta Centro,21.880487,-102.2967195,C,C5
"Celaya, Guanajuato",Guanajuato,Ruta Centro,20.521788,-100.8140458,C,C6
"Queretaro, Queretaro",Queretaro,Ruta Centro,20.5954708,-100.397059,C,C7
"Zacatecas, Zacatecas",Zacatecas,Ruta Centro,22.7753891,-102.5722706,C,C8
"Ciudad de Mexico, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,19.3997047,-99.1248161,C,C9
"Lecheria, Estado de Mexico",Estado de Mexico,Ruta Centro,19.6122242,-98.97079353436794,C,C10
"Tula, Hidalgo",Hidalgo,Ruta Centro,20.051702,-99.3450677,C,C11
"Puebla, Puebla",Puebla,Ruta Centro,19.0437196,-98.1981486,C,C12
"Tehuacan, Puebla",Puebla,Ruta Centro,18.4599877,-97.3903616,C,C13
"Tlaxcala, Tlaxcala",Tlaxcala,Ruta Centro,19.3167101,-98.2386138,C,C14
"San Luis Potosi, San Luis Potosi",San Luis Potosi,Ruta Centro,22.1516472,-100.9763993,C,C15
"Pachuca, Hidalgo",Hidalgo,Ruta Centro,20.1165413,-98.7413535,C,C16
"Tulancingo, Hidalgo",Hidalgo,Ruta Centro,20.0839585,-98.3635381,C,C17
"Torreon, Coahuila",Coahuila,Ruta Centro,25.542698,-103.410512,C,C18
"Tamazunchale, San Luis Potosi",San Luis Potosi,Ruta Centro,21.2618403,-98.7907425,C,C19
"Chihuahua, Chihuahua",Chihuahua,Ruta Centro,28.6368669,-106.076745,C,C20
"Ciudad Valles, San Luis Potosi",San Luis Potosi,Ruta Centro,21.9916551,-99.0102967,C,C21
"Saltillo, Coahuila",Coahuila,Ruta Centro,25.4230425,-100.9927509,C,C22
"Ciudad Juarez, Chihuahua",Chihuahua,Ruta Centro,31.7372575,-106.485655,C,C23
"Monclova, Coahuila",Coahuila,Ruta Centro,26.8999988,-101.4171173,C,C24
"Piedras Negras, Coahuila",Coahuila,Ruta Centro,28.704596,-100.5167137,C,C25
"Ciudad Acuna, Coahuila",Coahuila,Ruta Centro,29.3248796,-100.9322287,C,C26
"Orizaba, Veracruz",Veracruz,Ruta del Golfo,18.8497366,-97.1060062,G,G1
"Cordoba, Veracruz",Veracruz,Ruta del Golfo,18.8944704,-96.9352891,G,G2
