puerto,edo,ciudad,ruta,latitud,longitud
Rosarito,Baja California,"Rosarito, Baja California",pacifico,32.365166,-117.0557923
El Sauzal,Baja California,"El Sauzal, Baja California",pacifico,31.8932996,-116.6912627
Puerto Escondido,Baja California,"Puerto Escondido, Baja California",pacifico,25.811704,-111.308949
Puerto Penasco,Sonora,"Puerto Penasco, Sonora",pacifico,31.3170867,-113.531819
Isla de Cedros,Baja California,"Isla de Cedros, Baja California",pacifico,28.1544990198747,-115.233073824214
Guerrero Negro,Baja California Sur,"Guerrero Negro, Baja California Sur",pacifico,27.9709506,-114.036389
Guaymas,Sonora,"Guaymas, Sonora",pacifico,27.9216441,-110.8994059
Isla San Marcos,Baja California Sur,"Isla San Marcos, Baja California Sur",pacifico,27.18797,-112.0800646
Santa Rosalia,Baja California Sur,"Santa Rosalia, Baja California Sur",pacifico,27.3364279,-112.2680462
Punta Chivato,Baja California Sur,"Punta Chivato, Baja California Sur",pacifico,27.0686798,-111.9637299
Punta Prieta,Baja California Sur,"Punta Prieta, Baja California Sur",pacifico,27.0158141,-114.0426703
Pichilingue,Baja California Sur,"Pichilingue, Baja California Sur",pacifico,24.069914,-110.3009748
La Paz,Baja California Sur,"La Paz, Baja California Sur",pacifico,24.1619948,-110.3158532
El Mezquital,Baja California Sur,"El Mezquital, Baja California Sur",pacifico,26.2393568922952,-112.34673417138
Puerto San Carlos,Baja California Sur,"Puerto San Carlos, Baja California Sur",pacifico,24.789578,-112.107681
Cabo San Lucas,Baja California Sur,"Cabo San Lucas, Baja California Sur",pacifico,22.8938884,-109.92006
Topolobampo,Sinaloa,"Topolobampo, Sinaloa",pacifico,25.601363,-109.054311
Mazatlan,Sinaloa,"Mazatlan, Sinaloa",pacifico,23.2035785,-106.4208391
Puerto Balleto,Nayarit,"Puerto Balleto, Nayarit",pacifico,21.6360089,-106.5399965
Nuevo Vallarta,Nayarit,"Nuevo Vallarta, Nayarit",pacifico,20.7027575,-105.2885106
Barra de Navidad,Jalisco,"Barra de Navidad, Jalisco",pacifico,19.2056444,-104.6820897
Manzanillo,Colima,"Manzanillo, Colima",pacifico,19.0506256,-104.3159957
Ixtapa,Guerrero,"Ixtapa, Guerrero",pacifico,17.6640299,-101.6107384
Zihuatanejo,Guerrero,"Zihuatanejo, Guerrero",pacifico,17.6467874,-101.551974
Acapulco,Guerrero,"Acapulco, Guerrero",pacifico,16.8680495,-99.8940182
Puerto Escondido,Oaxaca,"Puerto Escondido, Oaxaca",pacifico,15.87192524469,-97.0772961057003
Salina Cruz,Guerrero,"Salina Cruz, Guerrero",pacifico,16.204783,-95.206355
Puerto Madero,Chiapas,"Puerto Madero, Chiapas",pacifico,14.7157931,-92.4184006
El Mezquital,Tamaulipas,"El Mezquital, Tamaulipas",golfo,25.528672685883,-97.421463659067
Altamira,Tamaulipas,"Altamira, Tamaulipas",golfo,22.4073229812175,-97.9211573199639
Tampico,Veracruz,"Tampico, Veracruz",golfo,21.8511488,-97.63529307358950
Veracruz,Veracruz,"Veracruz, Veracruz",golfo,19.1733393116889,-96.1313758118695
Coatzacoalcos,Veracruz,"Coatzacoalcos, Veracruz",golfo,18.1396787,-94.4501731
Frontera,Tabasco,"Frontera, Tabasco",golfo,18.5321825,-92.6461428
Lerma,Tabasco,"Lerma, Tabasco",golfo,18.5243338992717,-92.7445724880073
Ciudad del Carmen,Campeche,"Ciudad del Carmen, Campeche",golfo,18.651739,-91.81492
San Francisco,Campeche,"San Francisco, Campeche",golfo,19.9151172,-90.4165864
Progreso,Yucatan,"Progreso, Yucatan",golfo,21.2822136,-89.6636637
Cancun,Quintana Roo,"Cancun, Quintana Roo",golfo,21.1617854,-86.8510468
Puerto Morelos,Quintana Roo,"Puerto Morelos, Quintana Roo",golfo,20.8502681,-86.8750229
Cozumel,Quintana Roo,"Cozumel, Quintana Roo",golfo,20.4320599,-86.92069058377270
Playa del Carmen,Quintana Roo,"Playa del Carmen, Quintana Roo",golfo,20.6308643,-87.0779503
