Name,Code,Location,Coordinates,Latitude,Longitude
San Ysidro,SYS,"San Ysidro, California","32.54431071396611, -117.02856441126859",32.54431071396611,-117.02856441126859
Otay Mesa,OTM,"Otay Mesa, California","32.548830333720865, -116.93751776676132",32.548830333720865,-116.93751776676132
Tecate,TEC,"Tecate, California","32.576259490009384, -116.62745997805513",32.576259490009384,-116.62745997805513
Calexico West,CAL,"Calexico, California","32.665106, -115.496349",32.665106,-115.496349
Calexico East,IVP,"Calexico, California","32.67541923014072, -115.38831102864438",32.67541923014072,-115.38831102864438
Andrade,AND,"Andrade, California","32.718025488922656, -114.72853895913204",32.718025488922656,-114.72853895913204
San Luis,SLU,"San Luis, Arizona","32.48540454990855, -114.78220910566775",32.48540454990855,-114.78220910566775
San Luis II,SLU,"San Luis, Arizona","32.46167505796927, -114.69841249793484",32.46167505796927,-114.69841249793484
Lukeville,LUK,"Lukeville, Arizona","31.880409902151758, -112.81687117227185",31.880409902151758,-112.81687117227185
Sasabe,SAS,"Sasabe, Arizona","31.483313793033933, -111.54440887795113",31.483313793033933,-111.54440887795113
Nogales�Mariposa,NOG,"Nogales, Arizona","31.33605373870357, -110.96583703680747",31.33605373870357,-110.96583703680747
Naco,NAC,"Naco, Arizona","31.333971159859804, -109.94795206645175",31.333971159859804,-109.94795206645175
Douglas,DOU,"Douglas, Arizona","31.33487844221001, -109.56036548912537",31.33487844221001,-109.56036548912537
Antelope Wells,ANP,"Antelope Wells, New Mexico","31.334966954849335, -108.52996780049577",31.334966954849335,-108.52996780049577
Columbus,COL,"Columbus, New Mexico","31.784406270383226, -107.62772034310298",31.784406270383226,-107.62772034310298
Santa Teresa,STR,"Santa Teresa, New Mexico","31.78599823194532, -106.67991404611786",31.78599823194532,-106.67991404611786
El Paso-PDN,PDN,"El Paso, Texas","31.749960082568172, -106.48630554840793",31.749960082568172,-106.48630554840793
El Paso�BOTA,BOA,"El Paso, Texas","31.766882551221414, -106.45106839299537",31.766882551221414,-106.45106839299537
El Paso�Ysleta,YSL,"El Paso, Texas","31.67213265369238, -106.33533405874661",31.67213265369238,-106.33533405874661
Tornillo,FAB,"Tornillo, Texas","31.43548608946032, -106.14231600704393",31.43548608946032,-106.14231600704393
Fort Hancock,FHK,"Fort Hancock, Texas","31.27636811352135, -105.85212116148054",31.27636811352135,-105.85212116148054
Presidio,PRE,"Presidio, Texas","29.562061419909067, -104.39064351934186",29.562061419909067,-104.39064351934186
Boquillas,BOQ,"Big Bend, Texas","29.190069475269176, -102.94668694620793",29.190069475269176,-102.94668694620793
Amistad Dam,ADT,"Del Rio, Texas","29.460114452343134, -101.03017150368983",29.460114452343134,-101.03017150368983
Del Rio,DLR,"Del Rio, Texas","29.460082173812598, -101.03015031969002",29.460082173812598,-101.03015031969002
Eagle Pass,EGP,"Eagle Pass, Texas","28.705582181927635, -100.50611609537475",28.705582181927635,-100.50611609537475
Eagle Pass II,FDE,"Eagle Pass, Texas","28.69834300902701, -100.50628955995944",28.69834300902701,-100.50628955995944
Laredo�Colombia Solidarity,LCB,"Laredo, Texas","27.701588597497068, -99.74249655789352",27.701588597497068,-99.74249655789352
Laredo-World Trade,LWT,"Laredo, Texas","27.599674217326434, -99.5318250610632",27.599674217326434,-99.5318250610632
Laredo Bridge 1,LAR,"Laredo, Texas","27.501620215682227, -99.50737307716973",27.501620215682227,-99.50737307716973
Laredo-Juarez/Lincoln,LLB,"Laredo, Texas","27.50258029618299, -99.50245885604805",27.50258029618299,-99.50245885604805
Falcon Dam,FAL,"Falcon Heights, Texas","26.55322783838334, -99.1446976369938",26.55322783838334,-99.1446976369938
Roma,ROM,"Roma, Texas","26.40444388991131, -99.01622199481179",26.40444388991131,-99.01622199481179
Rio Grande City,RIO,"Rio Grande City, Texas","26.36731487709849, -98.80152245960534",26.36731487709849,-98.80152245960534
Los Ebanos,LSE,"Los Ebanos, Texas","26.239645924761994, -98.56370185868417",26.239645924761994,-98.56370185868417
Anzalduas,ANZ,"Mission, Texas","26.145517383178458, -98.3121318086411",26.145517383178458,-98.3121318086411
Hidalgo,HID,"Hidalgo, Texas","26.097279895146134, -98.27024409207498",26.097279895146134,-98.27024409207498
Pharr,PHR,"Pharr, Texas","26.088916619848348, -98.20018604630522",26.088916619848348,-98.20018604630522
Donna,DNA,"Donna, Texas","26.069981294800353, -98.07206200777802",26.069981294800353,-98.07206200777802
Progreso,PGR,"Progreso, Texas","26.063254837952524, -97.94981662713782",26.063254837952524,-97.94981662713782
Los Indios,IND,"Los Indios, Texas","26.038322459835044, -97.7373380050974",26.038322459835044,-97.7373380050974
Brownsville - B&M,BBM,"Brownsville, Texas","25.89207020223316, -97.50467489206797",25.89207020223316,-97.50467489206797
Brownsville - Gateway,GTW,"Brownsville, Texas","25.899004308198393, -97.49621073337444",25.899004308198393,-97.49621073337444
Brownsville - Veterans,BRO,"Brownsville, Texas","25.889342780809343, -97.47579913081023",25.889342780809343,-97.47579913081023
,,,,,
,,,,,
