Cruce Fronterizo,Tipo,Coordenadas,latitud,longitud
"Cd. Hidalgo, México - Tecún Uman, Guatemala. Puente Dr. Rodolfo Robles",Cruce fronterizo formal,"14.67674344270255, -92.14759851888864",14.67674344270260,-92.14759851888860
Puerto Fronterizo Suchiate II,Cruce fronterizo formal,"14.702542871290694, -92.15297829484561",14.702542871290700,-92.15297829484560
Talismán - El Carmen,Cruce fronterizo formal,"14.976432791822761, -92.14466932840656",14.976432791822800,-92.14466932840660
Cd. Cuauhtémoc - La Mesilla,Cruce fronterizo formal,"15.664991920567719, -92.00302691979452",15.664991920567700,-92.00302691979450
"Carmen Xhan, México - Gracias a Dios, Guatemala",Cruce fronterizo formal,"16.07176999471288, -91.75381465149106",16.07176999471290,-91.75381465149110
Nueva Orizaba - Ingenieros,Cruce fronterizo formal,"16.075390411857374, -90.4432073410626",16.075390411857400,-90.4432073410626
Frontera Corozal - Bethel,Cruce fronterizo formal,"16.073056, -90.633333",16.073056,-90.633333
El Ceibo - El Ceibo,Cruce fronterizo formal,"16.798809672285977, -90.81599244500215",16.798809672286000,-90.81599244500220
El Coyote,Cruce fronterizo informal,"16.710917595097992, -93.40819962455815",16.710917595098000,-93.40819962455820
Palenque,Cruce fronterizo informal,"17.533166355860754, -91.98734139340712",17.533166355860800,-91.98734139340710
Limón,Cruce fronterizo informal,"16.871945410280194, -93.19966987642096",16.871945410280200,-93.19966987642100
Rojo,Cruce fronterizo informal,"15.87205267885959, -92.104162418955",15.87205267885960,-92.104162418955
Armadillo,Cruce fronterizo informal,"16.01580903643925, -92.0514366868321",16.01580903643930,-92.0514366868321
Cascajo,Cruce fronterizo informal,"14.76699770481511, -92.09068766329274",14.76699770481510,-92.09068766329270
Carmen Xhan - Gracias a Dios,Cruce fronterizo informal,"16.041119151806555, -91.7460988998874",16.041119151806600,-91.7460988998874
Puerto Fronterizo Chactemal - INDAABIN,Cruce fronterizo formal,"18.503911513976913, -88.38848592363105",18.5039115139769,-88.3884859236311
