,
Aguascalientes, 559
"Aguascalientes, Ags.", 423
"Cosío, Ags.", 98
"Jesús María, Ags.", 20
"San Francisco de los Romo, Ags.", 18
,
Baja California,33 939
"Ensenada, BC", 29
"Mexicali, BC",5 706
"Playas de Rosarito, BC", 38
"San Felipe, BC", 4
"Tecate, BC", 594
"Tijuana, BC",27 568
,
Baja California Sur, 404
"La Paz, BCS", 342
"Los Cabos, BCS", 62
,
Campeche,3 631
"Calakmul, Camp.", 194
"Calkiní, Camp.", 1
"Campeche, Camp.",1 754
"Carmen, Camp.", 255
"Champotón, Camp.", 150
"Escárcega, Camp.",1 232
"Palizada, Camp.", 15
"Seybaplaya, Camp.", 8
"Tenabo, Camp.", 22
,
Chiapas,229 986
"Acacoyagua, Chis.", 2
"Arriaga, Chis.",19 839
"Berriozábal, Chis.", 160
"Catazajá, Chis.", 392
"Chenalhó, Chis.", 341
"Chiapa de Corzo, Chis.", 120
"Chicomuselo, Chis.", 1
"Cintalapa de Figueroa, Chis.", 3
"Comitán de Domínguez, Chis.", 337
"Copainalá, Chis.", 7
"Escuintla, Chis.", 19
"Frontera Comalapa, Chis.", 802
"Frontera Hidalgo, Chis.", 15
"Huehuetán, Chis.",18 319
"Huixtla, Chis.",20 836
"Jiquipilas, Chis.", 677
"La Trinitaria, Chis.", 177
"Mapastepec, Chis.", 36
"Mezcalapa, Chis.", 440
"Motozintla, Chis.", 8
"Ocosingo, Chis.", 182
"Ocozocoautla de Espinosa, Chis.",1 226
"Palenque, Chis.",9 027
"Pantepec, Chis.", 1
"Pijijiapan, Chis.",11 297
"Salto de Agua, Chis.", 9
"San Cristóbal de las Casas, Chis.", 745
"Siltepec, Chis.", 1
"Suchiate, Chis.",25 989
"Tapachula, Chis.",98 486
"Teopisca, Chis.", 1
"Tonalá, Chis.", 230
"Tuxtla Chico, Chis.", 595
"Tuxtla Gutiérrez, Chis.",15 141
"Unión Juárez, Chis.",2 674
"Villa Comaltitlán, Chis.",1 835
"Villa Corzo, Chis.", 8
"Villaflores, Chis.", 5
"Yajalón, Chis.", 3
,
Chihuahua,10 183
"Chihuahua, Chih.",2 035
"Janos, Chih.", 129
"Juárez, Chih.",7 925
"Ojinaga, Chih.", 94
,
