ciudad,estado,ruta,detenciones,latitud,longitud
"Aguascalientes, Aguascalientes",Aguascalientes,Ruta Centro, 559,22.0000001,-102.5000001
"Aguascalientes, Aguascalientes",Aguascalientes,Ruta Centro, 423,22.0000001,-102.5000001
"Cosio, Aguascalientes",Aguascalientes,Ruta Centro, 98,22.3705155,-102.31200851052341
"Jesus Maria, Aguascalientes",Aguascalientes,Ruta Centro, 20,21.934555500000002,-102.46845171651151
"San Francisco de los Romo, Aguascalientes",Aguascalientes,Ruta Centro, 18,22.0746282,-102.2707133
"Baja California, Baja California",Baja California,Ruta del Pacifico,33 939,30.0338923,-115.1425107
"Ensenada, Baja California",Baja California,Ruta del Pacifico, 29,31.8658887,-116.602983
"Mexicali, Baja California",Baja California,Ruta del Pacifico,5 706,32.6405247,-115.474899
"Playas de Rosarito, Baja California",Baja California,Ruta del Pacifico, 38,32.25812915,-116.87330722517585
"San Felipe, Baja California",Baja California,Ruta del Pacifico, 4,31.0269529,-114.839607
"Tecate, Baja California",Baja California,Ruta del Pacifico, 594,32.5653831,-116.6298787
"Tijuana, Baja California",Baja California,Ruta del Pacifico,27 568,32.5317397,-117.019529
"Baja California Sur, Baja California Sur",Baja California Sur,Ruta del Pacifico, 404,25.5818014,-111.5706164
"La Paz, Baja California Sur",Baja California Sur,Ruta del Pacifico, 342,24.1619948,-110.3158532
"Los Cabos, Baja California Sur",Baja California Sur,Ruta del Pacifico, 62,23.271848050000003,-109.6897684130629
"Campeche, Campeche",Campeche,Ruta Sur,3 631,19.0,-90.5
"Calakmul, Campeche",Campeche,Ruta Sur, 194,18.1073406,-89.80832803981309
"Calkini, Campeche",Campeche,Ruta Sur, 1,20.3695121,-90.0510784
"Campeche, Campeche",Campeche,Ruta Sur,1 754,19.0,-90.5
"Carmen, Campeche",Campeche,Ruta Sur, 255,18.651739,-91.81492
"Champoton, Campeche",Campeche,Ruta Sur, 150,19.3439655,-90.7242742
"Escarcega, Campeche",Campeche,Ruta Sur,1 232,18.606934,-90.7385823
"Palizada, Campeche",Campeche,Ruta Sur, 15,18.2549484,-92.0907089
"Seybaplaya, Campeche",Campeche,Ruta Sur, 8,19.60337225,-90.62536695555147
"Tenabo, Campeche",Campeche,Ruta Sur, 22,20.0406607,-90.2254956
"Chiapas, Chiapas",Chiapas,Ruta Sur,229 986,16.5000001,-92.5000001
"Acacoyagua, Chiapas",Chiapas,Ruta Sur, 2,15.4060577,-92.69729393057881
"Arriaga, Chiapas",Chiapas,Ruta Sur,19 839,16.2344709,-93.9008414
"Berriozabal, Chiapas",Chiapas,Ruta Sur, 160,16.871689449999998,-93.33707618047063
"Catazaja, Chiapas",Chiapas,Ruta Sur, 392,17.76826375,-92.03793125285313
"Chenalho, Chiapas",Chiapas,Ruta Sur, 341,16.971716100000002,-92.51921237690784
"Chiapa de Corzo, Chiapas",Chiapas,Ruta Sur, 120,16.7075202,-93.0115045
"Chicomuselo, Chiapas",Chiapas,Ruta Sur, 1,15.7935524,-92.41926620137892
"Cintalapa de Figueroa, Chiapas",Chiapas,Ruta Sur, 3,16.6905402,-93.7257625
"Comitan de Dominguez, Chiapas",Chiapas,Ruta Sur, 337,16.2911698,-92.17532124270645
"Copainala, Chiapas",Chiapas,Ruta Sur, 7,17.0930214,-93.2102105
"Escuintla, Chiapas",Chiapas,Ruta Sur, 19,15.35100255,-92.55576537361532
"Frontera Comalapa, Chiapas",Chiapas,Ruta Sur, 802,15.6590135,-92.1422219
"Frontera Hidalgo, Chiapas",Chiapas,Ruta Sur, 15,14.7531678,-92.21613683447438
"Huehuetan, Chiapas",Chiapas,Ruta Sur,18 319,15.021716399999999,-92.42866979063194
"Huixtla, Chiapas",Chiapas,Ruta Sur,20 836,15.122125,-92.50399707604466
"Jiquipilas, Chiapas",Chiapas,Ruta Sur, 677,16.57497565,-93.60565427888373
"La Trinitaria, Chiapas",Chiapas,Ruta Sur, 177,16.1206164,-92.0542431
"Mapastepec, Chiapas",Chiapas,Ruta Sur, 36,15.43981,-92.898367
"Mezcalapa, Chiapas",Chiapas,Ruta Sur, 440,17.2364959,-93.6349751688609
"Motozintla, Chiapas",Chiapas,Ruta Sur, 8,15.3050827,-92.34880361871575
"Ocosingo, Chiapas",Chiapas,Ruta Sur, 182,16.9057,-92.092776
"Ocozocoautla de Espinosa, Chiapas",Chiapas,Ruta Sur,1 226,16.7931431,-93.45696355337824
"Palenque, Chiapas",Chiapas,Ruta Sur,9 027,17.509188,-91.980922
"Pantepec, Chiapas",Chiapas,Ruta Sur, 1,17.194414199999997,-93.05246608493754
"Pijijiapan, Chiapas",Chiapas,Ruta Sur,11 297,15.6849991,-93.2080195
"Salto de Agua, Chiapas",Chiapas,Ruta Sur, 9,17.4348976,-92.22480249886087
"San Cristobal de las Casas, Chiapas",Chiapas,Ruta Sur, 745,16.6835469,-92.61551841991157
"Siltepec, Chiapas",Chiapas,Ruta Sur, 1,15.5561492,-92.3226035
"Suchiate, Chiapas",Chiapas,Ruta Sur,25 989,14.6321744,-92.24196336095298
"Tapachula, Chiapas",Chiapas,Ruta Sur,98 486,14.9042905,-92.2609265
"Teopisca, Chiapas",Chiapas,Ruta Sur, 1,16.5420839,-92.4736561
"Tonala, Chiapas",Chiapas,Ruta Sur, 230,16.0894476,-93.7546502
"Tuxtla Chico, Chiapas",Chiapas,Ruta Sur, 595,14.8768619,-92.19675245459757
"Tuxtla Gutierrez, Chiapas",Chiapas,Ruta Sur,15 141,16.753801,-93.115959
"Union Juarez, Chiapas",Chiapas,Ruta Sur,2 674,15.07074175,-92.09254280799922
"Villa Comaltitlan, Chiapas",Chiapas,Ruta Sur,1 835,15.170973199999999,-92.61288629080111
"Villa Corzo, Chiapas",Chiapas,Ruta Sur, 8,16.0631888,-93.26500252520376
"Villaflores, Chiapas",Chiapas,Ruta Sur, 5,16.37550225,-93.3589334041931
"Yajalon, Chiapas",Chiapas,Ruta Sur, 3,17.1768885,-92.3519609858044
"Chihuahua, Chihuahua",Chihuahua,Ruta Centro,10 183,28.5000001,-106.0000001
"Chihuahua, Chihuahua",Chihuahua,Ruta Centro,2 035,28.5000001,-106.0000001
"Janos, Chihuahua",Chihuahua,Ruta Centro, 129,30.8893267,-108.1930484
"Juarez, Chihuahua",Chihuahua,Ruta Centro,7 925,31.7372575,-106.485655
"Ojinaga, Chihuahua",Chihuahua,Ruta Centro, 94,29.5654282,-104.4128523
"Ciudad de Mexico, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,9 057,19.4326296,-99.1331785
"Coyoacan, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro, 7,19.349885,-99.1623599
"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,1 023,19.4831686,-99.1137888
"Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,6 176,19.3591195,-99.0929294
"Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,1 851,19.4192787,-99.1135639
"Coahuila, Coahuila",Coahuila,Ruta Centro,26 173,27.3333331,-102.0000001
"Acuna, Coahuila",Coahuila,Ruta Centro,1 672,29.3248796,-100.9322287
"Allende, Coahuila",Coahuila,Ruta Centro, 289,28.3420816,-100.8517302
"Francisco I. Madero, Coahuila",Coahuila,Ruta Centro, 25,26.23755265,-103.09965556876554
"Guerrero, Coahuila",Coahuila,Ruta Centro, 6,28.3093253,-100.3805564
"Monclova, Coahuila",Coahuila,Ruta Centro,1 207,26.8999988,-101.4171173
"Nava, Coahuila",Coahuila,Ruta Centro, 3,28.4217309,-100.7674167
"Piedras Negras, Coahuila",Coahuila,Ruta Centro,21 201,28.7041725,-100.5148362
"Saltillo, Coahuila",Coahuila,Ruta Centro, 945,25.4230425,-100.9927509
"Torreon, Coahuila",Coahuila,Ruta Centro, 825,25.542698,-103.410512
"Colima, Colima",Colima,Ruta del Pacifico, 17,19.166667,-104.0
"Colima, Colima",Colima,Ruta del Pacifico, 6,19.166667,-104.0
"Manzanillo, Colima",Colima,Ruta del Pacifico, 9,19.0506256,-104.3159957
"Villa de Alvarez, Colima",Colima,Ruta del Pacifico, 2,19.2651417,-103.736013
"Durango, Durango",Durango,Ruta Centro,1 446,24.833333,-104.833333
"Durango, Durango",Durango,Ruta Centro, 375,24.833333,-104.833333
"Gomez Palacio, Durango",Durango,Ruta Centro,1 048,25.5732473,-103.494779
"Mapimi, Durango",Durango,Ruta Centro, 23,25.8337403,-103.8480216
"Mexico, Estado de Mexico",Estado de Mexico,Ruta Centro,9 548,19.4839446,-99.6899716
