ID_Poligono,geometry
PG1,"POLYGON ((-120 10, -119 10, -119 9, -120 9, -120 10))"
PG2,"POLYGON ((-120 11, -119 11, -119 10, -120 10, -120 11))"
PG3,"POLYGON ((-120 12, -119 12, -119 11, -120 11, -120 12))"
PG4,"POLYGON ((-120 13, -119 13, -119 12, -120 12, -120 13))"
PG5,"POLYGON ((-120 14, -119 14, -119 13, -120 13, -120 14))"
PG6,"POLYGON ((-120 15, -119 15, -119 14, -120 14, -120 15))"
PG7,"POLYGON ((-120 16, -119 16, -119 15, -120 15, -120 16))"
PG8,"POLYGON ((-120 17, -119 17, -119 16, -120 16, -120 17))"
PG9,"POLYGON ((-120 18, -119 18, -119 17, -120 17, -120 18))"
PG10,"POLYGON ((-120 19, -119 19, -119 18, -120 18, -120 19))"
PG11,"POLYGON ((-120 20, -119 20, -119 19, -120 19, -120 20))"
PG12,"POLYGON ((-120 21, -119 21, -119 20, -120 20, -120 21))"
PG13,"POLYGON ((-120 22, -119 22, -119 21, -120 21, -120 22))"
PG14,"POLYGON ((-120 23, -119 23, -119 22, -120 22, -120 23))"
PG15,"POLYGON ((-120 24, -119 24, -119 23, -120 23, -120 24))"
PG16,"POLYGON ((-120 25, -119 25, -119 24, -120 24, -120 25))"
PG17,"POLYGON ((-120 26, -119 26, -119 25, -120 25, -120 26))"
PG18,"POLYGON ((-120 27, -119 27, -119 26, -120 26, -120 27))"
PG19,"POLYGON ((-120 28, -119 28, -119 27, -120 27, -120 28))"
PG20,"POLYGON ((-120 29, -119 29, -119 28, -120 28, -120 29))"
PG21,"POLYGON ((-120 30, -119 30, -119 29, -120 29, -120 30))"
PG22,"POLYGON ((-120 31, -119 31, -119 30, -120 30, -120 31))"
PG23,"POLYGON ((-120 32, -119 32, -119 31, -120 31, -120 32))"
PG24,"POLYGON ((-120 33, -119 33, -119 32, -120 32, -120 33))"
PG25,"POLYGON ((-120 34, -119 34, -119 33, -120 33, -120 34))"
PG26,"POLYGON ((-120 35, -119 35, -119 34, -120 34, -120 35))"
PG27,"POLYGON ((-120 36, -119 36, -119 35, -120 35, -120 36))"
PG28,"POLYGON ((-119 10, -118 10, -118 9, -119 9, -119 10))"
PG29,"POLYGON ((-119 11, -118 11, -118 10, -119 10, -119 11))"
PG30,"POLYGON ((-119 12, -118 12, -118 11, -119 11, -119 12))"
PG31,"POLYGON ((-119 13, -118 13, -118 12, -119 12, -119 13))"
PG32,"POLYGON ((-119 14, -118 14, -118 13, -119 13, -119 14))"
PG33,"POLYGON ((-119 15, -118 15, -118 14, -119 14, -119 15))"
PG34,"POLYGON ((-119 16, -118 16, -118 15, -119 15, -119 16))"
PG35,"POLYGON ((-119 17, -118 17, -118 16, -119 16, -119 17))"
PG36,"POLYGON ((-119 18, -118 18, -118 17, -119 17, -119 18))"
PG37,"POLYGON ((-119 19, -118 19, -118 18, -119 18, -119 19))"
PG38,"POLYGON ((-119 20, -118 20, -118 19, -119 19, -119 20))"
PG39,"POLYGON ((-119 21, -118 21, -118 20, -119 20, -119 21))"
PG40,"POLYGON ((-119 22, -118 22, -118 21, -119 21, -119 22))"
PG41,"POLYGON ((-119 23, -118 23, -118 22, -119 22, -119 23))"
PG42,"POLYGON ((-119 24, -118 24, -118 23, -119 23, -119 24))"
PG43,"POLYGON ((-119 25, -118 25, -118 24, -119 24, -119 25))"
PG44,"POLYGON ((-119 26, -118 26, -118 25, -119 25, -119 26))"
PG45,"POLYGON ((-119 27, -118 27, -118 26, -119 26, -119 27))"
PG46,"POLYGON ((-119 28, -118 28, -118 27, -119 27, -119 28))"
PG47,"POLYGON ((-119 29, -118 29, -118 28, -119 28, -119 29))"
PG48,"POLYGON ((-119 30, -118 30, -118 29, -119 29, -119 30))"
PG49,"POLYGON ((-119 31, -118 31, -118 30, -119 30, -119 31))"
PG50,"POLYGON ((-119 32, -118 32, -118 31, -119 31, -119 32))"
PG51,"POLYGON ((-119 33, -118 33, -118 32, -119 32, -119 33))"
PG52,"POLYGON ((-119 34, -118 34, -118 33, -119 33, -119 34))"
PG53,"POLYGON ((-119 35, -118 35, -118 34, -119 34, -119 35))"
PG54,"POLYGON ((-119 36, -118 36, -118 35, -119 35, -119 36))"
