name,tipo,sub_tipo,latitud,longitud,ID_Poligono,geometry
Acayucan Estacion Migratoria,INM,Estacion Migratoria INM,18.00185138,-94.9210765,PG685,"POLYGON ((-95 19, -94 19, -94 18, -95 18, -95 19))"
Agua Prieta Estacion Provisional,INM,Estacion Migratoria INM,31.33294658,-109.560374,PG293,"POLYGON ((-110 32, -109 32, -109 31, -110 31, -110 32))"
Aguascalientes Estacion Migratoria,INM,Estacion Migratoria INM,21.92955053,-102.3202229,PG472,"POLYGON ((-103 22, -102 22, -102 21, -103 21, -103 22))"
Campeche Estacion Provisional,INM,Estacion Migratoria INM,19.84566009,-90.53974092,PG794,"POLYGON ((-91 20, -90 20, -90 19, -91 19, -91 20))"
"Centro de Atencion Integral al Trafico Fronterizo ""La Trinitaria""",INM,Centro de Atencion Integral,16.14993427,-92.07211098,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))"
Centro de Atencion Integral al Transito Fronterizo CAITF HUIXTLA,INM,Centro de Atencion Integral,15.16274927,-92.53298711,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))"
Chetumal Estacion Migratoria,INM,Estacion Migratoria INM,18.5262955,-88.2833324,PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))"
Chihuahua Estacion Migratoria,INM,Estacion Migratoria INM,28.64225733,-106.0844028,PG371,"POLYGON ((-107 29, -106 29, -106 28, -107 28, -107 29))"
Ciudad Cuauhtemoc Estacion Provisional,INM,Estacion Migratoria INM,15.66766816,-92.00234413,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))"
Ciudad del Carmen Estacion Provisional,INM,Estacion Migratoria INM,18.64262612,-91.82360709,PG766,"POLYGON ((-92 19, -91 19, -91 18, -92 18, -92 19))"
Ciudad Juarez Estacion Migratoria,INM,Estacion Migratoria INM,31.74558597,-106.4839641,PG374,"POLYGON ((-107 32, -106 32, -106 31, -107 31, -107 32))"
Colima Estancia Provisional,INM,Estacion Migratoria INM,18.5262955,-88.2833324,PG847,"POLYGON ((-89 19, -88 19, -88 18, -89 18, -89 19))"
Comitan Estacion Provisional,INM,Estacion Migratoria INM,16.21432432,-92.11557627,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))"
Echegaray Estacion Provisional,INM,Estacion Migratoria INM,15.654755,-93.149776,PG709,"POLYGON ((-94 16, -93 16, -93 15, -94 15, -94 16))"
El Ceibo Estacion Provisional,INM,Estacion Migratoria INM,17.26028726,-90.98837286,PG792,"POLYGON ((-91 18, -90 18, -90 17, -91 17, -91 18))"
El Hueyate Estacion Provisional,INM,Estacion Migratoria INM,15.1605676,-92.5157851,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))"
Escarcega Estacion Migratoria,INM,Estacion Migratoria INM,18.60664518,-90.73938847,PG793,"POLYGON ((-91 19, -90 19, -90 18, -91 18, -91 19))"
Guadalajara Estacion Provisional,INM,Estacion Migratoria INM,20.72696663,-103.3450627,PG444,"POLYGON ((-104 21, -103 21, -103 20, -104 20, -104 21))"
Hermosillo Estacion Migratoria,INM,Estacion Migratoria INM,29.07957121,-110.9552622,PG264,"POLYGON ((-111 30, -110 30, -110 29, -111 29, -111 30))"
Huatulco Estancia Provisional,INM,Estacion Migratoria INM,15.827777,-96.320882,PG628,"POLYGON ((-97 16, -96 16, -96 15, -97 15, -97 16))"
Huehuetan Estacion Provisional,INM,Estacion Migratoria INM,15.0196034,-92.3931781,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))"
Iztapalapa Estacion Migratoria (Estacion Migratoria de la Ciudad de Mexico),INM,Estacion Migratoria INM,19.31646912,-99.08320427,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))"
Janos Estacion Migratoria,INM,Estacion Migratoria INM,30.88484253,-108.1943893,PG319,"POLYGON ((-109 31, -108 31, -108 30, -109 30, -109 31))"
La Ventosa Estacion Provisional,INM,Estacion Migratoria INM,16.54834163,-94.94865417,PG683,"POLYGON ((-95 17, -94 17, -94 16, -95 16, -95 17))"
Matamoros Estacion Migratoria,INM,Estacion Migratoria INM,25.8908476,-97.50314713,PG611,"POLYGON ((-98 26, -97 26, -97 25, -98 25, -98 26))"
Mazatlan Estacion Migratoria,INM,Estacion Migratoria INM,23.19281522,-106.4196897,PG366,"POLYGON ((-107 24, -106 24, -106 23, -107 23, -107 24))"
Merida Estacion Migratoria,INM,Estacion Migratoria INM,20.98721581,-89.62713003,PG822,"POLYGON ((-90 21, -89 21, -89 20, -90 20, -90 21))"
