ciudad,latitud,longitud,edo,medio
"Aguascalientes, A. I. ""Jésus Terán""",21.701467443187862,-102.31592719740514,Aguascalientes,Aeropuerto
Algodones (terrestre),32.714894020334775,-114.73331058811812,Baja California,Terrestre
"Ensenada, A. I. ""El Cipres""",31.75080080159697,-116.59481998668603,Baja California,Aeropuerto
Ensenada (marítimo),31.8932996,-116.6912627,Baja California,Marítima
Isla Cedros (marítimo),28.1544990198747,-115.233073824214,Baja California,Marítima
"Mexicali, A. I.",32.64053259386955,-115.2495368530918,Baja California,Aeropuerto
Mexicali I (terrestre),32.67558124644809,-115.49398369917375,Baja California,Terrestre
Mexicali II (terrestre),32.6773151625109,-115.38549370949664,Baja California,Terrestre
Rosarito (marítimo),32.365166,-117.0557923,Baja California,Marítima
"San Felipe, A. I.",30.932106272508054,-114.80862676931196,Baja California,Aeropuerto
Tecate (terrestre),32.57613508236901,-116.62741363669146,Baja California,Terrestre
"Tijuana, A. I. ""Gral. Abelardo L. Rodríguez """,32.5465620217463,-116.96326129095864,Baja California,Aeropuerto
"Tijuana, Chaparral (terrestre) 6",32.541079374432634,-117.03474641976088,Baja California,Terrestre
Cabo San Lucas (marítimo),22.8938884,-109.92006,Baja California Sur,Marítima
Isla San Marcos (marítimo),27.18797,-112.0800646,Baja California Sur,Marítima
La Paz (marítimo),24.1619948,-110.3158532,Baja California Sur,Marítima
"La Paz, A. I.",24.07628543425525,-110.36685572142788,Baja California Sur,Aeropuerto
"Loreto, A. I.",25.992842949398728,-111.3527311991202,Baja California Sur,Aeropuerto
"Los Cabos, Aeródromo",22.959873043803224,-109.92559532568326,Baja California Sur,Aeropuerto
Pichilingue (marítimo),24.069914,-110.3009748,Baja California Sur,Marítima
Puerto Escondido (marítimo) 7,25.811704,-111.308949,Baja California Sur,Marítima
Punta Prieta (marítimo),27.0158141,-114.0426703,Baja California Sur,Marítima
San Carlos (marítimo),24.789578,-112.107681,Baja California Sur,Marítima
"San José del Cabo, A. I.",23.1457824105046,-109.71746184206972,Baja California Sur,Aeropuerto
Santa María (marítimo),22.9336002729533,-109.816132024212,Baja California Sur,Marítima
Santa Rosalía (marítimo),27.3364279,-112.2680462,Baja California Sur,Marítima
"Campeche, A. I. ""Ing. Alberto Acuña Ongay""",19.81417549913841,-90.503651170473,Campeche,Aeropuerto
"Cd. del Carmén, A. I.",18.652648475521712,-91.80216090453976,Campeche,Aeropuerto
Isla del Carmen (marítimo),18.7033370047266,-91.6670300243354,Campeche,Marítima
Seybaplaya (marítimo),19.6615536682989,-90.705014471757,Campeche,Marítima
Carmen Xhan (terrestre),16.044149172156096,-91.74892763802065,Chiapas,Terrestre
Cd. Cuauhtémoc (terrestre),15.666405692905212,-91.98042052001313,Chiapas,Terrestre
Cd. Hidalgo-Suchiate I (terrestre),14.68799531358006,-92.1808588142041,Chiapas,Terrestre
Cd. Hidalgo-Suchiate II (terrestre),14.964129597821664,-92.043529713347,Chiapas,Terrestre
Frontera Corozal (terrestre),16.81715718603847,-90.88312905371498,Chiapas,Terrestre
"Palenque, A. I.",17.537463026223353,-92.01566329629594,Chiapas,Aeropuerto
Puerto Chiapas (marítimo),14.7157931,-92.4184006,Chiapas,Marítima
Talismán (terrestre),14.965561378581375,-92.14662549919798,Chiapas,Terrestre
"Tapachula, A. I.",14.79025685293486,-92.36930090497722,Chiapas,Aeropuerto
"Tuxtla Gutierrez, A. I.",14.792368750969782,-92.36655942450882,Chiapas,Aeropuerto
Unión Juárez (terrestre),15.071268746922,-92.06011670900683,Chiapas,Terrestre
"Cd. Juárez, A. I. ""Abraham González""",31.637004781234303,-106.43581922607838,Chihuahua,Aeropuerto
"Cd. Juárez, Córdova (terrestre)",31.75899892717944,-106.46192972829584,Chihuahua,Terrestre
"Chihuahua, A. I.",28.70410047956093,-105.96905656410009,Chihuahua,Aeropuerto
El Berrendo (terrestre),31.332426830940964,-108.5316032312158,Chihuahua,Terrestre
"Gral. Rodrígo M. Quevedo, Puerto Palomas (terrestre)",31.783335880695912,-107.62951151770936,Chihuahua,Terrestre
Ojinaga (terrestre),29.53236756891329,-104.39109084872342,Chihuahua,Terrestre
"Cd. Acuña, A. I.",29.33307578409917,-100.97033789304382,Coahuila,Aeropuerto
Cd. Acuña (terrestre),29.332926131901367,-100.96617510467406,Coahuila,Terrestre
"Monclova, A. I.",26.953670691302094,-101.45671951338323,Coahuila,Aeropuerto
Piedras Negras II (terrestre) 9,28.697381790115017,-100.51247083314838,Coahuila,Terrestre
"Saltillo, A. I.",25.456279826312368,-100.96600974047595,Coahuila,Aeropuerto
"Torreón, A. I.",25.563469070397623,-103.398585712627,Coahuila,Aeropuerto
"Manzanillo, A. I.",19.148393533597485,-104.5596499318661,Colima,Aeropuerto
Manzanillo (marítimo),19.0506256,-104.3159957,Colima,Marítima
"Cd. de México, A. I. ""Benito Juárez""",19.436308882696103,-99.07164008397471,Ciudad de México,Aeropuerto
"Durango, A. I.",24.12622308638842,-104.53399226426316,Durango,Aeropuerto
"Toluca, A. I.",19.33761668587876,-99.57135892698398,México,Aeropuerto
"Zumpango, A. I. ""Felipe Ángeles""",19.73541916090052,-99.02622446227528,México,Aeropuerto
"Silao, A. I. ""El Bajio""",20.993496947322715,-101.48192173816992,Guanajuato,Aeropuerto
Acapulco (marítimo) 10,16.8680495,-99.8940182,Guerrero,Marítima
"Acapulco, A. I. ""Plan de los Amates""",16.761797515396246,-99.75594331534404,Guerrero,Aeropuerto
"Zihuatanejo, A. I.",17.606402787545065,-101.46368974724702,Guerrero,Aeropuerto
Zihuatanejo (marítimo) 11,17.6467874,-101.551974,Guerrero,Marítima
"Guadalajara, A. I.",20.525697239677125,-103.30903145634774,Jalisco,Aeropuerto
Puerto Vallarta (marítimo),20.6575466806308,-105.223625418493,Jalisco,Marítima
"Puerto Vallarta, A. I.",20.68078939353811,-105.25179684769772,Jalisco,Aeropuerto
Lazaro Cardenas (marítimo),17.9303820562962,-102.164313852854,Michoacán,Marítima
"Morelia, A. I.",19.84663603872126,-101.02791189930817,Michoacán,Aeropuerto
"Uruapan, A. I.",19.39746891637824,-102.0385908968237,Michoacán,Aeropuerto
"Cuernavaca, A. I. ""Gral. Mariano Matamoros""",18.83319256234764,-99.2612599667938,Morelos,Aeropuerto
Nuevo Vallarta (marítimo),20.7027575,-105.2885106,Nayarit,Marítima
"Tepic, A. I. ""Amado Nervo""",20.67842378342501,-105.24821075510602,Nayarit,Aeropuerto
"Colombia, Puente Solidaridad (terrestre)",27.69947556180477,-99.74579147498191,Nuevo León,Terrestre
"Monterrey, A. I. ""Gral. Mariano Escobedo""",25.777369975420985,-100.11492445256783,Nuevo León,Aeropuerto
Bahías de Huatulco (marítimo),15.8342651282376,-96.319938076121,Oaxaca,Marítima
"Huatulco, A. I.",15.772127409375528,-96.25863902823824,Oaxaca,Aeropuerto
"Oaxaca, A. I.",17.000936463661475,-96.72186991472046,Oaxaca,Aeropuerto
"Puerto Escondido, A. I.",15.875103418757725,-97.09233866024846,Oaxaca,Aeropuerto
Salina Cruz (marítimo),16.204783,-95.206355,Oaxaca,Marítima
"Puebla, A. I. ""Hermanos Serdán""",19.16402089907814,-98.37599634535768,Puebla,Aeropuerto
"Querétaro, A. I. ""Ing. Fernando Espinosa""",20.62685196117201,-100.1830794323552,Querétaro,Aeropuerto
"Cancún, A. I.",21.042093408580968,-86.87419128578394,Quintana Roo,Aeropuerto
Cancún (marítimo),21.1617854,-86.8510468,Quintana Roo,Marítima
Chetumal (marítimo),18.51276193723529,-88.28850093373718,Quintana Roo,Marítima
"Chetumal, A. I.",18.508656507611217,-88.33599767359823,Quintana Roo,Aeropuerto
"Chetumal, Subteniente López (terrestre)",18.498656350307385,-88.29440046988813,Quintana Roo,Terrestre
"Chetumal, Subteniente López II, ""Chactemal"" (terrestre)",18.498656350307385,-88.29440046988813,Quintana Roo,Aeropuerto
"Cozumel, A. I.",20.511447997508093,-86.92973712442246,Quintana Roo,Aeropuerto
Isla Cozumel (marítimo),20.424284487559028,-86.92302523442432,Quintana Roo,Marítima
Isla Mujeres (marítimo),21.236991379008483,-86.73303480278628,Quintana Roo,Marítima
Majahual (marítimo),18.719650167334983,-87.70645572060837,Quintana Roo,Marítima
Puerto Aventuras (marítimo),20.50558187554634,-87.22967723651287,Quintana Roo,Marítima
Puerto Juárez (marítimo),21.182852796331428,-86.80841142327992,Quintana Roo,Marítima
Puerto Morelos (marítimo),20.85815998998016,-86.90113782430916,Quintana Roo,Marítima
"San Luis Potosí, A. I. ""Ponciano Arriaga """,22.3563762491891,-100.82316583967602,San Luis Potosí,Aeropuerto
"Culiacán, A. I.",24.767907517172475,-107.46919674204472,Sinaloa,Aeropuerto
"Los Mochis, A. I. ""Del Valle del Fuerte""",25.68979113419113,-109.08235705680256,Sinaloa,Aeropuerto
Mazatlán (marítimo) 12,23.2035785,-106.4208391,Sinaloa,Marítima
"Mazatlán, A. I.",23.167317341536958,-106.26973139073984,Sinaloa,Aeropuerto
Topolobampo (marítimo),25.60387911314669,-109.05300948725206,Sinaloa,Marítima
Agua Prieta (terrestre),31.329756729149427,-109.54851121539532,Sonora,Terrestre
"Cd. Obregón, A. I.",27.50090547950112,-109.91148308929876,Sonora,Aeropuerto
Guaymas (marítimo),27.91204358490404,-110.90950296274391,Sonora,Marítima
"Guaymas, A. I. ""Gral. José M. Yáñez """,27.936284582108204,-110.92463295581996,Sonora,Aeropuerto
"Hermosillo, A. I.",29.090183684648395,-111.05197520456092,Sonora,Aeropuerto
Naco (terrestre),31.445106759029134,-109.80021547124612,Sonora,Terrestre
"Nogales, A. I.",31.2251354460074,-110.97570638912968,Sonora,Aeropuerto
Nogales Uno (terrestre) 13,31.36902805394341,-110.92226029044784,Sonora,Terrestre
"Puerto Peñasco, A. I.",31.38270330985624,-113.51415011403394,Sonora,Aeropuerto
San Luis Río Colorado (terrestre),32.47235274611327,-114.74271635360935,Sonora,Terrestre
Sonoyta (terrestre) 14,31.879224908149183,-112.8184805322132,Sonora,Terrestre
Dos Bocas (marítimo),18.427157442805235,-93.17918382698396,Tabasco,Marítima
"Tenosique, El Ceibo (terrestre)",17.26314112503493,-90.994678912203,Tabasco,Terrestre
"Villahermosa, A. I. ""Cap. P. A. Carlos Rovirosa""",17.99576228255418,-92.81674300543784,Tabasco,Aeropuerto
Altamira (marítimo),22.40784397513716,-97.9203838216966,Tamaulipas,Marítima
Camargo (terrestre),26.36283790368216,-98.80581265645236,Tamaulipas,Terrestre
"Capote, Puente TLC (terrestre)",26.07260786674765,-97.71099570924524,Tamaulipas,Terrestre
"Cd. Victoria, A. I. ""Gral. Pedro J. Méndez""",23.70945088143849,-98.95826878570432,Tamaulipas,Aeropuerto
"Guerrero, Presa Falcón (terrestre)",26.56661896210727,-99.22713423772367,Tamaulipas,Terrestre
"Matamoros, A. I. ""Servando Canales""",25.81638550601157,-97.52262685441848,Tamaulipas,Aeropuerto
"Matamoros, Zaragoza (Matamoros III) (terrestre)",25.87893945982541,-97.50415658832156,Tamaulipas,Terrestre
Miguel Alemán (terrestre),26.403212582907017,-99.01998686603775,Tamaulipas,Terrestre
"Nuevo Laredo, A. I. ""Quetzalcóatl""",27.449476116648157,-99.56852312234746,Tamaulipas,Aeropuerto
"Nuevo Laredo I ""Miguel Alemán"" (terrestre)",27.48068677138477,-99.51223458584512,Tamaulipas,Aeropuerto
Nuevo Progreso-Las Flores (terrestre),26.06058061952616,-97.9499974549377,Tamaulipas,Terrestre
Puerta México (Matamoros II) (terrestre),25.89690191257076,-97.49775599171532,Tamaulipas,Terrestre
"Reynosa, A. I. ""Gral. Lucio Blanco""",26.011951635690156,-98.22699249629592,Tamaulipas,Aeropuerto
"Reynosa-Hidalgo, Benito Juárez I y II (terrestre) 16",26.02235932449347,-98.24819911446303,Tamaulipas,Terrestre
Reynosa III-Pharr (Nuevo amanecer) (terrestre),26.04348552050304,-98.20580782687132,Tamaulipas,Terrestre
Tampico (marítimo),22.264630760609663,-97.87773026104747,Tamaulipas,Marítima
"Tampico, A. I.",22.289498789669924,-97.86944806745994,Tamaulipas,Aeropuerto
Coatzacoalcos (marítimo) 17,18.133222270438043,-94.46741521329328,Veracruz,Marítima
"Minatitlán, A. I.",18.102559765167307,-94.57749790728738,Veracruz,Aeropuerto
Tuxpan (marítimo),20.967434142049694,-97.34549485652931,Veracruz,Marítima
Veracruz (marítimo),19.172839117807104,-96.13446968101292,Veracruz,Marítima
"Veracruz, A. I.",19.1450343618979,-96.18605648213008,Veracruz,Aeropuerto
"Chichén Itzá, A. I.",20.63889712943009,-88.44900371463103,Yucatán,Aeropuerto
Las Coloradas (marítimo),21.608472609767105,-87.98693491692732,Yucatán,Marítima
"Mérida, A. I.",20.934008690570018,-89.66313737785104,Yucatán,Aeropuerto
Progreso (marítimo),21.281194984849257,-89.6614200993187,Yucatán,Marítima
Yucalpetén (marítimo),21.277343620573653,-89.70780286901356,Yucatán,Marítima
"Zacatecas, A. I. ""Gral. Leobardo C. Ruiz """,22.900349311520312,-102.67976330345344,Zacatecas,Aeropuerto
