Ciudad,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Puebla, Puebla",Puebla,,Ruta del Pacifico,,,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Tlaxcala, Tlaxcala",Tlaxcala,,Ruta del Pacifico,,,"Casillas, 2008"
"Lechería, Estado de México",Lecheria,,"Punto de inicio del viaje en ""La Bestia""",,,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Tijuana, Baja California",Tijuana,,Ruta del Pacifico,,,"Casillas, 2008"
"Mexicali, Baja California",Mexicali,,,,,"Casillas, 2009"
"San Luis Río Colorado, Sonora",San Luis Río Colorado,,,,,"Casillas, 2010"
"Sonoyta, Sonora",Sonoyta,,,,,"Casillas, 2011"
"Nogales, Sonora",Nogales,,,,,"Casillas, 2012"
"Agua Prieta, Sonora",Agua Prieta,,,,,"Casillas, 2013"
"Ciudad Juárez, Chihuahua",Ciudad Juárez,,,,,"Casillas, 2014"
"Ojinaga, Chihuahua",Ojinaga,,,,,"Casillas, 2015"
"Piedras Negras, Coahuila",Piedras Negras,,,,,"Casillas, 2016"
"Nuevo Laredo, Tamaulipas",Nuevo Laredo,,,,,"Casillas, 2017"
"Reynosa, Tamaulipas",Reynosa,,,,,"Casillas, 2018"
"Matamoros, Tamaulipas",Matamoros,,,,,"Casillas, 2019"
"Durango, Durango",Durango,,,,,"Casillas, 2020"
"Torreón, Coahuila",Torreón,,,,,"Casillas, 2021"
"Saltillo, Coahuila",Saltillo,,,,,"Casillas, 2022"
"Monterrey, Nuevo León",Monterrey,,,,,"Casillas, 2023"
"Ciudad Acuña, Coahuila",Ciudad Acuña,,,,,"Casillas, 2024"
"Monclova, Coahuila",Monclova,,,,,"Casillas, 2025"
"Ciudad Miguel Alemán, Tamaulipas",Ciudad Miguel Alemán,,,,,"Casillas, 2026"
"Ciudad Mante, Tamaulipas",Ciudad Mante,,,,,"Casillas, 2027"
"Tampico, Tamaulipas",Tampico,,,,,"Casillas, 2028"
"Ciudad Valles, San Luis Potosí",Ciudad Valles,,,,,"Casillas, 2029"
"Tamazunchale, San Luis Potosí",Tamazunchale,,,,,"Casillas, 2030"
"Pachuca, Hidalgo",Pachuca,,,,,"Casillas, 2031"
"Tlaxcala, Tlaxcala",Tlaxcala,,,,,"Casillas, 2032"
"Puebla, Puebla",Puebla,,,,,"Casillas, 2033"
"Tehuacán, Puebla",Tehuacán,,,,,"Casillas, 2034"
"Oaxaca, Oaxaca",Oaxaca,,,,,"Casillas, 2035"
"Salina Cruz, Oaxaca",Salina Cruz,,,,,"Casillas, 2036"
"Huatulco, Oaxaca",Huatulco,,,,,"Casillas, 2037"
"Puerto Escondido, Oaxaca",Puerto Escondido,,,,,"Casillas, 2038"
"Acapulco, Guerrero",Acapulco,,,,,"Casillas, 2039"
"Zihuatanejo, Guerrero",Zihuatanejo,,,,,"Casillas, 2040"
"Lázaro Cárdenas, Michoacán",Lázaro Cárdenas,,,,,"Casillas, 2041"
"Morelia, Michoacán",Morelia,,,,,"Casillas, 2042"
"Uruapan, Michoacán",Uruapan,,,,,"Casillas, 2043"
"Zamora, Michoacán",Zamora,,,,,"Casillas, 2044"
"Guadalajara, Jalisco",Guadalajara,,,,,"Casillas, 2045"
"Puerto Vallarta, Jalisco",Puerto Vallarta,,,,,"Casillas, 2046"
"Tepic, Nayarit",Tepic,,,,,"Casillas, 2047"
"Mazatlán, Sinaloa",Mazatlán,,,,,"Casillas, 2048"
"Durango, Durango",Durango,,,,,"Casillas, 2049"
"Zacatecas, Zacatecas",Zacatecas,,,,,"Casillas, 2050"
"San Luis Potosí, San Luis Potosí",San Luis Potosí,,,,,"Casillas, 2051"
"Aguascalientes, Aguascalientes",Aguascalientes,,,,,"Casillas, 2052"
