Ciudad,Estado,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Puebla, Puebla",Puebla,Puebla,,Ruta Centro,18.833333,-98.0,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Tlaxcala, Tlaxcala",Tlaxcala,Tlaxcala,,Ruta Centro,19.416667,-98.166667,"Casillas, 2008"
"Lecheria, Estado de Mexico",Estado de Mexico,Lecheria,,Ruta Centro,19.602439,-99.18329510350333,https://aleph.org.mx/cuales-son-las-principales-rutas-de-migracion-en-mexico
"Ciudad Juarez, Chihuahua",Chihuahua,Ciudad Juárez,,Ruta Centro,31.7372575,-106.485655,"Casillas, 2014"
"Ojinaga, Chihuahua",Chihuahua,Ojinaga,,Ruta Centro,29.5654282,-104.4128523,"Casillas, 2015"
"Piedras Negras, Coahuila",Coahuila,Piedras Negras,,Ruta Centro,28.7041725,-100.5148362,"Casillas, 2016"
"Durango, Durango",Durango,Durango,,Ruta Centro,24.833333,-104.833333,"Casillas, 2020"
"Torreon, Coahuila",Coahuila,Torreón,,Ruta Centro,25.542698,-103.410512,"Casillas, 2021"
"Saltillo, Coahuila",Coahuila,Saltillo,,Ruta Centro,25.4230425,-100.9927509,"Casillas, 2022"
"Ciudad Acuna, Coahuila",Coahuila,Ciudad Acuña,,Ruta Centro,29.3248796,-100.9322287,"Casillas, 2024"
"Monclova, Coahuila",Coahuila,Monclova,,Ruta Centro,26.8999988,-101.4171173,"Casillas, 2025"
"Ciudad Valles, San Luis Potosi",San Luis Potosi,Ciudad Valles,,Ruta Centro,21.9916551,-99.0102967,"Casillas, 2029"
"Tamazunchale, San Luis Potosi",San Luis Potosi,Tamazunchale,,Ruta Centro,21.2618403,-98.7907425,"Casillas, 2030"
"Pachuca, Hidalgo",Hidalgo,Pachuca,,Ruta Centro,20.1165413,-98.7413535,"Casillas, 2031"
"Tehuacan, Puebla",Puebla,Tehuacán,,Ruta Centro,18.4599877,-97.3903616,"Casillas, 2034"
"Zacatecas, Zacatecas",Zacatecas,Zacatecas,,Ruta Centro,23.0823582,-103.20856984509811,"Casillas, 2050"
"San Luis Potosi, San Luis Potosi",San Luis Potosi,San Luis Potosí,,Ruta Centro,22.5000001,-100.4949145,"Casillas, 2051"
"Aguascalientes, Aguascalientes",Aguascalientes,Aguascalientes,,Ruta Centro,22.0000001,-102.5000001,"Casillas, 2052"
"Leon, Guanajuato",Guanajuato,León,,Ruta Centro,21.1218598,-101.6825081,"Casillas, 2053"
"Queretaro, Queretaro",Queretaro,Querétaro,,Ruta Centro,20.5927744,-100.3902245,"Casillas, 2054"
"Ciudad de Mexico, Ciudad de Mexico",Ciudad de Mexico,Ciudad de México,,Ruta Centro,19.4326296,-99.1331785,"Casillas, 2055"
"Tulancingo, Hidalgo",Hidalgo,Tulancingo,,Ruta Centro,20.0839585,-98.3635381,"Casillas, 2057"
"El Mezquital, Durango",Durango,El Mezquital,,Ruta Centro,25.5152853,-103.5955006,"Casillas, 2079"
"Salamanca, Guanajuato",Guanajuato,Salamanca,,Ruta Centro,20.571358,-101.192444,"Casillas, 2096"
"Tula, Hidalgo",Hidalgo,Tula,,Ruta Centro,20.051702,-99.3450677,"Casillas, 2097"
"Irapuato, Guanajuato",Guanajuato,Irapuato,,Ruta Centro,20.6758761,-101.3521052,"Casillas, 2098"
"Benito Juarez, Chihuahua",Chihuahua,Benito Juárez,,Ruta Centro,29.1667478,-106.95868,"Casillas, 2110"
"Chihuahua, Chihuahua",Chihuahua,Chihuahua,,Ruta Centro,28.5000001,-106.0000001,"Casillas, 2118"
"Tultitlan, Estado de Mexico",Estado de Mexico,Tultitlan,,Ruta Centro,19.616991249999998,-99.15927745045195,"Casillas, 2149"
"Celaya, Guanajuato",Guanajuato,Celaya,,Ruta Centro,20.521788,-100.8140458,bbva
"Apizaco, Tlaxcala",Tlaxcala,Apizaco,,Ruta Centro,19.415556,-98.14,bbva
