Ciudad,Estado,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Nuevo Laredo, Tamaulipas",Tamaulipas,Nuevo Laredo,,Ruta del Golfo,27.4950571,-99.5074431,"Casillas, 2017"
"Reynosa, Tamaulipas",Tamaulipas,Reynosa,,Ruta del Golfo,26.0907673,-98.2788191,"Casillas, 2018"
"Matamoros, Tamaulipas",Tamaulipas,Matamoros,,Ruta del Golfo,25.8810158,-97.5064866,"Casillas, 2019"
"Monterrey, Nuevo Leon",Nuevo Leon,Monterrey,,Ruta del Golfo,25.6802019,-100.315258,"Casillas, 2023"
"Ciudad Miguel Aleman, Tamaulipas",Tamaulipas,Ciudad Miguel Alemán,,Ruta del Golfo,26.4032518,-99.0202676,"Casillas, 2026"
"Ciudad Mante, Tamaulipas",Tamaulipas,Ciudad Mante,,Ruta del Golfo,22.7411278,-98.9714093,"Casillas, 2027"
"Tampico, Tamaulipas",Tamaulipas,Tampico,,Ruta del Golfo,22.2157619,-97.8577713,"Casillas, 2028"
"Tuxpan, Veracruz",Veracruz,Tuxpan,,Ruta del Golfo,20.95647915,-97.40738177120747,"Casillas, 2058"
"Poza Rica, Veracruz",Veracruz,Poza Rica,,Ruta del Golfo,20.537657449999998,-97.44512479987276,"Casillas, 2059"
"Papantla, Veracruz",Veracruz,Papantla,,Ruta del Golfo,20.445872100000003,-97.32327774944926,"Casillas, 2060"
"Xalapa, Veracruz",Veracruz,Xalapa,,Ruta del Golfo,19.5408338,-96.9146374,"Casillas, 2061"
"Cordoba, Veracruz",Veracruz,Córdoba,,Ruta del Golfo,18.8944704,-96.9352891,"Casillas, 2062"
"Orizaba, Veracruz",Veracruz,Orizaba,,Ruta del Golfo,18.8497366,-97.1060062,"Casillas, 2063"
"Veracruz, Veracruz",Veracruz,Veracruz,,Ruta del Golfo,19.333333,-96.666667,"Casillas, 2064"
"Coatzacoalcos, Veracruz",Veracruz,Coatzacoalcos,,Ruta del Golfo,18.1396787,-94.4501731,"Casillas, 2065"
"Minatitlan, Veracruz",Veracruz,Minatitlán,,Ruta del Golfo,17.992773,-94.5567103,"Casillas, 2066"
"Villahermosa, Tabasco",Tabasco,Villahermosa,,Ruta del Golfo,17.9884657,-92.9366326,"Casillas, 2067"
"Las Choapas, Veracruz",Veracruz,Las Choapas,,Ruta del Golfo,17.56348585,-93.94000863532293,"Casillas, 2092"
"Diaz Ordaz, Tamaulipas",Tamaulipas,Díaz Ordaz,,Ruta del Golfo,26.2325413,-98.5962127,"Casillas, 2115"
"Nuevo Progreso, Tamaulipas",Tamaulipas,Nuevo Progreso,,Ruta del Golfo,26.0544108,-97.9518067,"Casillas, 2117"
"Ciudad Camargo, Tamaulipas",Tamaulipas,Ciudad Camargo,,Ruta del Golfo,26.3159794,-98.8326371,"Casillas, 2125"
"Altamira, Tamaulipas",Tamaulipas,Altamira,,Ruta del Golfo,22.3921625,-97.9362975,"Casillas, 2126"
"Tenosique, Tabasco",Tabasco,Tenosique,,Ruta del Golfo,17.45949075,-91.3134075788233,"Casillas, 2144"
"Medias Aguas, Veracruz",Veracruz,Medias Aguas,,Ruta del Golfo,17.666944,-95.029444,"Casillas, 2145"
"Tierra Blanca, Veracruz",Veracruz,Tierra Blanca,,Ruta del Golfo,18.5272475,-96.21520077487331,"Casillas, 2146"
"Cordoba, Veracruz",Veracruz,Cordoba,,Ruta del Golfo,18.8944704,-96.9352891,"Casillas, 2147"
