Ciudad,Estado,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Tijuana, Baja California",Baja California,Tijuana,,Ruta del Pacífico,32.5317397,-117.019529,"Casillas, 2008"
"Mexicali, Baja California",Baja California,Mexicali,,Ruta del Pacífico,32.6405247,-115.474899,"Casillas, 2009"
"San Luis Rio Colorado, Sonora",Sonora,San Luis Río Colorado,,Ruta del Pacífico,32.4517957,-114.7652542,"Casillas, 2010"
"Sonoyta, Sonora",Sonora,Sonoyta,,Ruta del Pacífico,31.863444,-112.849739,"Casillas, 2011"
"Nogales, Sonora",Sonora,Nogales,,Ruta del Pacífico,31.3285057,-110.9450472,"Casillas, 2012"
"Agua Prieta, Sonora",Sonora,Agua Prieta,,Ruta del Pacífico,31.3330151,-109.5594265,"Casillas, 2013"
"Acapulco, Guerrero",Guerrero,Acapulco,,Ruta del Pacífico,16.8680495,-99.8940182,"Casillas, 2039"
"Zihuatanejo, Guerrero",Guerrero,Zihuatanejo,,Ruta del Pacífico,17.6467874,-101.551974,"Casillas, 2040"
"Lazaro Cardenas, Michoacan",Michoacan,Lázaro Cárdenas,,Ruta del Pacífico,17.9594769,-102.198659,"Casillas, 2041"
"Morelia, Michoacan",Michoacan,Morelia,,Ruta del Pacífico,19.7027116,-101.1923818,"Casillas, 2042"
"Uruapan, Michoacan",Michoacan,Uruapan,,Ruta del Pacífico,19.4147269,-102.0522647,"Casillas, 2043"
"Zamora, Michoacan",Michoacan,Zamora,,Ruta del Pacífico,19.9828948,-102.28363,"Casillas, 2044"
"Guadalajara, Jalisco",Jalisco,Guadalajara,,Ruta del Pacífico,20.6720375,-103.338396,"Casillas, 2045"
"Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,,Ruta del Pacífico,20.6407176,-105.220306,"Casillas, 2046"
"Tepic, Nayarit",Nayarit,Tepic,,Ruta del Pacífico,21.5119156,-104.8915889,"Casillas, 2047"
"Mazatlan, Sinaloa",Sinaloa,Mazatlán,,Ruta del Pacífico,23.2035785,-106.4208391,"Casillas, 2048"
"Loreto, Baja California Sur",Baja California Sur,Loreto,,Ruta del Pacífico,26.0097913,-111.3452523,"Casillas, 2074"
"Sinaloa, Sinaloa",Sinaloa,Sinaloa,,Ruta del Pacífico,25.0000001,-107.5000001,"Casillas, 2075"
"Los Mochis, Sinaloa",Sinaloa,Los Mochis,,Ruta del Pacífico,25.7928058,-108.990188,"Casillas, 2076"
"Pichilingue, Baja California Sur",Baja California Sur,Pichilingue,,Ruta del Pacífico,24.1181726,-110.3157458,"Casillas, 2077"
"La Paz, Baja California Sur",Baja California Sur,La Paz,,Ruta del Pacífico,24.1619948,-110.3158532,"Casillas, 2078"
"Cabo San Lucas, Baja California Sur",Baja California Sur,Cabo San Lucas,,Ruta del Pacífico,22.8938884,-109.92006,"Casillas, 2080"
"Nuevo Vallarta, Nayarit",Nayarit,Nuevo Vallarta,,Ruta del Pacífico,20.7027575,-105.2885106,"Casillas, 2083"
"Barra de Navidad, Jalisco",Jalisco,Barra de Navidad,,Ruta del Pacífico,19.2056444,-104.6820897,"Casillas, 2084"
"Manzanillo, Colima",Colima,Manzanillo,,Ruta del Pacífico,19.0506256,-104.3159957,"Casillas, 2085"
"Ixtapa, Guerrero",Guerrero,Ixtapa,,Ruta del Pacífico,17.6640299,-101.6107384,"Casillas, 2086"
"El Sauzal, Baja California",Baja California,El Sauzal,,Ruta del Pacífico,31.8932996,-116.6912627,"Casillas, 2102"
"Ensenada, Baja California",Baja California,Ensenada,,Ruta del Pacífico,31.8658887,-116.602983,"Casillas, 2103"
"Puerto Penasco, Sonora",Sonora,Puerto Peñasco,,Ruta del Pacífico,31.3170867,-113.531819,"Casillas, 2104"
"Sasabe, Sonora",Sonora,Sásabe,,Ruta del Pacífico,31.4742939,-111.5450714,"Casillas, 2106"
"Naco, Sonora",Sonora,Naco,,Ruta del Pacífico,31.3229703,-109.9459547,"Casillas, 2107"
"Isla de Cedros, Baja California",Baja California,Isla de Cedros,,Ruta del Pacífico,28.0963636,-115.1885764,"Casillas, 2128"
"Guerrero Negro, Baja California Sur",Baja California Sur,Guerrero Negro,,Ruta del Pacífico,27.9709506,-114.036389,"Casillas, 2129"
"Guaymas, Sonora",Sonora,Guaymas,,Ruta del Pacífico,27.9216441,-110.8994059,"Casillas, 2130"
"Isla San Marcos, Baja California Sur",Baja California Sur,Isla San Marcos,,Ruta del Pacífico,27.18797,-112.0800646,"Casillas, 2131"
"Santa Rosalia, Baja California Sur",Baja California Sur,Santa Rosalía,,Ruta del Pacífico,27.3364279,-112.2680462,"Casillas, 2132"
"Punta Chivato, Baja California Sur",Baja California Sur,Punta Chivato,,Ruta del Pacífico,27.0686798,-111.9637299,"Casillas, 2133"
