name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Otros Dreams en Acción ,,,,,OSC / ONG,"José María Marroquí 83 Colonia Centro, Centro, 06000 Centro, CDMX,Ciudad de México, Ciudad de México",redes
" Cáritas Mazatlán, I.A.P (Albergue al peregrino) ",,,,,OSC / ONG,"Toma de Celaya 86, Col. Francisco Villa, C.P. 82127,Mazatlán, Sinaloa",redes
 Albergue Una Gota en el Océano ,,,,,OSC / ONG,"Bahía Magdalena 20, Col. Rincón de Urías, C.P. 82070,Mazatlán, Sinaloa",redes
 Albergue Ejército de Salvación ,,,,,OSC / ONG,"C. Gutierrez Nájera #514 Colonia Centro 82000,Mazatlán, Sinaloa",redes
 CAVI Centro de Atención a la Violencia Intrafamiliar ,,,,,OSC / ONG,"AVE. EJERCITO MEXICANO 2017 ALTOS COL. PALOS PRIETOS,Mazatlán, Sinaloa",redes
" Asociación Casa del Migrante La Divina Providencia, I.A.P. ",,,,,OSC / ONG,"Avenida Zaragoza # 912, Col. Comercial, C.P. 83449,San Luis Río Colorado, Sonora",redes
 Comedor Iniciativa Kino para La Frontera ,,,,,OSC / ONG,"Bulevar Luis Donaldo Colosio SN/N Col. del Rosario C.P. 84000,Nogales, Sonora",redes
" Centro de Atención a Migrantes Deportados (CAMDEP), Iniciativa Kino para la Frontera ",,,,,OSC / ONG,"Bulevard Luis Donaldo Colosio # 55 Col. Del Rosario, C.P. 84000,Nogales, Sonora",redes
 Casa hogar para niñas Madre Conchita ,,,,,OSC / ONG,"Tecnologico 33, Col. El Greco C.P. 84066,Nogales, Sonora",redes
 Casa Hogar Nuestros Pequeños Hermanos ,,,,,OSC / ONG,"Pima 1, Lomas de Fátima, Nogales, Sonora C.P. 84020,Nogales, Sonora",redes
" Albergue para migrantes San Juan Bosco, I.A.P. ",,,,,OSC / ONG,"Montaño # 1063-A Colonia Municipal C.P. 84060,Nogales, Sonora",redes
 Centro Comunitario de Atención al Migrante y Necesitado (CCAMYN) ,,,,,OSC / ONG,"Av. Gonzalo Celdain # 78 Colonia Buenos Aires, C.P. 83750,Altar, Sonora",redes
" Centro de Atención al Migrante Exodus, A.C. (CAME) ",,,,,OSC / ONG,"Av. Anáhuac 108 Colonia Centro Ferrocarril C.P. 84200,Agua Prieta, Sonora",redes
 Casa YMCA para menores migrantes ,,,,,OSC / ONG,"Calle 1a entre 12 y 13 Agua Prieta, Sonora 84200,Agua Prieta, Sonora",redes
 Casa de Atención al Migrante El Santuario ,,,,,OSC / ONG,"Capilla de Macuspana (Estación de tren),Macuspana, Tabasco",redes
 La72: Hogar-Refugio para personas migrantes ,,,,,OSC / ONG,"Prolongacion 20 S/N, Estacion Nueva 86901, Tenosique de Pino Suárez, Tabasco,Tenosique, Tabasco",redes
 Las Americas IAC (Immigrant Advocacy Center) ,,,,,OSC / ONG,"1500 E Yandell Dr. El Paso, TX 79902,El Paso, Texas",redes
 Mexicanos en Exilio ,,,,,OSC / ONG,"1430 E Yandell El Paso, TX 79902,El Paso, Texas",redes
" Diocesan Migrant and Refugee Services, Inc (DMRS) ",,,,,OSC / ONG,"2400 Yandell Dr El Paso, TX 79903,El Paso, Texas",redes
 Hope Border Institute ,,,,,OSC / ONG,"8330 Park Haven Ave, El Paso, TX 79907, United States,El Paso, Texas",redes
 Casa de Migrantes Mons. Guillermo Ranzahuer ,,,,,OSC / ONG,"Calle Miguel Hidalgo 604, Barrio Primero, 96160 Oluta, Veracruz, México,Acayucan, Veracruz",redes
 Hmnas de San José de Lyón (albergue Decanal Guadalupano) ,,,,,OSC / ONG,"Calle Aldama #50, entre Tuxpan y Lafragua Tierra Blanca, Col. El Viejo, C.P. 95180,Tierra Blanca de Ignacio de la Llave, Veracruz",redes
 Casa del Migrante Santa Faustina Kowalska ,,,,,OSC / ONG,"Calle La Venta 434 Col. Dunas,Coatzacoalcos, Veracruz",redes
 Casa del Migrante Diocesis de Coatzacoalcos A.C. ,,,,,OSC / ONG,"Albergue para mujeres: Calle Soledad del Doblado, esquina Pascual Orozco, cerca del puente de Av.1 Coatzacoalcos,Coatzacoalcos, Veracruz",redes
 Casa del Migrante Diócesis de Coatzacoalcos A.C. ,,,,,OSC / ONG,"Albergue para hombres: Río Pánuco s/n, entre Río Tuxpan y Río Calzadas, Col. Coatzacoalcos, (Albergue Diócesis de Coatzacoalcos), C.P. 96499,Coatzacoalcos, Veracruz",redes
 Comedor para migrantes Las Patronas ,,,,,OSC / ONG,"Calle 14 s/n Col. Guadalupe Amatlán de los Reyes,Amatlán de los Reyes, Veracruz",redes
 Instituto para el desarrollo de la cultura Maya del estado de Yucatán INDEMAYA ,,,,,OSC / ONG,"Calle 66 num 532 x 63 y 65 col centro cp. 97000,Mérida, Yucatán",redes
" Centro de los Derechos del Migrante, Inc (CDM) ",,,,,OSC / ONG,"Calle Víctor Rosales #164, Col. Centro, C.P. 98000,Zacatecas, Zacatecas",redes
" Federación Zacatecana, AC (FEDZAC) ",,,,,OSC / ONG,"Francisco Villa #11 Colonia Revolucion Mexicana,Guadalupe, Zacatecas",redes
 Casa del Migrante Emaus ,,,,,OSC / ONG,"Díaz Mirón 607,entre Gochicoa y Alarcón, Col. Casjal, C.P.89280,Tampico, Tamaulipas",redes
 Casa del Migrante Senda de Vida ,,,,,OSC / ONG,"Calle Bordo de Protección No. 5,Reynosa, Tamaulipas",redes
 Albergue del Migrante Nuestra Señora de Guadalupe A.C. ,,,,,OSC / ONG,"Nogal-aldama 501, Col. Aquiles Serdan I, 88520 Reynosa, Tamaulipas, Mexico.,Reynosa, Tamaulipas",redes
" Red Paisano México-USA, AC. ",,,,,OSC / ONG,"Obregon 1810, Nuevo Laredo, Tamaulipas C.P 88000,Nuevo Laredo, Tamaulipas",redes
" Casa del Migrante Amar, A.C. ",,,,,OSC / ONG,"Canales 2112, Sector Centro, C.P. 88160,Nuevo Laredo, Tamaulipas",redes
 Casa del Migrante Nazareth A.C. ,,,,,OSC / ONG,"Calle Francisco I. Madero 350, Colonia Viveros, 88070 Nuevo Laredo, Tamps.,Nuevo Laredo, Tamaulipas",redes
 Casa San Juan Diego y San Francisco de Asís A.C. ,,,,,OSC / ONG,"Avenida Golfo de México No. 49, Colonia Ampliación Solidaridad C.P. 87456,Matamoros, Tamaulipas",redes
 Casa del Migrante San Juan Diego y San Francisco de Asís A.C. ,,,,,OSC / ONG,"Avenida Golfo de Mexico No. 48, Colonia Ampliación Solidaridad C.P. 87456,Matamoros, Tamaulipas",redes
 Fundación Despierta al Mundo A.C. ,,,,,OSC / ONG,"Villa de Aguayo 255, Fracc. Haciendas del Santuario, Cd. Victoria, Tamaulipas, México,Ciudad Victoria, Tamaulipas",redes
 Centro Fray Julián Garces A. C. ,,,,,OSC / ONG,"Calle 11 No. 214,Loma Xicohténcatl, Tlaxcala",redes
 Un Mundo Una Nación A. C. ,,,,,OSC / ONG,"6a Avenida No. 2903, Col. El Carmen,Apizaco, Tlaxcala",redes
 Albergue para migrantes “La Sagrada familia” ,,,,,OSC / ONG,"3ª Privada Álvaro Obregón s/n, Col. Ferrocarrilera,Apizaco, Tlaxcala",redes
