name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"COMAR - Acayucan, Veracruz ",COMAR,,,,GOB,"Carretera Costera del Golfo 180, Km. 221, Col. Miguel Aleman, C.P 96000",COMAR
COMAR - Ciudad de México,COMAR,,,,GOB,"Versalles 49 primer piso, Col. Juárez, Alcaldia Cuahtémoc. C.P. 06600",COMAR
"COMAR - Ciudad Juárez, Chihuahua",COMAR,,,,GOB,"Av. Francisco Villa S/N esquina Av. Heroico Colegio Militar, Col. Centro, C.P. 32000",COMAR
"COMAR - Guadalajara, Jalisco",COMAR,,,,GOB,"Jesús García 720, ingreso por Mariano Bárcena 820, Col. Artesanos, Zona Centro, C.P. 44200",COMAR
"COMAR - Monterrey, Nuevo León",COMAR,,,,GOB,"Calle 21 de Marzo #2330, Sierra Ventana (Fomerrey), C.P. 64790",COMAR
"COMAR - Palenque, Chiapas",COMAR,,,,GOB,"Carretera Playas de Catazaja-Ocosingo, Km. 26 A + 100. Col Guayacan, C.P. 29960.",COMAR
"COMAR - Saltillo, Coahuila",COMAR,,,,GOB,"Libramiento Oscar Flores Tapia S/N, km 1.5, Av. Loma Alta, Arteaga, Coahuila. C.P. 25350 Bodega N",COMAR
"COMAR - Tapachula, Chiapas",COMAR,,,,GOB,"Segunda Avenida Sur 146, Los Naranjos, San Sebastián, C.P. 30790.",COMAR
"COMAR - Tenosique, Tabasco",COMAR,,,,GOB,Calle 2 S/N esquina Calle 55. Col. Pueblo Nuevo. C.P. 86900,COMAR
"COMAR - Tijuana, Baja California",COMAR,,,,GOB,"Av. Venustiano Carranza 6250, Col. Castilo, C.P. 22050",COMAR
