name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Casa Migrante Camino a la Vida,Centros de Atención Social,21.8859981,-102.3075858,"21.8859981, -102.3075858",OSC / ONG,,ACNUR servicios
Cáritas Diocesana,Centros de Atención Social,21.8821255,-102.3011164,"21.8821255, -102.3011164",OSC / ONG,,ACNUR servicios
Parroquia De Las Tres Ave Marías,Centros de Atención Social,21.868025,-102.2950688,"21.868025, -102.2950688",OSC / ONG,,ACNUR servicios
Comer del Abuelo,Centros de Atención Social,21.8874131,-102.299825,"21.8874131, -102.299825",OSC / ONG,,ACNUR servicios
Comedor San Judas Tadeo,Centros de Atención Social,21.8938054,-102.2957278,"21.8938054, -102.2957278",OSC / ONG,,ACNUR servicios
Mercado Terán Juárez,Centros de Atención Social,21.8845297,-102.2966212,"21.8845297, -102.2966212",OSC / ONG,,ACNUR servicios
Central de Abastos Aguascalientes,Centros de Atención Social,21.8320703,-102.2929618,"21.8320703, -102.2929618",OSC / ONG,,ACNUR servicios
Instituto Municipal Aguascalentense para la Cultura,Centros de Atención Social,21.8799223,-102.2945313,"21.8799223, -102.2945313",OSC / ONG,,ACNUR servicios
Instituto Cultural de Aguascalientes,Centros de Atención Social,21.8812135,-102.2991832,"21.8812135, -102.2991832",OSC / ONG,,ACNUR servicios
Instituto del Deporte del Estado de Aguascalientes,Centros de Atención Social,21.8806298,-102.2717397,"21.8806298, -102.2717397",OSC / ONG,,ACNUR servicios
Jardín de San Marcos,Centros de Atención Social,21.8795807,-102.303231,"21.8795807, -102.303231",OSC / ONG,,ACNUR servicios
Parque Rodolfo Landeros,Centros de Atención Social,21.8516852,-102.2915138,"21.8516852, -102.2915138",OSC / ONG,,ACNUR servicios
Parque Ecologico El Cedazo,Centros de Atención Social,21.8686361,-102.2563303,"21.8686361, -102.2563303",OSC / ONG,,ACNUR servicios
Centro de Justicia para Mujeres,Centros de Atención Social,21.8668426,-102.2528075,"21.8668426, -102.2528075",OSC / ONG,,ACNUR servicios
Instituto Aguascalentense de la Mujer,Centros de Atención Social,21.889146,-102.2806974,"21.889146, -102.2806974",OSC / ONG,,ACNUR servicios
Instituto Municipal de la Mujer de Aguascalientes,Centros de Atención Social,21.8850228,-102.2919403,"21.8850228, -102.2919403",OSC / ONG,,ACNUR servicios
DIF Municipal de Aguascalientes,Centros de Atención Social,21.908612,-102.310767,"21.908612, -102.310767",OSC / ONG,,ACNUR servicios
DIF Estatal Aguascalientes,Centros de Atención Social,21.8676712,-102.309394,"21.8676712, -102.309394",OSC / ONG,,ACNUR servicios
"Procuraduría de Protección de Niñas, Niños y Adolescentes ",Centros de Atención Social,21.8678745,-102.3095092,"21.8678745, -102.3095092",OSC / ONG,,ACNUR servicios
Instituto Municipal de la Juventud,Centros de Atención Social,21.8815815,-102.295057,"21.8815815, -102.295057",OSC / ONG,,ACNUR servicios
Centenario Hospital Miguel Hidalgo,Centros de Atención Social,21.8947652,-102.2825251,"21.8947652, -102.2825251",OSC / ONG,,ACNUR servicios
Instituto Mexicano del Seguro Social (IMSS),Centros de Atención Social,21.8704618,-102.2969018,"21.8704618, -102.2969018",OSC / ONG,,ACNUR servicios
Centro Ambulatorio para la Prevenciòn y Atención del VIH/SIDA (CAPASITS),Centros de Atención Social,21.8575533,-102.2550007,"21.8575533, -102.2550007",OSC / ONG,,ACNUR servicios
Cruz Roja,Centros de Atención Social,21.8613155,-102.3032217,"21.8613155, -102.3032217",OSC / ONG,,ACNUR servicios
Servicio Nacional de Empleo Aguascalientes,Centros de Atención Social,21.8589705,-102.2983128,"21.8589705, -102.2983128",OSC / ONG,,ACNUR servicios
Proyecto Habesha,Centros de Atención Social,21.8807825,-102.3002149,"21.8807825, -102.3002149",OSC / ONG,,ACNUR servicios
IEA Instituto de Educación de Aguascalientes,Centros de Atención Social,21.8719461,-102.2536985,"21.8719461, -102.2536985",OSC / ONG,,ACNUR servicios
Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA),Centros de Atención Social,21.8699055,-102.2971792,"21.8699055, -102.2971792",OSC / ONG,,ACNUR servicios
Instituto Aguascalentense de la Juventud,Centros de Atención Social,21.8696464,-102.2628415,"21.8696464, -102.2628415",OSC / ONG,,ACNUR servicios
Oficina de Atención al Migrante,Centros de Atención Social,21.8782219,-102.294916,"21.8782219, -102.294916",OSC / ONG,,ACNUR servicios
Instituto Nacional de Migración ,Centros de Atención Social,21.9400366,-102.3264611,"21.9400366, -102.3264611",OSC / ONG,,ACNUR servicios
Secretaría de Bienestar,Centros de Atención Social,21.8384489,-102.2794489,"21.8384489, -102.2794489",OSC / ONG,,ACNUR servicios
Comisión Estatal de Derechos Humanos,Centros de Atención Social,21.8644747,-102.3023486,"21.8644747, -102.3023486",OSC / ONG,,ACNUR servicios
Instituto Federal de la Defensoría Pública (IFDP),Centros de Atención Social,21.8590472,-102.3051088,"21.8590472, -102.3051088",OSC / ONG,,ACNUR servicios
Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes,Centros de Atención Social,21.8855849,-102.2902495,"21.8855849, -102.2902495",OSC / ONG,,ACNUR servicios
Fiscalía General del Estado,Centros de Atención Social,21.880829,-102.282492,"21.880829, -102.282492",OSC / ONG,,ACNUR servicios
Bomberos,Centros de Atención Social,21.8750136,-102.2553556,"21.8750136, -102.2553556",OSC / ONG,,ACNUR servicios
ACNUR La Agencia de la ONU para los Refugiados,Centros de Atención Social,21.8782219,-102.2949742,"21.8782219, -102.2949742",OSC / ONG,,ACNUR servicios
Aeropuerto Internacional de Aguascalientes,Centros de Atención Social,21.701298,-102.3162276,"21.701298, -102.3162276",OSC / ONG,,ACNUR servicios
Terminal de autobuses Aguascalientes,Centros de Atención Social,21.8657368,-102.2989623,"21.8657368, -102.2989623",OSC / ONG,,ACNUR servicios
Colectivo SERGAY de Aguascalientes A. C. ,Centros de Atención Social,21.8741711,-102.2717588,"21.8741711, -102.2717588",OSC / ONG,,ACNUR servicios
Comedor de Caritas A.C. ,Centros de Atención Social,17.9258019,-94.8870046,"17.9258019, -94.8870046",OSC / ONG,,ACNUR servicios
