name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Comisión Estatal de Derechos Humanos de Aguascalientes,CNDH,,,,OSC / ONG,"República de Perú 502, Fracc. Jardines de Santa Elena, C.P. 20236, Aguascalientes",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle Francisco I. Madero 447, Zona Centro C.P. 20000, Aguascalientes",Directorio OIM
California Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle Misión de San Javier 10610, Zona Río C.P. 22010 Tijuana, Baja California",Directorio OIM
Comisión Estatal de los Derechos Humanos de Baja California,CNDH,,,,OSC / ONG,"Av. Diego Rivera 2532 edif. Cortez Carbajal 5to piso, Col. Zona Ríos, C.P. 22320, Tijuana, Baja California",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Mutualismo 460, Col. Centro. C.P. 23000 La Paz, Baja California",Directorio OIM
Comisión Estatal de Derechos Humanos de Baja California Sur,CNDH,,,,OSC / ONG,"Blvd. Constituyente de 1975, Fraccionamiento Fidepaz, C.P. 23090  La Paz, Baja California",Directorio OIM
Comisión Estatal de Derechos Humanos del Estado de Campeche,CNDH,,,,OSC / ONG,"Prolongación 59 No. 6,colonia Centro, C.P. 24000, Campeche, Campeche.",Directorio OIM
 Oficina de la Comisión Nacional de los Derechos Humanos ,CNDH,,,,OSC / ONG,"Av. Josefa Ortiz de Domínguez 28, Col. Barrio Santa Lucía. C.P. 29250 San Cristóbal de las Casas, Chiapas",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos   ,CNDH,,,,OSC / ONG,"Calle 15 Oriente - 20, Col. Centro C.P. 30700 Tapachula, Chiapas",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. de la Raza 5784, Col. Minerva C.P. 32370, Ciudad Juárez, Chihuahua",Directorio OIM
Comisión Estatal de los Derechos Humanos de Chihuahua,CNDH,,,,OSC / ONG,"Avenida Francisco Zarco Mateos No. 2427, col. Zarco, C.P. 31020, Chihuahua, Chihuahua",Directorio OIM
Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. Periférico Sur 1922, Col. Tlacopac. C.P. 01049 Ciudad de  México, México",Directorio OIM
Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Carretera Picacho- Ajusco 238, Col. Jardines de las Montaña. C.P. 14210 Ciudad de México, México",Directorio OIM
Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"República de Cuba 60, Col. Centro Histórico C.P. 06010, Ciudad de México, México",Directorio OIM
Oficina de la Comisión Nacional de Derechos Humanos,CNDH,,,,OSC / ONG,"Río Magdalena 108, Col. Tizapán San Ángel C.P. 01090 Ciudad de México, México",Directorio OIM
Comisión de Derechos Humanos del Distrito Federal,CNDH,,,,OSC / ONG,"Avenid Universidad No. 1449, Col. Florida, Pueblo de Axotla, Deleg. Álvaro Obregón, C.P. 01030, Ciudad de México",Directorio OIM
Comisión de Derechos Humanos del Estado de Coahuila,CNDH,,,,OSC / ONG,"Hidalgo 303, esquina con Aldama, Zona Centro, C.P. 25000, Saltillo Coahuila",Directorio OIM
Oficina de la Comisión Nacional de Derechos Humanos,CNDH,,,,OSC / ONG,"Eulogio Ortiz 32, Col. Ampliación Los Ángeles. Torreón, Coahuila. C.P 27140",Directorio OIM
Comisión de Derechos Humanos del Estado de Colima,CNDH,,,,OSC / ONG,"Degollado No. 79, Colima, Zona Centro, C.P. 28000, Colima, Colima.",Directorio OIM
Comisión Estatal de Derechos Humanos de Durango,CNDH,,,,OSC / ONG,"Cerro Gordo No. 32, int. 13, Frac. Lomas del Parque, Edificio del Bosque, C.P. 34100, Durango, Durango.",Directorio OIM
Comisión de Derechos Humanos del Estado de México,CNDH,,,,OSC / ONG,"Avenida Dr. Nicolás San Juan No. 113, Col. Ex Rancho Cuauhtémoc, C.P. 50010, Toluca, Estado de Mexico.",Directorio OIM
Procuraduría de los Derechos Humanos del Estado de Guanajuato,CNDH,,,,OSC / ONG,"Avenida Guty Cárdenas No. 1444, Col. Puerta San Rafael, C.P. 37480, León, Guanajuato.",Directorio OIM
Comisión de Defensa de los Derechos Humanos del Estado de Guerrero,CNDH,,,,OSC / ONG,"Av. Juárez s/n, esquina Galo Soberón y Parra, C.P. 39000, Chilpancingo, Guerrero.",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle Cristóbal Colón 12, Fraccionamiento Costa Azul, C.P. 39850, Acapulco, Guerrero.",Directorio OIM
Comisión de Derechos Humanos del Estado de Hidalgo,CNDH,,,,OSC / ONG,Comisión de Derechos Humanos del Estado de Hidalgo,Directorio OIM
Comisión Estatal de Derechos Humanos de Jalisco,CNDH,,,,OSC / ONG,"Pedro Moreno No. 1616, Col. Americana, C.P. 44160, Guadalajara, Jalisco",Directorio OIM
Comisión Estatal de los Derechos Humanos de Michoacán,CNDH,,,,OSC / ONG,"Calle Fernando Montes de Oca No. 108, Col. Chapultepec Norte, C.P. 58260, Morelia, Michoacán",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. Del Estudiante 102, Col. Matamoros, C.P. 58240, Morelia, Michoacán.",Directorio OIM
Comisión de Derechos Humanos del Estado de Morelos,CNDH,,,,OSC / ONG,"Hermenegildo Galeana No. 39, Col. Acapantzingo, C.P. 62440, Cuernavaca, Morelos",Directorio OIM
Comisión de Defensa de los Derechos Humanos para el Estado de Nayarit,CNDH,,,,OSC / ONG,"Avenida Prisciliano Sánchez, No. 8 sur, esquina avenida Allende Altos, col. Centro, C.P. 63000, Tepic, Nayarit",Directorio OIM
Comisión Estatal de Derechos Humanos de Nuevo León,CNDH,,,,OSC / ONG,"Av. Ignacio Morones Prieto No. 2110 pte., Edif. Manchester,local 2, col. Loma Larga, C.P. 64710, Monterrey, Nuevo León",Directorio OIM
Defensoría de los Derechos Humanos del Pueblo de Oaxaca,CNDH,,,,OSC / ONG,"Calle de los Derechos Humanos No. 210, Col. América, C.P. 68050, Oaxaca, Oaxaca",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. México s/n, esquina Nicolás Bravo, Col. Estación, C.P. 70110, Ixtepec, Oaxaca",Directorio OIM
Comisión de Derechos Humanos del Estado de Puebla,CNDH,,,,OSC / ONG,"5 Poniente no. 339, Col. Centro, C.P. 72000, Puebla, Puebla",Directorio OIM
Defensoría de los Derechos Humanos de Querétaro,CNDH,,,,OSC / ONG,"Av. Hidalgo No. 6, Col. Centro, C.P. 76000, Querétaro, Qro.",Directorio OIM
Comisión de Derechos Humanos del Estado de Quintana Roo,CNDH,,,,OSC / ONG,"Av. Adolfo López Mateos No. 424, Col. Campestre CP. 77030, Chetumal, Quintana Roo ",Directorio OIM
Comisión Estatal de Derechos Humanos de San Luis Potosí,CNDH,,,,OSC / ONG,"Mariano Otero No. 685, Col. Tequisquiapan, C.P. 78250, San Luis Potosí, S.L.P.",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle Valentín Gama 865, Col. Las Águilas C.P. 78260, San Luis Potosí.",Directorio OIM
Comisión Estatal de los Derechos Humanos de Sinaloa,CNDH,,,,OSC / ONG,"Ruperto L. Paliza No. 566 sur, Col. Miguel Alemán,C.P. 80200, Culiacán, Sinaloa.",Directorio OIM
Comisión Estatal de Derechos Humanos de Sonora,CNDH,,,,OSC / ONG,"Blvd. Luis Encinas Esq. Blvd. Solidaridad, Col. Choyal, C.P. 83130, Hermosillo Sonora",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. Álvaro Obregón 360 Altos, Col. Centro C.P. 84ooo, Nogales, Sonora.",Directorio OIM
Comisión Estatal de los Derechos Humanos de Tabasco,CNDH,,,,OSC / ONG,"Blvd. Adolfo Ruiz Cortínes, esquina prolongación Francisco J. Mina #503, Col. Casa Blanca, Villahermosa, Tabasco",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. Ruiz Cortines 54, Col. Magisterial C.P. 86040, Villahermosa, Tabasco",Directorio OIM
Comisión de Derechos Humanos del Estado de Tamaulipas,CNDH,,,,OSC / ONG,"Calle Río Guayalejo No. 223, fraccionamiento Zuzaya, C.P. 87070, Cd. Victoria, Tamaulipas",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle Ortiz Rubio 801, Col. Medardo González, C.P. 88550, Reynosa, Tamaulipas.",Directorio OIM
Comisión Estatal de Derechos Humanos de Tlaxcala,CNDH,,,,OSC / ONG,"Arquitectos No. 27, Col. Loma Bonita, C.P. 90090, Tlaxcala, Tlaxcala",Directorio OIM
Comisión Estatal de Derechos Humanos de Veracruz,CNDH,,,,OSC / ONG,"Calle Carrillo Puerto No. 21, Zona Centro, C.P. 91000, Xalapa Enríquez, Veracruz ",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Av. Zaragoza 102, Col. Centro C.P. 96400, Coatzacoalcos, Veracruz.",Directorio OIM
Comisión de Derechos Humanos del Estado de Yucatán,CNDH,,,,OSC / ONG,"Calle 20 No. 391-A, por 31D y 31f, colonia Nueva Alemán, C.P. 97146, Mérida, Yucatán",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,,OSC / ONG,"Calle 60, No. 283, entre 23 y 25, Col. Alcalá Martín, C.P. 97050, Mérida, Yucatán.",Directorio OIM
Comisión de Derechos Humanos del Estado de Zacatecas,CNDH,,,,OSC / ONG,"Av. Jesús Reyes Heroles No. 204, Col. Javier Barros Sierra, C.P. 98090, Zacatecas",Directorio OIM
