,name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,estado,Teléfono,Correo electrónico
0,Oficinas de Atención a Migrante - Aguascalientes,Oficinas de Atención a Migrante,-5.8237612500000004,-35.23150915157588,"(-5.8237612500000004, -35.23150915157588)",GOB,"C. Horneado, No.104, Planta Baja. Zona Centro",Oficinas de Atención a Migrantes (OFAMs),Aguascalientes,01 (449) 916 4476,aldo.fernandez@aguascalientes.gob.mx
1,Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Centro comercial Plaza Patria, Blvd. Diaz Ordaz",Oficinas de Atención a Migrantes (OFAMs),Baja California,01 (664) 6211372 / 84,davila@baja.gob.mx
2,Oficinas de Atención a Migrante - Chihuahua,Oficinas de Atención a Migrante,-15.757087349999999,-47.91365604313675,"(-15.757087349999999, -47.91365604313675)",GOB,"C. Aldama, No. 501, Altos. Sector Centro",Oficinas de Atención a Migrantes (OFAMs),Chihuahua,01 (614) 415 51 05 / 06,coespo@chihuahua.gob.mx
3,Oficinas de Atención a Migrante - Campeche,Oficinas de Atención a Migrante,40.0388583,-85.99984031787125,"(40.0388583, -85.99984031787125)",GOB,"C. Niebla No.2, Fracciorama 2000, C.P.24090",Oficinas de Atención a Migrantes (OFAMs),Campeche,01 (981) 813 13 41,anyer_romero@outlook.com
4,Oficinas de Atención a Migrante - Chiapas,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Blvd. Diaz Ordaz, No. 11, Col. Cedros de Erika",Oficinas de Atención a Migrantes (OFAMs),Chiapas,"01 (962) 628 94, 50ext. 47060 / 66 / 74",s.aquino@spdfs.hiapas.gob.mx
5,Oficinas de Atención a Migrante - Coahuila,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Padre Flores No. 181, Altos. entre Aldama y Victoria",Oficinas de Atención a Migrantes (OFAMs),Coahuila,01 (844) 412 46 49,oeace@sfcoahuila.gob.mx
6,Oficinas de Atención a Migrante - Colima,Oficinas de Atención a Migrante,20.694883,-103.27992,"(20.694883, -103.27992)",GOB,"C. Alfonso Sierra Partida. No. 369, Colonia Jardines",Oficinas de Atención a Migrantes (OFAMs),Colima,01 (312) 330 30 14,atencionmigrantes@hotmail.com
7,Oficinas de Atención a Migrante - Ciudad de México,Oficinas de Atención a Migrante,4.4465845,-75.1513566,"(4.4465845, -75.1513566)",GOB,"Eje 1 Poniente, Calle Bucareli 134, Col. Centro",Oficinas de Atención a Migrantes (OFAMs),Ciudad de México,01 (55) 55 14 02 03 / 03 29,migrantesdf@yahoo.com.mx
8,Oficinas de Atención a Migrante - Durango,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Durango No. 1406, Int. “P”. Barrio Tierra Blanca",Oficinas de Atención a Migrantes (OFAMs),Durango,(618) 81112 66,asuntos.interdgo@durango.gob.mx
9,Oficinas de Atención a Migrante - Estado de México,Oficinas de Atención a Migrante,,,"(nan, nan)",GOB,"Lerdo Poniente No. 300, Puerta 157, Col. Centro",Oficinas de Atención a Migrantes (OFAMs),Estado de México,01 (722) 167 83 18/19,bchavez@gem.gob.mx
