name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"Alto Comisionado de las Naciones
Unidas para los Refugiados",ONU,,,,OSC / ONG,"Miguel de Cervantes Saavedra 193, Piso 14,
Oficina 1402, Col. Granada, C.P. 11520
Ciudad de México",Directorio OIM
Banco Mundial,ONU,,,,OSC / ONG,"Insurgentes Sur 1605, Piso 24, Col. San José Insurgentes, C.P. 03900, Ciudad de México",Directorio OIM
Oficina para la Coordinación de Asuntos Humanitarios,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización Internacional para las Migraciones,ONU,,,,OSC / ONG,"Francisco Sosa 267, Col. Santa Catarina Coyoacán, C.P. 04010, Ciudad de México",Directorio OIM
Comisión Económica para América Latina y el Caribe,ONU,,,,OSC / ONG,"Miguel de Cervantes Saavedra 193, Piso 12, Col. Granada, C.P. 11520, Ciudad de México",Directorio OIM
Centro de Información de las Naciones Unidas para México,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización de las Naciones Unidas para la Alimentación y la Agricultura,ONU,,,,OSC / ONG,"Farallón 130, Col. Jardines del Pedregal, C.P. 01900, Ciudad de México",Directorio OIM
Corporación Financiera Internacional,ONU,,,,OSC / ONG,"Paseo de la Reforma 483, Torre Reforma piso 18, Col. Cuauhtémoc, C.P. 06500, Ciudad de México",Directorio OIM
Organización de Aviación Civil Internacional,ONU,,,,OSC / ONG,"Masaryk 29, Piso 3, Col. Polanco, C.P. 11570, Ciudad de México",Directorio OIM
Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos,ONU,,,,OSC / ONG,"Alejandro Dumas 165, Col. Polanco, C.P.11560, Ciudad de México",Directorio OIM
Oficina para la Coordinación de Asuntos Humanitarios,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Organización Internacional para las Migraciones,ONU,,,,OSC / ONG,"Francisco Sosa 267, Col. Santa Catarina Coyoacán, C.P. 04010, Ciudad de México",Directorio OIM
Organización Internacional del Trabajo,ONU,,,,OSC / ONG,"Comte 35, Col. Anzures, C.P. 11590 Ciudad de México",Directorio OIM
Organización Meteorológica Mundial,ONU,,,,OSC / ONG,"Edificio CONAGUA Insurgentes Sur 2416, Piso 8, Col. Copilco el Bajo, C.P. 04340 Ciudad de México",Directorio OIM
Organización de las Naciones Unidas para el Desarrollo Industrial,ONU,,,,OSC / ONG,"Puente de Tecamachalco 6, Edificio Anexo - Planta Alta, Col. Lomas de Tecamachalco, C.P. 53950, Naucalpan Estado de México",Directorio OIM
Programa de Naciones Unidas para los Asentamientos Humanos,ONU,,,,OSC / ONG,"Paseo de la Reforma 296, Col. Juárez, C.P. 06600, Ciudad de México",Directorio OIM
ONU MUJERES,ONU,,,,OSC / ONG,"Homero 806, Col. Polanco, C.P. 11550, Ciudad de México",Directorio OIM
Organización Mundial de la Salud,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 2, Col. Lomas de Chapultepec, C.P. 11000 Ciudad de México",Directorio OIM
Programas de las Naciones Unidas para el Desarrollo,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 5, Col. Lomas de Chapultepec, C.P.11000 Ciudad de México",Directorio OIM
Programa de las Naciones Unidas para el Ambiente,ONU,,,,OSC / ONG,"Edificio CONAFOR Calle de Oro 17, Col. Roma Norte, C.P. 06700 Ciudad de México",Directorio OIM
"La Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",ONU,,,,OSC / ONG,"Masaryk 526, Piso 3, Col. Polanco, C.P. 11560, Ciudad de México",Directorio OIM
Fondo de Población de las Naciones Unidas,ONU,,,,OSC / ONG,"Homero 806, Col. Polanco, C.P. 11550 Ciudad de México",Directorio OIM
Fondo de las Naciones Unidas para la Infancia,ONU,,,,OSC / ONG,"Paseo de la Reforma 645, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
Oficina de Naciones Unidas contra la Droga y el Delito,ONU,,,,OSC / ONG,"Miguel de Cervantes Saavedra 169, Col. Granada, C.P. 11520 Ciudad de México",Directorio OIM
Voluntarios de las Naciones Unidas,ONU,,,,OSC / ONG,"Montes Urales 440, Piso 3, Col. Lomas de Chapultepec, C.P. 11000, Ciudad de México",Directorio OIM
